values
,existence,executive,property,nonarch
Independent,3103,10794,2730,342886
Child,953,1312,435,47434
Parent,442,622,319,5988

stats
,existence,executive,property,nonarch
Independent,1133.2783204678065,21.68710182640824,181.55445498292246,643.1221667150602
Child,360.2506496678937,36.30109235855675,0.6704917015800019,21.132401251765156
Parent,1696.17392310448,733.8697954128401,1100.347454849012,3023.2856190382613

pvals
,existence,executive,property,nonarch
Independent,0,0,0,0
Child,0,0,0.4128802300179295,0
Parent,0,0,0,0

expected
,existence,executive,property,nonarch
Independent,3877.7450229966094,10972.863195353677,3003.5712894887033,341658.82049216103
Child,540.7505958975391,1530.1630912814314,418.8472823715043,47644.23903044953
Parent,79.50438110585155,224.97371336489073,61.58142813979253,7004.940477389465

value/expected
,existence,executive,property,nonarch
Independent,0.8002073322505592,0.9836994964605579,0.9089179969038547,1.0035918273852003,
Child,1.7623651406582517,0.8574249421355921,,0.9955873147577158,
Parent,5.559442056551883,2.7647674508139626,5.180133193336408,0.8548252507395396,
