values
,existence,executive,property,nonarch
task,285,3037,147,27955
improvement,1477,3743,1654,84859
bug,309,2018,363,199579
sub-task,952,1308,434,47337

stats
,existence,executive,property,nonarch
task,4.311707052301276,6363.34294825282,24.72250905176362,4008.401522477914
improvement,983.5083228190815,893.049956562714,2178.7536839276845,3302.2873630436957
bug,2334.983311326428,4802.729712125527,1674.4214296729822,8928.472756767776
sub-task,869.2226213702654,1.2821483920432057,25.58025031788071,205.3564045576996

pvals
,existence,executive,property,nonarch
task,0.037850961482389506,0,0,0
improvement,0,0,0,0
bug,0,0,0,0
sub-task,0,0.25749996001526615,0,0

expected
,existence,executive,property,nonarch
task,253.0110025915085,845.8250718457773,217.44048452952003,30107.723441033195
improvement,738.5901954151874,2469.1341431908313,634.7526720769622,87890.52298931702
bug,1628.573144194941,5444.379819792945,1399.613969109645,193796.43306690248
sub-task,402.82565779836307,1346.6609651704457,346.1928742838727,47935.320502747316

value/expected
,existence,executive,property,nonarch
task,1.1264332265428725,3.5905769420769174,0.6760470586609784,0.9284992953635514,
improvement,1.999755763302174,1.5159160187072573,2.6057393261346626,0.9655079650659777,
bug,0.18973664222662176,0.3706574608670022,0.2593572285013131,1.0298383558540587,
sub-task,2.3633052700841852,,1.2536364328635108,0.9875181703914335,
