values
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
improvement,232,953,0,124,11,2,0,24917
task,52,1568,0,35,3,0,0,12495
sub-task,44,428,0,8,1,0,0,6722
bug,48,517,0,46,1,6,0,84655

stats
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
improvement,416.1262688266957,134.28596451434913,null,196.77613960507398,21.250895959085614,0.0,null,424.87241870936873
task,3.6732169617266712,4469.631900379628,null,6.892972798638235,0.41582342906170733,null,null,3974.9638946012665
sub-task,27.796901645975417,331.70016440289396,null,0.8515326547506932,0.0,null,null,331.8501817460418
bug,431.2996582269245,3754.5050747973783,null,166.41977745348365,20.90549724765579,0.07272053871281119,null,4397.782401836539

pvals
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
improvement,0,0,2,0,0,1.0,2,0
task,0.05529336525475813,0,2,0.008653523870252307,0.5190284634700204,2,2,0
sub-task,0,0,2,0.35611911848927136,1.0,2,2,0
bug,0,0,2,0,0,0.7874160969125704,2,0

expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
improvement,74.25312340066833,684.4716109221182,null,42.06360447963392,3.159707378751844,1.579853689375922,null,25433.472100129453
task,40.051238823493996,369.1957280910377,null,22.688600716500588,1.7043080350422977,null,null,13718.507970316405
sub-task,20.38359875967125,187.89774814101213,null,11.547091850558449,0.8673871812626065,null,null,6981.870480476864
bug,241.3120390161664,2224.434912845832,null,136.70070295330703,10.268597404943252,5.134298702471626,null,82655.14944907727

value/expected
,existence,executive,existence-executive,property,existence-property,executive-property,existence-executive-property,
improvement,3.1244476915554484,1.3923148671076673,,2.9479166498923672,3.48133503563398,,,0.9796932130188066,
task,,4.24706972669347,,1.5426248818661514,,,,0.9108133353157802,
sub-task,2.1585982200088027,2.27783464269512,,,,,,0.9627792464492818,
bug,0.19891257889866115,0.2324185783159534,,0.3365015614858415,0.09738428341913619,,,1.0241951114268422,
