values
,existence,executive,property,nonarch
won't fix,5530,5309,1530,67276
duplicate,3745,6141,1210,54594
fixed,30758,73099,9393,495590
obsolete,444,728,86,11101
not a bug,115,292,48,6651
done,9110,24372,2194,142995

stats
,existence,executive,property,nonarch
won't fix,521.9647522163403,2025.362199748407,93.86602549941907,440.42557082939146
duplicate,33.022731612587734,333.02513342916774,49.13418747683057,91.25349046673354
fixed,95.29649257358227,352.13080479312015,6.594990656898479,114.69386309106812
obsolete,66.6381320261304,391.4474375189461,56.11111229952436,549.8141175110045
not a bug,186.91632929297612,386.87006100948525,33.458846004690436,675.44992655786
done,6.408403644451993,945.9775615999865,123.92480958959851,417.9144811804393

pvals
,existence,executive,property,nonarch
won't fix,0,0,0,0
duplicate,0,0,0,0
fixed,0,0,0.010226609284926656,0
obsolete,0,0,0,0
not a bug,0,0,0,0
done,0.01135814852850906,0,0,0

expected
,existence,executive,property,nonarch
won't fix,4156.746892559258,9194.738845818225,1209.4224943322088,65084.09176729031
duplicate,3428.422416626501,7583.682525981533,997.5135118674467,53680.38154552452
fixed,31775.92790590469,70288.4650497579,9245.336071934484,497530.27097240294
obsolete,645.0277461879575,1426.80365867873,187.67345856553163,10099.49513656778
not a bug,370.86877291137034,820.363038965212,107.90578497990677,5806.862403143511
done,9325.006265810223,20626.946880798394,2713.1486783204227,146005.89817507096

value/expected
,existence,executive,property,nonarch
won't fix,1.330367266262692,0.5773954093774548,1.265066597628317,1.0336780951103521,
duplicate,1.092339141710841,0.8097649102478995,1.2130161502622225,1.0170195968838387,
fixed,0.9679654388404018,1.0399857209607934,1.0159717209754842,0.9961001951326283,
obsolete,0.6883424823567525,0.5102313801705228,0.45824274064822335,1.0991638542213875,
not a bug,0.3100827257502279,0.35593997551172274,0.44483249910037836,1.1453689683433037,
done,0.976943043287967,1.1815611947247449,0.808654541319939,0.9793782428470068,
