values
,existence,executive,property,nonarch
closed,4195,12546,1067,113093
open,591,880,126,9817
resolved,560,1192,104,10698
in progress,26,40,8,304

stats
,existence,executive,property,nonarch
closed,162.73300006248292,19.749400036925337,6.306127667969263,13.421828063711375
open,108.24035207912156,42.99994931735796,9.909443132911779,0.6217583687761543
resolved,40.597462587552734,0.03877910039004816,0.010996510083106642,12.403404979881268
in progress,12.246105496398485,0.45029599548676885,5.944635454454027,10.392331994784318

pvals
,existence,executive,property,nonarch
closed,0,0,0.01203213556556114,0
open,0,0,0.0016443286496043879,0.4303946147668093
resolved,0,0.8438869353983223,0.9164835300821751,0
in progress,0,0.5021944243412069,0.014762144021558078,0.0012653970741154422

expected
,existence,executive,property,nonarch
closed,4529.557234600346,12359.316817716284,1100.3485091499354,112911.77743853343
open,394.957764079177,1077.6788730217008,95.94562213762585,9845.417740761497
resolved,434.40509639477733,1185.3145761270748,105.5284160080388,10828.751911470108
in progress,13.079904925699047,35.68973313493981,3.177452704400085,326.0529092349611

value/expected
,existence,executive,property,nonarch
closed,0.9261390866098935,1.0151046522260938,0.9696927756318783,1.0016049925488528,
open,1.4963625322770524,0.8165697797643285,1.313243868691202,,
resolved,1.2891193143164346,,,0.9879254864698108,
in progress,1.9877820326442814,,2.5177400717630603,0.932364016359476,
