,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (1.070661942409073e-142),Less (2.719954855141706e-52),Greater (0.9999984960169066),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.9193772961306094e-11),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.3477129573895818e-09),Less (9.037536764225179e-15),Less (9.082844109868086e-16),Less (1.2717055271909165e-07),Greater (0.9999999938355677),Greater (0.9929760379144703),Greater (0.9999998433975307),Less (1.3643632861357808e-15),Less (1.2598613869794005e-08),Less (3.158540714545331e-45),Equal (0.4808950160138805),Greater (0.9999999999823711),Equal (0.7928603026684475),Greater (0.9999999999801833),Less (7.891590931524293e-67),Less (5.405688893387025e-32),Less (5.542487526795589e-112),Equal (0.6723237291024031),Greater (0.9999999935152883),Equal (0.6406667537132985),Greater (0.9999292233359539),Equal (0.2712324783775045),Less (1.4373079387813062e-07),Equal (0.08107335160477894),Equal (0.24422475311144087),Greater (0.9999999517735031),Less (2.2326397923854787e-08),Greater (0.9999999883335872),Less (1.3907706698055096e-10),Less (3.739199194803594e-06),Less (8.386807162314105e-12),Equal (0.15447477575355742),Equal (0.05603576024794027),Equal (0.12214680958502819),Equal (0.43179238634106865),Greater (1.0),Less (7.29454512773613e-11),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.35255452113437724),Greater (0.999953074872377),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999990725852),Greater (0.9753574544868775),Greater (0.9999999999999751),Greater (1.0),Greater (0.9999999999998591),Greater (1.0),Greater (0.9999999999778),Equal (0.2429498205303542),Less (0.0007982331566000453),Greater (1.0),Greater (1.0),Greater (0.9999999999653115),Greater (1.0),Greater (1.0),Greater (0.9996450347283443),Greater (0.9999999999986015),Greater (1.0),Greater (1.0),Equal (0.960903068143829),Greater (1.0),Greater (0.9999429718640759),Equal (0.2051127114567145),Equal (0.2879554110416084),Greater (0.9999999776330323),Greater (0.9999992283018779),Equal (0.786776444986269),Greater (0.9758125018207868),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999997994271),Less (0.0006578911202553717),Less (0.017093340839024775),Greater (0.9999997930792623),Greater (1.0),Greater (0.999999764399866),Greater (0.9999999999999839),Greater (0.9990019052678),Equal (0.9825222846476505),Less (1.9314337536349635e-08),Greater (0.998593056775613),Greater (1.0),Greater (0.999742288488003),Greater (1.0),Less (1.702907147548308e-05),Less (4.478642423084147e-10),Less (3.4489190708358845e-32),Greater (0.9999561077366378),Greater (1.0),Greater (0.9991848949806543),Greater (0.9999999999984378),Greater (0.9999999999226163),Equal (0.3043075746176681),Greater (0.9886397699881045),Greater (0.9999998311298505),Greater (0.9999999999999416),Less (0.004597250364594392),Greater (0.9999999999999668),Equal (0.1951613439755392),Less (0.003281477619456943),Less (8.414776439262918e-05),Equal (0.07382583970476768),Greater (0.998577298571812),Equal (0.5224109683086275),Equal (0.6643965543546551),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (1.0),Greater (0.9999999999999917),Greater (1.0),Greater (1.0),Greater (0.999999999999992),Greater (1.0),Less (6.381221424470723e-28),Greater (1.0),Greater (1.0),Greater (1.0),Less (6.3222247636311026e-21),Less (4.9638222429755394e-24),Less (1.569640280198156e-24),Less (3.9705730263658817e-20),Greater (0.9999994649252986),Equal (0.12842139182974402),Greater (0.9999972036826669),Less (1.7579923609473415e-26),Less (2.0462815569693704e-16),Less (2.34764958141599e-61),Less (0.011910440535064258),Greater (0.9999999837732574),Equal (0.21230874665960375),Greater (0.9999999958663301),Less (4.318550954513814e-72),Less (2.51811083654323e-47),Less (2.3430508919128346e-124),Less (0.012730365547502034),Greater (0.9999945097645613),Equal (0.5583650277545257),Greater (0.9958733598500575),Less (3.0081672529054262e-05),Less (2.7699157567126637e-14),Less (0.000573493100184295),Equal (0.5059605845796494),Greater (0.9999999099057414),Less (5.529051161794876e-14),Greater (0.999999965400251),Less (9.406550258562718e-19),Less (3.758281005225626e-09),Less (3.749830014479593e-18),Less (0.0012271840489622432),Equal (0.07978404783690204),Less (0.017197474830123446),Equal (0.1754112533888541),Greater (1.0),Less (5.3886442153847285e-17),Equal (0.45748284798633565),Greater (0.9997589408364013),Greater (1.0),Greater (1.0),Greater (1.0),
existence-soa and middlewares,,,,,,Less (4.9106454051242975e-22),Less (1.1011417304872747e-05),Less (4.607078212379793e-35),Less (2.26045693569726e-47),Less (1.3652075080368532e-31),Less (3.780962017507691e-277),Greater (1.0),Greater (0.9999999999914808),Greater (1.0),Less (3.267258972557457e-182),Less (1.5431252880663146e-68),Less (2.0170073180206876e-93),Less (6.989498522840693e-159),Less (1.596002039544389e-06),Less (5.3566406910130346e-08),Less (0.0005058698321634664),Less (1.4154777408846804e-161),Less (1.2243013123675925e-75),Less (9.087638828898997e-175),Less (1.2057291244152769e-26),Less (0.00036371234310591014),Less (3.33286623077673e-17),Less (0.002016431051822104),Less (7.18552321751021e-245),Less (1.508549450919466e-114),Less (2.8860390151525086e-273),Less (4.3964973090722896e-33),Less (4.3804253692640504e-08),Less (9.106530097607412e-13),Less (5.760254178055565e-10),Less (3.9077259047337442e-81),Less (8.575962299194165e-50),Less (1.554011798882807e-34),Less (1.5786288949680119e-22),Less (0.012637613383788476),Less (6.636793574235977e-33),Equal (0.21710640541419957),Less (9.104924230727783e-71),Less (3.085048134992141e-17),Less (8.074000842131043e-41),Less (7.938393308829627e-23),Equal (0.09359966503582356),Less (7.691242452624059e-05),Less (1.7551225396743616e-05),Less (8.901012143570238e-56),Less (5.018473291913498e-225),Less (3.5784008859199156e-120),Less (3.917108263052029e-120),Greater (0.9999999999975233),Equal (0.4354173622747748),Greater (0.9999989638283161),
existence-software development tools,,,,,,,Greater (0.9999999968711626),Greater (0.9911629449119173),Equal (0.05803229120617862),Equal (0.1808496787366317),Less (2.968828501513323e-66),Greater (1.0),Greater (1.0),Greater (1.0),Less (6.926557032395532e-52),Less (9.25391672790631e-35),Less (8.628301355008416e-41),Less (8.755023987644454e-50),Equal (0.5566754569064817),Equal (0.1764389762759616),Equal (0.31165895023143164),Less (4.766112540336173e-51),Less (2.1268518975526403e-30),Less (5.7818737464332715e-80),Less (1.9508977312016655e-08),Equal (0.11119489236035981),Less (3.4511171899363534e-05),Equal (0.058830884338558175),Less (3.051146921843312e-94),Less (2.4778626109451285e-60),Less (2.3260191629362245e-135),Less (1.0669795584737129e-09),Equal (0.8822728108909473),Less (0.000809935716543989),Equal (0.2770419072767145),Less (3.649474144011134e-21),Less (4.580046698342372e-23),Less (8.868301039440513e-12),Less (1.1467003526585124e-05),Equal (0.08753005271002438),Less (2.0081498188400302e-18),Greater (0.9884103049296336),Less (1.103866642098907e-31),Less (5.064804361268272e-11),Less (8.339118295605464e-24),Less (8.960357596275087e-09),Equal (0.8330794057697591),Less (0.0036761466624182426),Less (0.007300988033377689),Equal (0.44431063447305086),Less (4.42845371821628e-49),Less (5.028318969231278e-16),Less (3.891486076063191e-12),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Less (1.801176512637929e-10),Less (3.1336632521313475e-22),Less (6.948811970208971e-11),Less (9.29646617795437e-189),Greater (1.0),Greater (1.0),Greater (1.0),Less (6.612109117740488e-129),Less (3.7489471549182255e-56),Less (8.257107042394178e-73),Less (5.987534062691511e-115),Less (0.003834335289969672),Less (5.51334020600894e-05),Equal (0.09701123806161327),Less (6.962927048956146e-117),Less (1.5055905263170659e-58),Less (1.7181125576813662e-139),Less (4.341117629790611e-19),Equal (0.18508894626227357),Less (8.684279024231331e-12),Equal (0.30515519115841916),Less (8.699540202097471e-189),Less (2.565581861444551e-96),Less (1.2449539254000352e-225),Less (2.407582775990751e-23),Less (0.0006674137667290116),Less (7.435744172381314e-09),Less (1.991073091416497e-05),Less (5.050859895568528e-55),Less (2.260498778383556e-39),Less (1.1836815384080043e-24),Less (8.557807870270881e-15),Equal (0.4341283413345839),Less (1.5838320701956581e-27),Equal (0.8763385504510763),Less (6.13025249953285e-56),Less (4.665418990061262e-15),Less (1.0247754255453331e-34),Less (4.570347666394939e-17),Equal (0.3222445377295957),Less (0.0003421513662139588),Less (0.0001631787715310446),Less (9.599169221224991e-23),Less (7.488303578693733e-151),Less (7.427261501479186e-69),Less (3.46316989314133e-67),Greater (1.0),Greater (0.9999997163114597),Greater (1.0),
executive-full,,,,,,,,,Less (4.6198288194462954e-14),Equal (0.09280410259378191),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.372169244833073e-190),Less (7.971658438578023e-52),Less (1.1079272639118816e-72),Less (4.573435916713623e-123),Equal (0.7659437275121247),Less (0.01188893186116822),Equal (0.724869968112807),Less (6.506723108865208e-180),Less (3.5219207178964505e-53),Less (6.3798781704436e-179),Less (2.7586734604698933e-13),Equal (0.4710045743505882),Less (3.5667921031440986e-08),Equal (0.25532499811196374),Less (0.0),Less (9.200918911395191e-98),Less (0.0),Less (3.1304446670559413e-16),Equal (0.32117504692469445),Less (9.164691327591196e-06),Less (0.011403406862879294),Less (3.9422348391838264e-52),Less (4.265052050196208e-35),Less (6.230812609107395e-19),Less (1.980223529710289e-09),Equal (0.18202776850236702),Less (2.205504589216619e-25),Equal (0.053711535237734025),Less (2.2329922322098457e-50),Less (5.797601064832365e-14),Less (5.86780944206256e-32),Less (3.085194204762635e-12),Equal (0.9155808356564641),Less (0.001036908275475852),Less (0.0017430085361728818),Less (1.2734148864967803e-58),Less (0.0),Less (0.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-content management,,,,,,,,,,Greater (0.9999998697392699),Less (6.447949153146721e-114),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.40664511732226e-68),Less (1.0789723420523119e-35),Less (1.1037961908298832e-43),Less (8.386075767088452e-57),Equal (0.10281974410234193),Equal (0.44321461872095913),Equal (0.06357679348123142),Less (1.2743845313892354e-68),Less (1.309796775143341e-31),Less (1.5783918297181375e-99),Less (1.8953996143106272e-07),Greater (0.9965817095606105),Less (0.00023312153387097277),Greater (0.998136782440149),Less (1.744752506747124e-142),Less (4.77924713655631e-67),Less (4.52563387041537e-187),Less (1.3947698597361181e-08),Equal (0.23917874536813077),Less (0.0033926952508446504),Equal (0.8510372602938104),Less (1.7930408453186985e-21),Less (1.3995457092074103e-22),Less (1.3480004128625775e-10),Less (0.00020833063349388363),Greater (0.9940984414621797),Less (2.8485547494481407e-18),Greater (0.9988852192360499),Less (4.1017901492099127e-32),Less (7.147387605489062e-11),Less (1.0905241012605827e-23),Less (9.96918156100076e-08),Equal (0.5934026209830187),Less (0.004926151289252402),Less (0.011106786825790665),Greater (0.9924494591216826),Less (2.4471778576905932e-91),Less (4.2770102432456915e-21),Less (9.236725334847974e-14),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.3696257872351803e-130),Less (2.9773290432070176e-41),Less (3.930666174595143e-56),Less (7.111987118746062e-97),Equal (0.9107027757423707),Equal (0.05296701105353385),Equal (0.6333672394261876),Less (1.5135371642034546e-116),Less (2.0601122344883017e-41),Less (9.306568923225199e-130),Less (4.667136682352977e-11),Equal (0.24316952815972182),Less (3.0366479746443477e-06),Equal (0.15925381689141094),Less (4.1557830438134536e-228),Less (3.385732112333948e-76),Less (2.762901688796626e-245),Less (1.8855191663533163e-13),Equal (0.6081851861569654),Less (0.00011610319631272712),Equal (0.094993935357274),Less (1.590432203405261e-37),Less (3.6590893294957116e-27),Less (8.761446585543917e-15),Less (8.738701896315126e-08),Equal (0.25856230814600234),Less (1.9150655766936424e-19),Equal (0.07874149734874934),Less (1.7465730128160459e-40),Less (2.6834913272365116e-11),Less (9.895267041823918e-26),Less (7.478890517725615e-11),Equal (0.9154998329769602),Less (0.0031237979840886046),Less (0.003927798509823651),Less (1.7065411452910237e-08),Less (0.0),Less (4.9326568367996763e-107),Less (3.8033297988500097e-87),Greater (1.0),Greater (1.0),Greater (1.0),
