,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (1.643559061245128e-34),Equal (0.2471826064778494),Greater (0.9999999999900497),Greater (0.9999999816058244),Equal (0.8701981500903921),Greater (1.0),Greater (1.0),Greater (0.9997240357810571),Greater (1.0),Less (1.7910442581603085e-49),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.1983938312575137e-05),Less (3.751564999562699e-07),Less (0.0018086563537980556),Less (0.0013682490319054633),Greater (0.9876161937260644),Equal (0.6947241613076144),Greater (0.9996131661438504),Less (0.00011028108696703894),Less (1.0477580102850641e-07),Less (0.0014209986757343358),Equal (0.17387877508188887),Greater (0.9834502153572123),Equal (0.8019956238486834),Equal (0.1753717596215154),Less (2.4869995831836236e-13),Less (6.564365647272727e-19),Less (1.3067457101092683e-12),Equal (0.07476095329369392),Greater (0.9999044506682098),Equal (0.3623335803858616),Equal (0.6795458849226055),Equal (0.09276355349278614),Less (0.00011250029563153585),Greater (0.9994702066802956),Greater (0.9972991153498888),Greater (0.9975199019644133),Less (0.017028511966522084),Greater (0.9972377645137057),Less (0.0018644420974685027),Less (0.00040749933927700647),Equal (0.08126030226659087),Equal (0.8150904218630461),Equal (0.3408147858214946),Equal (0.146616475921794),Equal (0.9028006375980471),Greater (1.0),Equal (0.14841058667141324),Greater (1.0),Equal (0.0671510291874973),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999823858),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.4683312573290833),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999959898470826),Equal (0.6215536067342224),Equal (0.11506830702251909),Greater (0.9976496580134805),Greater (0.9999994049091291),Greater (0.9839934810621218),Greater (0.9999999964251055),Greater (0.9999994790310907),Equal (0.35292828965826784),Equal (0.05183992885894802),Greater (0.9999998853544292),Greater (0.9999962103503327),Greater (0.9921116641821861),Greater (0.9996359040896383),Greater (0.9781412416470071),Less (0.0004679544713015337),Equal (0.29507318663127313),Greater (0.9999999998422778),Greater (0.9999999999671457),Equal (0.1047996275748002),Greater (0.9970026203291457),Greater (1.0),Equal (0.3748559501035674),Greater (0.999999999999941),Greater (0.9999999990586512),Greater (0.9999997403223433),Equal (0.9791043700721975),Greater (0.9999999613105671),Equal (0.5728483501654156),Equal (0.10548200881615541),Equal (0.8888767746498342),Equal (0.1222358172417486),Equal (0.050500095860826134),Equal (0.48181239077571114),Equal (0.22136453798877898),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (0.9999160125836679),Greater (0.9999861150330575),Equal (0.6383801307959054),Greater (0.9999999999337872),Greater (0.9998739766528955),Equal (0.2799524450101065),Greater (0.9999999999072964),Less (1.9385530808743867e-24),Greater (1.0),Greater (0.9999999999980449),Greater (1.0),Less (2.0346327118713883e-05),Less (1.199469230559975e-06),Less (0.0017019457661770583),Less (0.0010415611217492098),Equal (0.10525745328324751),Equal (0.5334626538576468),Greater (0.9963313036825905),Less (0.00010743990876668622),Less (2.75065044104965e-07),Less (0.0012460118292957326),Equal (0.42382566277315303),Equal (0.10964795802582175),Equal (0.6442233346204475),Equal (0.30571724936030564),Less (1.5380028201344954e-10),Less (1.131925685270414e-15),Less (8.559311263405291e-11),Equal (0.26248017946870505),Greater (0.9984428154389533),Equal (0.259075416591955),Equal (0.999926969393893),Equal (0.554252081213252),Less (9.865753983573926e-05),Greater (0.9919110624321459),Greater (0.9817226288576522),Greater (0.9878829273171802),Less (0.01954836597994364),Greater (0.986746246249066),Less (0.0018597620486192135),Less (0.0007898178990235909),Equal (0.08017395376346452),Equal (0.7080213721371829),Equal (0.48560680632667574),Equal (0.15933076207451158),Equal (0.9662845745366064),Greater (0.9992083749899735),Less (0.008064103223263805),Greater (0.999984139111194),Equal (0.6880270438988028),Greater (1.0),Greater (0.9999999990437718),Greater (1.0),
existence-devops and cloud,,,,,Greater (0.9953448692829983),Less (0.0001843538566759449),Greater (0.9999997093750433),Equal (0.08195064040839682),Less (0.0005267060759267304),Greater (0.9931228945454712),Less (5.382564411580575e-66),Greater (1.0),Greater (0.9999606362010026),Greater (1.0),Less (1.8912774479906577e-17),Less (4.3059335920461396e-14),Less (2.6481795612799782e-08),Less (3.482459146387232e-10),Equal (0.379828948303657),Equal (0.06557511204609233),Greater (0.9838800438724018),Less (1.8554940577024526e-15),Less (3.1299361770569345e-17),Less (8.478946650096585e-09),Equal (0.4105431054632964),Equal (0.35939865640520996),Equal (0.07032105286029952),Equal (0.8039802748255598),Less (6.017889820680326e-28),Less (3.3756367459832733e-31),Less (9.96910891799538e-23),Equal (0.3899183803879669),Greater (0.9882448799435867),Less (0.008725014591076198),Equal (0.4199803522793091),Less (0.0059534014369705245),Less (2.119999447652809e-10),Equal (0.3990508780961525),Equal (0.3150149871814819),Equal (0.09926779306163622),Less (0.0002869882232024779),Equal (0.1711782283199179),Less (4.746748504204446e-07),Less (3.7478814898171825e-06),Less (0.0019940762745069246),Equal (0.19640638256131082),Equal (0.6374582345215591),Equal (0.053771874726455816),Equal (0.6362879062213557),Less (0.005823500843459372),Less (5.1004517689236156e-20),Equal (0.3985583799040531),Less (2.267288330162179e-11),Greater (1.0),Equal (0.3080123055563053),Greater (1.0),
existence-soa and middlewares,,,,,,Less (1.2796163429362742e-06),Equal (0.15697393359179218),Less (0.000254720924807752),Less (3.1630419618653315e-06),Equal (0.14956325149872854),Less (4.7855909878124455e-25),Greater (0.9999998767166618),Equal (0.6643269485382584),Greater (0.9999766475478901),Less (7.045863701670825e-14),Less (3.24566065402788e-16),Less (4.037041054410354e-10),Less (3.4679979175406516e-11),Equal (0.7071945390133715),Less (0.0010561873705877524),Equal (0.4026100928966422),Less (8.839186275188443e-13),Less (4.0295652030346424e-17),Less (9.788806634129959e-10),Less (0.008557452652088291),Equal (0.6887758642028268),Less (0.0010323041700019315),Equal (0.3874667974459344),Less (4.4114191832132966e-17),Less (9.360452995846075e-26),Less (1.8171514093771444e-17),Less (0.004919089806520193),Equal (0.425534231811583),Less (0.00024124812497464416),Less (0.017497357637452172),Less (4.046537496426635e-05),Less (6.223834924653533e-13),Equal (0.3270908719476152),Equal (0.5417474754261109),Equal (0.5415434691868075),Less (7.065201778648442e-06),Equal (0.965254538756874),Less (2.519570317403434e-09),Less (5.716456563644625e-08),Less (5.94534350863608e-05),Less (0.016224440106186403),Equal (0.9191330080857971),Less (0.007352273701431058),Equal (0.26552021041452334),Less (7.103636980895862e-05),Less (1.3263929640268491e-11),Less (0.0021452292187094583),Less (3.2110912368479794e-08),Greater (0.9832513921498242),Less (0.008123717850867667),Greater (0.9997769297767376),
existence-software development tools,,,,,,,Greater (0.9999999999916643),Greater (0.9986374364978065),Equal (0.10029903777503914),Greater (0.9999995614481564),Less (3.254248256921995e-11),Greater (1.0),Greater (0.9999999999205947),Greater (1.0),Less (0.001614708740114687),Less (1.9426616278932952e-06),Less (0.003288983820845559),Less (0.005342690163748189),Greater (0.9872607488733343),Equal (0.6653073422384919),Greater (0.999583038490697),Less (0.0054550406481330945),Less (6.407173139935341e-06),Less (0.005574054366455826),Equal (0.21564964352390903),Greater (0.9794688096457064),Equal (0.7326670939165343),Equal (0.19990051036476653),Less (4.2521544337875745e-06),Less (1.4714211645449583e-13),Less (4.201867682396253e-08),Equal (0.11911501710492432),Greater (0.9998663849160178),Equal (0.3547314771034721),Equal (0.7736600520148404),Equal (0.26789556592923414),Less (0.0002887283171978405),Greater (0.997902474054077),Greater (0.9958293819136146),Greater (0.9980326394605205),Less (0.014626111637456857),Greater (0.996539419004041),Less (0.0025271445846365794),Less (0.0003228124426529247),Equal (0.06496273568198617),Equal (0.8343322078639615),Equal (0.3675753852474333),Equal (0.11233791023502823),Equal (0.9616199013119529),Greater (0.9961749103686727),Equal (0.4986503026432315),Greater (0.9990638853586657),Equal (0.6839870145680995),Greater (1.0),Greater (0.9999987607567379),Greater (1.0),
existence-web development,,,,,,,,Less (3.3698201580431273e-10),Less (3.2963467305903195e-13),Less (0.0003527160707019651),Less (7.2063421190309e-45),Greater (0.9999378972537866),Less (0.007140158966861621),Greater (0.992585856252216),Less (3.5931252642294796e-24),Less (5.146236114382889e-22),Less (9.210289181788524e-15),Less (1.6534860546855923e-18),Equal (0.20852208678204776),Less (4.355226895790965e-05),Equal (0.970328283950453),Less (5.872081046618995e-22),Less (1.1839431269800782e-25),Less (1.1493951771071098e-14),Less (8.226084784234409e-05),Equal (0.3368263500878783),Less (4.199745936842933e-05),Equal (0.13775438361823492),Less (1.8483027338788547e-29),Less (4.486838489211567e-37),Less (3.867916319243848e-27),Less (1.7747198949588217e-05),Equal (0.8494627437640814),Less (7.364452464856675e-06),Less (0.004121047317480306),Less (5.83351465403371e-10),Less (4.168329103409531e-18),Less (0.007534855832335488),Equal (0.09504664681457442),Equal (0.7683080982062667),Less (3.146984766291616e-07),Equal (0.4510962371866245),Less (9.829532472624821e-13),Less (2.025876422125123e-09),Less (5.876019740793621e-06),Less (0.0024391547789833624),Equal (0.7508764865305173),Less (0.005015993655817596),Equal (0.16938426239776982),Less (2.7916922916139318e-11),Less (1.8818076252148702e-23),Less (7.467891514109204e-08),Less (1.1452481632082661e-17),Equal (0.6988371892171851),Less (3.886646562675294e-07),Equal (0.06440108269735101),
executive-full,,,,,,,,,Less (0.008261981835604277),Greater (0.9999999912690447),Less (2.446867450393912e-140),Greater (1.0),Greater (0.9999999999362037),Greater (1.0),Less (6.926448934312921e-19),Less (2.8086439356557537e-13),Less (1.4757566631671325e-07),Less (2.2494807017778624e-09),Equal (0.2000199963586048),Equal (0.13080909090666398),Greater (0.9935512833755487),Less (9.294644915457515e-17),Less (1.0184028915542384e-16),Less (1.735876252386007e-08),Equal (0.8092030914713334),Equal (0.22934591326721532),Equal (0.1541720016295512),Equal (0.6170095834012707),Less (2.941886963992492e-35),Less (2.139077840108413e-32),Less (1.9535064123254382e-24),Equal (0.8214317168925058),Greater (0.9964723497181451),Less (0.020973330686614982),Equal (0.5804101512424209),Equal (0.07152061661310778),Less (1.4834328217316667e-09),Equal (0.14758937400454203),Equal (0.13552080949759812),Greater (0.9771694738683916),Less (0.0005447581707340185),Equal (0.07434654798546012),Less (2.0633264947263456e-06),Less (8.927635247184016e-06),Less (0.003800882702041066),Equal (0.28688874248944296),Equal (0.5655097958104516),Equal (0.0671407499135116),Equal (0.7630911090236663),Equal (0.08553502505770769),Less (1.220725698536092e-62),Equal (0.11091825954348483),Less (1.456514866184801e-27),Greater (1.0),Greater (0.9999999622736794),Greater (1.0),
executive-content management,,,,,,,,,,Greater (0.999999999904545),Less (1.8816135476228095e-56),Greater (1.0),Greater (0.9999999999999564),Greater (1.0),Less (2.5451632512928237e-11),Less (9.299414442028384e-12),Less (7.745004319858337e-06),Less (4.657576865217739e-07),Equal (0.06898206238310556),Equal (0.22570636270657907),Greater (0.9990604795347466),Less (1.4361194606374226e-09),Less (2.3086592367201254e-13),Less (5.034238569562664e-06),Equal (0.6713911513712977),Equal (0.09247193724039679),Equal (0.2672361813981725),Equal (0.35590019445065546),Less (3.1560901946145806e-20),Less (7.9805490174792685e-28),Less (6.725768342896148e-18),Equal (0.5754924789391918),Greater (0.9996642601353586),Equal (0.08836567399662146),Equal (0.8841075492391929),Equal (0.7703797510063304),Less (4.326667252559908e-08),Greater (0.9942687275965458),Greater (0.9839195589634193),Greater (0.9945657336707114),Less (0.0011827209656140993),Greater (0.9898997010170598),Less (1.5870600385416732e-05),Less (1.1940946810207853e-05),Less (0.0065865307736288296),Equal (0.43483929131748),Equal (0.41060700213887646),Equal (0.0622205707807627),Equal (0.8466185738857033),Equal (0.05181903364093213),Less (3.972534131949351e-08),Greater (0.9998030664540859),Less (0.0013432820721176832),Greater (1.0),Greater (0.9999999933449716),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Less (3.7044489474785765e-112),Greater (1.0),Greater (0.9819866374994649),Greater (1.0),Less (1.1233921375328174e-26),Less (9.264542616093766e-17),Less (1.7066113088445375e-10),Less (9.813260114749371e-14),Equal (0.7749467660286775),Less (0.010513594865047146),Equal (0.15435754568897841),Less (1.3148462621385215e-24),Less (2.492162416789906e-22),Less (2.5997820122958007e-12),Equal (0.15084161964954482),Equal (0.8253262464887341),Less (0.01524068985947972),Equal (0.7813890117522773),Less (3.078595309837703e-42),Less (9.952465010453773e-37),Less (1.6082024447991252e-29),Equal (0.0891104552152458),Equal (0.13841002109933717),Less (0.0025354176155527215),Equal (0.12381864335327497),Less (1.2632398371672127e-05),Less (3.9168481548906047e-13),Equal (0.8986109080789173),Equal (0.8181165872629711),Equal (0.2347585053026051),Less (7.702602990492372e-05),Equal (0.37170170406889813),Less (1.2284797216822255e-08),Less (1.3693771615264947e-06),Less (0.0006066585235873321),Equal (0.10743068294242299),Equal (0.9157227656427225),Less (0.019309426682435127),Equal (0.5057159568954056),Less (4.4870992692744803e-13),Less (1.5582099719422334e-53),Less (2.0281422152791406e-06),Less (1.6521846283003068e-32),Greater (1.0),Less (0.02210050551283215),Greater (1.0),
