,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (4.5369177131707164e-07),Equal (0.8294018358555604),Greater (0.9994712928943431),Greater (0.9963451231690456),Equal (0.5911931384121665),Greater (0.9937698974900486),Greater (1.0),Greater (0.9999999999999769),Greater (1.0),Less (0.004658375544169443),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (0.0090299215492716),Less (1.3922623185089458e-05),Less (0.017940430835567296),Equal (0.3731188864252666),Greater (0.9830196562844205),Equal (0.4628351725019383),Equal (0.8795030248889223),Less (0.0001213292691846764),Less (0.009822609053701165),Less (1.0890232813904235e-06),Equal (0.19315829215477753),Equal (0.27709119293039564),Equal (0.23939664874545108),Equal (0.2838234353939818),Equal (0.838983550479623),Equal (0.5436864601294025),Equal (0.9426536091576224),Equal (0.8743429376019344),Equal (0.057305277798199834),Equal (0.1655943613162727),Equal (0.18917355058201168),,,,,,,,Greater (0.9999999999986536),Greater (0.9977564613864698),Greater (0.9999999999999573),Greater (0.9999314146075233),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (0.9998419957216482),Greater (0.9999999999942996),Greater (0.9999996657727028),Greater (0.9996086622733551),Greater (0.9999966672116377),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999991079689098),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (0.9994952932720613),Equal (0.5339328390351963),Greater (0.983873137705649),Greater (0.999961841469719),Greater (0.9999927939242693),Greater (0.9958152138981596),Greater (0.9894769119887055),Equal (0.6492470378992589),Equal (0.44328608738476316),Less (0.007389263047214116),Greater (0.9983683635281763),Greater (0.978906689495672),Equal (0.05593162322434865),Equal (0.3720196254891136),Greater (0.9813733765801816),Equal (0.7116371189380735),Equal (0.33137048709269545),Equal (0.6023594001088606),Greater (0.9914040407722517),Equal (0.37839944613963605),Greater (0.9901914940726324),,,,,,,,Greater (1.0),Greater (0.9999999999999998),Greater (1.0),Greater (0.9999999999999997),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (0.9968827331021289),Greater (0.9906188361686709),Equal (0.590145824972314),Greater (0.986590653569686),Greater (0.9999999979953375),Greater (0.9999998901810869),Greater (0.9999999958662991),Equal (0.16525858485653344),Greater (0.9999999999999999),Greater (0.9999999999158677),Greater (1.0),,,,,,,,Equal (0.158780762671914),Less (0.000864755246393142),Equal (0.14944206015715955),Equal (0.35340249665376755),Equal (0.055451468687761026),Equal (0.4920523548835414),Equal (0.807061066410788),Less (0.0019163049902572132),Less (0.02332370902575357),Less (3.955937374104527e-05),Equal (0.2161887691935589),Equal (0.287373065324255),Equal (0.30272440357275543),Equal (0.3571528780427856),Equal (0.7776110157696916),Equal (0.6575212997410858),Equal (0.9777856762017865),Equal (0.9034171112893165),Equal (0.07462920688543437),Equal (0.22182707369984622),Equal (0.2360868380624741),,,,,,,,Greater (0.9999844973472668),Equal (0.07489349935258996),Greater (0.9999962918358691),Greater (0.9930664132206274),Greater (1.0),Greater (0.9999999863956357),Greater (1.0),
existence-devops and cloud,,,,,Equal (0.3010970546921514),Equal (0.18366273266816557),Equal (0.26459012217465705),Equal (0.1827798521723082),Equal (0.19905241321716216),Equal (0.05299862169420544),Less (1.975762296065318e-08),Greater (0.9999964288025754),Greater (0.9982009023043195),Greater (0.9999999999998154),,,,,,,,Less (4.898278101652021e-07),Less (1.0917973613044075e-10),Less (1.1683903009622094e-05),Equal (0.18096855620367636),Equal (0.5473746569218523),Equal (0.5924222264663992),Equal (0.19436127266366532),Less (5.1062953665096484e-08),Less (0.00022513296081782294),Less (9.17446456393041e-10),Equal (0.8328568426457348),Equal (0.6452209718544295),Equal (0.43255261073538076),Equal (0.18622713126695856),Equal (0.27103042079942274),Equal (0.20056353485186962),Equal (0.39662142539006584),Equal (0.5442121446963755),Equal (0.09553339289840139),Equal (0.0612377590740779),Equal (0.4675513869619826),,,,,,,,Equal (0.6932559041306592),Less (0.0028318528920822255),Equal (0.8288123245118558),Less (0.022103710876051886),Greater (0.9999999513427993),Equal (0.3870023146414837),Greater (0.999999999649573),
existence-soa and middlewares,,,,,,Less (0.017863342304447888),Equal (0.9628222353496508),Equal (0.6140203211150617),Equal (0.563365361935789),Equal (0.991637304289827),Less (5.6172316442184675e-05),Equal (0.22107634170750368),Equal (0.7002172648482197),Greater (0.9943482727879651),,,,,,,,Less (0.00016792625515683914),Less (6.126851295917935e-07),Less (0.0004182281833259008),Equal (0.0630445981419852),Equal (0.797122718291148),Equal (0.2471649450223642),Equal (0.05914021040904155),Less (7.256429049698141e-06),Less (0.00027443866297025915),Less (1.4071588453745511e-07),Equal (0.6612235301181417),Equal (0.9104983543464494),Equal (0.684184456629028),Equal (0.17762713904068173),Equal (0.11018750163816185),Equal (0.0813302087519773),Equal (0.23908970671581464),Equal (0.3398334020011117),Equal (0.13318698488664876),Equal (0.05437408897987073),Equal (0.7202964461612299),,,,,,,,Equal (0.18135555202768283),Less (0.004882974159401446),Equal (0.3810299747742777),Less (0.0181423290108038),Equal (0.15524272727571273),Equal (0.4251694455948113),Equal (0.08571239971813288),
existence-software development tools,,,,,,,Greater (0.9880185324334093),Greater (0.9892182207252124),Greater (0.993429219744772),Greater (0.9932076566131205),Equal (0.06262910207014569),Greater (0.9999967043382311),Greater (0.9996864212312615),Greater (0.9999999996060649),,,,,,,,Equal (0.0893226640983253),Less (0.0004936497151209114),Equal (0.1019227725807831),Equal (0.944436449178141),Equal (0.14671140924560888),Equal (0.7393927937655501),Equal (0.5313650465246089),Less (0.0015801166513106956),Less (0.0034192051679857406),Less (2.934319609866097e-05),Equal (0.37173587528339047),Equal (0.42226406415460194),Equal (0.17323634018559386),Equal (0.1795858220723463),Equal (0.7988792818714247),Equal (0.24443812326955905),Equal (0.8990812806291153),Equal (0.7288506698882498),Equal (0.05693162599500945),Equal (0.07759946885532978),Equal (0.20245915466596764),,,,,,,,Equal (0.1994799571531055),Equal (0.9056544622615571),Equal (0.1367009165663038),Equal (0.7673994783165444),Greater (0.9999959825213428),Greater (0.9821341437218136),Greater (0.9999996404772834),
existence-web development,,,,,,,,Equal (0.5090545254245369),Equal (0.4799749097789161),Equal (0.8390102960169471),Less (0.0001774644132268898),Equal (0.4805809621036179),Equal (0.9564877520155088),Greater (0.9803156199696798),,,,,,,,Less (0.00039734517306344374),Less (3.190392987488051e-06),Less (0.0009449240378596),Less (0.022687901306263292),Equal (0.6725102884517962),Equal (0.22364559860189515),Less (0.01984699204106282),Less (3.650240100448651e-05),Less (0.0005254289421488989),Less (1.3103010686526495e-06),Equal (0.5279261977298226),Equal (0.9455700383924301),Equal (0.6765716928358315),Equal (0.19688050164584014),Equal (0.08101492909300555),Less (0.02214338094439706),Equal (0.2617168159006328),Equal (0.308011823336512),Equal (0.18882040379439136),Equal (0.05241270151517302),Equal (0.9117037834871232),,,,,,,,Equal (0.15745529060104635),Less (0.005806693802446247),Equal (0.327274123017922),Less (0.01968694365664898),Equal (0.33492634531180365),Equal (0.33494901742936967),Equal (0.22051347745387928),
executive-full,,,,,,,,,Equal (0.9544873380097978),Equal (0.060305603952762014),Less (3.2862238178246444e-62),Greater (0.9999999931464758),Greater (0.9989168778820365),Greater (1.0),,,,,,,,Less (1.412363904600668e-32),Less (1.2283381589624215e-24),Less (1.2878947103413697e-15),Less (0.006685299727430519),Equal (0.9363002950825463),Equal (0.25743422307538555),Equal (0.05028265152226264),Less (3.191940918996643e-14),Less (1.5413888813090476e-05),Less (3.739418295302311e-14),Equal (0.8246344749384553),Equal (0.8394487838859611),Equal (0.49453287322494155),Equal (0.16939305472613453),Equal (0.0950624997516764),Equal (0.0950530219195511),Equal (0.2931556388074964),Equal (0.4621359275741268),Equal (0.11775210493587204),Less (0.017605849932843632),Equal (0.5973411857779897),,,,,,,,Less (2.5042647086973585e-20),Less (3.5440227277992925e-96),Less (6.075382611844127e-08),Less (7.325361191202231e-59),Greater (1.0),Less (0.014649484751704743),Greater (1.0),
executive-content management,,,,,,,,,,Equal (0.11111299471554018),Less (1.048065107629405e-36),Greater (0.9999995066879132),Greater (0.9949602021889015),Greater (1.0),,,,,,,,Less (2.5070212081216464e-23),Less (5.009778304828155e-23),Less (2.911850108985476e-13),Less (0.004154270181212997),Equal (0.9737580703661157),Equal (0.24126210416117722),Less (0.019049854879483234),Less (6.197348529665678e-14),Less (1.245276195656392e-05),Less (2.0725675414273377e-14),Equal (0.7871716872355162),Equal (0.8668267906716758),Equal (0.4935144578127496),Equal (0.14698293515793245),Equal (0.08139099831274842),Equal (0.06517332924136728),Equal (0.2830406454412989),Equal (0.3837777478209313),Equal (0.0852408415664915),Less (0.017018180809251958),Equal (0.570298035963275),,,,,,,,Less (3.9882694867284414e-05),Less (1.6489172825440186e-21),Less (0.017795063484394476),Less (5.928755050781187e-14),Greater (0.9999999999999999),Equal (0.23507336354160868),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Less (2.949868431250194e-41),Greater (0.9999331631992843),Equal (0.1341786443047825),Greater (1.0),,,,,,,,Less (8.594491595536937e-26),Less (3.480642243615577e-21),Less (5.428070399611377e-14),Less (0.004639918054165822),Equal (0.7917090522139659),Equal (0.2150727337683186),Less (0.023826887869106018),Less (1.2803232562752052e-12),Less (4.7767843952375756e-05),Less (1.644949210949463e-12),Equal (0.7009542944476717),Equal (0.9084407782190168),Equal (0.6201817607248687),Equal (0.21615856905206032),Equal (0.08639750134616125),Equal (0.10395770359140634),Equal (0.27661959912979805),Equal (0.41548328287133085),Equal (0.15960062819900422),Equal (0.06495688204139186),Equal (0.7119367648832688),,,,,,,,Less (4.115491413298556e-11),Less (5.580767059400973e-37),Less (4.9494166685177035e-06),Less (2.0898588065825174e-24),Greater (0.9999999999993924),Less (0.0008221334362349605),Greater (1.0),
