,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (1.0414588617540487e-38),Equal (0.37621048683923586),Greater (0.9999999999999262),Greater (0.9999999999999994),Equal (0.36762711136360693),Greater (1.0),Greater (1.0),Greater (0.998763247570838),Greater (1.0),Less (3.178652238145756e-33),Greater (1.0),Greater (1.0),Greater (1.0),Less (8.667889054074324e-05),Less (8.414915716207834e-20),Less (0.00010109264044323797),Greater (0.99998423689302),Greater (0.9999999975008613),Equal (0.16945797391807804),Greater (0.9994191949562639),Greater (1.0),Greater (0.999100016277503),Greater (1.0),Greater (0.9999999998351041),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999906),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9990340621937928),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999976),Equal (0.734547090604782),Greater (0.999964978495858),Greater (1.0),Greater (1.0),Greater (0.9950082275268718),Greater (0.9999999999991511),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (0.9999999995098129),Greater (0.9999999999997504),Equal (0.21635280199877804),Greater (1.0),Greater (0.9999999999999996),Greater (0.9968167586391913),Greater (1.0),Less (2.194243407029313e-12),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.023258135377888196),Less (3.6496645896059896e-12),Less (0.006025434006195972),Greater (0.9999652145096516),Greater (0.9999999554273532),Equal (0.34560601789178313),Greater (0.9988973699706414),Greater (1.0),Greater (0.9920543962455972),Greater (1.0),Greater (0.9999942480399091),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (0.999997757718022),Less (0.0009030555044823274),Greater (0.9999999994341575),Equal (0.8055742873655393),Less (3.8967904941885575e-05),Greater (0.9998804680443182),Less (2.1291484496816855e-56),Greater (1.0),Greater (0.9999992178367157),Greater (1.0),Less (2.3255755901180553e-20),Less (3.4322431888795775e-38),Less (1.2473901742445558e-14),Equal (0.6735011446196465),Greater (0.9998848484886016),Less (0.00010291733280090934),Equal (0.24955411338862377),Equal (0.8518613840344473),Less (3.9991497766638313e-13),Equal (0.08767920198181582),Less (2.765763254706401e-06),Greater (1.0),Greater (0.9999665298536857),Greater (1.0),
existence-soa and middlewares,,,,,,Less (2.3233029732332843e-10),Equal (0.4117079491563601),Less (2.4938332170217136e-07),Less (3.756773774863137e-13),Less (0.005095309462046933),Less (1.7232067467106564e-35),Greater (0.9999999702667326),Equal (0.10885241612856604),Greater (0.9999957537007793),Less (8.908279361603765e-21),Less (2.8292234785828457e-37),Less (1.2961257748488935e-17),Less (0.0003208222057564842),Equal (0.6400404893590244),Less (2.744243341542892e-10),Equal (0.06005551015831238),Less (3.8626487125686285e-07),Less (6.873936198113636e-18),Less (0.00012000832849537113),Less (1.9921646503268043e-12),Greater (0.9920490701535152),Less (0.0006584459846728098),Greater (0.9999824293528434),
existence-software development tools,,,,,,,Greater (0.999999999999878),Greater (0.9995032463327813),Equal (0.5016760272962377),Greater (0.999999909263484),Less (2.828718858427467e-10),Greater (1.0),Greater (0.9999999999606864),Greater (1.0),Less (0.0034662280731025666),Less (1.1104111378769177e-12),Less (0.0009918649402045913),Greater (0.9972854625390076),Greater (0.999999848153447),Equal (0.07728812627255699),Greater (0.995359364757202),Greater (0.9998394750837553),Equal (0.9201014617046018),Greater (0.999973589995558),Equal (0.30160360171154366),Greater (1.0),Greater (0.9999999971239983),Greater (1.0),
existence-web development,,,,,,,,Less (2.3199535161941835e-11),Less (1.986605793236508e-18),Less (0.00014388595764686942),Less (1.6865923731704873e-48),Greater (0.9999984959681876),Less (0.0037343956073485375),Greater (0.9998333322656976),Less (2.86687557587296e-28),Less (2.388856391702056e-46),Less (3.042153371343227e-23),Less (3.453570996361985e-06),Equal (0.8500160581814755),Less (3.983249940367161e-12),Less (0.009902732216345439),Less (5.124499901136665e-11),Less (5.214674936254427e-25),Less (2.699622813785688e-07),Less (1.6591643164612396e-18),Equal (0.14703653568011274),Less (2.3249850828051167e-06),Greater (0.9992872828969768),
executive-full,,,,,,,,,Less (3.8633884393431386e-07),Greater (0.9999999738945574),Less (4.039651581526264e-124),Greater (1.0),Greater (0.9999999987793379),Greater (1.0),Less (5.302068285683752e-36),Less (1.9865581629487178e-49),Less (2.570655682946048e-19),Equal (0.5187242776271169),Greater (0.9999442863880655),Less (8.631572199721339e-05),Equal (0.21710108128747307),Equal (0.26197176847535353),Less (1.0435251173299275e-48),Greater (0.9999649961172006),Less (7.339079620516139e-19),Greater (1.0),Greater (0.9999999999999495),Greater (1.0),
executive-content management,,,,,,,,,,Greater (0.9999999999999999),Less (2.8812586781054686e-38),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.9170231594844745e-09),Less (4.838186402524703e-28),Less (1.4504718992739288e-07),Greater (0.9976625511040955),Greater (0.999999976485735),Less (0.006341674266793684),Greater (0.9960480462336175),Greater (0.9999999985683236),Equal (0.0773316043252565),Greater (0.9999999999995334),Equal (0.675871981513374),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Less (5.778631761924796e-101),Greater (1.0),Equal (0.05756888843553743),Greater (1.0),Less (1.0730608337028767e-42),Less (1.7145949306668008e-55),Less (1.4887780216005353e-25),Equal (0.153205956693463),Greater (0.984877096348243),Less (9.349636154975277e-07),Equal (0.8218994224354035),Less (1.3730329526012586e-08),Less (2.2261429223876556e-46),Less (0.0010843928120781057),Less (2.0040086648394697e-26),Greater (1.0),Equal (0.7521578113334224),Greater (1.0),
executive-devops and cloud,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999973602025),Less (0.01055418182791756),Greater (0.9818405114320605),Greater (1.0),Greater (1.0),Equal (0.12271115687026518),Greater (0.9999999998894277),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (1.521802485631138e-23),Equal (0.05150413514218363),Less (3.1789010128555705e-113),Less (1.6198705299490018e-127),Less (1.1836579722471047e-75),Less (4.113114284032881e-23),Less (0.0004996662415746772),Less (6.226662765154239e-27),Less (3.576856165791105e-09),Less (4.1207917396096175e-77),Less (3.1362720150090463e-135),Less (9.578493249275558e-57),Less (5.65568598546066e-102),Less (9.61873982577799e-09),Less (5.50658979249776e-51),Less (0.000486326708425565),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (3.3703712828433623e-37),Less (6.900148630633377e-58),Less (2.154823754079801e-26),Less (0.0032754603538277223),Equal (0.09792884675858693),Less (2.015717616407009e-09),Equal (0.3145437540988718),Less (1.6905493666548847e-09),Less (1.2994158300558342e-33),Less (2.362669814062454e-05),Less (3.0102469626788566e-21),Greater (0.9999999999960522),Less (0.005081245985881129),Greater (1.0),
executive-web development,,,,,,,,,,,,,,,Less (1.5865458729478243e-142),Less (1.0269599874057677e-147),Less (1.2993904540390577e-82),Less (1.8138933942470782e-21),Less (0.004797380400491734),Less (1.6222844733465214e-25),Less (8.37109710749397e-08),Less (1.665007978814268e-102),Less (3.71128213341158e-195),Less (6.3081097913072315e-68),Less (1.6278795543914167e-139),Less (1.987911952106029e-05),Less (1.3016363603803888e-61),Equal (0.30332903457947014),
property-full,,,,,,,,,,,,,,,,Less (5.072207053553638e-10),Equal (0.21103272722576638),Greater (0.9999999907439034),Greater (0.9999999999941818),Equal (0.7792692157391665),Greater (0.999986921811604),Greater (1.0),Greater (0.9999999999710505),Greater (1.0),Greater (0.9999999999999999),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Greater (0.9998571939529018),Greater (1.0),Greater (1.0),Greater (0.9957090417413902),Greater (0.9999999999992968),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (0.9999999751648094),Greater (0.9999999999208916),Equal (0.7163935504059751),Greater (0.9999854598505692),Greater (1.0),Greater (0.9999998967159212),Greater (1.0),Greater (0.9999999998964078),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Greater (0.998978983567606),Less (0.00017392733208834992),Equal (0.4988603943721982),Equal (0.6464200526080104),Less (3.596395173343438e-05),Equal (0.7800726104200348),Less (0.004150885756821294),Greater (0.999999999999887),Equal (0.14131995187870355),Greater (1.0),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Less (8.449970230218266e-09),Less (0.02211701289161209),Less (7.310006612204442e-05),Less (2.3085294080451416e-10),Less (0.00196896717735901),Less (1.2486477638080154e-07),Equal (0.27354287076417394),Less (0.003548606164426401),Greater (0.9875990030056121),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Greater (0.9999017660864468),Greater (0.9999584715005911),Greater (0.9841381671334452),Greater (0.999963498930676),Greater (0.9948620795566928),Greater (1.0),Greater (0.9999998862917803),Greater (1.0),
property-web development,,,,,,,,,,,,,,,,,,,,,,Equal (0.28346403606209225),Less (0.0008010205280344216),Equal (0.6427785158057475),Less (0.0070480658772081525),Greater (0.9997856574420069),Equal (0.9213278939797604),Greater (0.9999986400156408),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Less (2.433759020373382e-137),Greater (0.9999998544412114),Less (3.3566459443961986e-46),Greater (1.0),Greater (0.9999999999999999),Greater (1.0),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999999181840296),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Less (2.9671719027566855e-45),Greater (1.0),Greater (0.9999778807836814),Greater (1.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (1.3317770358022185e-57),Greater (0.999995736599704),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
