,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (4.414101249708262e-10),Less (5.0773555005799936e-15),Greater (0.9999993319776233),Greater (1.0),Greater (0.9997843566290365),Greater (0.9999999999999939),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (4.779282050151182e-06),Less (0.00020474660458831068),Less (9.055975208552998e-22),Equal (0.17739304744542927),Greater (0.9999999980185589),Greater (0.9854780579083176),Greater (0.9999916491084815),Less (2.93779547224817e-14),Less (0.001953835194924293),Less (3.382983151276438e-22),Equal (0.22694226884748014),Greater (0.9937605345640106),Equal (0.26983995952001716),Equal (0.455017011249196),Equal (0.46405206449723313),Equal (0.7244477828867543),Equal (0.6371684658051762),Equal (0.27883812865345214),Equal (0.272818348922941),Equal (0.3528826758075224),Equal (0.051199128011713356),,,,,,,,Greater (1.0),Greater (0.9999999999999988),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Equal (0.3178665607585629),Greater (1.0),Greater (1.0),Greater (0.9999999999797463),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (0.999978894857537),Greater (0.9868561908500992),Equal (0.9349292310846622),Greater (0.9999999979802656),Greater (1.0),Greater (0.999999882373272),Greater (0.9999999999999929),Equal (0.34072689815565405),Equal (0.29412140162934153),Less (0.00015981096720211175),Greater (0.9995427661551644),Greater (0.9999959251138923),Greater (0.9902861007280085),Greater (0.9852780794525248),Greater (0.9999164565026357),Equal (0.35594366716157577),Equal (0.21190301314111626),Greater (0.9984436221029753),Greater (0.9878745979153188),Equal (0.9743160229127978),Greater (0.9978242360936822),,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (1.0),Greater (0.9999999996273417),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (0.9999787543904499),Equal (0.27606229251694625),Equal (0.11038306274780335),Greater (0.9999996700266273),Greater (1.0),Greater (0.9999957419027847),Greater (0.9999999999980027),Less (0.011520500912576595),Equal (0.1801427895371105),Less (4.624854991274193e-07),Greater (0.9952383153576198),Greater (0.9999098912544123),Equal (0.06517464657788292),Equal (0.0888348918719938),Greater (0.9979015236732234),Equal (0.5997545182083243),Equal (0.4256074518162044),Greater (0.9881316379125515),Equal (0.07339131039005134),Equal (0.7489608855820775),Greater (0.9915087110655776),,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (0.999999662326944),Equal (0.4526573824924375),Greater (0.9995725590365796),Greater (0.9999999999999996),Greater (0.9999999999999869),Greater (0.9999999999973859),Less (0.004545235686970978),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (9.033135372439689e-15),Less (1.9630018835472692e-13),Less (3.4332683259569185e-28),Less (0.011677861177651391),Greater (0.9945323223350757),Equal (0.851105477241066),Equal (0.14148640527196163),Less (5.5560553847246235e-24),Less (2.0413911961338904e-06),Less (5.259326863151949e-33),Equal (0.8498624011024897),Equal (0.20782015403234333),Equal (0.5838363578408373),Equal (0.7087382761732461),Equal (0.16094642939522197),Equal (0.15251647380788122),Equal (0.0769847882789732),Equal (0.9070691345374338),Equal (0.6704031989800407),Equal (0.10614168599965876),Equal (0.08011681564268906),,,,,,,,Greater (0.999996498196051),Less (0.009174689376294938),Equal (0.4523782215873907),Equal (0.3153728519543125),Greater (1.0),Greater (1.0),Greater (1.0),
existence-soa and middlewares,,,,,,Less (0.0032531242760201417),Equal (0.21074067890843218),Equal (0.5988824888545297),Equal (0.3955767756264035),Equal (0.9055783873087598),Less (1.881072754438384e-22),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (2.2039261961762348e-37),Less (7.386239073992627e-28),Less (1.4350060010569492e-51),Less (1.7248834314092627e-10),Equal (0.09639752191577662),Less (0.0011454633656081635),Less (0.010101830510666583),Less (5.482897014626898e-42),Less (2.0871558417232936e-09),Less (1.7257584642591154e-49),Less (0.016890932093157708),Equal (0.4996226868589838),Equal (0.3949411105824735),Equal (0.14204437433648803),Less (2.1524519334432168e-05),Less (0.01186603755641848),Less (0.000530188586082058),Equal (0.07861343959710361),Equal (0.5220056342920627),Less (0.010325010753573633),Equal (0.5528949331900835),,,,,,,,Less (0.005846704159064878),Less (2.622588715170019e-19),Less (1.25720341784699e-08),Less (4.588488985549701e-10),Greater (0.9999999999939295),Greater (0.9995937359082372),Greater (0.9999999957403931),
existence-software development tools,,,,,,,Equal (0.08305991356666077),Greater (0.999835284520249),Greater (0.9998756041725045),Greater (0.9979831117648235),Less (0.01112148055386268),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (9.854968595571804e-08),Less (1.532579229226516e-08),Less (1.2991444062697512e-13),Less (0.010444151671160133),Equal (0.22648754461168075),Equal (0.5413210956632257),Equal (0.5952419246464793),Less (1.0767721001707158e-13),Less (1.2073178398645355e-05),Less (3.5231900364680667e-19),Equal (0.5697107405026052),Equal (0.4241684000099979),Equal (0.9411332914708319),Equal (0.7636821654947855),Equal (0.08884344325719061),Equal (0.16321710940755574),Equal (0.05984009244178194),Equal (0.6322911767759158),Equal (0.8634562020382679),Equal (0.10043177607514159),Equal (0.2121777965245797),,,,,,,,Equal (0.09471531176429779),Less (0.01734657259338889),Equal (0.7081300332500985),Equal (0.7692201124437701),Greater (0.9999999999998235),Greater (0.9999999347643594),Greater (0.9999999999931911),
existence-web development,,,,,,,,Greater (0.9866627833805439),Greater (0.9896904599857744),Equal (0.22467471206265754),Less (1.3212087845234393e-11),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (1.8476798898805394e-24),Less (2.2150115732656033e-20),Less (1.4529366472243391e-36),Less (5.948707157661284e-07),Equal (0.6124761274833841),Less (0.014385627116179148),Equal (0.2039993144179605),Less (1.2604629162795431e-31),Less (4.1352774439078944e-08),Less (3.2217629458846695e-39),Equal (0.12152409428659745),Equal (0.8894965465027956),Equal (0.5884980393597685),Equal (0.2735382402329042),Less (0.0005425811830798761),Less (0.024050522756529854),Less (0.0025823282030262525),Equal (0.18761750086234685),Equal (0.708527560826204),Less (0.019989033394805615),Equal (0.4020864211540143),,,,,,,,Equal (0.5645003856977462),Less (1.377404199335262e-10),Less (0.00031616309439417276),Less (0.00012125625425838822),Greater (0.999999999999997),Greater (0.999998730637572),Greater (0.999999999997399),
executive-full,,,,,,,,,Equal (0.21098119763758116),Equal (0.2112341886933944),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (1.881131213618572e-245),Less (6.382648506994269e-55),Less (3.554629614693682e-219),Less (6.1451390119934714e-18),Less (0.007595418255192414),Less (5.3734087713417764e-05),Less (0.0007814661581542861),Less (6.651051838257583e-94),Less (5.794483372501304e-11),Less (9.804917621706416e-95),Less (0.0072760550096854885),Equal (0.35365160499427617),Equal (0.401601680204969),Equal (0.08018409002770263),Less (5.73425592512152e-07),Less (0.004721675677048288),Less (0.00015673179804675264),Less (0.019201964602776806),Equal (0.44720676677018023),Less (0.00839506980293734),Equal (0.5028980282543525),,,,,,,,Less (1.6647311046472223e-114),Less (0.0),Less (0.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-content management,,,,,,,,,,Equal (0.053117297192095125),Less (2.8754640999162115e-111),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (8.071483674920159e-121),Less (1.633509384963889e-46),Less (3.392131634202528e-134),Less (3.6677407350014336e-17),Less (0.004357987961677966),Less (5.810165609831018e-05),Less (0.0005103508716551935),Less (1.4513893064601877e-75),Less (1.6068963724158214e-10),Less (2.3667822234619866e-79),Less (0.0053017469156046975),Equal (0.30999583244729356),Equal (0.3108190043023181),Equal (0.0938171893754366),Less (4.82622544715227e-07),Less (0.005772907384390395),Less (0.000150040467304315),Less (0.014665657362659684),Equal (0.3849557044334113),Less (0.009657069461986656),Equal (0.625210820852099),,,,,,,,Less (4.0878056821036505e-14),Less (2.5839317813500543e-98),Less (5.051124109748982e-44),Less (2.507323023037742e-55),Greater (1.0),Greater (0.9999998914076562),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Less (6.817035367166157e-188),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (2.839426175223106e-145),Less (5.306488221512029e-40),Less (8.321985005565255e-144),Less (2.0198700164890615e-14),Equal (0.07026481373847827),Less (0.0006142546001530725),Less (0.0048997225249911925),Less (2.3834560468013493e-68),Less (1.3746157203396663e-08),Less (1.4990369706368312e-70),Less (0.013690655817154585),Equal (0.476596520397901),Equal (0.37347045525957756),Equal (0.2304121245402364),Less (6.934200640563988e-06),Less (0.012412997753223057),Less (0.0007671789630568045),Less (0.0206506751776605),Equal (0.4969645309288474),Less (0.0226282831725505),Equal (0.6051201837048816),,,,,,,,Less (2.741029633244916e-18),Less (3.463011566154462e-204),Less (3.769361783425608e-80),Less (2.96503765649509e-109),Greater (1.0),Greater (1.0),Greater (1.0),
