,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),Less (1.3477129573895818e-09),Less (1.3643632861357808e-15),Less (7.891590931524293e-67),Equal (0.2712324783775045),Less (1.3907706698055096e-10),Greater (1.0),Less (1.070661942409073e-142),Greater (1.0),Less (9.037536764225179e-15),Less (1.2598613869794005e-08),Less (5.405688893387025e-32),Less (1.4373079387813062e-07),Less (3.739199194803594e-06),Less (7.29454512773613e-11),Less (2.719954855141706e-52),Greater (1.0),Less (9.082844109868086e-16),Less (3.158540714545331e-45),Less (5.542487526795589e-112),Equal (0.08107335160477894),Less (8.386807162314105e-12),Greater (1.0),Greater (0.9999984960169066),Less (1.9193772961306094e-11),Less (1.2717055271909165e-07),Equal (0.4808950160138805),Equal (0.6723237291024031),Equal (0.24422475311144087),Equal (0.15447477575355742),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999938355677),Greater (0.9999999999823711),Greater (0.9999999935152883),Greater (0.9999999517735031),Equal (0.05603576024794027),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9929760379144703),Equal (0.7928603026684475),Equal (0.6406667537132985),Less (2.2326397923854787e-08),Equal (0.12214680958502819),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999998433975307),Greater (0.9999999999801833),Greater (0.9999292233359539),Greater (0.9999999883335872),Equal (0.43179238634106865),Greater (1.0),
full-executive,,,Less (3.372169244833073e-190),Less (6.506723108865208e-180),Less (0.0),Less (3.9422348391838264e-52),Less (2.2329922322098457e-50),Less (1.2734148864967803e-58),Less (0.0),Less (4.6198288194462954e-14),Less (7.971658438578023e-52),Less (3.5219207178964505e-53),Less (9.200918911395191e-98),Less (4.265052050196208e-35),Less (5.797601064832365e-14),Less (0.0),Less (0.0),Equal (0.09280410259378191),Less (1.1079272639118816e-72),Less (6.3798781704436e-179),Less (0.0),Less (6.230812609107395e-19),Less (5.86780944206256e-32),Less (0.0),Less (4.6799273947746304e-60),Less (0.0),Less (4.573435916713623e-123),Less (2.7586734604698933e-13),Less (3.1304446670559413e-16),Less (1.980223529710289e-09),Less (3.085194204762635e-12),Less (0.0),Greater (1.0),Greater (1.0),Equal (0.7659437275121247),Equal (0.4710045743505882),Equal (0.32117504692469445),Equal (0.18202776850236702),Equal (0.9155808356564641),Greater (1.0),Less (0.008837067611138234),Greater (1.0),Less (0.01188893186116822),Less (3.5667921031440986e-08),Less (9.164691327591196e-06),Less (2.205504589216619e-25),Less (0.001036908275475852),Greater (1.0),Greater (0.9999999998198829),Greater (1.0),Equal (0.724869968112807),Equal (0.25532499811196374),Less (0.011403406862879294),Equal (0.053711535237734025),Less (0.0017430085361728818),Greater (1.0),
full-existence-executive,,,,Less (0.0029507099127733865),Less (4.228031115562154e-25),Greater (0.9959278536902431),Less (1.012712254702557e-06),Greater (1.0),Less (9.809592421657297e-71),Greater (1.0),Less (7.688514029752538e-12),Less (0.00014841858748268797),Less (6.3358899053391096e-27),Less (7.90931402700792e-06),Less (1.7540316512118495e-06),Greater (0.9998073787071641),Less (2.0057563088109047e-10),Greater (1.0),Less (1.5669622457778893e-08),Less (6.520082292794739e-28),Less (1.085820251759123e-71),Equal (0.6009622770017383),Less (3.93826097127736e-11),Greater (1.0),Greater (1.0),Greater (0.9770159185640549),Equal (0.4857824565285358),Equal (0.19164628924635108),Equal (0.052741089155176175),Greater (0.9995115743838872),Equal (0.9756122982108059),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999998),Greater (0.9990499558570723),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999942990341435),Equal (0.0685894758550597),Greater (0.9822555026679871),Less (1.9381671835814286e-08),Equal (0.15968708502772566),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999925),Greater (1.0),Greater (0.9999999997679789),Greater (0.9999999999999997),Equal (0.8334286104278581),Greater (1.0),
full-property,,,,,Less (1.4404570467846907e-11),Greater (0.9999814091643472),Less (0.0022295995606478602),Greater (1.0),Less (2.2450171230079144e-39),Greater (1.0),Less (7.678480222028466e-07),Equal (0.09283422010002512),Less (2.424616358689224e-16),Less (0.007626070504512639),Less (0.0001786278692135642),Greater (0.9999999997764365),Less (0.0009981020943137053),Greater (1.0),Less (8.880263257309999e-05),Less (6.182814379153698e-15),Less (2.9739143727072626e-43),Equal (0.2482152588541644),Less (3.395603939228325e-07),Greater (1.0),Greater (1.0),Greater (0.9999999999854327),Greater (0.988912210654549),Greater (0.9796404480871874),Greater (0.9974391609916282),Greater (0.9999891934566006),Equal (0.3218886264068419),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999525),Greater (0.9982429262737487),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999979968965927),Greater (0.9952347922941683),Greater (0.9937993022781599),Less (4.4478102408352574e-05),Equal (0.3148278782028934),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999254),Greater (1.0),Greater (0.9999999999327502),Greater (0.9999999999999721),Equal (0.9159223983991082),Greater (1.0),
full-existence-property,,,,,,Greater (1.0),Equal (0.5871731257394177),Greater (1.0),Less (2.22004975598778e-11),Greater (1.0),Equal (0.0675716773926142),Greater (0.9844707327681349),Less (2.8391432782772306e-06),Equal (0.6137554111477098),Less (0.010026436645874277),Greater (1.0),Greater (0.9999829710699645),Greater (1.0),Equal (0.9020888915079496),Less (0.0032416652662392224),Less (3.3853265639101574e-17),Greater (0.9999796370655589),Less (0.0018545784960559437),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999988124910472),Greater (0.9999999982937589),Greater (0.9999999999994076),Greater (0.9992619014224222),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999234139366517),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999779944),Greater (0.9999996234537291),Greater (0.9999963796817924),Equal (0.06365915531015555),Equal (0.731334206098745),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.3158270440018418),Greater (1.0),
full-executive-property,,,,,,,Less (2.7741755796074845e-08),Greater (1.0),Less (7.45949306788656e-50),Greater (1.0),Less (7.043074809165337e-13),Less (3.445510117252356e-06),Less (9.582069938422003e-26),Less (1.3635617076463447e-06),Less (2.053540476519039e-06),Equal (0.41629302386317635),Less (7.738545071214499e-11),Greater (1.0),Less (2.006815949381612e-10),Less (1.1031000167364007e-24),Less (7.63044935156113e-53),Equal (0.312702883985422),Less (3.348425964957128e-11),Greater (0.9999988857759344),Greater (0.9999699193275804),Equal (0.13859622691854337),Less (0.0015067941938694013),Equal (0.8588633133583415),Equal (0.8614721204108847),Equal (0.09703613311939727),Equal (0.2864700212526873),Greater (0.9999999999984426),Greater (1.0),Greater (1.0),Greater (0.9999999997601045),Greater (0.9999999999987639),Greater (0.999999999071428),Greater (0.999999999213072),Greater (0.9877246870333352),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9983816146159008),Equal (0.5015121308023938),Equal (0.3415206885731683),Less (2.6074835025530682e-08),Equal (0.12113828449413243),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999940480229),Greater (0.9999999999992555),Greater (0.9999893717835784),Greater (0.9999999996874323),Equal (0.5080736967882),Greater (1.0),
full-existence-executive-property,,,,,,,,Greater (1.0),Less (5.703145717490544e-05),Greater (1.0),Less (0.019231179024465847),Equal (0.25711390201485707),Less (2.259110749650954e-05),Equal (0.8514882784407877),Less (0.0027504245146753176),Greater (0.9999999961439958),Equal (0.1951613439755392),Greater (1.0),Equal (0.8245223008610378),Less (0.012117329318866488),Less (6.286413156112559e-08),Greater (0.9991553423188273),Less (0.0006840013073765696),Greater (1.0),Greater (1.0),Greater (0.9999999998782317),Greater (0.9999992568239643),Greater (0.9999509256903283),Greater (0.9999982434284357),Greater (0.9999999986466905),Greater (0.9978307836684299),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999674711729172),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999994501123),Greater (0.9999793860533693),Greater (0.9999698066464235),Less (0.007940715067581728),Equal (0.6204814994534347),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999756),Greater (1.0),Equal (0.33257499340057317),Greater (1.0),
full-,,,,,,,,,Less (0.0),Less (0.0075505416848249945),Less (1.7280641441918656e-39),Less (4.5869872659873474e-38),Less (5.280534167985066e-76),Less (2.5413677027091447e-25),Less (4.293264185597985e-11),Less (0.0),Less (0.0),Greater (0.9999999829345909),Less (2.7380393663337243e-54),Less (1.872543931113847e-136),Less (8.417882729428185e-278),Less (5.963727992837841e-13),Less (5.327192841567466e-25),Less (0.0),Less (6.445627495194102e-33),Less (0.0),Less (1.082617096978843e-86),Less (5.856271665208079e-09),Less (1.0611573274041161e-10),Less (9.947665432926055e-06),Less (7.307262273332961e-09),Less (1.2888474875271615e-237),Greater (1.0),Greater (1.0),Equal (0.33304505221508196),Greater (0.980826907351542),Equal (0.6051644374411369),Greater (0.9773939749851004),Equal (0.7636382181517476),Greater (1.0),Equal (0.44431063447305086),Greater (1.0),Equal (0.21642796172730605),Less (3.337540754519342e-05),Less (0.0008946118003431481),Less (3.543008918233869e-19),Less (0.004068818143535368),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.18712511883908522),Greater (0.9896403561233302),Equal (0.3978407021605811),Greater (0.9950778418204379),Less (0.00791079838181387),Greater (1.0),
content management-existence,,,,,,,,,,Greater (1.0),Equal (0.35255452113437724),Greater (0.9999999990725852),Equal (0.2429498205303542),Greater (0.9996450347283443),Equal (0.2051127114567145),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999953074872377),Greater (0.9753574544868775),Less (0.0007982331566000453),Greater (0.9999999999986015),Equal (0.2879554110416084),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999751),Greater (1.0),Greater (1.0),Greater (0.9999999776330323),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999992283018779),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999998591),Greater (0.9999999999653115),Equal (0.960903068143829),Equal (0.786776444986269),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9758125018207868),Greater (1.0),
content management-executive,,,,,,,,,,,Less (1.0789723420523119e-35),Less (1.309796775143341e-31),Less (4.77924713655631e-67),Less (1.3995457092074103e-22),Less (7.147387605489062e-11),Less (2.4471778576905932e-91),Less (1.3684257879473354e-117),Greater (0.9999998697392699),Less (1.1037961908298832e-43),Less (1.5783918297181375e-99),Less (4.52563387041537e-187),Less (1.3480004128625775e-10),Less (1.0905241012605827e-23),Less (4.2770102432456915e-21),Less (7.982273343073283e-15),Less (6.447949153146721e-114),Less (8.386075767088452e-57),Less (1.8953996143106272e-07),Less (1.3947698597361181e-08),Less (0.00020833063349388363),Less (9.96918156100076e-08),Less (9.236725334847974e-14),Greater (1.0),Greater (1.0),Equal (0.10281974410234193),Greater (0.9965817095606105),Equal (0.23917874536813077),Greater (0.9940984414621797),Equal (0.5934026209830187),Greater (1.0),Equal (0.05803229120617862),Greater (1.0),Equal (0.44321461872095913),Less (0.00023312153387097277),Less (0.0033926952508446504),Less (2.8485547494481407e-18),Less (0.004926151289252402),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.06357679348123142),Greater (0.998136782440149),Equal (0.8510372602938104),Greater (0.9988852192360499),Less (0.011106786825790665),Greater (1.0),
