,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (2.5917887063590058e-149),Less (7.935494214071281e-88),Greater (0.9999998841588424),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.8537053977923423),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.4364004237040119e-35),Less (1.2366301600082908e-31),Less (1.268228029557969e-113),Equal (0.10081796498321134),Greater (1.0),Equal (0.22039525129334026),Greater (1.0),Greater (1.0),Equal (0.07799402743836872),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999885012729776),Equal (0.42097626425793133),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999989389071),Equal (0.051401149291940604),Less (8.196676504923743e-14),Greater (1.0),Greater (1.0),Greater (0.9999889003643062),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (7.09249898002481e-15),Greater (1.0),Greater (1.0),Greater (1.0),Less (4.0177901421797105e-49),Less (7.700498177013822e-54),Less (6.070972677580142e-135),Equal (0.4083453477893809),Greater (1.0),Less (0.0003164836497939885),Greater (1.0),Greater (1.0),Less (2.4206552431499095e-06),Greater (0.9999999999995041),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-soa and middlewares,,,,,,Less (2.08124764512066e-22),Less (8.855826107222874e-05),Less (6.680266005439688e-38),Less (1.804483509266722e-63),Less (2.340784797061298e-38),Less (5.6475306327006004e-298),Greater (1.0),Greater (0.9999999999999999),Greater (1.0),Less (1.135793718055664e-269),Less (3.2510103343705747e-180),Less (0.0),Less (1.1931809514301145e-66),Less (1.598616311820023e-06),Less (1.0164324120157247e-43),Less (2.2921449029540817e-07),Less (1.946450673729271e-46),Less (1.2201469627084255e-237),Less (3.216763884902921e-118),Less (3.4038735060514267e-115),Greater (1.0),Greater (0.9974797222225421),Greater (1.0),
existence-software development tools,,,,,,,Greater (0.999999999816353),Greater (0.986487050661733),Less (4.732063005893559e-05),Equal (0.7892977038072788),Less (1.0501681801108027e-66),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.252002515889413e-84),Less (3.881070639007786e-79),Less (4.193008673636872e-143),Less (9.065537508738865e-17),Greater (0.9939995717374638),Less (4.3610326765593446e-15),Equal (0.09637262938341322),Equal (0.42876984747897684),Less (8.693485613825642e-48),Less (2.1503336023575164e-13),Less (3.0904283387685436e-09),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Less (4.2228978821777466e-13),Less (3.020335487522844e-35),Less (2.672983809948603e-16),Less (9.471926676359192e-202),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.1161648003858905e-198),Less (1.9310067312895396e-146),Less (2.3668169153890237e-263),Less (4.239616623478562e-47),Less (0.016654271437567876),Less (7.354647524376487e-33),Less (0.0034113661799836555),Less (3.325097840833808e-18),Less (7.1938656521178694e-158),Less (2.1859636562767948e-67),Less (5.04341376895042e-64),Greater (1.0),Greater (0.9999999999999937),Greater (1.0),
executive-full,,,,,,,,,Less (1.0391089786826422e-27),Less (5.778534002894779e-05),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0),Less (1.0376033745410611e-165),Less (0.0),Less (1.041417568696269e-34),Equal (0.09583411691673345),Less (6.986103895540841e-26),Equal (0.5003998144921264),Less (9.868225523859692e-12),Less (0.0),Less (0.0),Less (2.6693278201463938e-208),Greater (1.0),Greater (1.0),Greater (1.0),
executive-content management,,,,,,,,,,Greater (0.9999999999366179),Less (7.381775352725442e-71),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.116288893917397e-105),Less (8.775065605762498e-80),Less (2.7115538627210675e-183),Less (6.352568566538244e-10),Greater (0.9999999935368872),Less (1.1359738513007993e-10),Greater (0.9999965965787487),Greater (1.0),Less (1.051139036022367e-54),Less (7.075648994451603e-06),Equal (0.11444796030164993),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Less (9.681928287101082e-266),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.1585229930006626e-234),Less (3.44203166233857e-112),Less (5.301745161441583e-289),Less (1.2722726830988249e-23),Greater (0.9949889631546902),Less (7.296062409581259e-17),Equal (0.10575460001090452),Equal (0.30838205577587885),Less (3.602385111708755e-240),Less (1.5335648171602238e-62),Less (3.9508731825467715e-44),Greater (1.0),Greater (1.0),Greater (1.0),
executive-devops and cloud,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Less (6.595652320162884e-50),Less (2.0476407085354096e-50),Less (2.1008196220042253e-167),Greater (0.9964899823642143),Greater (1.0),Less (0.022241329106405857),Greater (1.0),Greater (1.0),Greater (0.9962313530598823),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (2.0692376934902225e-50),Less (0.00023854141146653719),Less (0.0),Less (0.0),Less (0.0),Less (7.618504075471007e-225),Less (3.5773586309979464e-67),Less (8.655570809516906e-121),Less (1.1311859348253146e-62),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (1.6452276963260398e-72),Less (1.8195023078214666e-192),Less (5.232684558470879e-108),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (0.0),Less (1.1374721164574995e-286),Less (0.0),Less (5.811275351547401e-130),Less (7.221363945807223e-24),Less (1.7078879022499408e-72),Less (8.302636681325254e-24),Less (5.21873433447773e-230),Less (0.0),Less (0.0),Less (0.0),Greater (0.9785098175154883),Less (1.4815879973816455e-22),Equal (0.08926434836830878),
executive-web development,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (1.4780609018493264e-231),Less (6.605788000552432e-63),Less (4.153705648954809e-118),Less (3.144187369260772e-59),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (1.0078796001570036e-49),Less (2.023370155220791e-174),Less (6.679594826167185e-87),
property-full,,,,,,,,,,,,,,,,Less (9.858368629438147e-09),Less (2.391833249022751e-36),Greater (0.9999999999986782),Greater (1.0),Greater (0.9889899329844389),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Less (0.0007207294125912297),Greater (1.0),Greater (1.0),Greater (0.999999913729235),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (0.9999999999999616),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (0.010135902977368102),Greater (1.0),Greater (1.0),Equal (0.2139377659589079),Greater (0.9999668854483249),Greater (0.9999999994982642),Greater (1.0),Greater (1.0),Greater (1.0),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Less (3.8500131362727584e-19),Equal (0.5528423542816209),Less (0.007178320947083626),Less (3.23252823033027e-37),Less (3.4229852973005474e-14),Less (6.453136634919692e-13),Greater (1.0),Greater (0.9999999999955753),Greater (1.0),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Greater (0.9999999999999993),Greater (1.0),Equal (0.1008752767015295),Greater (0.9999986762728044),Greater (0.9999999999766208),Greater (1.0),Greater (1.0),Greater (1.0),
property-web development,,,,,,,,,,,,,,,,,,,,,,Equal (0.1529632427043255),Less (1.8656815288697982e-27),Less (6.991636590780122e-10),Less (7.88760507180515e-09),Greater (1.0),Greater (0.9999999999990602),Greater (1.0),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (1.2888474875271615e-237),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (2.238091729918906e-147),Less (1.6870219772661628e-16),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
