,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),Less (1.1983938312575137e-05),Less (0.00011028108696703894),Less (2.4869995831836236e-13),Equal (0.09276355349278614),Less (0.0018644420974685027),Greater (1.0),Less (1.643559061245128e-34),Greater (0.9997240357810571),Less (3.751564999562699e-07),Less (1.0477580102850641e-07),Less (6.564365647272727e-19),Less (0.00011250029563153585),Less (0.00040749933927700647),Equal (0.14841058667141324),Equal (0.2471826064778494),Greater (1.0),Less (0.0018086563537980556),Less (0.0014209986757343358),Less (1.3067457101092683e-12),Greater (0.9994702066802956),Equal (0.08126030226659087),Greater (1.0),Greater (0.9999999999900497),Less (1.7910442581603085e-49),Less (0.0013682490319054633),Equal (0.17387877508188887),Equal (0.07476095329369392),Greater (0.9972991153498888),Equal (0.8150904218630461),Equal (0.0671510291874973),Greater (0.9999999816058244),Greater (1.0),Greater (0.9876161937260644),Greater (0.9834502153572123),Greater (0.9999044506682098),Greater (0.9975199019644133),Equal (0.3408147858214946),Greater (1.0),Equal (0.8701981500903921),Greater (1.0),Equal (0.6947241613076144),Equal (0.8019956238486834),Equal (0.3623335803858616),Less (0.017028511966522084),Equal (0.146616475921794),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9996131661438504),Equal (0.1753717596215154),Equal (0.6795458849226055),Greater (0.9972377645137057),Equal (0.9028006375980471),Greater (1.0),
full-executive,,,Less (6.926448934312921e-19),Less (9.294644915457515e-17),Less (2.941886963992492e-35),Equal (0.07152061661310778),Less (2.0633264947263456e-06),Equal (0.08553502505770769),Less (1.0416299019589443e-84),Less (0.008261981835604277),Less (2.8086439356557537e-13),Less (1.0184028915542384e-16),Less (2.139077840108413e-32),Less (1.4834328217316667e-09),Less (8.927635247184016e-06),Less (1.220725698536092e-62),Less (0.0001260250993460786),Greater (0.9999999912690447),Less (1.4757566631671325e-07),Less (1.735876252386007e-08),Less (1.9535064123254382e-24),Equal (0.14758937400454203),Less (0.003800882702041066),Equal (0.11091825954348483),Equal (0.08195064040839682),Less (2.446867450393912e-140),Less (2.2494807017778624e-09),Equal (0.8092030914713334),Equal (0.8214317168925058),Equal (0.13552080949759812),Equal (0.28688874248944296),Less (1.456514866184801e-27),Greater (0.9997452885404009),Greater (1.0),Equal (0.2000199963586048),Equal (0.22934591326721532),Greater (0.9964723497181451),Greater (0.9771694738683916),Equal (0.5655097958104516),Greater (1.0),Less (0.0013625945582156948),Greater (0.9999999999362037),Equal (0.13080909090666398),Equal (0.1541720016295512),Less (0.020973330686614982),Less (0.0005447581707340185),Equal (0.0671407499135116),Greater (0.9999999622736794),Greater (0.9999999996630357),Greater (1.0),Greater (0.9935512833755487),Equal (0.6170095834012707),Equal (0.5804101512424209),Equal (0.07434654798546012),Equal (0.7630911090236663),Greater (1.0),
full-existence-executive,,,,Equal (0.6385982636318298),Less (0.018530875934565594),Greater (0.9999940691554957),Equal (0.2104778223817153),Greater (1.0),Less (4.010674303500337e-06),Greater (0.9999999999745531),Less (0.0030797927164435833),Less (0.019193707116973033),Less (3.5294202309259567e-09),Equal (0.1342456942249629),Less (0.004952629101354289),Greater (0.9999967281690514),Greater (0.9999796564379814),Greater (1.0),Equal (0.44183404297410633),Equal (0.561676080234448),Less (0.00013471498905952455),Greater (0.999999634846752),Equal (0.3968431038050415),Greater (1.0),Greater (1.0),Less (4.9646578241635e-06),Equal (0.7626053126685448),Greater (0.99895503637628),Greater (0.9998830781193458),Greater (0.9999880283420061),Equal (0.5812055173173325),Greater (0.9999999668262861),Greater (0.9999999999999296),Greater (1.0),Greater (0.9997332440266761),Greater (0.9994519301671321),Greater (0.9999997543207362),Greater (0.9999400233757038),Equal (0.14271875095190414),Greater (1.0),Greater (0.998385707755019),Greater (1.0),Equal (0.43300784069681575),Equal (0.3096641615926621),Equal (0.8079164779873031),Equal (0.21965752100803182),Equal (0.25938432486141716),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999972232031218),Greater (0.9896556792538652),Equal (0.12245058571681612),Greater (0.9999682296921889),Equal (0.5009276464486061),Greater (1.0),
full-property,,,,,Less (0.006368933595109522),Greater (0.9999655790988122),Equal (0.14587171111136918),Greater (0.9999999999999997),Less (5.210403880286383e-07),Greater (0.9999999985641189),Less (0.001261212289759344),Less (0.007056697343151313),Less (9.365592989839959e-10),Equal (0.07874728165168246),Less (0.003977811436612957),Greater (0.9999316588398857),Greater (0.9998925730081712),Greater (1.0),Equal (0.3306426422291139),Equal (0.40579992223065975),Less (4.778576797016085e-05),Greater (0.9999987480660804),Equal (0.33465445987248976),Greater (1.0),Greater (0.9999999999999981),Less (2.3704401306171703e-07),Equal (0.5178872710190169),Greater (0.9975450555856138),Greater (0.9996668024761631),Greater (0.9999621232554561),Equal (0.6415241848805031),Greater (0.9999991104155272),Greater (0.9999999999991168),Greater (1.0),Greater (0.9994181418336597),Greater (0.9988672376098002),Greater (0.999999112427779),Greater (0.9998657582577967),Equal (0.17866278303961858),Greater (1.0),Greater (0.9945461617418888),Greater (1.0),Equal (0.5739994728678606),Equal (0.43208487245140104),Equal (0.9126051495353279),Equal (0.19716312533962432),Equal (0.23959614545547048),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999916240215981),Greater (0.9854326072127964),Equal (0.19506279745755106),Greater (0.9999246638693102),Equal (0.5742722370811617),Greater (1.0),
full-existence-property,,,,,,Greater (0.9999999995559913),Equal (0.8454592358265376),Greater (1.0),Less (0.021859967979254727),Greater (1.0),Equal (0.16026426074354183),Equal (0.6211171573702506),Less (2.2674399127526765e-05),Equal (0.8548505056596534),Equal (0.058934981593021164),Greater (0.9999999999999981),Greater (0.9999999998462256),Greater (1.0),Equal (0.629325025629522),Equal (0.4069909508868823),Less (0.018810795059074525),Greater (0.9999999971680771),Equal (0.825884111367087),Greater (1.0),Greater (1.0),Equal (0.09853939542060666),Equal (0.21263070078278046),Greater (0.999924348004015),Greater (0.9999986080524844),Greater (0.9999993464931848),Equal (0.29122199148722505),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999306825252842),Greater (0.9998692624202294),Greater (0.9999999646873257),Greater (0.999976268663401),Equal (0.10891526035599845),Greater (1.0),Greater (0.9999957491031949),Greater (1.0),Equal (0.15793107901002268),Equal (0.11512230868316724),Equal (0.3873627761637033),Equal (0.6959263438825186),Equal (0.41399952057340605),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999993765444348),Greater (0.9969625545725881),Greater (0.9789937920184885),Greater (0.999991179597337),Equal (0.39195849992524656),Greater (1.0),
full-executive-property,,,,,,,Less (0.00026037735128528954),Equal (0.16616554688897567),Less (9.323013308611995e-19),Equal (0.7703797510063304),Less (2.1285137096756046e-08),Less (1.1634915039124757e-08),Less (3.492440915979686e-18),Less (7.484242669972061e-06),Less (8.778606301437775e-05),Less (0.005434825934673654),Equal (0.554252081213252),Greater (0.9999873689210499),Less (0.0002021647236367265),Less (0.00028423515819142993),Less (2.2810433965210992e-11),Greater (0.9846971334824391),Less (0.013948681009584438),Greater (0.9832757266769822),Greater (0.9940472773959965),Less (1.7041146158448315e-18),Less (0.00015971627977559452),Equal (0.6341746661158806),Equal (0.5065753359404056),Greater (0.9816149808141881),Equal (0.549057871353243),Equal (0.255509401025527),Greater (0.9999595645300656),Greater (1.0),Equal (0.0873116274467829),Equal (0.10053758687533162),Greater (0.9991254696014159),Greater (0.9905512243700613),Equal (0.44074189338614234),Greater (1.0),Equal (0.26789556592923414),Greater (0.9999999798189807),Equal (0.3279768159328108),Equal (0.39446765004320117),Equal (0.15463767217569005),Less (0.004728400798010537),Equal (0.09938711813650283),Greater (0.9997990558078063),Greater (0.9999999994171594),Greater (1.0),Greater (0.998138397344061),Equal (0.3413222919548474),Equal (0.9387922114157854),Greater (0.9851377610119988),Equal (0.8922882409145412),Greater (1.0),
full-existence-executive-property,,,,,,,,Greater (0.9999962158901693),Equal (0.5728483501654156),Greater (0.9999841354445748),Equal (0.4524403125197879),Equal (0.97430229913952),Less (0.009978698647752422),Equal (0.8983209046832497),Equal (0.09793858064766729),Greater (0.9989801895596208),Greater (0.998140827981145),Greater (0.9999999877190578),Equal (0.5764357228497445),Equal (0.4926941420592097),Equal (0.3059003253257089),Greater (0.9999852783015418),Equal (0.9211448738835106),Greater (0.9999950227211937),Greater (0.9999995255610635),Equal (0.6678920572375611),Equal (0.3476093329764137),Greater (0.9989645274325338),Greater (0.9996974297995287),Greater (0.9999690189626821),Equal (0.3039971627411411),Greater (0.9995352827852809),Greater (0.999999997489232),Greater (1.0),Greater (0.9998627412935771),Greater (0.9998552677509439),Greater (0.9999985822989802),Greater (0.9999317495752507),Equal (0.08007579846818458),Greater (1.0),Greater (0.9974753534810774),Greater (0.9999999999823533),Equal (0.18353673162950168),Equal (0.11882978009821463),Equal (0.3546373500674238),Equal (0.8217834220722599),Equal (0.43080819439670537),Greater (0.9999999824423679),Greater (0.9999999999990201),Greater (1.0),Greater (0.9999965118815255),Greater (0.9966177398061897),Greater (0.9814932670263732),Greater (0.9999846900517424),Equal (0.33136644947406124),Greater (1.0),
full-,,,,,,,,,Less (3.18015189029613e-90),Equal (0.05181903364093213),Less (4.758176989469446e-13),Less (1.720204459449965e-16),Less (6.115640783422178e-32),Less (3.0447474980513592e-09),Less (1.2599381849840946e-05),Less (2.433759020373382e-137),Less (0.0007916263055483934),Greater (0.9999999999995512),Less (3.6546637098857566e-07),Less (6.50362655413246e-08),Less (1.1792506590576683e-23),Equal (0.07177659597374293),Less (0.00459075890147757),Greater (0.9999998544412114),Greater (0.9941765069787251),Less (6.988416559227596e-169),Less (6.508996177978652e-09),Equal (0.9493494865659693),Equal (0.9907454536970979),Equal (0.09601877955764006),Equal (0.3418621905544784),Less (3.3566459443961986e-46),Greater (0.9999289639962883),Greater (1.0),Equal (0.16212931379469997),Equal (0.19509684687839512),Greater (0.9979891058665611),Greater (0.9843535672778821),Equal (0.5394590985879153),Greater (1.0),Less (0.0038250998348507595),Greater (0.9999999999998783),Equal (0.15052927858894646),Equal (0.18038134703921138),Equal (0.05341575497561946),Less (0.0008599611440589895),Equal (0.06512996056868768),Greater (0.9999999999999999),Greater (0.9999999999720833),Greater (1.0),Greater (0.9956906101900191),Equal (0.5514865262916134),Equal (0.6250245168132063),Equal (0.05709840092778175),Equal (0.7651478627648971),Greater (1.0),
content management-existence,,,,,,,,,,Greater (1.0),Equal (0.6215536067342224),Equal (0.35292828965826784),Less (0.0004679544713015337),Equal (0.3748559501035674),Equal (0.10548200881615541),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.11506830702251909),Equal (0.05183992885894802),Equal (0.29507318663127313),Greater (0.999999999999941),Equal (0.8888767746498342),Greater (1.0),Greater (1.0),Equal (0.4683312573290833),Greater (0.9976496580134805),Greater (0.9999998853544292),Greater (0.9999999998422778),Greater (0.9999999990586512),Equal (0.1222358172417486),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999994049091291),Greater (0.9999962103503327),Greater (0.9999999999671457),Greater (0.9999997403223433),Equal (0.050500095860826134),Greater (1.0),Greater (0.9999999999823858),Greater (1.0),Greater (0.9839934810621218),Greater (0.9921116641821861),Equal (0.1047996275748002),Equal (0.9791043700721975),Equal (0.48181239077571114),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999964251055),Greater (0.9996359040896383),Greater (0.9970026203291457),Greater (0.9999999613105671),Equal (0.22136453798877898),Greater (1.0),
content management-executive,,,,,,,,,,,Less (9.299414442028384e-12),Less (2.3086592367201254e-13),Less (7.9805490174792685e-28),Less (4.326667252559908e-08),Less (1.1940946810207853e-05),Less (3.972534131949351e-08),Equal (0.2799524450101065),Greater (0.999999999904545),Less (7.745004319858337e-06),Less (5.034238569562664e-06),Less (6.725768342896148e-18),Greater (0.9942687275965458),Less (0.0065865307736288296),Greater (0.9998030664540859),Greater (0.9994733281429132),Less (1.8816135476228095e-56),Less (4.657576865217739e-07),Equal (0.6713911513712977),Equal (0.5754924789391918),Greater (0.9839195589634193),Equal (0.43483929131748),Less (0.0013432820721176832),Greater (0.9999968379097713),Greater (1.0),Equal (0.06898206238310556),Equal (0.09247193724039679),Greater (0.9996642601353586),Greater (0.9945657336707114),Equal (0.41060700213887646),Greater (1.0),Equal (0.10029903777503914),Greater (0.9999999999999564),Equal (0.22570636270657907),Equal (0.2672361813981725),Equal (0.08836567399662146),Less (0.0011827209656140993),Equal (0.0622205707807627),Greater (0.9999999933449716),Greater (0.9999999999996705),Greater (1.0),Greater (0.9990604795347466),Equal (0.35590019445065546),Equal (0.8841075492391929),Greater (0.9898997010170598),Equal (0.8466185738857033),Greater (1.0),
