,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Greater (1.0),Less (5.459759730796859e-254),Greater (1.0),Greater (0.9999999999999467),Greater (1.0),Equal (0.2208100249501792),Less (7.205097011519935e-33),Less (1.212187333223683e-07),Less (9.3401687409874e-37),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (9.675594709890304e-149),Less (1.343660264269709e-19),Less (2.0163519040846488e-56),Less (2.6628789968233195e-120),Equal (0.36160620863059634),Equal (0.9671828782904947),Less (0.0008886296096273637),Less (6.394792831491072e-55),Less (1.3835902208080096e-24),Less (5.519208933703935e-130),Greater (0.9999999999999994),Equal (0.5122888515749233),Greater (0.9999966479059945),Equal (0.6716110287976749),Less (5.710858195513797e-72),Less (3.397891901017343e-05),Less (9.412277268764263e-199),Greater (1.0),Equal (0.11909740205705234),Greater (0.9999845055055556),Less (0.0040450447584636515),Less (3.7624999569448464e-06),Less (2.8284920794945443e-08),Less (1.563851660301886e-19),Equal (0.08106641106269266),Equal (0.415490393520786),Greater (0.9999971487880812),Equal (0.41837944821980966),Less (9.317131760241297e-28),Less (1.7999729268424745e-09),Less (4.5238580956500017e-23),Less (3.530815178036406e-11),Equal (0.20915808583150997),Equal (0.26764728474485167),Equal (0.661421381926151),Less (6.8456250279002764e-43),Greater (0.9999999999084905),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.964402148492424e-05),
existence-content management,,,Less (5.43776721256842e-255),Greater (0.99999999999393),Less (3.8234745805142477e-07),Greater (0.9996014766031804),Less (6.0127076599786345e-34),Less (8.841887560959956e-114),Less (1.4754747200063752e-57),Less (2.523614297865404e-102),Less (0.0),Greater (1.0),Equal (0.9272583426340772),Greater (0.9976991989421311),Less (1.6779280643386736e-224),Less (3.592294206481786e-37),Less (1.1647746921156639e-91),Less (6.398520430162165e-210),Less (5.107261517199351e-08),Less (0.001089318633187998),Less (2.210311903836011e-12),Less (3.3521902861022456e-111),Less (2.214152923883051e-52),Less (1.496548088192284e-177),Greater (0.9997738783788886),Less (1.7499128935057726e-05),Equal (0.7957541735726195),Less (2.03418010116339e-05),Less (5.751877434360189e-122),Less (5.518439544459587e-18),Less (7.536063125093076e-236),Greater (0.9999999372892008),Less (0.00011125467384801484),Equal (0.6581520813395345),Less (1.0527161852630163e-13),Less (3.563909230938197e-34),Less (1.312009918571713e-20),Less (7.449857456348459e-41),Less (0.003602565479655832),Less (0.00961923174911738),Equal (0.13412400200415933),Less (0.00950501067489024),Less (2.5877916943621744e-52),Less (1.7241499343604242e-13),Less (1.201504346283788e-34),Less (5.929897736193396e-23),Equal (0.7110389962563102),Equal (0.9533127778118226),Equal (0.07390472662034941),Less (2.0989682296913556e-118),Less (5.610050002291977e-48),Less (0.0),Less (2.5938258855953928e-36),Less (2.6151604067941604e-15),Less (4.506934045088474e-29),Less (3.422819973354569e-94),
existence-data storage & processing,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.2948530746028144),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.40265523883888377),Equal (0.14411955784344477),Less (0.0001298884357106368),Equal (0.06304262238222028),Greater (0.9999999999997046),Greater (0.9999999979980732),Greater (0.9998824058952884),Greater (0.9999999999999523),Equal (0.3774067048841431),Less (1.203745236222985e-14),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999999),Greater (0.9999999997742974),Greater (0.9999999742403207),Less (1.8372104823590426e-28),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999948400352),Greater (1.0),Greater (0.9826401527634493),Equal (0.6731721038761466),Greater (1.0),Greater (0.9999999999460509),Greater (1.0),Greater (0.9999999994755291),Equal (0.20554989376627741),Less (0.002047014024734896),Less (1.7441856708174809e-06),Equal (0.8632201397842423),Greater (0.9999830142136994),Greater (0.9986235497354181),Greater (0.981043090964989),Greater (1.0),Greater (1.0),Greater (0.9999975369848844),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Less (2.648808550587548e-22),Equal (0.07538242607407013),Less (5.950461918220562e-62),Less (2.3219291688566302e-200),Less (6.939695015341029e-108),Less (2.7191301140374655e-188),Less (0.0),Greater (0.9983082246408961),Less (5.0522823785113515e-12),Less (9.928495960285632e-05),Less (8.16119094304981e-299),Less (6.320817850281036e-50),Less (8.349941871802578e-126),Less (1.2546315757778089e-253),Less (5.303667339022979e-15),Less (2.572063221461516e-07),Less (9.962782232849479e-18),Less (1.8464467683177884e-175),Less (2.0111220902348947e-74),Less (1.858310265721709e-241),Equal (0.42189966682165025),Less (4.371003093557248e-10),Equal (0.08840221139416485),Less (5.934866624377664e-10),Less (5.493950651566443e-199),Less (4.9865012945986e-34),Less (0.0),Equal (0.0902623868897965),Less (4.806107276671196e-10),Equal (0.14811943545389697),Less (5.2008947985522086e-21),Less (1.9195764136934928e-63),Less (7.792319355191615e-32),Less (1.6014458169718946e-58),Less (2.853577990362364e-07),Less (1.9071420636011937e-05),Equal (0.6019117464337334),Less (0.0001411100440686361),Less (4.103494461211664e-71),Less (2.2192317496927308e-17),Less (6.441986899221013e-44),Less (1.123372550547138e-28),Equal (0.1971809353582642),Equal (0.5304285822152801),Less (0.004216835252666729),Less (5.0212640268879956e-210),Less (1.3845578602507804e-111),Less (0.0),Less (4.811497607436605e-88),Less (4.91576096545467e-50),Less (3.0113305002596905e-75),Less (9.286963175545208e-159),
existence-soa and middlewares,,,,,,Greater (0.9999999999994547),Less (1.1003680787853348e-12),Less (8.214709045489565e-44),Less (1.0877718963191748e-22),Less (1.163479778514088e-46),Less (0.0),Greater (1.0),Greater (0.9999999754973486),Greater (1.0),Less (6.134691941580824e-158),Less (5.003067660434972e-30),Less (8.902493289616998e-78),Less (2.1252176084822025e-167),Less (0.00011491832009356503),Less (0.01947695326543052),Less (9.417858914966584e-09),Less (4.234265765892562e-70),Less (7.819726823252206e-42),Less (4.386582427923367e-146),Greater (0.9999999273617991),Less (0.014372832432618795),Greater (0.9879148347745332),Less (0.014382362646932672),Less (8.338693117699295e-77),Less (1.499371001058656e-11),Less (2.067463572825164e-189),Greater (0.9999999999976233),Equal (0.11916699602697936),Greater (0.9880221449228095),Less (1.5225671731360134e-08),Less (1.6160139799104499e-18),Less (1.3339778558762726e-15),Less (6.316227610825596e-33),Equal (0.2992505935744436),Equal (0.2594629515855422),Greater (0.9993404895188562),Equal (0.30291228911841817),Less (5.305797968236043e-45),Less (2.9812396523803226e-13),Less (2.2640316586338456e-32),Less (4.718290236184492e-21),Equal (0.7967182813893748),Equal (0.6114522990806375),Equal (0.17511336846743464),Less (3.4006202837074482e-43),Less (3.765226179144008e-08),Less (1.6291047486930594e-227),Less (1.8069860696094628e-08),Equal (0.9877533562614638),Less (0.002471483778099248),Less (1.6210980864916596e-26),
existence-software development tools,,,,,,,Less (6.647092379057545e-41),Less (9.864803204268258e-98),Less (2.8917836527389575e-61),Less (1.018114884666677e-95),Less (0.0),Greater (0.9999976288539362),Less (0.00029892464641166324),Equal (0.2645295103383546),Less (1.501750802157799e-205),Less (1.862276044358633e-43),Less (9.788751392058455e-102),Less (9.198077670568403e-209),Less (5.784473298888229e-12),Less (6.815863369410134e-06),Less (5.702740685825518e-16),Less (1.800610192936007e-111),Less (7.045527273704288e-62),Less (8.434498997035912e-180),Equal (0.09869698137836731),Less (2.4981833860245455e-08),Equal (0.3091313500877778),Less (4.173822960365255e-08),Less (3.987742746313788e-119),Less (7.827118590953017e-25),Less (7.506573173527653e-225),Greater (0.9977009187924044),Less (8.739829738133429e-08),Equal (0.45972849130097215),Less (4.291918010244463e-18),Less (2.6611661317580188e-43),Less (2.1441792479074707e-26),Less (4.147139081973956e-49),Less (1.2193321811866074e-05),Less (0.0002430068344232013),Equal (0.6971792883058986),Less (0.0005679472232388371),Less (1.1219500167887223e-61),Less (4.784869262928399e-16),Less (3.3392129308843125e-40),Less (4.8627038359370755e-28),Equal (0.3181548863759227),Equal (0.7050348839588043),Less (0.009245561200387026),Less (4.252811132451979e-98),Less (5.367976899502685e-48),Less (1.2762285455973905e-282),Less (6.710426684786299e-42),Less (9.052472865724497e-22),Less (2.2097205999572846e-33),Less (3.458212592279449e-79),
existence-web development,,,,,,,,Less (5.5127968445309185e-05),Less (0.02107573789861544),Less (5.020057564541626e-09),Less (2.058461592089538e-177),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.180953515072391e-83),Less (4.588413538763663e-18),Less (1.7812616707487265e-49),Less (3.531726603360113e-98),Equal (0.5916435959299388),Equal (0.8049474218047086),Less (0.0011919085447624623),Less (4.043240647813061e-28),Less (1.4686080263956243e-22),Less (1.917375236031126e-96),Greater (1.0),Equal (0.2705271275437048),Greater (0.9999999188333206),Equal (0.3512317765894968),Less (4.1915136937888525e-32),Less (0.0010003961091804598),Less (1.4923163544426306e-127),Greater (1.0),Greater (0.9813194126176048),Greater (0.9999996176658082),Less (0.010439559754106043),Less (0.0010317575231142593),Less (1.4996025049173008e-07),Less (3.8510378693122986e-18),Greater (0.9847744391541288),Equal (0.24482921081728704),Greater (0.9999999878416845),Equal (0.24694340990689445),Less (2.4553112902443318e-27),Less (2.074733330102882e-10),Less (4.128976036601023e-24),Less (4.581486315970319e-13),Equal (0.1437902141556872),Equal (0.1886117008827879),Equal (0.7125662592719895),Less (0.00010151037641662444),Greater (0.9999974875789687),Less (5.869501048782426e-111),Greater (0.9999876987068619),Greater (1.0),Greater (0.9999999999985838),Equal (0.8212726548161217),
executive-full,,,,,,,,,Equal (0.2250539309337687),Less (1.3619696070280316e-09),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (4.604547870331636e-130),Less (1.4040396112086894e-15),Less (1.1631315552131672e-51),Less (4.664452692012163e-111),Equal (0.4728685024754541),Equal (0.25330672274887023),Less (0.023151548152568768),Less (1.5923046312432315e-36),Less (8.090779948311095e-20),Less (6.844471820035051e-125),Greater (1.0),Greater (0.9954173124395482),Greater (0.9999999999859218),Greater (0.9881016840540826),Less (1.439725398633164e-50),Less (0.015896367182562963),Less (5.7116322389862756e-195),Greater (1.0),Greater (0.9999242064133453),Greater (0.9999999994623231),Equal (0.30515173254034),Equal (0.19213668960753438),Less (6.354829513955323e-06),Less (1.3215448913179886e-15),Greater (0.9998223384708504),Greater (0.9797335086997937),Greater (0.9999999999161998),Greater (0.9820921088664301),Less (1.7745020848289745e-24),Less (1.8415230121722903e-09),Less (4.834812836168126e-22),Less (2.919005497714454e-10),Equal (0.05613601138945128),Equal (0.11273158319232718),Equal (0.9888074917249602),Equal (0.5584460601600284),Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-content management,,,,,,,,,,Less (0.0001293608447366741),Less (8.193858970167552e-213),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.851697248471417e-78),Less (1.4726706444004445e-14),Less (1.7705328083644544e-40),Less (1.0487619232608021e-85),Equal (0.5986785654925233),Equal (0.2613908473339719),Less (0.015317816257745474),Less (4.854895983488676e-22),Less (8.440715930670356e-17),Less (5.521994958716088e-87),Greater (1.0),Greater (0.976939519656819),Greater (0.9999999976767284),Equal (0.08296212856642546),Less (1.5209155419479297e-26),Equal (0.0639661425627721),Less (1.4619058907895146e-123),Greater (1.0),Greater (0.9990842315987004),Greater (0.9999999764812763),Equal (0.1791584035962872),Equal (0.1891073533254618),Less (2.5671511998878538e-05),Less (1.6065763747957779e-13),Greater (0.9991889704773294),Equal (0.06151000796547784),Greater (0.999999998163937),Equal (0.09058495585861807),Less (6.145225755395253e-21),Less (2.187216217609255e-08),Less (8.786763631378373e-20),Less (1.2719335235209265e-09),Equal (0.07002377953408832),Equal (0.1263933689591356),Equal (0.9939619494186591),Equal (0.26771902635370004),Greater (1.0),Less (9.703924493789023e-135),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9973888954068323),
executive-data storage & processing,,,,,,,,,,,Less (2.744151140470851e-239),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.811832088187789e-67),Less (7.574881162823268e-12),Less (4.065878407975085e-35),Less (9.267244192273166e-65),Equal (0.08830216026203871),Equal (0.050090142716744744),Equal (0.288397164697789),Less (9.067485122703135e-16),Less (2.556811124504222e-12),Less (8.333225382357093e-84),Greater (1.0),Greater (0.9995909776864065),Greater (0.9999999999982114),Greater (0.998493713521924),Less (3.252748988942394e-22),Equal (0.37384845986798865),Less (1.1690790930281735e-129),Greater (1.0),Greater (0.9999979116467219),Greater (0.9999999999068018),Equal (0.9871402590452654),Equal (0.3874009233078517),Less (0.0008933349883989968),Less (2.909908674681024e-10),Greater (0.9999952828007507),Greater (0.9964743694414511),Greater (0.9999999999604151),Greater (0.9946473609514987),Less (2.538606812602404e-16),Less (1.2454875570442357e-07),Less (1.3800704822196445e-17),Less (1.0002149291273377e-06),Greater (0.9872149922971031),Equal (0.07785345913440397),Equal (0.7241871332742063),Greater (0.9999999998870276),Greater (1.0),Less (1.1362475325084242e-204),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
