,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Less (7.205097011519935e-33),Less (9.675594709890304e-149),Less (6.394792831491072e-55),Less (5.710858195513797e-72),Less (3.7624999569448464e-06),Less (9.317131760241297e-28),Less (6.8456250279002764e-43),Greater (1.0),Less (1.212187333223683e-07),Less (1.343660264269709e-19),Less (1.3835902208080096e-24),Less (3.397891901017343e-05),Less (2.8284920794945443e-08),Less (1.7999729268424745e-09),Greater (0.9999999999084905),Less (5.459759730796859e-254),Less (9.3401687409874e-37),Less (2.0163519040846488e-56),Less (5.519208933703935e-130),Less (9.412277268764263e-199),Less (1.563851660301886e-19),Less (4.5238580956500017e-23),Less (0.0),Greater (1.0),Less (0.0),Less (2.6628789968233195e-120),Greater (0.9999999999999994),Greater (1.0),Equal (0.08106641106269266),Less (3.530815178036406e-11),Greater (1.0),Greater (0.9999999999999467),Greater (1.0),Equal (0.36160620863059634),Equal (0.5122888515749233),Equal (0.11909740205705234),Equal (0.415490393520786),Equal (0.20915808583150997),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.9671828782904947),Greater (0.9999966479059945),Greater (0.9999845055055556),Greater (0.9999971487880812),Equal (0.26764728474485167),Greater (1.0),Equal (0.2208100249501792),Greater (1.0),Less (0.0008886296096273637),Equal (0.6716110287976749),Less (0.0040450447584636515),Equal (0.41837944821980966),Equal (0.661421381926151),Less (2.964402148492424e-05),
full-executive,,,Less (4.604547870331636e-130),Less (1.5923046312432315e-36),Less (1.439725398633164e-50),Equal (0.19213668960753438),Less (1.7745020848289745e-24),Equal (0.5584460601600284),Greater (1.0),Equal (0.2250539309337687),Less (1.4040396112086894e-15),Less (8.090779948311095e-20),Less (0.015896367182562963),Less (6.354829513955323e-06),Less (1.8415230121722903e-09),Greater (1.0),Less (1.4817417582975231e-239),Less (1.3619696070280316e-09),Less (1.1631315552131672e-51),Less (6.844471820035051e-125),Less (5.7116322389862756e-195),Less (1.3215448913179886e-15),Less (4.834812836168126e-22),Less (0.0),Greater (1.0),Less (0.0),Less (4.664452692012163e-111),Greater (1.0),Greater (1.0),Greater (0.9998223384708504),Less (2.919005497714454e-10),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.4728685024754541),Greater (0.9954173124395482),Greater (0.9999242064133453),Greater (0.9797335086997937),Equal (0.05613601138945128),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.25330672274887023),Greater (0.9999999999859218),Greater (0.9999999994623231),Greater (0.9999999999161998),Equal (0.11273158319232718),Greater (1.0),Greater (0.9999448721086929),Greater (1.0),Less (0.023151548152568768),Greater (0.9881016840540826),Equal (0.30515173254034),Greater (0.9820921088664301),Equal (0.9888074917249602),Greater (1.0),
full-existence-executive,,,,Greater (0.9999999999752028),Greater (0.999999955821429),Greater (1.0),Equal (0.07519955396441784),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.23699421001575027),Equal (0.564754828932519),Greater (0.999999997254999),Greater (0.9842430354563165),Less (0.00038422308386306937),Greater (1.0),Equal (0.40265523883888377),Greater (1.0),Less (1.0144675929348944e-05),Less (7.96616221051736e-17),Less (5.374370548854188e-29),Equal (0.7776637870719612),Less (2.0076744972547954e-07),Equal (0.10660001394721785),Greater (1.0),Equal (0.6211524666676723),Less (0.0014711231505817757),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.4655005039829002),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999923),Greater (1.0),Greater (1.0),Greater (0.9999999999982734),Greater (0.9999959686879362),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999996196443),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9994486635615069),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999693094628059),Greater (1.0),Greater (0.9999999998706917),Greater (0.9999999999960751),Greater (0.9849052450861513),Greater (1.0),
full-property,,,,,Equal (0.26358108643927725),Greater (0.9999999930959877),Less (3.855047833302931e-06),Greater (1.0),Greater (1.0),Greater (1.0),Less (4.583316088131111e-05),Less (0.0025142598673701514),Greater (0.9871143564723417),Equal (0.6543786212683843),Less (3.838736542792891e-05),Greater (1.0),Less (4.770174228929709e-14),Greater (0.9999999999999991),Less (9.4315660263698e-14),Less (9.264883219036658e-33),Less (1.05197750410968e-50),Less (0.00338765513083512),Less (8.037190265784678e-11),Less (4.3517300162426535e-12),Greater (1.0),Less (5.098722762651546e-25),Less (2.0733602460318708e-17),Greater (1.0),Greater (1.0),Greater (0.999999999994035),Less (0.006672673477814168),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999927955661438),Greater (0.9999999986045774),Greater (0.9999999999998958),Greater (0.9999967016106671),Greater (0.9992377255697946),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999376356037951),Greater (1.0),Greater (0.9999999999999999),Greater (0.999999999999999),Greater (0.9912154503471674),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.18969362069043805),Greater (0.9999999753714776),Greater (0.997518810975043),Greater (0.9999910696979298),Equal (0.2244061196816941),Greater (1.0),
full-existence-property,,,,,,Greater (0.9999999999087978),Less (9.093935266132108e-05),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0002478625961004642),Less (0.017991168939293308),Greater (0.9956006268115185),Equal (0.9444715018387955),Less (0.00018172749258460894),Greater (1.0),Less (2.2570455077129175e-10),Greater (1.0),Less (6.093032144417937e-11),Less (1.8750094241923654e-27),Less (2.5190097619443266e-44),Less (0.0179758899071965),Less (2.164466933580175e-09),Less (4.348827470287752e-08),Greater (1.0),Less (5.350808079775678e-19),Less (4.952609520950561e-13),Greater (1.0),Greater (1.0),Greater (0.9999999999984662),Equal (0.05340132138372483),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999981770663958),Greater (0.9999999995285686),Greater (0.999999999999977),Greater (0.9999982329323307),Greater (0.9993520419065857),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999768569495621),Greater (1.0),Greater (0.9999999999999998),Greater (0.9999999999999959),Greater (0.9915601911283513),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.11117532092421442),Greater (0.9999999878505824),Greater (0.9989788679378726),Greater (0.9999933256764785),Equal (0.18784425063873977),Greater (1.0),
full-executive-property,,,,,,,Less (1.1969554257396181e-14),Equal (0.19434525262053182),Greater (1.0),Equal (0.1891073533254618),Less (4.364767702756078e-11),Less (6.671521480788418e-11),Equal (0.23664809321725555),Less (0.0005646908787237107),Less (1.2084429213023427e-07),Greater (0.9999999999947223),Less (8.487219818497757e-32),Equal (0.3874009233078517),Less (1.1846512064009938e-26),Less (5.664552063112676e-51),Less (4.604630520507563e-67),Less (2.0254417978910593e-09),Less (6.662407854149851e-17),Less (3.004679035063788e-34),Greater (1.0),Less (1.3608843409211747e-56),Less (6.381900390064709e-42),Greater (1.0),Greater (1.0),Greater (0.999876000778488),Less (5.244036531670429e-07),Greater (0.9999999999999861),Greater (1.0),Greater (1.0),Equal (0.24242905821202754),Greater (0.9960935072801154),Greater (0.999882986353617),Greater (0.9883711238803324),Greater (0.9792950548175644),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.11863640609938647),Greater (0.9999999994610518),Greater (0.9999999928870984),Greater (0.9999999983143387),Equal (0.10021289808022846),Greater (1.0),Greater (0.9989682686459759),Greater (1.0),Equal (0.1800315380975317),Greater (0.9905270177274338),Equal (0.6704163361450914),Greater (0.9852220947773492),Equal (0.8274196500637342),Greater (0.99993486095768),
full-existence-executive-property,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.9268736471110808),Equal (0.09193807149934374),Greater (0.9999995539595163),Greater (0.9956636180126742),Less (0.006812065741544845),Greater (1.0),Equal (0.20554989376627741),Greater (0.9999999999999998),Equal (0.1833618134393019),Less (0.001302309999843284),Less (1.6772687318185217e-05),Equal (0.18256740092313206),Less (0.00026356032865679593),Greater (0.9929711677321108),Greater (1.0),Greater (0.9785194612416779),Equal (0.670337242793098),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.6036995448209793),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999907327),Greater (0.9999999999999999),Greater (1.0),Greater (0.9999999999701534),Greater (0.9999969347688065),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999981121991),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9995604930584975),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999833784289865),Greater (0.9999999999999978),Greater (0.9999999959527576),Greater (0.9999999999492398),Greater (0.9922181919742398),Greater (1.0),
full-,,,,,,,,,Greater (1.0),Equal (0.26771902635370004),Less (1.106128709656677e-15),Less (1.3307002220465092e-19),Less (0.01846461987900346),Less (9.957892667726636e-06),Less (2.9433462499237623e-09),Greater (1.0),Less (3.9268728902482754e-266),Less (1.129724267870579e-10),Less (2.5020263612122962e-51),Less (6.281338515960469e-125),Less (1.5290436033949277e-197),Less (1.8217093450812873e-15),Less (8.849579576964452e-22),Less (0.0),Greater (1.0),Less (0.0),Less (8.692653161593333e-113),Greater (1.0),Greater (1.0),Greater (0.9997863212832238),Less (3.7744085317513087e-10),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.48626660743196237),Greater (0.9937353437256451),Greater (0.9998888795652627),Greater (0.979665628155963),Equal (0.056940921515125316),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.24903059847438058),Greater (0.9999999999682566),Greater (0.9999999991041116),Greater (0.9999999998938177),Equal (0.11379604462849374),Greater (1.0),Greater (0.999898489639707),Greater (1.0),Less (0.021578622695799),Greater (0.9859547403762216),Equal (0.2793999025530305),Greater (0.9786135489118594),Equal (0.9955628134426319),Greater (1.0),
content management-existence,,,,,,,,,,Less (1.4754747200063752e-57),Less (3.592294206481786e-37),Less (2.214152923883051e-52),Less (5.518439544459587e-18),Less (1.312009918571713e-20),Less (1.7241499343604242e-13),Less (5.610050002291977e-48),Less (5.43776721256842e-255),Less (2.523614297865404e-102),Less (1.1647746921156639e-91),Less (1.496548088192284e-177),Less (7.536063125093076e-236),Less (7.449857456348459e-41),Less (1.201504346283788e-34),Less (0.0),Greater (0.99999999999393),Less (0.0),Less (6.398520430162165e-210),Greater (0.9997738783788886),Greater (0.9999999372892008),Less (0.003602565479655832),Less (5.929897736193396e-23),Less (2.5938258855953928e-36),Less (3.8234745805142477e-07),Greater (1.0),Less (5.107261517199351e-08),Less (1.7499128935057726e-05),Less (0.00011125467384801484),Less (0.00961923174911738),Equal (0.7110389962563102),Less (2.6151604067941604e-15),Greater (0.9996014766031804),Equal (0.9272583426340772),Less (0.001089318633187998),Equal (0.7957541735726195),Equal (0.6581520813395345),Equal (0.13412400200415933),Equal (0.9533127778118226),Less (4.506934045088474e-29),Less (6.0127076599786345e-34),Greater (0.9976991989421311),Less (2.210311903836011e-12),Less (2.03418010116339e-05),Less (1.0527161852630163e-13),Less (0.00950501067489024),Equal (0.07390472662034941),Less (3.422819973354569e-94),
content management-executive,,,,,,,,,,,Less (1.4726706444004445e-14),Less (8.440715930670356e-17),Equal (0.0639661425627721),Less (2.5671511998878538e-05),Less (2.187216217609255e-08),Greater (1.0),Less (1.4093726708692173e-89),Less (0.0001293608447366741),Less (1.7705328083644544e-40),Less (5.521994958716088e-87),Less (1.4619058907895146e-123),Less (1.6065763747957779e-13),Less (8.786763631378373e-20),Less (9.703924493789023e-135),Greater (1.0),Less (8.193858970167552e-213),Less (1.0487619232608021e-85),Greater (1.0),Greater (1.0),Greater (0.9991889704773294),Less (1.2719335235209265e-09),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.5986785654925233),Greater (0.976939519656819),Greater (0.9990842315987004),Equal (0.06151000796547784),Equal (0.07002377953408832),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.2613908473339719),Greater (0.9999999976767284),Greater (0.9999999764812763),Greater (0.999999998163937),Equal (0.1263933689591356),Greater (1.0),Greater (0.9789244232215387),Greater (1.0),Less (0.015317816257745474),Equal (0.08296212856642546),Equal (0.1791584035962872),Equal (0.09058495585861807),Equal (0.9939619494186591),Greater (0.9973888954068323),
