,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (0.9999999999999809),,Less (1.7737722097427947e-24),Less (1.6573870717688171e-22),Equal (0.07350195609218194),,Greater (0.999999997007265),Greater (0.9999484776089457),Greater (0.9999258736344057),,Less (8.02861730241424e-08),Less (0.010667783509767572),Equal (0.06942784288984696),,Greater (1.0),Less (3.5639571950292376e-35),Greater (0.9893445059650233),,Less (1.9765238941293875e-63),Less (2.5112934741436296e-37),Less (0.004182573654520078),,Less (3.144234667019399e-34),Greater (1.0),Less (3.6826196488726825e-55),,Greater (0.9999967161091702),Greater (0.9788620501221426),Equal (0.7174801235306627),,Greater (1.0),Greater (0.9999993663237999),Greater (1.0),,Greater (0.9835682588831103),Equal (0.17423504427871805),Equal (0.9160892407869328),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999944744953841),Equal (0.1203172128301921),Greater (0.9938101364207453),,Greater (1.0),Equal (0.23623015301653139),Greater (1.0),,Equal (0.968799591499812),Equal (0.6301094360271291),Equal (0.5471245601736292),,Greater (1.0),
full-executive,,,,Less (1.888316346337303e-89),Less (3.483760463467641e-43),Less (0.0006360398077785269),,Less (2.7334406704708766e-11),Greater (0.976310170806291),Equal (0.6457917825237872),,Less (7.864187067178557e-18),Less (0.00036757231329074565),Less (0.007275848007210343),,Greater (1.0),Less (4.2328370724756285e-100),Less (1.329903290014449e-08),,Less (2.38414708484705e-143),Less (1.2393663264510348e-60),Less (0.00021079697407423825),,Less (0.0),Greater (1.0),Less (0.0),,Greater (0.9965947942024274),Equal (0.21647760946717387),Equal (0.22414610947049407),,Greater (0.9999989677108523),Greater (0.9964015517816784),Greater (1.0),,Equal (0.8533110055538808),Equal (0.49326275028423283),Equal (0.6096942171311925),,Greater (1.0),Greater (0.9999999999999962),Greater (1.0),,Greater (0.9998611164188046),Equal (0.2407556212269304),Greater (0.9947657121860376),,Greater (1.0),Equal (0.17080000968582543),Greater (1.0),,Less (0.021709855378372736),Equal (0.9537564275004704),Equal (0.2573761072875538),,Greater (0.9999997437996095),
full-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-property,,,,,Less (2.0801553361914623e-06),Equal (0.5137429502142971),,Greater (1.0),Greater (1.0),Greater (1.0),,Equal (0.5151995335304953),Equal (0.42330889570794894),Equal (0.3010905071667378),,Greater (1.0),Less (0.0005480789266175442),Greater (1.0),,Less (2.793211996267013e-17),Less (5.606878376554643e-18),Equal (0.20753754235582555),,Greater (0.9999926064089296),Greater (1.0),Equal (0.3474245175379148),,Greater (1.0),Greater (0.9998847783051433),Equal (0.33963382160529343),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999322353),Greater (0.9986726927361039),Equal (0.48520257845593906),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.99999999999984),Greater (0.9960180800988947),Greater (0.9994611904218503),,Greater (1.0),Greater (0.9999999999277118),Greater (1.0),,Greater (0.9998801252118802),Equal (0.082779236412941),Equal (0.8274830549725438),,Greater (1.0),
full-existence-property,,,,,,Greater (0.9937944789755087),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9971431146665477),Equal (0.5562949238760655),Equal (0.7929670529638684),,Greater (1.0),Greater (0.9947683305583155),Greater (1.0),,Equal (0.45053652259375154),Less (0.00014200378602940335),Equal (0.9853686696843887),,Greater (0.9999999999997943),Greater (1.0),Greater (0.999999999825122),,Greater (1.0),Greater (0.9999990766367429),Greater (0.9768998882492208),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999999997),Greater (0.9999710283922165),Equal (0.1872246724783173),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9995557193156879),Greater (0.99980794300089),,Greater (1.0),Greater (0.9999999999999999),Greater (1.0),,Greater (0.999999995413207),Greater (0.9949746902006004),Equal (0.38640749694249155),,Greater (1.0),
full-executive-property,,,,,,,,Greater (0.9978434130828057),Greater (0.9995439314507998),Greater (0.9979904551467388),,Equal (0.35879585041900597),Equal (0.3052302388473591),Equal (0.23288316401402787),,Greater (0.9999684480561615),Equal (0.1245529549607623),Greater (0.9902388025897468),,Less (0.0006648743503281575),Less (1.7435511997729887e-06),Equal (0.15618966197148834),,Equal (0.9704246689865441),Greater (0.9999999990899432),Equal (0.45514058318404926),,Greater (0.9999587813849935),Greater (0.9968881265091442),Equal (0.599085942230849),,Greater (0.9998554644677862),Greater (0.9999495450265038),Greater (0.9999999999557532),,Greater (0.9979112842140724),Greater (0.9867442610865395),Equal (0.6465401203485113),,Greater (0.9999998663256602),Greater (0.9999999998091658),Greater (0.9999999999814545),,Greater (0.9999942216799909),Greater (0.9870063994053139),Greater (0.9988360487170448),,Greater (0.9999979186102002),Greater (0.9910935805563773),Greater (0.9999999999999911),,Equal (0.1137748642700278),Equal (0.20100311330311116),Equal (0.9788390596806417),,Greater (0.999839226427632),
full-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-,,,,,,,,,Greater (0.9977018157122487),Equal (0.16286796306040618),,Less (1.843721057038361e-15),Less (0.0008182576125639331),Less (0.010676291688548832),,Greater (1.0),Less (2.793463589273833e-93),Less (0.001623314767178039),,Less (4.870403346353532e-136),Less (2.6769618340838117e-57),Less (0.0004160026264447337),,Less (0.0),Greater (1.0),Less (0.0),,Greater (0.9995605553686763),Equal (0.13944679060561718),Equal (0.3131507122165754),,Greater (1.0),Greater (0.9998459149133829),Greater (1.0),,Equal (0.40232324149402277),Equal (0.34973622213074884),Equal (0.7054990164213817),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999744268187957),Equal (0.18402904398544295),Greater (0.9961983570054183),,Greater (1.0),Equal (0.5940875639784677),Greater (1.0),,Equal (0.14676635783123076),Equal (0.9169198037597281),Equal (0.312715791738184),,Greater (1.0),
content management-existence,,,,,,,,,,Less (0.015176626544592259),,Less (6.547974682357651e-12),Less (0.0005897005758596547),Less (0.009578231477621019),,Equal (0.6725145774132597),Less (1.4359935625804017e-24),Less (0.0004860548514947459),,Less (2.972684164161129e-40),Less (6.81223606727251e-35),Less (0.00021458090912085766),,Less (7.355385636948332e-19),Greater (0.9999995521212014),Less (1.1934084392694838e-32),,Equal (0.22985305473861806),Equal (0.353286389352512),Equal (0.20418431728046238),,Equal (0.27756302333062943),Equal (0.8265707079851482),Greater (0.9999999841393092),,Equal (0.30891359726737777),Equal (0.9050340977487239),Equal (0.4800265687562212),,Greater (0.9868224908055793),Greater (0.9999996443462426),Greater (0.9999999973749031),,Equal (0.05330374180096602),Equal (0.45767389623540566),Equal (0.05544451871951154),,Equal (0.3229908457630153),Less (0.009522695866771475),Greater (0.9999999999999999),,Less (0.004952515383565971),Equal (0.6233043689640535),Equal (0.2237586548794347),,Equal (0.07457709981870753),
content management-executive,,,,,,,,,,,,Less (2.762740138220823e-13),Less (0.0010131389958763404),Less (0.012100480878476434),,Greater (0.999998186044016),Less (7.076452045468318e-48),Less (0.013596146033331268),,Less (4.290029473137416e-79),Less (5.760398550175007e-47),Less (0.0004376712570234877),,Less (1.1514768882240957e-51),Greater (1.0),Less (4.558962481306543e-90),,Greater (0.9977626220444159),Equal (0.13454751001180565),Equal (0.3066470355191402),,Equal (0.06343208308676512),Greater (0.9931594169078238),Greater (1.0),,Equal (0.7728508244393045),Equal (0.44305067100089046),Equal (0.6698775198867531),,Greater (1.0),Greater (0.9999999999999604),Greater (1.0),,Greater (0.999744276189633),Equal (0.22561037836790132),Greater (0.9940732147304093),,Greater (0.9999999999998751),Equal (0.2750421900789273),Greater (1.0),,Equal (0.07437568522860188),Equal (0.9323568663504027),Equal (0.28247687485888817),,Equal (0.1559105438847291),
