,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Greater (1.0),Less (1.129536282285147e-297),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.99783932105634),Equal (0.06919989773473766),Equal (0.06298593264957013),Less (2.930964274364076e-17),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.399752895849954e-55),Less (5.715561026561116e-18),Less (9.045899154529836e-253),Greater (1.0),Greater (0.9999998663091166),Greater (1.0),Equal (0.08959707145110463),Greater (0.994614512904979),Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Less (2.034124447637264e-277),Equal (0.552780085670949),Equal (0.09388383415297807),Greater (0.9999999999907898),Less (1.4521827209334855e-21),Less (2.0820984880565028e-79),Less (1.199781788922512e-44),Less (8.94841675550081e-84),Less (0.0),Greater (1.0),Greater (0.9999999730716274),Greater (0.999999999999993),Less (1.308326189944267e-116),Less (7.652667421925937e-52),Less (6.75338515227007e-280),Greater (0.9999890459718981),Less (0.006119355398413057),Greater (0.999842733187474),Less (6.305681567741973e-08),Less (3.034311669476436e-69),Less (1.0463970953702955e-16),Less (0.0),Less (5.958576800097687e-10),Equal (0.3390283913247605),Less (2.76962320178096e-06),Less (7.593610378297847e-48),
existence-data storage & processing,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999996),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999564912),Less (2.0205147033425077e-18),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Equal (0.6269584011781615),Greater (0.9999999999999999),Less (3.198180780201056e-15),Less (1.7947993688842803e-77),Less (3.917316005542375e-43),Less (8.414193850869034e-100),Less (0.0),Greater (1.0),Greater (0.9999999999999626),Greater (1.0),Less (1.5892898923270493e-144),Less (1.2904642884323833e-59),Less (0.0),Greater (0.999996604709577),Equal (0.12256226202806297),Greater (0.9999974847692268),Less (7.7334092822555e-06),Less (9.057234224782138e-66),Less (1.5718118086515032e-08),Less (0.0),Less (0.00012692682936256403),Greater (0.9998319388992524),Equal (0.46078831209953663),Less (6.84786726365546e-27),
existence-soa and middlewares,,,,,,Greater (0.9999999999999961),Less (5.665878632915573e-15),Less (1.382420174309338e-53),Less (1.158744524527007e-31),Less (5.361884776964133e-64),Less (0.0),Greater (1.0),Greater (0.9999999999990711),Greater (1.0),Less (1.3958685239979402e-96),Less (6.769545936658033e-50),Less (3.1312543160013956e-262),Greater (0.9999957345674291),Equal (0.0852303343115151),Greater (0.9999991128111546),Less (3.0143341461621374e-06),Less (3.391056205688426e-43),Less (6.553732422920013e-06),Less (6.430403319953046e-263),Less (7.941221177054931e-06),Equal (0.07142615416706428),Equal (0.16350963315365497),Less (5.777416954618806e-24),
existence-software development tools,,,,,,,Less (8.326016076314113e-48),Less (6.996728377688584e-113),Less (3.4050401062739786e-76),Less (5.084417633778738e-118),Less (0.0),Greater (0.9999981690979137),Less (0.0045229437169389645),Equal (0.40264628297923555),Less (8.690814859136042e-148),Less (3.2601266435921416e-82),Less (1.271658454171884e-299),Equal (0.17944407402051654),Less (4.7851558192510024e-12),Equal (0.824346778574214),Less (3.097238565274123e-20),Less (1.2630128738355584e-101),Less (1.805953109811695e-46),Less (0.0),Less (8.357058645653245e-40),Less (6.785330458398326e-19),Less (6.854845781431265e-31),Less (1.1448362483575297e-79),
existence-web development,,,,,,,,Less (1.2052389632759886e-05),Less (0.000699994270608112),Less (1.6274893496156093e-13),Less (7.13242611219243e-186),Greater (1.0),Greater (1.0),Greater (1.0),Less (4.870456225106846e-33),Less (7.037481382540815e-21),Less (3.711655647243133e-163),Greater (1.0),Greater (0.9996346796305984),Greater (1.0),Equal (0.8146804202468809),Less (0.006385415475158962),Greater (0.9999999999799185),Less (2.712318506649107e-118),Greater (0.9999999997820932),Greater (1.0),Greater (1.0),Equal (0.15186824384452804),
executive-full,,,,,,,,,Equal (0.7329651369465309),Less (1.8082459926658277e-17),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.0009124845810285e-63),Less (3.160754405641752e-19),Less (3.2304290397000656e-303),Greater (1.0),Greater (0.9999999995347947),Greater (1.0),Greater (0.9912272477142499),Greater (0.9999999999997197),Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-content management,,,,,,,,,,Less (9.578387127989232e-05),Less (2.258548926219242e-182),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.951866621873502e-20),Less (4.747717421072156e-12),Less (5.827371471855032e-149),Greater (1.0),Greater (0.9999999844808425),Greater (1.0),Greater (0.9834749362892176),Greater (0.9928101813616678),Greater (1.0),Less (4.102424234286391e-113),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999769544),
executive-data storage & processing,,,,,,,,,,,Less (1.157181143902024e-189),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.3236619089679686e-14),Less (5.8625223515457425e-08),Less (3.364492843211125e-166),Greater (1.0),Greater (0.9999999999999971),Greater (1.0),Greater (0.9999830941012026),Greater (1.0),Greater (1.0),Less (2.8885234448282468e-157),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
