,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (2.6935816454873886e-195),Greater (1.0),Less (6.803368706361984e-86),Greater (1.0),Greater (0.9999999738518239),Greater (1.0),Greater (0.9999999999723979),Less (8.894089700060075e-127),Equal (0.5741982767811817),Greater (0.9999968497690085),Greater (1.0),Greater (1.0),Greater (0.9999999816640297),Less (0.004044107421196297),Less (3.981662057964251e-59),Less (0.02470172016579709),Equal (0.07603227626888592),Greater (0.9999999999576211),Equal (0.08709739348358023),Equal (0.15405104848072007),Less (7.050866584027614e-06),Less (2.5178681699170103e-116),Greater (0.9965218157397681),Less (0.0006837929474823025),Greater (0.9999999999989833),Greater (0.99030072407343),Greater (0.9999999683775599),Less (1.733806161594586e-06),Less (2.924826976184847e-96),Greater (0.9941736630611667),Less (9.874085794349076e-11),Greater (0.9999998153865362),Equal (0.8607519051073869),Greater (0.9999999975387724),Less (3.469548650987662e-45),Less (6.311714955223832e-72),Less (5.427987767481477e-24),Equal (0.08171259273773651),Equal (0.09084123183548659),Equal (0.10640222767132386),Equal (0.14358207785042454),Less (0.007282237282086184),Less (4.1711086261030875e-21),Equal (0.7951262502613778),Equal (0.8799375350793146),Greater (0.9869193652328356),Equal (0.9906523242595451),Equal (0.2929657930206515),Greater (1.0),Less (2.4915622872578576e-189),Greater (1.0),Less (2.572356916884786e-191),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (0.9999999999999944),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999950194832266),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.7654967230874503e-10),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999909700657992),Greater (0.9999999999986249),Greater (1.0),Less (1.114656871080615e-17),Greater (1.0),Greater (0.9999999902405563),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (7.654920068347475e-13),Greater (1.0),Greater (0.9999983725731464),Greater (1.0),Greater (0.9999999997852965),Greater (1.0),Greater (0.9999777837578533),Less (1.1454406358574428e-13),Equal (0.3428321876959812),Greater (0.9999999990959152),Greater (0.9999999999927666),Greater (0.9999673352213493),Greater (0.9999002261601527),Greater (0.9999999999116688),Less (4.4521445371688465e-07),Greater (0.9999991713723887),Greater (0.9999992397719933),Greater (0.9999978254354458),Equal (0.05932545118109498),Greater (0.9993670712880339),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Less (2.5457490127213986e-149),Greater (1.0),Equal (0.07350302354216098),Greater (1.0),Less (1.8022501806714752e-21),Less (2.101078186313758e-187),Less (1.9938826562034109e-28),Less (1.734738527107226e-18),Greater (1.0),Greater (0.9982289929366744),Less (3.463700109326077e-09),Less (1.9659286736773142e-26),Less (1.0086959425416346e-89),Less (1.6286944565604657e-11),Less (1.1060084456477013e-05),Greater (0.9999509953073499),Less (1.2020432398245915e-05),Equal (0.37372269624951937),Less (2.59428237236595e-34),Less (4.53478520814079e-166),Less (0.0004950389059349118),Less (3.1049183865151384e-12),Greater (0.9999978002890387),Equal (0.7910170479113903),Greater (0.998872746258971),Less (1.5959753050089033e-38),Less (2.6173990403934414e-142),Less (5.332417611409026e-06),Less (2.002924886916663e-27),Greater (0.9764483635521646),Less (0.008754918313418703),Greater (0.9996636447786752),Less (2.6727697197302135e-89),Less (1.3127982573234748e-106),Less (8.258488341984164e-47),Less (3.012057184310642e-07),Equal (0.6748774508366139),Less (3.295080823249688e-05),Less (0.00013325591972808437),Less (4.4751700657787945e-10),Less (2.8786934543738396e-30),Less (0.008127115325020475),Less (0.012890340929148349),Equal (0.20173323848892477),Equal (0.4295616565275683),Equal (0.8691323077934158),Less (2.572616609162087e-07),Less (1.999545356274988e-202),Greater (0.9999672019652768),Less (2.6800931503514627e-209),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.00032471681169132875),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.255583910587271e-21),Greater (0.9999999901954857),Greater (1.0),Greater (1.0),Greater (0.9891436519438846),Greater (0.9999999092804315),Greater (1.0),Less (1.8706602097453792e-39),Greater (1.0),Greater (0.9974571329673262),Greater (1.0),Greater (0.9999999999782726),Greater (1.0),Greater (1.0),Less (4.769701699185891e-30),Greater (1.0),Equal (0.2615860558827068),Greater (1.0),Greater (0.9999917573602335),Greater (1.0),Equal (0.13850257953261685),Less (1.716059962801554e-27),Less (0.004692222446737326),Greater (0.999787507633047),Greater (0.9999998740172771),Greater (0.9859046267861492),Greater (0.9795666139044946),Greater (0.9997803955979314),Less (4.164650852646797e-11),Greater (0.9992768215792821),Greater (0.9993247405762135),Greater (0.9999479318136031),Equal (0.21786805928756103),Greater (0.994483996801882),Greater (1.0),Greater (0.9999992084270697),Greater (1.0),Greater (0.9999978673990086),Greater (1.0),Greater (1.0),Greater (1.0),
existence-soa and middlewares,,,,,,Less (2.4900505508131056e-52),Less (4.2132001134692565e-12),Less (2.0694925004154354e-102),Less (5.471194871896407e-240),Less (1.8890023688972005e-110),Less (3.458083492526043e-99),Less (5.033848148127893e-21),Less (3.5961762237121656e-43),Less (2.2257976897723967e-85),Less (4.828470258246295e-106),Less (8.453913557563625e-188),Less (1.209771415931073e-66),Less (6.377837211295776e-61),Less (0.0013249477989044588),Less (8.482163328371117e-32),Less (1.3523445654498169e-14),Less (2.688001145108838e-116),Less (2.1607622220911683e-278),Less (8.275499145781132e-54),Less (2.1716027706680063e-61),Equal (0.06521462572061217),Less (1.9593770816364166e-14),Less (0.0004481639714922639),Less (1.9171862102919183e-120),Less (3.50755358895925e-251),Less (7.47483101840054e-64),Less (1.7990668563979116e-99),Less (2.0419769845270616e-10),Less (1.0333835916081884e-22),Less (0.0007248121996153338),Less (5.715445916417763e-185),Less (2.0940436875134952e-219),Less (9.708214243787877e-132),Less (2.0109733588018605e-44),Less (3.2708597721184164e-11),Less (4.9113834080489807e-29),Less (1.6369034266285138e-25),Less (5.636286195212655e-55),Less (6.98640151715754e-76),Less (1.255295797048473e-18),Less (9.373452318182871e-18),Equal (0.16021063356072207),Less (0.00044739405237461327),Less (0.0061202091850346505),Less (4.711458147782433e-84),Less (7.939973730591426e-215),Less (3.0507926440644674e-53),Less (1.2064862786697859e-225),Equal (0.15367802334915845),Less (6.785554623087074e-23),Less (8.199194665019094e-26),
existence-software development tools,,,,,,,Greater (1.0),Less (0.00038295897890875844),Less (8.037829631813035e-71),Less (2.8142769374774655e-07),Less (0.0002542708247507846),Greater (1.0),Greater (0.9999226262931986),Less (0.017720255748105897),Less (2.795557301891092e-10),Less (1.338407481191276e-65),Less (8.554686602701284e-07),Less (0.010002556585973463),Greater (0.9999954568491565),Less (0.00026357746372571595),Equal (0.7662340315922951),Less (1.642659638283446e-13),Less (2.8222632636126982e-108),Equal (0.13908375914090812),Less (1.9474827436503363e-08),Greater (0.9999998297336867),Equal (0.696996264534305),Greater (0.9998247370701191),Less (5.226303787178365e-14),Less (5.120386882270209e-93),Less (0.01801615215163603),Less (3.987948669637291e-18),Greater (0.9960950497255104),Equal (0.09701282680997263),Greater (0.9999567260223623),Less (1.3313238187763985e-46),Less (3.596844358687421e-79),Less (1.9949409579822306e-32),Less (4.2654366571617585e-05),Equal (0.894710406915421),Less (0.0005165088103609305),Less (0.0012165757868749546),Less (9.746119008145684e-07),Less (1.3694232931642852e-26),Equal (0.0752125547404299),Equal (0.0964110923532832),Equal (0.12729821935297145),Equal (0.5458806025705081),Equal (0.6919528522402917),Equal (0.46312212624069926),Less (5.812005875289131e-49),Greater (0.9999860360343019),Less (5.926672737727838e-52),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Less (3.6130833318087796e-44),Less (1.261620434887105e-154),Less (6.125588788846682e-51),Less (6.230303597523212e-43),Equal (0.15145041705264167),Less (3.260969138528219e-10),Less (1.1417930387349909e-33),Less (3.331441600547046e-51),Less (3.213939002363536e-120),Less (2.05499994997413e-30),Less (7.04877812399662e-24),Equal (0.586815717395174),Less (1.5550540469099894e-14),Less (3.101815049679627e-05),Less (1.867471503485065e-58),Less (1.5613086514368414e-188),Less (5.803878611819433e-20),Less (3.9631034249635845e-29),Equal (0.1458201395483746),Less (0.00011607020812978643),Equal (0.988431713474959),Less (5.545989342709507e-61),Less (5.838887775086482e-167),Less (5.31980615036876e-25),Less (3.9173306551605655e-52),Less (0.024096298978277458),Less (4.563094517237782e-09),Equal (0.8322722857654157),Less (5.9059370306717184e-111),Less (9.027543001649588e-142),Less (2.245445339783364e-75),Less (8.837734710082728e-20),Less (0.0005894391475501803),Less (3.18179491157972e-13),Less (1.244931856323223e-11),Less (1.819250694234294e-25),Less (6.909248937843996e-47),Less (6.687883019593703e-08),Less (1.820360623307976e-07),Equal (0.9776997900352019),Equal (0.05137744030001577),Equal (0.2883420846833312),Less (1.234910081096951e-31),Less (1.6090924770409927e-130),Less (2.1164322161855532e-13),Less (6.159178091710444e-137),Greater (1.0),Equal (0.27535438183459116),Equal (0.07289089004748799),
executive-full,,,,,,,,,Less (3.036061474916977e-192),Less (4.9603078894138915e-06),Equal (0.5416058234606187),Greater (1.0),Greater (1.0),Greater (0.9794079472879199),Less (6.053005660999298e-09),Less (2.265112762975044e-70),Less (0.00022457772759711122),Equal (0.9267194637464106),Greater (0.9999999957216164),Less (0.006505178430619374),Equal (0.44577931746460153),Less (2.5550844521626882e-14),Less (2.1803441093399674e-140),Equal (0.3969654031179909),Less (7.869402537523046e-06),Greater (0.9999999998893482),Equal (0.11203132766688612),Greater (0.9999988653012502),Less (1.1238157031733113e-16),Less (8.535767353470627e-117),Equal (0.7567773550897783),Less (2.529713998481462e-15),Greater (0.9999876494016577),Equal (0.5675192344143533),Greater (0.999999863936981),Less (1.2598721611421838e-63),Less (6.914776694840095e-85),Less (4.551032073617091e-31),Less (0.0034290976532752615),Equal (0.2822648914970083),Less (0.010372294549003116),Less (0.018326437295517837),Less (0.00015174178137021142),Less (4.7870760179723046e-24),Equal (0.3673696131926948),Equal (0.44543803669147564),Equal (0.05013566164636308),Equal (0.7966659682291087),Equal (0.42723021145664875),Greater (1.0),Less (0.0),Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.989030099463379e-15),Greater (0.9999999999994369),Greater (1.0),Greater (1.0),Greater (0.9990783698268902),Greater (0.9999999972506318),Greater (1.0),Less (6.710428270477469e-27),Greater (1.0),Greater (0.9999552237613178),Greater (1.0),Greater (0.9999999999997595),Greater (1.0),Greater (1.0),Less (6.1807451283528196e-21),Greater (1.0),Greater (0.9955366718565842),Greater (1.0),Greater (0.9999996979317758),Greater (1.0),Equal (0.33514038217020836),Less (1.0835053070021076e-19),Equal (0.3360567894603326),Greater (0.9999965971391119),Greater (0.999999992294309),Greater (0.9980193805900506),Greater (0.9968248764646888),Greater (0.9999980196449418),Less (8.344678771625645e-09),Greater (0.9999035401422887),Greater (0.9999292148698505),Greater (0.9999742298060039),Equal (0.13296665823698386),Greater (0.9969868565516617),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (0.9995260779337724),Greater (1.0),Greater (1.0),Greater (0.9999982048087784),Less (0.002325409472652666),Less (4.184964186013591e-59),Less (0.016474119501409812),Equal (0.129364435639396),Greater (0.9999999999068812),Equal (0.07240022704090861),Equal (0.1785492744899584),Less (4.638687882710967e-06),Less (1.805652529019071e-113),Greater (0.9914810990824985),Less (0.0005015712210828325),Greater (0.9999999999977442),Greater (0.9873547010726627),Greater (0.9999999431783065),Less (1.3117817426524165e-06),Less (2.076094845857818e-94),Greater (0.9834065119621102),Less (6.902498066859178e-11),Greater (0.9999996267395487),Equal (0.9300602857310835),Greater (0.9999999950943393),Less (2.696248170374257e-43),Less (1.333523126628379e-71),Less (5.0087634072014685e-24),Equal (0.06740086144279461),Equal (0.10646237059115092),Equal (0.09136726372018701),Equal (0.12802884990194635),Less (0.005088169868988738),Less (1.7030049808983423e-21),Equal (0.7317462501445653),Equal (0.826475765819938),Greater (0.9858528700468018),Equal (0.9631598015099482),Equal (0.30815244828681476),Greater (1.0),Less (1.6524602486617467e-109),Greater (1.0),Less (2.302061373802942e-112),Greater (1.0),Greater (1.0),Greater (1.0),
