,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (0.9999999999723979),Less (0.004044107421196297),Less (7.050866584027614e-06),Less (1.733806161594586e-06),Less (3.469548650987662e-45),Less (0.007282237282086184),Greater (1.0),Less (2.6935816454873886e-195),Less (8.894089700060075e-127),Less (3.981662057964251e-59),Less (2.5178681699170103e-116),Less (2.924826976184847e-96),Less (6.311714955223832e-72),Less (4.1711086261030875e-21),Less (2.4915622872578576e-189),Greater (1.0),Equal (0.5741982767811817),Less (0.02470172016579709),Greater (0.9965218157397681),Greater (0.9941736630611667),Less (5.427987767481477e-24),Equal (0.7951262502613778),Greater (1.0),Less (6.803368706361984e-86),Greater (0.9999968497690085),Equal (0.07603227626888592),Less (0.0006837929474823025),Less (9.874085794349076e-11),Equal (0.08171259273773651),Equal (0.8799375350793146),Less (2.572356916884786e-191),Greater (1.0),Greater (1.0),Greater (0.9999999999576211),Greater (0.9999999999989833),Greater (0.9999998153865362),Equal (0.09084123183548659),Greater (0.9869193652328356),Greater (1.0),Greater (0.9999999738518239),Greater (1.0),Equal (0.08709739348358023),Greater (0.99030072407343),Equal (0.8607519051073869),Equal (0.10640222767132386),Equal (0.9906523242595451),Greater (1.0),Greater (1.0),Greater (0.9999999816640297),Equal (0.15405104848072007),Greater (0.9999999683775599),Greater (0.9999999975387724),Equal (0.14358207785042454),Equal (0.2929657930206515),Greater (1.0),
full-executive,,,Less (6.053005660999298e-09),Less (2.5550844521626882e-14),Less (1.1238157031733113e-16),Less (1.2598721611421838e-63),Less (0.00015174178137021142),Greater (1.0),Less (5.506628511666202e-280),Less (3.036061474916977e-192),Less (2.265112762975044e-70),Less (2.1803441093399674e-140),Less (8.535767353470627e-117),Less (6.914776694840095e-85),Less (4.7870760179723046e-24),Less (0.0),Greater (1.0),Less (4.9603078894138915e-06),Less (0.00022457772759711122),Equal (0.3969654031179909),Equal (0.7567773550897783),Less (4.551032073617091e-31),Equal (0.3673696131926948),Greater (1.0),Less (7.511211013679528e-133),Equal (0.5416058234606187),Equal (0.9267194637464106),Less (7.869402537523046e-06),Less (2.529713998481462e-15),Less (0.0034290976532752615),Equal (0.44543803669147564),Less (0.0),Greater (1.0),Greater (1.0),Greater (0.9999999957216164),Greater (0.9999999998893482),Greater (0.9999876494016577),Equal (0.2822648914970083),Equal (0.05013566164636308),Greater (1.0),Greater (0.9996170418366749),Greater (1.0),Less (0.006505178430619374),Equal (0.11203132766688612),Equal (0.5675192344143533),Less (0.010372294549003116),Equal (0.7966659682291087),Greater (1.0),Greater (1.0),Greater (0.9794079472879199),Equal (0.44577931746460153),Greater (0.9999988653012502),Greater (0.999999863936981),Less (0.018326437295517837),Equal (0.42723021145664875),Greater (1.0),
full-existence-executive,,,,Equal (0.20989259062306298),Equal (0.21017026509856884),Less (5.983450770316143e-22),Equal (0.18461737911080178),Greater (1.0),Less (4.1250712310865346e-67),Less (1.9790647173743418e-41),Less (4.179892513545036e-44),Less (4.997566050947554e-77),Less (1.2758354260355266e-64),Less (1.5327659130443885e-53),Less (2.902320449266168e-18),Less (1.5600218965931304e-20),Greater (1.0),Greater (0.9976746038693162),Equal (0.5726575602893893),Greater (0.9999188688483699),Greater (0.9998821620783848),Less (1.3199895986392185e-15),Equal (0.7679201453792248),Greater (1.0),Less (4.261744106452478e-27),Greater (0.999999834027116),Greater (0.9990308580098547),Less (0.024146631487891423),Less (2.572257837669517e-06),Equal (0.4603286923186808),Equal (0.6698766729768281),Less (3.2888735582266528e-21),Greater (1.0),Greater (1.0),Greater (0.9999999999982446),Greater (0.9999999999999589),Greater (0.9999999933093495),Greater (0.9862329229460979),Greater (0.9931063713781548),Greater (1.0),Greater (0.9999999997204571),Greater (1.0),Equal (0.33466125423196125),Greater (0.9984988918095146),Equal (0.388326693406867),Equal (0.36450486755890255),Equal (0.8396296666313581),Greater (1.0),Greater (1.0),Greater (0.9999999992766),Greater (0.9791875433986424),Greater (0.9999999977527186),Greater (0.9999999998613874),Equal (0.43589821954642505),Equal (0.19993123184719175),Greater (1.0),
full-property,,,,,Equal (0.9529817725211119),Less (7.249787249527265e-18),Equal (0.47566708483559683),Greater (1.0),Less (3.504308034859819e-58),Less (3.8466943908065565e-34),Less (2.6412018312169168e-40),Less (3.046879198147631e-70),Less (9.322725894087477e-59),Less (5.2637197035339266e-49),Less (5.286807682055422e-17),Less (1.706939160383693e-14),Greater (1.0),Greater (0.9999953613514998),Equal (0.8197855930035431),Greater (0.9999988927739867),Greater (0.9999990415490274),Less (2.8490677655102095e-13),Equal (0.5132419384639467),Greater (1.0),Less (1.85745673108315e-21),Greater (0.999999999996053),Greater (0.9999765470364872),Equal (0.16386635985046338),Less (6.219853187446658e-05),Equal (0.8287300155420405),Equal (0.4373611161274965),Less (3.1273307837960075e-15),Greater (1.0),Greater (1.0),Greater (0.9999999999999287),Greater (0.9999999999999983),Greater (0.9999999996845719),Greater (0.9948156959924138),Greater (0.995567411132118),Greater (1.0),Greater (0.9999999999998358),Greater (1.0),Equal (0.5942475133010314),Greater (0.9996513406099751),Equal (0.1994650233549249),Equal (0.6011824845310929),Equal (0.729000706737001),Greater (1.0),Greater (1.0),Greater (0.9999999999999682),Greater (0.9921093804587503),Greater (0.9999999998212371),Greater (0.9999999999915249),Equal (0.6649546510128714),Equal (0.15227809895801428),Greater (1.0),
full-existence-property,,,,,,Less (2.0775917399709728e-19),Equal (0.4551427414262955),Greater (1.0),Less (6.498074093987325e-67),Less (4.5718618520312097e-39),Less (2.8038999008759064e-41),Less (2.2298275308462523e-73),Less (2.776669914937819e-61),Less (2.908012450196728e-50),Less (6.353045181015405e-17),Less (8.438884917148438e-18),Greater (1.0),Greater (0.9999986882284077),Equal (0.8335511466575494),Greater (0.9999992518158638),Greater (0.9999994994778387),Less (8.617840700265134e-14),Equal (0.5264319009231604),Greater (1.0),Less (7.22196849093818e-25),Greater (0.999999999999909),Greater (0.9999806048363015),Equal (0.14330950268672019),Less (3.722822789123705e-05),Equal (0.7855674621545583),Equal (0.45377155350631826),Less (5.102308205794117e-19),Greater (1.0),Greater (1.0),Greater (0.9999999999999205),Greater (0.999999999999998),Greater (0.9999999996540231),Greater (0.9943914794626213),Greater (0.9952568605161367),Greater (1.0),Greater (0.9999999999999477),Greater (1.0),Equal (0.57757834327879),Greater (0.9996181353087368),Equal (0.21115438969604283),Equal (0.5757882770412528),Equal (0.7285517722170596),Greater (1.0),Greater (1.0),Greater (0.9999999999999979),Greater (0.9914193399438308),Greater (0.9999999998040756),Greater (0.9999999999909339),Equal (0.6370271275223109),Equal (0.15651328306688778),Greater (1.0),
full-executive-property,,,,,,,Greater (0.9999606490796327),Greater (1.0),Less (2.221682875005361e-05),Equal (0.33514038217020836),Less (2.290563072382849e-15),Less (3.0158192327816267e-25),Less (1.308344922976341e-19),Less (6.135021910752535e-20),Less (1.6071934639996294e-09),Greater (0.999998154072183),Greater (1.0),Greater (1.0),Greater (0.9999999982462016),Greater (1.0),Greater (1.0),Equal (0.1377558684252107),Greater (0.9997408552739127),Greater (1.0),Equal (0.13850257953261685),Greater (1.0),Greater (1.0),Greater (0.999508355330194),Equal (0.061620161332688675),Greater (0.9999604459739062),Greater (0.9997840899038007),Greater (0.9999976534580235),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999650995964),Greater (0.9999680249876102),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9967554860540914),Greater (0.9999999999947554),Greater (0.9999980439096026),Greater (0.9949017216442663),Equal (0.16246395910545752),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999786722858),Greater (1.0),Greater (1.0),Greater (0.9921555119681494),Greater (0.9963011287723029),Greater (1.0),
full-existence-executive-property,,,,,,,,Greater (0.9999996857918019),Less (8.833850698054463e-11),Less (1.9804665029110777e-06),Less (1.9805801162537577e-19),Less (8.22494756097806e-26),Less (3.545599444567893e-22),Less (6.408269310112994e-24),Less (4.575137690675256e-13),Less (0.019648631731893268),Greater (0.9999999995525077),Greater (0.9949119129425069),Equal (0.4467475462237259),Greater (0.9997845755590433),Greater (0.9995679848575018),Less (4.643278716813257e-06),Equal (0.34494600760230565),Greater (0.9999999999999719),Less (0.00021961522103622835),Greater (0.9997688892267181),Greater (0.9990220634229418),Equal (0.5941927857624324),Less (0.019026736289132113),Equal (0.7541914323248946),Equal (0.29399888868826163),Less (0.015281077693732607),Greater (1.0),Greater (1.0),Greater (0.9999999999953595),Greater (0.9999999999998882),Greater (0.9999999841968861),Greater (0.995917264813632),Greater (0.9967249726460466),Greater (1.0),Greater (0.9999990255325605),Greater (0.9999999999998325),Equal (0.9710928820666),Greater (0.9995312763581417),Equal (0.1305880738799445),Equal (0.9487129413527093),Equal (0.6213762712401188),Greater (1.0),Greater (1.0),Greater (0.9999742291414093),Greater (0.9938011977033547),Greater (0.9999999982996833),Greater (0.9999999998395886),Equal (0.9876936473253625),Equal (0.11797406514413528),Greater (1.0),
full-,,,,,,,,,Less (0.0),Less (2.968843330335256e-289),Less (2.5594897198550046e-84),Less (1.2671764415858843e-169),Less (2.4723695885603046e-142),Less (7.462247838536324e-101),Less (2.085995361459869e-27),Less (0.0),Greater (0.9999997427383879),Less (1.851330944820601e-30),Less (6.191134824332237e-08),Equal (0.17372426707005706),Less (0.00984903988440677),Less (6.557511733871797e-41),Equal (0.0971347834834229),Greater (1.0),Less (6.082373234549053e-208),Less (1.8125219427108526e-16),Less (0.009215083266471007),Less (5.711639017870041e-09),Less (3.6647894845872156e-22),Less (4.80213321719247e-05),Equal (0.13397432350555252),Less (0.0),Greater (1.0),Greater (1.0),Greater (0.999999438648212),Greater (0.9999999820361785),Greater (0.9991613561204684),Equal (0.7356889433469913),Equal (0.10437632279191135),Greater (1.0),Equal (0.46312212624069926),Greater (0.9999999999999993),Less (0.0003581477544599435),Equal (0.5027281386252108),Equal (0.13841064427356065),Less (0.0007596048400486541),Equal (0.5990016809945242),Greater (1.0),Greater (1.0),Less (0.0019608124056124288),Equal (0.9525478448265734),Greater (0.9999558636987438),Greater (0.9999915688908182),Less (0.001987259639474791),Equal (0.6294303138445824),Greater (1.0),
content management-existence,,,,,,,,,,Greater (0.9999950194832266),Less (3.7654967230874503e-10),Less (1.114656871080615e-17),Less (7.654920068347475e-13),Less (1.1454406358574428e-13),Less (4.4521445371688465e-07),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.3428321876959812),Greater (0.9999991713723887),Greater (1.0),Greater (0.9999999999999944),Greater (1.0),Greater (1.0),Greater (0.9999999902405563),Greater (0.9999983725731464),Greater (0.9999999990959152),Greater (0.9999992397719933),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999927666),Greater (0.9999978254354458),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999909700657992),Greater (1.0),Greater (0.9999999997852965),Greater (0.9999673352213493),Equal (0.05932545118109498),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999986249),Greater (1.0),Greater (1.0),Greater (0.9999002261601527),Greater (0.9993670712880339),Greater (1.0),
content management-executive,,,,,,,,,,,Less (1.989030099463379e-15),Less (6.710428270477469e-27),Less (6.1807451283528196e-21),Less (1.0835053070021076e-19),Less (8.344678771625645e-09),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999994369),Greater (1.0),Greater (1.0),Equal (0.3360567894603326),Greater (0.9999035401422887),Greater (1.0),Greater (0.9996752865967512),Greater (1.0),Greater (1.0),Greater (0.9999552237613178),Greater (0.9955366718565842),Greater (0.9999965971391119),Greater (0.9999292148698505),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999992294309),Greater (0.9999742298060039),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9990783698268902),Greater (0.9999999999997595),Greater (0.9999996979317758),Greater (0.9980193805900506),Equal (0.13296665823698386),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999972506318),Greater (1.0),Greater (1.0),Greater (0.9968248764646888),Greater (0.9969868565516617),Greater (1.0),
