,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (0.9997410539670115),,Less (0.0004809449197158537),Equal (0.5477741201222901),Less (0.003813457934176906),,Greater (0.9999999997116957),Less (4.4619504954639684e-41),Less (1.1190849286074004e-68),,Less (1.0404297384265348e-60),Less (9.07634759178126e-13),Less (7.475917506927896e-06),,Less (2.0650589224132213e-35),Greater (0.99986475655432),Equal (0.11868624752034607),,Equal (0.19843714619542452),Equal (0.13943825476233526),Equal (0.06386680068772861),,Greater (1.0),Less (2.239037867832622e-10),Greater (1.0),,Less (0.00029062286945347296),Less (0.0035088740600675242),Equal (0.3228942486985741),,Less (3.9833723001755994e-25),Greater (0.9999999999999953),Greater (1.0),,Greater (0.9999575906184776),Equal (0.4291216923375293),Equal (0.9314983478703133),,Greater (1.0),Equal (0.5898146719138208),Greater (0.9999999434966108),,Equal (0.2346948591535445),Equal (0.269675399289653),Equal (0.9856441130253613),,Greater (1.0),Greater (0.9999999999958233),Greater (0.9999993547616235),,Greater (0.9995750322089642),Greater (0.9852424753876188),Less (0.015744498565891784),,Greater (1.0),
full-executive,,,,Less (1.0400464693595111e-12),Equal (0.055379612908841545),Less (0.0003746839489757561),,Greater (0.9999999972832229),Less (1.2741018799006733e-61),Less (3.186243917531032e-146),,Less (1.4855510793528965e-84),Less (3.609257887956834e-15),Less (1.2438392408268504e-06),,Less (1.0599231790429236e-300),Equal (0.055298123230991945),Less (3.6866654918374824e-11),,Equal (0.5565706936678991),Equal (0.5753481286274984),Less (0.011233390621583515),,Greater (1.0),Less (6.328380419823744e-18),Greater (0.9999999999999999),,Less (1.0175258953237068e-06),Less (0.000563732197858166),Equal (0.4428021343067975),,Less (6.832640574658806e-223),Greater (0.9999999999990704),Greater (1.0),,Greater (0.9994595677072241),Equal (0.6379780318032058),Equal (0.9319173201373261),,Greater (1.0),Equal (0.7354062187593425),Greater (0.9999014021314129),,Equal (0.5566923534949239),Equal (0.35894943541730917),Equal (0.8754279546778416),,Greater (1.0),Greater (0.9999999996662065),Greater (0.9985367554002258),,Greater (0.9971867531085546),Greater (0.9787607847944626),Less (0.00787038744224037),,Greater (1.0),
full-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-property,,,,,Equal (0.3027989613989106),Equal (0.08033359197517714),,Greater (1.0),Less (3.1195529246438214e-26),Less (6.146534159435333e-36),,Less (5.819576511462706e-43),Less (3.3503145375947113e-10),Less (6.114029814204819e-05),,Less (2.980592150408475e-09),Greater (0.9999999988306337),Greater (0.9884663272504355),,Greater (0.9998236420080293),Greater (0.9965815767092664),Equal (0.1955194444579329),,Greater (1.0),Less (8.310153550569521e-05),Greater (1.0),,Equal (0.0669643090487679),Equal (0.05088787087048223),Equal (0.19375367308875002),,Less (2.9581458685396065e-05),Greater (1.0),Greater (1.0),,Greater (0.999999551901774),Equal (0.21936310062882136),Equal (0.737625243301529),,Greater (1.0),Equal (0.08407445462106083),Greater (0.9999999999999942),,Greater (0.9788286753616295),Equal (0.17139485679487598),Equal (0.7850128975465249),,Greater (1.0),Greater (0.9999999999999977),Greater (0.9999999999999899),,Greater (0.9999842976800946),Greater (0.9914134425284944),Equal (0.07618600277110049),,Greater (1.0),
full-existence-property,,,,,,Less (0.01782667808983309),,Greater (0.9974212363777819),Less (2.0898815986884256e-16),Less (3.692650044794858e-15),,Less (1.0994377022775086e-26),Less (3.965237733417424e-10),Less (3.256676769549944e-05),,Less (0.00015208960503262386),Greater (0.9956322031651295),Equal (0.9687015376592549),,Equal (0.1828395628113768),Equal (0.11724495864763447),Equal (0.12128395405102904),,Greater (0.9999997307309488),Less (0.00016108912961684135),Greater (0.9999959614982711),,Less (0.012209054446157289),Less (0.011751572109091373),Equal (0.27770451405308993),,Less (0.0017838454706974231),Greater (0.9999999999961068),Greater (0.9999999999916811),,Greater (0.99989924647922),Equal (0.3631139569580436),Equal (0.8958715083392254),,Greater (1.0),Equal (0.41817992493673306),Greater (0.9996485726003033),,Equal (0.180910105356068),Equal (0.24875517769119293),Equal (0.9326598204341675),,Greater (0.9999999999999999),Greater (0.9999999998067586),Greater (0.9975787643318839),,Greater (0.9995135529676857),Greater (0.9863727349372513),Equal (0.05044977959028187),,Greater (0.9999999999999973),
full-executive-property,,,,,,,,Greater (0.9999287628408582),Less (0.006620718187468591),Equal (0.09542356750454699),,Less (8.955965465387712e-06),Less (0.0001331903764146837),Less (0.00364501800835691),,Equal (0.5799834812265745),Greater (0.9999144305458046),Greater (0.9907904279831671),,Greater (0.9986457846987596),Greater (0.9989144236519816),Equal (0.8273243256473723),,Greater (0.9999996251074487),Equal (0.8422574311283051),Greater (0.9999984595611925),,Equal (0.5399100308262581),Equal (0.636565486529125),Equal (0.06800285628319874),,Equal (0.34188219749153614),Greater (0.9999999999995643),Greater (0.9999999996355784),,Greater (0.9999991056683827),Equal (0.05394967972749436),Equal (0.3891378491249712),,Greater (1.0),Greater (0.9942425814267674),Greater (0.999987936993317),,Greater (0.9972429575949867),Equal (0.061500458393766916),Equal (0.43224526109132955),,Greater (0.9999999999896367),Greater (0.9999999999943593),Greater (0.999961430501162),,Greater (0.9999945246891709),Greater (0.9976171337362386),Equal (0.2847697655755692),,Greater (0.9999999999566528),
full-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-,,,,,,,,,Less (2.760555207797103e-73),Less (1.4689617143253893e-195),,Less (7.083969004708564e-97),Less (1.3478102738777877e-16),Less (3.9582574253950734e-07),,Less (0.0),Equal (0.6714508321362895),Less (9.110467762508409e-26),,Equal (0.05006350086522558),Equal (0.9194018129090376),Less (0.005562615439909121),,Greater (1.0),Less (3.757163711468597e-23),Greater (0.9999999997550116),,Less (1.5573555718323764e-08),Less (0.00016301657474433729),Equal (0.5309597384245515),,Less (0.0),Greater (0.9999999999357094),Greater (1.0),,Greater (0.9971186912809874),Equal (0.7958051758874307),Equal (0.8283462499039208),,Greater (1.0),Equal (0.3599799646389993),Greater (0.9819946741725225),,Equal (0.8596849052352102),Equal (0.4325935843369735),Equal (0.7773960790312244),,Greater (1.0),Greater (0.9999999914564444),Equal (0.42333738602255044),,Greater (0.9909030144107669),Equal (0.05519655040227685),Less (0.00508604565664724),,Greater (1.0),
content management-existence,,,,,,,,,,Greater (0.9908512634403219),,Less (0.00016126998515520418),Less (0.005842693080557204),Equal (0.07171730449774873),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (1.0),Equal (0.1851227500913486),,Greater (1.0),Greater (0.9999999882602196),Greater (1.0),,Greater (0.9999997476204877),Equal (0.15186523468223162),Greater (0.9984868335054933),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9998108938511617),Equal (0.09199367428860244),,Greater (1.0),Greater (0.9999999999998003),Greater (1.0),,Greater (0.9999999997702221),Greater (0.9980070134933479),Equal (0.10939435665689577),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.999909386929144),Equal (0.8412035989451665),,Greater (1.0),
content management-executive,,,,,,,,,,,,Less (3.009120283118949e-11),Less (0.0003249668489432592),Less (0.011704919795724225),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999999999999998),Equal (0.44107725797151565),,Greater (1.0),Greater (0.9999986774744246),Greater (1.0),,Greater (0.9999786236209681),Equal (0.4594717522129006),Greater (0.9957235806015046),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9990508015836976),Equal (0.15376591908943715),,Greater (1.0),Greater (0.9999999999830742),Greater (1.0),,Greater (0.9999999897918924),Greater (0.9951246899412639),Equal (0.18054118745534065),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999999986),Greater (0.9997413432336179),Equal (0.5912907117292108),,Greater (1.0),
content management-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
