,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (1.0835923357339281e-09),Equal (0.14161853668740734),Equal (0.8388449400265177),Greater (0.9998248074489929),Equal (0.4611552570388804),Equal (0.08883554111134402),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Equal (0.16469942434946416),Less (3.0570053965472784e-05),Equal (0.456069569109114),Greater (0.9999999189367372),Greater (0.9999345425881658),Greater (0.994840339024606),Equal (0.29121570333892965),Less (9.725889204448447e-34),Less (1.107690479484795e-06),Less (3.914542514301872e-27),Less (0.0006511783885204127),Equal (0.0794914103462876),Equal (0.06065183712780204),Less (0.020666761254505624),Greater (0.9999999967603215),Equal (0.42351341332743353),Greater (0.9998568579626328),Greater (0.9999906850234601),Equal (0.11433182274482254),Equal (0.18820542368070448),Equal (0.16508972601960237),,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (0.9999999999884135),Greater (0.9999916885872067),Greater (0.9999999999999275),Greater (0.9999827825860297),Greater (0.9909913427735058),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (0.9999999999973564),Equal (0.3603018868659047),Greater (0.9999999685154142),Greater (1.0),Greater (0.9999999999992474),Greater (0.9999999775819365),Greater (0.9999873161241389),Less (4.177809191326244e-08),Less (0.00034955129964663474),Less (6.368603067708157e-08),Equal (0.07977666091060545),Equal (0.925376364594285),Equal (0.4138578261616662),Equal (0.3739182641104216),Greater (0.9999999999999999),Greater (0.9752266957736248),Greater (0.9999999676080094),Greater (0.9999999482225587),Greater (0.9937680995040716),Greater (0.9903419573432939),Greater (0.9881416998135447),,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Equal (0.6020263482295307),Greater (0.9949293794554206),Equal (0.8880021145420496),Less (0.010895255161595325),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Equal (0.6988329974311088),Less (8.117558620949226e-07),Less (0.019664243465002777),Greater (0.9999959350296103),Greater (0.9992464940034588),Greater (0.9828167309690307),Equal (0.630582933800786),Less (1.9434740411012419e-35),Less (2.5970279902228625e-07),Less (3.345551619593603e-29),Less (0.00027596818156316497),Less (0.020497859999094252),Less (0.01762462987688355),Less (0.010753019370521708),Greater (0.9999999793308629),Equal (0.5221890213434783),Greater (0.9997239762703014),Greater (0.9999879077549069),Equal (0.13291499804500082),Equal (0.22921687329330764),Equal (0.19138347846773973),,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (0.9929332690853331),Equal (0.5909859755238955),Equal (0.18516753614344883),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Equal (0.5100958450665023),Less (0.0016634818956095792),Equal (0.6325195813884864),Greater (0.9999772704907981),Greater (0.9977639775779695),Greater (0.9756386774311481),Equal (0.3885795005632027),Less (4.648253158131952e-18),Less (1.4386153502131456e-05),Less (3.1441864763608924e-16),Less (0.0018292862544613943),Equal (0.11034332205881632),Equal (0.10674448623885147),Equal (0.08090959943938535),Greater (0.9999993721412553),Equal (0.4921647847203324),Greater (0.9989038521104837),Greater (0.9999489197801601),Equal (0.17811428404448715),Equal (0.2673928486718832),Equal (0.22044598221341472),,,,,,,,Greater (1.0),Greater (0.999999957973968),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-soa and middlewares,,,,,,Equal (0.11739871451604368),Less (6.658098373211206e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (0.0013491681605532569),Less (9.859857361681963e-10),Less (3.4896269856282244e-05),Equal (0.056214807678297264),Equal (0.2660787277932184),Equal (0.5597013244662757),Equal (0.2645228887804041),Less (1.8173147535487615e-32),Less (9.12527800118094e-09),Less (4.151709188612202e-29),Less (1.950724258872764e-05),Less (0.0028842033214098867),Less (0.003968130912968224),Less (0.0018628411792223423),Greater (0.9999657682129669),Equal (0.8259241829955472),Greater (0.9958102166843233),Greater (0.9998140507433739),Equal (0.2906897701154134),Equal (0.4269370025451359),Equal (0.3709061845282552),,,,,,,,Greater (1.0),Equal (0.12148599829584866),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-software development tools,,,,,,,Equal (0.08657120085072284),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Equal (0.8303931126710813),Less (0.0006776139154736738),Equal (0.30328184619546983),Greater (0.9988159760317313),Greater (0.9850313500599754),Equal (0.11237480026137309),Equal (0.7322141851938495),Less (3.0788200652593698e-15),Less (1.4485827396873253e-06),Less (1.0578448260134227e-14),Less (0.000536003664523117),Equal (0.052192421528306235),Less (0.02466022813153126),Less (0.015247932765200348),Greater (0.999997486090454),Equal (0.5586657295828568),Greater (0.9991682606062291),Greater (0.9999452670326912),Equal (0.1581949871465358),Equal (0.2548532838097607),Equal (0.23778784591946445),,,,,,,,Greater (1.0),Greater (0.9985359940628991),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (0.9948352810178579),Equal (0.21523999523554227),Equal (0.12855139965110113),Greater (0.9999999276665653),Greater (0.9999680282530157),Greater (0.9988944228688797),Greater (0.9789364246587247),Less (2.910513193152725e-11),Less (7.09345573179807e-05),Less (7.899993837464583e-11),Less (0.007646841455088996),Equal (0.31729709196555966),Equal (0.18555249919100736),Equal (0.18141360936053696),Greater (0.9999999971379518),Equal (0.3003649035129081),Greater (0.9999336467296202),Greater (0.9999950754750743),Equal (0.07631348323133501),Equal (0.12481294745886241),Equal (0.11412242334296643),,,,,,,,Greater (1.0),Greater (0.9999999999569779),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-full,,,,,,,,,Less (1.670611146484065e-102),Less (1.2435156291536197e-25),Equal (0.09353829379992054),Greater (0.9999999999851528),Less (3.3042152855173106e-07),Greater (1.0),,,,,,,,Less (0.0),Less (2.515465085538666e-275),Less (0.0),Less (5.3243545644798355e-143),Less (8.970981351324793e-131),Less (3.269035060508657e-76),Less (6.275473925230541e-106),Less (0.0),Less (8.242421063427877e-38),Less (0.0),Less (4.896941551837564e-36),Less (1.2502459949198905e-31),Less (7.19331172072784e-17),Less (1.0508521206529084e-19),Less (2.5424756581149303e-38),Less (3.488613337800794e-09),Less (8.977002098525237e-17),Less (5.794358266294453e-05),Less (4.1860870909061076e-06),Less (9.985911617616574e-07),Less (2.67162639242922e-05),,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (0.0),Less (7.462566416248751e-150),Less (0.0),Less (1.4811690798924017e-60),Less (9.186843996657572e-58),Less (3.4886410095175924e-36),Less (2.471743030694749e-54),Less (4.729469684075298e-251),Less (3.342253059237943e-28),Less (5.3566557395975897e-191),Less (1.659027584897183e-24),Less (2.1207710523504762e-20),Less (5.915013688916178e-12),Less (5.792343115461309e-14),Less (1.6567749927103002e-14),Less (2.3487315406537646e-05),Less (5.297886248633633e-07),Equal (0.10569799912159),Less (0.003063409392638996),Less (0.0009385976294069574),Less (0.00558854919242697),,,,,,,,Less (9.951463191244467e-156),Less (0.0),Less (5.23116820746402e-119),Less (0.0029395054716704542),Less (3.07902315195912e-103),Less (2.8787348547398538e-173),Less (2.625776428373532e-190),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Equal (0.3294792107558141),Greater (1.0),,,,,,,,Less (0.0),Less (1.3740097496726082e-238),Less (0.0),Less (3.678794184853241e-117),Less (3.2479296198066355e-108),Less (2.0768717518168556e-64),Less (6.452810987268804e-91),Less (0.0),Less (2.7906378934210384e-35),Less (2.602161428022221e-276),Less (7.908758835486365e-33),Less (1.133333518540321e-28),Less (1.2577063316707358e-15),Less (3.0295578957810664e-18),Less (6.5028825459823205e-31),Less (3.5580293790605706e-08),Less (8.86082087373378e-14),Less (0.0005941511255738733),Less (3.188964686653262e-05),Less (7.120244905342481e-06),Less (0.00012079027038562685),,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (1.2833839933120984e-210),Less (0.0),Less (0.0),Less (0.0),
executive-devops and cloud,,,,,,,,,,,,Greater (0.9999999639988788),Less (1.1420999530704812e-08),Greater (1.0),,,,,,,,Less (0.0),Less (2.9556112577444993e-298),Less (0.0),Less (3.986717998559836e-158),Less (7.532736688995667e-145),Less (2.15028772775995e-85),Less (2.3800447172669523e-117),Less (0.0),Less (1.120077744243726e-40),Less (0.0),Less (7.416204862410042e-39),Less (7.048461042811418e-35),Less (1.970199055994397e-18),Less (1.4200169493863556e-21),Less (1.1448096356246183e-43),Less (2.5013733785085114e-10),Less (4.0728249074046077e-19),Less (1.7398887818240747e-05),Less (9.081861853128647e-07),Less (1.6908738783103828e-07),Less (6.54666459858572e-06),,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (4.654758710156636e-16),Greater (1.0),,,,,,,,Less (0.0),Less (1.8332584884708607e-275),Less (0.0),Less (2.459737809951683e-152),Less (9.050143571797514e-140),Less (8.449441545111112e-84),Less (1.556319810077721e-113),Less (0.0),Less (5.5053966502273945e-40),Less (6.109301276383746e-306),Less (1.1541138328331645e-38),Less (3.16515692420234e-34),Less (4.615239320053091e-18),Less (3.824578932961926e-21),Less (2.2174313218243722e-44),Less (3.3657859952968667e-10),Less (1.6017438247815208e-19),Less (5.394907673874816e-06),Less (6.122413071443041e-07),Less (1.3913938551575522e-07),Less (5.907381403313971e-06),,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (2.0418765932235135e-287),Less (0.0),Less (0.0),Less (0.0),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),,,,,,,,Less (0.0),Less (4.295194213614033e-184),Less (0.0),Less (1.8712365268030993e-92),Less (3.3998923762306284e-87),Less (4.253457690027096e-53),Less (1.3945027588480815e-73),Less (1.9519655539594844e-293),Less (1.2929305871946082e-30),Less (2.478339995963517e-220),Less (8.997834174877637e-29),Less (2.5436570500820545e-24),Less (1.892840220332276e-13),Less (1.7167447482762473e-15),Less (9.083036089936704e-26),Less (6.480182826319099e-07),Less (7.726045400670614e-12),Less (0.0012670823351647587),Less (0.00010115225085612527),Less (3.721360796945023e-05),Less (0.00047736819080666077),,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (2.838007526217458e-88),Less (0.0),Less (0.0),Less (0.0),
