,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),Greater (0.9999999999998865),Less (4.165133620260835e-10),Less (4.194834468934048e-238),Greater (0.9999999999922524),Less (6.281905850722265e-49),Greater (1.0),Less (3.262623737316928e-299),Greater (1.0),Less (2.7166184387975274e-47),Less (2.02781684441845e-37),Less (1.6147586164363773e-73),Less (1.6095088239065525e-14),Less (1.0294143797660171e-17),Less (1.981103890548298e-144),Greater (1.0),Greater (1.0),Less (1.706265154493895e-11),Less (6.858969799457168e-06),Less (3.5447132044253663e-158),Greater (0.9999999999962322),Less (4.992784832178093e-31),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999912582609085),Less (6.716190878280449e-19),Greater (1.0),Less (0.0019827676135382322),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9988754026778596),Equal (0.17793321580227495),Less (5.955630219882825e-09),Greater (0.9974352420619341),Less (1.506694090918077e-05),Greater (1.0),Equal (0.7446832424968814),Greater (1.0),Less (0.00035146183661588276),Equal (0.6065386907324684),Less (9.550810112410107e-10),Equal (0.9208570376022966),Less (0.0013836975728626444),Greater (1.0),Less (1.694358791675917e-08),Greater (1.0),Equal (0.14336162681002687),Equal (0.7306484841586056),Less (4.407038976200282e-22),Greater (0.9999432165837889),Less (4.580994564692362e-08),Greater (1.0),
full-executive,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (2.0208963383982063e-260),Less (0.0),Less (0.0),Less (6.227150737966382e-192),Less (1.437667726040044e-54),Less (0.0),Less (0.0),Less (4.1925781534901725e-13),Less (0.0),Less (0.0),Less (0.0),Less (1.701743043815478e-131),Less (1.1333810809597781e-135),Less (0.0),Less (0.0),Greater (1.0),Less (7.039643103218161e-250),Less (1.611813553560932e-107),Less (6.400278676556273e-289),Less (4.4089875959666426e-58),Less (1.7501823467409404e-69),Less (0.0),Less (0.0),Greater (1.0),Less (1.0092917926900188e-125),Less (4.7875974287039066e-117),Less (3.066897875010191e-224),Less (2.953798307548996e-53),Less (3.950618626533275e-33),Less (0.0),Less (0.0),Less (0.0),Less (1.296952563061843e-95),Less (6.66263827927818e-123),Less (1.3253778445732814e-133),Less (1.6397148234506568e-76),Less (9.749032739680861e-19),Less (0.0),Less (0.0),Greater (1.0),Less (4.575478014803054e-87),Less (1.2704647165722817e-107),Less (1.1286672005412455e-198),Less (3.284353172271156e-37),Less (5.638891097378742e-30),Less (0.0),
full-existence-executive,,,,Less (1.404245626839593e-27),Less (7.444189552855354e-197),Equal (0.2207220469210619),Less (2.022216127577103e-61),Greater (1.0),Less (1.937363524319296e-238),Greater (1.0),Less (1.0001636953071841e-58),Less (6.024051028031897e-53),Less (2.0432380486950722e-91),Less (5.733810407260944e-23),Less (5.019310304370181e-21),Less (1.4032142374037703e-81),Equal (0.6605109686530335),Greater (1.0),Less (1.3662684172785002e-22),Less (5.814643133763026e-19),Less (1.1607294995529437e-161),Greater (0.9998974480174094),Less (3.4251178137730284e-38),Greater (1.0),Greater (0.9999998443105104),Greater (1.0),Greater (1.0),Equal (0.10746349455313735),Less (1.7521980556732996e-28),Greater (0.9999999999990107),Less (6.676457761361147e-06),Greater (1.0),Greater (0.9998612731782313),Greater (1.0),Equal (0.7682928208746986),Equal (0.24442315271707704),Less (1.177090602940114e-16),Equal (0.29282525954361527),Less (2.55302122928343e-07),Greater (1.0),Less (6.135475185681556e-07),Greater (1.0),Less (1.4817441853791724e-07),Less (0.0016092523535331932),Less (8.505806759230317e-16),Less (0.018149315718554708),Less (0.00011640115998427176),Greater (1.0),Less (7.792337980854693e-21),Greater (1.0),Less (0.0007085567694804087),Less (0.024800949134192615),Less (1.1477626705035632e-30),Greater (0.9894665248445581),Less (6.384280613766335e-10),Greater (1.0),
full-property,,,,,Less (9.862797381913573e-93),Greater (1.0),Less (3.890927429863332e-37),Greater (1.0),Less (2.2140425208358436e-125),Greater (1.0),Less (3.268570364250831e-39),Less (7.7567709660948e-24),Less (4.8514436156553716e-55),Less (2.363225571284069e-09),Less (3.5074405560403173e-17),Less (6.389486174684936e-06),Greater (1.0),Greater (1.0),Less (0.0007143039211897383),Equal (0.8738058858220471),Less (8.647005295767306e-81),Greater (1.0),Less (2.451941989034388e-27),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999998958606),Less (2.288692779587344e-11),Greater (1.0),Equal (0.10020144294425452),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999736120417),Greater (0.9994965370912523),Less (0.0002870162246154292),Greater (0.999996827723792),Less (0.00011359728811951488),Greater (1.0),Greater (0.9999965486906346),Greater (1.0),Less (0.02176571746664321),Equal (0.17687613529124468),Less (2.3881316811364546e-06),Equal (0.09986548095774238),Less (0.004171170488061798),Greater (1.0),Equal (0.5074484176932056),Greater (1.0),Equal (0.9853951845105388),Greater (0.9865334705478066),Less (3.1774845765853764e-16),Greater (0.9999999629493107),Less (1.2583174340454106e-07),Greater (1.0),
full-existence-property,,,,,,Greater (1.0),Less (7.090121579553204e-05),Greater (1.0),Less (0.001098182600622241),Greater (1.0),Less (3.086596082490308e-07),Equal (0.28342515362015275),Less (3.930823092285629e-06),Greater (0.9836818731096859),Less (2.5852587631832006e-07),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.07736765497175739),Greater (1.0),Less (8.05857875268583e-08),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9981158905459957),Greater (1.0),Greater (0.9995024040006828),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999777921716),Greater (1.0),Equal (0.4881071344450607),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999614704816202),Greater (1.0),Greater (0.9876803753962877),Greater (0.9999999999999865),Equal (0.725303840916043),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999998084995),Greater (1.0),Equal (0.6218565138051333),Greater (1.0),Less (0.00608865234567137),Greater (1.0),
full-executive-property,,,,,,,Less (1.6242252456269948e-62),Greater (1.0),Less (3.8525182232845216e-170),Greater (1.0),Less (4.915285215588599e-62),Less (2.639797969047501e-53),Less (1.4776519281602472e-90),Less (3.357212516919104e-25),Less (2.291913022262415e-23),Less (1.9401385382214986e-50),Equal (0.36817083773027925),Greater (1.0),Less (5.591273215518091e-23),Less (1.3706942185305332e-18),Less (5.631782147007576e-129),Greater (0.9977621863775438),Less (2.2275015026364734e-41),Greater (1.0),Greater (0.9950042916402916),Greater (1.0),Greater (1.0),Equal (0.373776503318076),Less (6.586359948084162e-30),Greater (0.9999999997065467),Less (1.0488444923432542e-06),Greater (1.0),Equal (0.06416086405727307),Greater (1.0),Equal (0.7882905578691657),Equal (0.07401181909562653),Less (5.776507590315306e-18),Equal (0.503383547247674),Less (3.720933691706269e-08),Greater (1.0),Less (7.042317122906528e-08),Greater (1.0),Less (1.0114447104986006e-08),Less (0.00019507520329803594),Less (1.3815530752000046e-17),Less (0.006871866807886528),Less (3.536671932415192e-05),Greater (1.0),Less (1.1826546588427687e-19),Greater (1.0),Less (8.685921064384669e-05),Less (0.006599248548304986),Less (5.3840238524101e-33),Equal (0.061529586158557616),Less (4.559951221275274e-11),Greater (0.9999992582748342),
full-existence-executive-property,,,,,,,,Greater (1.0),Greater (0.9963958397864063),Greater (1.0),Equal (0.277703367593525),Greater (0.9999460203843379),Equal (0.8182653574648356),Greater (0.9999881192691781),Less (0.0006260959776416586),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9974952750932485),Greater (1.0),Less (0.007216892983798399),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999991136207765),Greater (1.0),Greater (0.9999970952787626),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999787087),Greater (1.0),Equal (0.6042817312325015),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999444619346),Greater (1.0),Greater (0.9999827801563711),Greater (1.0),Equal (0.5783707863429851),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999996307),Greater (1.0),Greater (0.982541597872519),Greater (1.0),Equal (0.22252664390338994),Greater (1.0),
full-,,,,,,,,,Less (0.0),Greater (1.0),Less (1.0382355249335427e-90),Less (3.19842326171159e-104),Less (4.445845978606687e-155),Less (3.333277675542234e-44),Less (4.237468591838489e-26),Less (0.0),Less (1.0004068303848794e-112),Greater (1.0),Less (4.46447339452795e-68),Less (9.9146559049204e-88),Less (0.0),Equal (0.06237069166395396),Less (3.7504935137431174e-53),Greater (1.0),Less (2.612173067928639e-14),Greater (1.0),Greater (0.9999999999999953),Less (0.0010351129576805429),Less (2.4965146487722913e-62),Greater (0.993755589580105),Less (1.2698326658424842e-12),Greater (1.0),Less (5.877765229619371e-17),Greater (1.0),Less (3.2262311169861093e-06),Less (1.596641800607607e-08),Less (5.452315975165943e-40),Less (0.012339241522256213),Less (1.0951060697102142e-10),Greater (1.0),Less (5.892635687013176e-68),Greater (1.0),Less (6.606800668703342e-17),Less (6.757807150280935e-13),Less (5.532073488130012e-30),Less (4.7260886940921056e-08),Less (1.7351483298492553e-06),Equal (0.05368553062489227),Less (6.941576336912023e-120),Greater (1.0),Less (2.1889533910975114e-11),Less (1.2189749321371235e-09),Less (6.297402811031708e-54),Equal (0.44286412008591036),Less (9.5521452603172e-13),Less (1.109722385662317e-88),
content management-existence,,,,,,,,,,Greater (1.0),Less (3.357457139381658e-05),Greater (0.9970815491936436),Less (0.001963936378439629),Greater (0.9996326811585001),Less (1.4039802388898654e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.4433368406797509),Greater (1.0),Less (1.6388440477844117e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999988376617842),Greater (1.0),Greater (0.9999713286570605),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999960374),Greater (1.0),Equal (0.7733348319532225),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999994986508017),Greater (1.0),Greater (0.999483356366361),Greater (1.0),Equal (0.9842528768843705),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999951003),Greater (1.0),Equal (0.5764655279843128),Greater (1.0),Less (0.014442561242004371),Greater (1.0),
content management-executive,,,,,,,,,,,Less (8.887454343174307e-116),Less (1.0818996745361434e-136),Less (5.90905336530587e-193),Less (1.8100975622494695e-62),Less (1.5835072319684495e-32),Less (0.0),Less (1.1314827761297911e-113),Greater (1.0),Less (2.0053497063778305e-94),Less (8.828354469835292e-122),Less (0.0),Less (1.3242693918351929e-07),Less (2.0591249343406932e-67),Equal (0.06851003170313866),Less (4.622097289641515e-37),Greater (1.0),Equal (0.058403107733210724),Less (7.240739423566123e-10),Less (1.4830225561939584e-85),Equal (0.7726696960146824),Less (5.973823593024289e-19),Greater (1.0),Less (1.290004069171015e-40),Greater (1.0),Less (9.709575594645464e-14),Less (2.1649293416259176e-17),Less (1.2649054367618237e-58),Less (1.8774127491091323e-05),Less (2.705124136340286e-14),Less (1.197711044589663e-06),Less (7.048520980360244e-98),Greater (1.0),Less (6.571604209249239e-26),Less (4.6452423873617366e-23),Less (2.9761360044678216e-43),Less (3.660521587580931e-14),Less (1.6166416658190893e-08),Less (1.728621905251615e-22),Less (5.346256483398748e-145),Greater (1.0),Less (9.832266214820862e-19),Less (4.627690586269666e-18),Less (8.984690967185712e-73),Less (0.005190174861812562),Less (2.841881935048305e-16),Less (2.65405963833425e-58),
