,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),,Equal (0.16469942434946416),Less (9.725889204448447e-34),Greater (0.9999999967603215),,Greater (1.0),Less (1.0835923357339281e-09),Greater (1.0),,Less (3.0570053965472784e-05),Less (1.107690479484795e-06),Equal (0.42351341332743353),,Greater (1.0),Equal (0.14161853668740734),Greater (1.0),,Equal (0.456069569109114),Less (3.914542514301872e-27),Greater (0.9998568579626328),,Greater (1.0),Equal (0.8388449400265177),Greater (1.0),,Greater (0.9999999189367372),Less (0.0006511783885204127),Greater (0.9999906850234601),,Greater (1.0),Greater (0.9998248074489929),Greater (1.0),,Greater (0.9999345425881658),Equal (0.0794914103462876),Equal (0.11433182274482254),,Greater (1.0),Equal (0.4611552570388804),Greater (1.0),,Greater (0.994840339024606),Equal (0.06065183712780204),Equal (0.18820542368070448),,Greater (1.0),Equal (0.08883554111134402),Greater (1.0),,Equal (0.29121570333892965),Less (0.020666761254505624),Equal (0.16508972601960237),,Greater (1.0),
full-executive,,,,Less (0.0),Less (0.0),Less (2.5424756581149303e-38),,Less (0.0),Less (0.0),Less (1.670611146484065e-102),,Less (2.515465085538666e-275),Less (8.242421063427877e-38),Less (3.488613337800794e-09),,Less (0.0),Less (0.0),Less (1.2435156291536197e-25),,Less (0.0),Less (0.0),Less (8.977002098525237e-17),,Less (0.0),Less (0.0),Equal (0.09353829379992054),,Less (5.3243545644798355e-143),Less (4.896941551837564e-36),Less (5.794358266294453e-05),,Less (0.0),Less (5.239604274955216e-270),Greater (0.9999999999851528),,Less (8.970981351324793e-131),Less (1.2502459949198905e-31),Less (4.1860870909061076e-06),,Less (0.0),Less (1.798437281703028e-142),Less (3.3042152855173106e-07),,Less (3.269035060508657e-76),Less (7.19331172072784e-17),Less (9.985911617616574e-07),,Less (0.0),Less (2.1556442421448637e-236),Greater (1.0),,Less (6.275473925230541e-106),Less (1.0508521206529084e-19),Less (2.67162639242922e-05),,Less (0.0),
full-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-property,,,,,Less (6.884821983145747e-41),Greater (0.9999999978282931),,Greater (1.0),Less (2.6439680680108644e-12),Greater (1.0),,Less (4.6632192622260815e-07),Less (4.711251242888813e-08),Equal (0.4431740003532707),,Greater (1.0),Equal (0.6988329974311088),Greater (1.0),,Equal (0.06672835490075688),Less (3.895220626442052e-33),Greater (0.999916993965485),,Greater (1.0),Equal (0.5100958450665023),Greater (1.0),,Greater (0.9999990450350952),Less (0.00012017975193305972),Greater (0.9999908682656113),,Greater (1.0),Greater (0.9986509205925078),Greater (1.0),,Greater (0.9997887958788438),Less (0.018926488831614106),Equal (0.10634432741132961),,Greater (1.0),Equal (0.8303931126710813),Greater (1.0),,Greater (0.9922413804258402),Less (0.01376539222287996),Equal (0.1791644566249404),,Greater (1.0),Less (0.005165066977281448),Greater (1.0),,Equal (0.530419547865482),Less (0.007459650334102702),Equal (0.16457998151054887),,Greater (1.0),
full-existence-property,,,,,,Greater (1.0),,Greater (1.0),Greater (0.9999999582394558),Greater (1.0),,Greater (0.9999999993204991),Equal (0.16589352305814464),Greater (0.9981821547571438),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Equal (0.6871392189729144),Greater (0.9999999999955684),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Equal (0.9333714141732816),Greater (0.9999999998263522),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Equal (0.06614618559333041),Greater (0.9995337254368863),,Greater (1.0),Greater (0.9999999999999969),Greater (1.0),,Greater (0.9999999999999999),Equal (0.5038805224184129),Greater (0.9991427647877382),,Greater (1.0),Greater (0.9999999999709136),Greater (1.0),,Greater (0.9999999999999957),Equal (0.4308124160501937),Greater (0.9984965626328999),,Greater (1.0),
full-executive-property,,,,,,,,Equal (0.05676254231287782),Less (1.2667074679889976e-16),Greater (0.9999999999999835),,Less (4.2111027429628184e-15),Less (4.4014154744271057e-13),Equal (0.11190873133320427),,Less (6.71947268498229e-05),Less (2.067698225789877e-08),Greater (1.0),,Less (4.8829288251284064e-11),Less (2.5691084404207807e-25),Equal (0.9933541773420607),,Greater (0.9979148791714464),Less (6.28486976128799e-07),Greater (1.0),,Less (0.004996028478000355),Less (7.2283043814019214e-09),Equal (0.06600271757476929),,Greater (0.9999999999996334),Less (3.4267569267294933e-05),Greater (1.0),,Less (0.001698425049637392),Less (6.770042434173812e-07),Equal (0.7727848730351401),,Greater (0.9974581878335367),Less (2.519588855879001e-06),Greater (1.0),,Less (0.0014679200768364612),Less (9.724350508931423e-06),Equal (0.5284486910794544),,Equal (0.10209451327709794),Less (2.8674986533509888e-09),Greater (1.0),,Less (7.0410886924741355e-06),Less (1.3627862108365501e-06),Equal (0.7585333303898625),,Equal (0.26803051744040096),
full-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-,,,,,,,,,Less (1.7440815360325246e-116),Greater (1.0),,Less (2.226473643509962e-74),Less (1.8634236658373438e-17),Less (0.01801957371428642),,Less (0.0),Less (4.466726784986687e-215),Greater (1.0),,Less (9.503961913831549e-194),Less (8.173975640087266e-120),Equal (0.2030582643063813),,Greater (1.0),Less (1.6060426360485967e-61),Greater (1.0),,Less (6.592989393763447e-15),Less (1.958465493460246e-13),Equal (0.27923775129862793),,Greater (1.0),Less (7.637362673534042e-39),Greater (1.0),,Less (3.0967498007934408e-16),Less (3.966570880825228e-10),Equal (0.37412447234675505),,Greater (1.0),Less (5.380885770737095e-26),Greater (1.0),,Less (9.93768324343357e-11),Less (9.068299907936509e-07),Equal (0.21070040917890842),,Less (8.517524814450115e-17),Less (2.751121714682e-52),Greater (1.0),,Less (4.3347176098880936e-19),Less (9.377598488224349e-08),Equal (0.3668472172056052),,Less (8.99102411161226e-89),
content management-existence,,,,,,,,,,Greater (1.0),,Equal (0.3603018868659047),Less (0.00034955129964663474),Greater (0.9752266957736248),,Greater (1.0),Greater (0.9999999999884135),Greater (1.0),,Greater (0.9999999685154142),Less (6.368603067708157e-08),Greater (0.9999999676080094),,Greater (1.0),Greater (0.9999916885872067),Greater (1.0),,Greater (1.0),Equal (0.07977666091060545),Greater (0.9999999482225587),,Greater (1.0),Greater (0.9999999999999275),Greater (1.0),,Greater (0.9999999999992474),Equal (0.925376364594285),Greater (0.9937680995040716),,Greater (1.0),Greater (0.9999827825860297),Greater (1.0),,Greater (0.9999999775819365),Equal (0.4138578261616662),Greater (0.9903419573432939),,Greater (1.0),Greater (0.9909913427735058),Greater (1.0),,Greater (0.9999873161241389),Equal (0.3739182641104216),Greater (0.9881416998135447),,Greater (1.0),
content management-executive,,,,,,,,,,,,Less (7.462566416248751e-150),Less (3.342253059237943e-28),Less (2.3487315406537646e-05),,Less (0.0),Less (0.0),Greater (1.0),,Less (0.0),Less (5.3566557395975897e-191),Less (5.297886248633633e-07),,Less (5.23116820746402e-119),Less (8.289690132537248e-145),Greater (1.0),,Less (1.4811690798924017e-60),Less (1.659027584897183e-24),Equal (0.10569799912159),,Less (0.0029395054716704542),Less (1.8929258620648383e-114),Greater (1.0),,Less (9.186843996657572e-58),Less (2.1207710523504762e-20),Less (0.003063409392638996),,Less (3.07902315195912e-103),Less (8.344779648406452e-71),Greater (1.0),,Less (3.4886410095175924e-36),Less (5.915013688916178e-12),Less (0.0009385976294069574),,Less (2.8787348547398538e-173),Less (1.8562303061754275e-118),Greater (1.0),,Less (2.471743030694749e-54),Less (5.792343115461309e-14),Less (0.00558854919242697),,Less (2.625776428373532e-190),
