,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (0.0),Greater (0.9999086619136425),Greater (1.0),Greater (1.0),Equal (0.3703432258302257),Less (2.2116031513070333e-08),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.011936417395878e-78),Less (3.1842009752202755e-99),Less (2.2941643695442402e-63),Greater (0.9969658684177729),Equal (0.5389193420738383),Less (0.007110521548575644),Less (0.00016386876716653734),Greater (1.0),Less (3.2821499765005587e-69),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.07729526473978961),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (1.0),Equal (0.23868323283826487),Less (4.230115608478403e-13),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.6595936734158606e-86),Less (2.2902178677931525e-116),Less (4.2622176804552997e-76),Equal (0.18679993611306045),Equal (0.05223495726018725),Less (7.269345290045991e-05),Less (8.979419366164278e-07),Greater (1.0),Less (1.1571442925569686e-63),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Less (7.598385638293913e-09),Less (5.226542431058477e-39),Less (7.316887084146646e-73),Greater (1.0),Greater (0.9999999998907364),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.5420679244914653e-227),Less (2.6241597814699385e-185),Less (3.671753261811156e-187),Less (1.3643800607479006e-15),Less (1.0444879752103381e-22),Less (1.575812271048601e-25),Less (2.0825148412340824e-29),Greater (0.9999999999999999),Less (5.726115247179222e-249),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.20999194173913005),
existence-soa and middlewares,,,,,,Less (3.0092068890598846e-16),Less (2.4192290975484155e-38),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.34306423567475e-116),Less (7.995019679942876e-150),Less (8.490634040172441e-112),Less (4.4433730455083104e-06),Less (6.102744744931133e-12),Less (4.969281718511677e-16),Less (3.8879090605753086e-19),Greater (1.0),Less (6.202117360065942e-94),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999999),
existence-software development tools,,,,,,,Less (1.3585419043292635e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.7879947370952726e-28),Less (2.492916582452341e-74),Less (2.9708132608210573e-33),Equal (0.08731611231277372),Equal (0.308088171071498),Less (0.0035210615091388064),Less (9.316358733660832e-05),Greater (1.0),Less (4.6526074769534275e-12),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (7.16752127067246e-07),Less (3.0724622807689766e-41),Less (6.972622742635436e-11),Greater (0.9999999662643956),Greater (0.9909337914411329),Equal (0.5827852434242159),Equal (0.5728390571577371),Greater (1.0),Equal (0.8996168755962357),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-full,,,,,,,,,Less (0.0),Less (9.592742820990084e-28),Greater (1.0),Greater (1.0),Less (2.6099306170599354e-275),Greater (1.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (2.5913760460069495e-290),Less (1.8002622170417105e-302),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0),Less (4.2124577958668e-268),Less (3.2655523809699357e-285),Less (2.3375912674938692e-35),Less (6.234571143241699e-43),Less (1.7810960387826495e-45),Less (5.969703834620838e-51),Equal (0.5387884764378054),Less (0.0),Greater (1.0),Greater (1.0),Greater (0.9999976005191912),Equal (0.8241495610389831),Less (2.0753144738702915e-12),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Less (7.851272286526654e-135),Greater (1.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (2.409171699135839e-283),Less (2.2731304935147307e-244),Less (1.2457194656934926e-253),Less (0.0),Less (0.0),Less (0.0),Less (1.6942057371450854e-57),Less (0.0),Less (0.0),Less (0.0),
executive-devops and cloud,,,,,,,,,,,,Greater (0.9996590266544728),Less (0.0),Greater (0.9998182276824082),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (0.0),Equal (0.445971089333963),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (0.0),Less (0.0),Less (0.0),Less (6.268046864268594e-98),Less (7.046891059591229e-98),Less (1.8731026865982476e-89),Less (3.6554824063726206e-97),Less (7.9330605446674985e-140),Less (0.0),Less (8.747485172628143e-68),Greater (1.0),Less (2.8406977477744537e-75),Less (1.6015066001166818e-126),Less (1.5494371331898033e-199),
executive-web development,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
property-full,,,,,,,,,,,,,,,,Less (3.673471293373994e-36),Less (0.002338925661143703),Greater (1.0),Greater (0.9999999988677604),Greater (0.999697405574326),Greater (0.9815001364278086),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
