,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (2.0462027050612128e-08),Equal (0.8477288830280836),Equal (0.4675897090183462),Greater (0.9999939604849034),Equal (0.228738641440133),Equal (0.32832900257142283),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.36595647972980005),Less (0.00010271089199747034),Less (0.01879892257813918),Greater (0.9999999943141344),Greater (0.9999862971224939),Greater (0.9977496819250972),Equal (0.1299882837165133),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (0.9999999748095993),Greater (0.9999934714171956),Greater (0.9999999999999897),Greater (0.9999906652672321),Greater (0.9962171295901066),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999993830612),Equal (0.37135484435788324),Greater (0.9999826710764514),Greater (1.0),Greater (0.9999999999995938),Greater (0.9999999881026524),Greater (0.999995708081642),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Equal (0.5116312560567561),Greater (0.9999775409938233),Equal (0.26694943992506837),Equal (0.3136977318752391),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.6205302002840521),Less (7.10134107509584e-05),Less (0.01697901684874528),Greater (0.9999999816563591),Greater (0.9999744937562955),Greater (0.9972599543574477),Equal (0.1594440428227929),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (0.9955144020079432),Equal (0.5347139148227718),Equal (0.27020707030502755),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.8607270011113224),Less (0.000993832101660739),Equal (0.08073739203990167),Greater (0.9999684073319456),Greater (0.9970839875535533),Equal (0.05336318782240099),Equal (0.34515640290229666),Greater (1.0),Greater (0.9999999999389401),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-soa and middlewares,,,,,,Equal (0.09963790032690414),Less (7.924121572322613e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.1018164487530012e-05),Less (9.949595905650155e-11),Less (1.4728824405886973e-08),Equal (0.10042825354251768),Equal (0.4274208331478696),Equal (0.7620678905779149),Equal (0.2055677709898448),Greater (1.0),Greater (0.9917153430224382),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-software development tools,,,,,,,Equal (0.10803579334947093),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.36838848714516625),Less (0.00032229058655740007),Less (0.019923848868208645),Greater (0.9978613309502543),Greater (0.9781489791310639),Equal (0.14040237972870495),Equal (0.7469667462167338),Greater (1.0),Greater (0.9998761579563159),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.12232668102546335),Equal (0.10421897594719307),Equal (0.8987820363346883),Greater (0.9999996646515078),Greater (0.9999280226901492),Greater (0.9982484706655277),Greater (0.9760345576939615),Greater (1.0),Greater (0.9999999999992923),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-full,,,,,,,,,Less (7.994054940866245e-104),Less (2.2478107021890253e-26),Equal (0.059712109887112924),Greater (0.9999999999860562),Less (2.401585990607138e-07),Greater (1.0),Less (0.0),Less (0.0),Less (0.0),Less (2.779524690122598e-175),Less (3.4749794911958157e-162),Less (8.657907205774502e-95),Less (9.310848014936064e-126),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0),Less (1.3741889417667455e-170),Less (0.0),Less (1.6933650895308395e-74),Less (2.0665916736123193e-72),Less (8.207492195981466e-46),Less (1.1122937987972994e-64),Less (3.0355748778864497e-153),Less (0.0),Less (1.1934661964366404e-116),Less (0.006562311875703525),Less (3.518147546366634e-101),Less (1.2535547341864517e-170),Less (1.0146396544220587e-187),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Equal (0.31474096458362044),Greater (1.0),Less (0.0),Less (1.9078020955431045e-272),Less (0.0),Less (4.719907402974068e-143),Less (3.4288492747055337e-134),Less (2.744643112024847e-80),Less (7.453856122332154e-108),Less (0.0),Less (0.0),Less (0.0),Less (3.4231956885462375e-205),Less (0.0),Less (0.0),Less (0.0),
