,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
full-existence,,Greater (1.0),Less (2.011936417395878e-78),Greater (1.0),Less (0.0),Greater (1.0),Less (3.1842009752202755e-99),Less (3.2821499765005587e-69),Greater (0.9999086619136425),Greater (1.0),Less (2.2941643695442402e-63),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9969658684177729),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.5389193420738383),Greater (1.0),Equal (0.3703432258302257),Greater (1.0),Less (0.007110521548575644),Greater (1.0),Less (2.2116031513070333e-08),Greater (1.0),Less (0.00016386876716653734),Greater (1.0),
full-executive,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (9.592742820990084e-28),Less (0.0),Less (0.0),Less (0.0),Greater (1.0),Less (0.0),Less (0.0),Less (0.0),Greater (1.0),Less (0.0),Less (0.0),Less (0.0),Less (2.6099306170599354e-275),Less (2.5913760460069495e-290),Less (0.0),Less (0.0),Greater (1.0),Less (1.8002622170417105e-302),Less (0.0),
full-property,,,,Greater (1.0),Less (1.1495799609871558e-109),Greater (1.0),Less (3.673471293373994e-36),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.002338925661143703),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999988677604),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999697405574326),Greater (1.0),Greater (0.9999992832532866),Greater (1.0),Greater (0.9815001364278086),Greater (1.0),
full-nonarch,,,,,Less (0.0),Equal (0.5387884764378054),Less (0.0),Less (0.0),Less (0.0),Greater (1.0),Less (0.0),Greater (1.0),Less (7.396630644764476e-17),Greater (1.0),Less (1.2873155412116007e-39),Greater (1.0),Less (1.818998120361073e-44),Greater (1.0),Less (1.8035401182055086e-46),Greater (1.0),Less (2.408925962493203e-105),Greater (1.0),Less (3.2003979240557735e-47),Equal (0.05368553062489227),Less (6.438042321355542e-178),Greater (1.0),Less (3.8613839301327418e-53),Less (1.109722385662317e-88),
content management-existence,,,,,,Greater (1.0),Equal (0.07729526473978961),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-executive,,,,,,,Less (4.2124577958668e-268),Less (0.0),Less (2.3430331401016502e-150),Greater (1.0),Less (3.2655523809699357e-285),Greater (1.0),Less (1.092645587768853e-10),Greater (1.0),Less (2.3375912674938692e-35),Greater (1.0),Less (5.070029002176939e-30),Greater (1.0),Less (6.234571143241699e-43),Greater (0.9999976005191912),Less (4.1577408019621437e-78),Greater (1.0),Less (1.7810960387826495e-45),Equal (0.8241495610389831),Less (2.1146630954485482e-126),Greater (1.0),Less (5.969703834620838e-51),Less (2.0753144738702915e-12),
content management-property,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-nonarch,,,,,,,,,Greater (1.0),Greater (1.0),Less (1.3455431538045151e-27),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999982094),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.998557597991427),Greater (1.0),Greater (0.9999999999953474),Greater (1.0),Equal (0.5694658198432669),Greater (1.0),Equal (0.8996168755962357),Greater (1.0),Equal (0.45056710092961616),Greater (1.0),
data storage & processing-existence,,,,,,,,,,Greater (1.0),Less (4.2622176804552997e-76),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.18679993611306045),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.05223495726018725),Greater (1.0),Equal (0.23868323283826487),Greater (1.0),Less (7.269345290045991e-05),Greater (1.0),Less (4.230115608478403e-13),Greater (1.0),Less (8.979419366164278e-07),Greater (1.0),
data storage & processing-executive,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),Greater (1.0),Less (0.0),Less (1.6942057371450854e-57),Less (0.0),Greater (1.0),Less (2.409171699135839e-283),Less (0.0),Less (0.0),Less (7.851272286526654e-135),Less (2.2731304935147307e-244),Less (0.0),Less (0.0),Greater (1.0),Less (1.2457194656934926e-253),Less (0.0),
