,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (3.262623737316928e-299),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.7446832424968814),Less (1.694358791675917e-08),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999998865),Less (2.7166184387975274e-47),Less (1.706265154493895e-11),Greater (1.0),Greater (0.9988754026778596),Less (0.00035146183661588276),Equal (0.14336162681002687),Less (4.165133620260835e-10),Less (2.02781684441845e-37),Less (6.858969799457168e-06),Greater (0.9999912582609085),Equal (0.17793321580227495),Equal (0.6065386907324684),Equal (0.7306484841586056),Less (4.194834468934048e-238),Less (1.6147586164363773e-73),Less (3.5447132044253663e-158),Less (6.716190878280449e-19),Less (5.955630219882825e-09),Less (9.550810112410107e-10),Less (4.407038976200282e-22),Greater (0.9999999999922524),Less (1.6095088239065525e-14),Greater (0.9999999999962322),Greater (1.0),Greater (0.9974352420619341),Equal (0.9208570376022966),Greater (0.9999432165837889),Less (6.281905850722265e-49),Less (1.0294143797660171e-17),Less (4.992784832178093e-31),Less (0.0019827676135382322),Less (1.506694090918077e-05),Less (0.0013836975728626444),Less (4.580994564692362e-08),Greater (1.0),Less (1.981103890548298e-144),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.357457139381658e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999994986508017),Greater (0.9999999999951003),Greater (1.0),Greater (0.9970815491936436),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9989018259835979),Less (0.001963936378439629),Equal (0.4433368406797509),Greater (0.999988376617842),Greater (0.9999999999960374),Greater (0.999483356366361),Equal (0.5764655279843128),Greater (1.0),Greater (0.9996326811585001),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.003604265572740018),Less (1.4039802388898654e-06),Less (1.6388440477844117e-06),Greater (0.9999713286570605),Equal (0.7733348319532225),Equal (0.9842528768843705),Less (0.014442561242004371),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (0.9999999878635314),Greater (0.9999370580403324),Less (8.384136931142748e-11),Less (2.8885332370341494e-32),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.6605109686530335),Less (5.333932171195488e-69),Less (2.898372767796718e-28),Greater (1.0),Equal (0.9011872092310624),Less (9.838099217844399e-09),Less (0.00020558328149550642),Less (9.135082038998305e-47),Less (1.1118489306111302e-65),Less (3.375069578683669e-27),Equal (0.1734825860284046),Equal (0.10484812922588552),Less (0.00028767697176777194),Less (0.008772491761555593),Less (0.0),Less (7.597344838483261e-113),Less (7.701203971203445e-236),Less (5.25542005840389e-35),Less (4.341703600562426e-20),Less (1.9974003294016887e-18),Less (4.8715664616468574e-36),Equal (0.36817083773027925),Less (3.428265943332225e-27),Greater (0.9999005856647635),Greater (0.999999999999734),Equal (0.2897430316324012),Less (0.00832335910793953),Greater (0.9884869901959078),Less (9.153737640088974e-73),Less (3.7078242652569367e-23),Less (5.469796911217723e-43),Less (1.469309490979779e-06),Less (4.93205718415827e-08),Less (4.700812479789927e-05),Less (7.683983000348568e-11),Greater (1.0),Less (1.754847875334136e-223),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Equal (0.3656496371796836),Less (9.893138065071762e-17),Less (2.3014179444091775e-36),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.5569176293572198e-07),Less (2.1570676722994907e-57),Less (8.363177444199267e-32),Greater (1.0),Equal (0.0815261654199411),Less (1.7189055672708304e-09),Less (6.0395219970899985e-06),Less (4.6525885908363987e-45),Less (1.9408552250591558e-56),Less (4.8981333310798333e-29),Equal (0.7890418140576969),Less (0.005045229992130452),Less (2.2565367244320476e-05),Less (0.0005957805636262242),Less (1.2387760544014305e-228),Less (6.256088573399968e-89),Less (3.67000951219897e-178),Less (2.5955202725861314e-33),Less (1.7393305479117303e-20),Less (3.412995391089548e-17),Less (2.0171762033855135e-32),Less (0.004995776558423667),Less (6.484300529323154e-25),Equal (0.37293228117799404),Greater (0.9999959580806179),Equal (0.5170987214549214),Less (0.0008282069248175855),Equal (0.48921110553119496),Less (5.125156711271296e-63),Less (3.8401761559118607e-19),Less (1.3718599188727385e-36),Less (1.4500454818585046e-07),Less (1.4778475151635062e-07),Less (0.00011022400094176154),Less (2.5096532086900813e-09),Greater (0.9999999999999739),Less (1.2098374889781249e-138),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999999),Greater (0.9776578739365719),
existence-soa and middlewares,,,,,,Less (6.40645319821666e-16),Less (5.297594572042774e-35),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.00013872888816255947),Less (1.9541431916351767e-70),Less (8.49254747673672e-33),Greater (1.0),Equal (0.17053742134804017),Less (8.812911334429082e-11),Less (3.742068931896202e-06),Less (4.1834161362874354e-45),Less (4.7836062475226334e-67),Less (2.80323693230606e-31),Equal (0.8658615022958721),Less (0.002322621933904316),Less (3.6991050089011167e-06),Less (0.00025361551140528694),Less (4.445993191056233e-227),Less (1.2482477198154252e-109),Less (1.0576502456572534e-189),Less (2.2592329840148333e-38),Less (1.3147053787973627e-23),Less (6.490914432508498e-21),Less (8.150265946345554e-39),Equal (0.06416086405727307),Less (3.616510671164757e-30),Equal (0.08511674376659761),Greater (0.9999999568455676),Equal (0.9472402907875456),Less (0.0005143557835451895),Equal (0.2259957635733777),Less (3.61745309100408e-74),Less (4.763109493169007e-24),Less (7.198272213196591e-45),Less (3.212338171128045e-08),Less (6.698196281833389e-09),Less (1.7251066886187003e-05),Less (1.7667663452829955e-11),Greater (0.9999999999999999),Less (3.1652294244966045e-110),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9996399360238222),
existence-software development tools,,,,,,,Less (7.3303934926013085e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999993864663276),Less (5.65631246715832e-45),Less (1.1294249275359758e-09),Greater (1.0),Greater (0.9978590236948488),Less (0.0002972608096325715),Equal (0.12416073169524854),Less (3.451382098946272e-06),Less (7.768043065470663e-33),Less (9.633269036857833e-05),Greater (0.9999530487962045),Equal (0.26058695448597147),Equal (0.5245479799717542),Equal (0.8375453277230196),Less (6.859690454216785e-104),Less (2.5981992787313804e-64),Less (6.728494104911132e-94),Less (4.0229574269835824e-17),Less (1.8046576366647624e-08),Less (9.348199718381816e-10),Less (3.1249202899986823e-21),Greater (0.9999999295799573),Less (3.791926405649531e-14),Greater (0.999999999850266),Greater (1.0),Greater (0.9969496289988833),Equal (0.884049348335618),Greater (0.9999180082263194),Less (1.997811856311273e-44),Less (2.0560886285445286e-18),Less (5.030435959104619e-31),Less (0.0017489002340644168),Less (9.929696573081706e-06),Less (0.0010096083588837005),Less (2.038994628792168e-08),Greater (1.0),Less (4.2288366089373005e-20),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.4609564222270962e-29),Less (0.0030688450565002283),Greater (1.0),Greater (0.9999996319386638),Equal (0.10169679879525742),Equal (0.8775146819525236),Equal (0.5074484176932056),Less (2.0613801168539428e-17),Equal (0.5793345522935365),Greater (0.9999999992894237),Greater (0.9995878395700553),Equal (0.11875306460768137),Greater (0.9878898740300148),Less (2.60150889859548e-59),Less (4.533993111791189e-40),Less (2.0475970361570387e-55),Less (2.7011291516063488e-08),Less (0.0020981435405578656),Less (6.12543483004847e-05),Less (2.193754225937767e-12),Greater (1.0),Less (3.4713244762054427e-07),Greater (1.0),Greater (1.0),Greater (0.9999697661039489),Equal (0.1283070963307027),Greater (0.999999639378524),Less (1.2343131917518436e-28),Less (7.576256845350628e-14),Less (6.580568002416873e-22),Equal (0.14520738150022688),Less (0.0005581550122368699),Less (0.010538820474169286),Less (3.1113357192195084e-06),Greater (1.0),Less (0.0041314380201848844),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-full,,,,,,,,,Less (0.0),Less (4.1925781534901725e-13),Greater (1.0),Greater (1.0),Less (0.0),Greater (1.0),Less (0.0),Less (2.0208963383982063e-260),Less (0.0),Less (7.039643103218161e-250),Less (1.0092917926900188e-125),Less (1.296952563061843e-95),Less (4.575478014803054e-87),Less (0.0),Less (0.0),Less (0.0),Less (1.6118135535609315e-107),Less (4.787597428703905e-117),Less (6.66263827927818e-123),Less (1.2704647165722817e-107),Less (0.0),Less (0.0),Less (0.0),Less (6.400278676556273e-289),Less (3.066897875010191e-224),Less (1.3253778445732814e-133),Less (1.1286672005412455e-198),Less (0.0),Less (6.2271507379663835e-192),Less (1.701743043815478e-131),Less (4.4089875959666426e-58),Less (2.953798307548996e-53),Less (1.6397148234506568e-76),Less (3.284353172271156e-37),Less (0.0),Less (1.4376677260400436e-54),Less (1.1333810809597781e-135),Less (1.7501823467409404e-69),Less (3.950618626533275e-33),Less (9.749032739680861e-19),Less (5.638891097378742e-30),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.4389462059501253e-75),Less (8.887454343174307e-116),Less (2.0053497063778305e-94),Equal (0.058403107733210724),Less (9.709575594645464e-14),Less (6.571604209249238e-26),Less (9.832266214820862e-19),Less (1.0809604643926174e-198),Less (1.0818996745361432e-136),Less (8.828354469835292e-122),Less (7.240739423566123e-10),Less (2.1649293416259176e-17),Less (4.6452423873617366e-23),Less (4.627690586269666e-18),Less (0.0),Less (5.90905336530587e-193),Less (0.0),Less (1.4830225561939584e-85),Less (1.2649054367618237e-58),Less (2.976136004467821e-43),Less (8.984690967185709e-73),Less (6.370410628207636e-40),Less (1.8100975622494695e-62),Less (1.3242693918351929e-07),Equal (0.7726696960146824),Less (1.8774127491091323e-05),Less (3.660521587580931e-14),Less (0.005190174861812562),Less (2.880876342233758e-129),Less (1.5835072319684495e-32),Less (2.0591249343406935e-67),Less (5.973823593024289e-19),Less (2.705124136340286e-14),Less (1.6166416658190893e-08),Less (2.8418819350483043e-16),Less (9.941726735242902e-26),Less (0.0),Equal (0.06851003170313866),Greater (1.0),Less (1.197711044589663e-06),Less (1.7286219052516145e-22),Less (2.65405963833425e-58),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Less (3.5472724592857985e-185),Greater (1.0),Less (0.0),Less (3.796881999984227e-245),Less (0.0),Less (6.126260241802161e-187),Less (1.8850067841914867e-110),Less (3.771122306238895e-88),Less (6.368048291573177e-79),Less (0.0),Less (0.0),Less (0.0),Less (1.0156002748574184e-94),Less (2.988062676637617e-105),Less (1.0882112668070085e-111),Less (3.1364512856595924e-97),Less (0.0),Less (0.0),Less (0.0),Less (1.4790203157286465e-262),Less (2.4543838032112497e-204),Less (9.253085450303158e-125),Less (3.5308791427618755e-185),Less (0.0),Less (2.594959241260842e-178),Less (1.702852966157908e-112),Less (9.01238718360915e-49),Less (7.255175058064589e-47),Less (9.474941153807198e-70),Less (1.4327888098980235e-32),Less (8.802704840916648e-300),Less (3.738574341845954e-53),Less (1.3303894109369921e-129),Less (4.73129742225763e-64),Less (1.909891458198203e-31),Less (6.158743315962075e-18),Less (4.882657038314509e-29),Less (0.0),Less (0.0),Less (0.0),Less (1.63060373522242e-190),Less (0.0),Less (0.0),Less (0.0),
