,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
full-existence,,Greater (1.0),Equal (0.36595647972980005),Greater (1.0),Less (2.0462027050612128e-08),Greater (1.0),Less (0.00010271089199747034),Greater (1.0),Equal (0.8477288830280836),Greater (1.0),Less (0.01879892257813918),Greater (1.0),Equal (0.4675897090183462),Greater (1.0),Greater (0.9999999943141344),Greater (1.0),Greater (0.9999939604849034),Greater (1.0),Greater (0.9999862971224939),Greater (1.0),Equal (0.228738641440133),Greater (1.0),Greater (0.9977496819250972),Greater (1.0),Equal (0.32832900257142283),Greater (1.0),Equal (0.1299882837165133),Greater (1.0),
full-executive,,,Less (0.0),Less (0.0),Less (0.0),Less (7.994054940866245e-104),Less (0.0),Less (0.0),Less (0.0),Less (2.2478107021890253e-26),Less (0.0),Less (0.0),Less (0.0),Equal (0.059712109887112924),Less (2.7795246901225987e-175),Less (0.0),Less (2.1692166514107477e-296),Greater (0.9999999999860562),Less (3.4749794911958157e-162),Less (0.0),Less (6.2572538508269e-156),Less (2.401585990607138e-07),Less (8.657907205774502e-95),Less (0.0),Less (3.8292305050891425e-252),Greater (1.0),Less (9.310848014936064e-126),Less (0.0),
full-property,,,,Greater (1.0),Less (6.169979376328448e-10),Greater (1.0),Less (8.34821852967002e-06),Greater (1.0),Equal (0.6205302002840521),Greater (1.0),Less (0.0026940805683034167),Greater (1.0),Equal (0.8607270011113224),Greater (1.0),Greater (0.9999999708689133),Greater (1.0),Greater (0.9999789832728699),Greater (1.0),Greater (0.9999760404648432),Greater (1.0),Equal (0.36838848714516625),Greater (1.0),Greater (0.9974316190533261),Greater (1.0),Equal (0.12232668102546335),Greater (1.0),Equal (0.20766796451685976),Greater (1.0),
full-nonarch,,,,,Less (7.341573652352516e-131),Greater (1.0),Less (2.8146977875979415e-89),Less (0.0),Less (0.0),Greater (1.0),Less (3.291138042430463e-296),Greater (1.0),Less (1.963603404509567e-71),Greater (1.0),Less (7.887906114918348e-21),Greater (1.0),Less (9.234494252172832e-46),Greater (1.0),Less (8.461038838629514e-23),Greater (1.0),Less (3.629559507411485e-30),Greater (1.0),Less (8.331500163194687e-15),Less (8.517524814450115e-17),Less (1.3723062539519186e-57),Greater (1.0),Less (4.7552458725856916e-24),Less (8.991024111612258e-89),
content management-existence,,,,,,Greater (1.0),Equal (0.37135484435788324),Greater (1.0),Greater (0.9999999748095993),Greater (1.0),Greater (0.9999826710764514),Greater (1.0),Greater (0.9999934714171956),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999897),Greater (1.0),Greater (0.9999999999995938),Greater (1.0),Greater (0.9999906652672321),Greater (1.0),Greater (0.9999999881026524),Greater (1.0),Greater (0.9962171295901066),Greater (1.0),Greater (0.999995708081642),Greater (1.0),
content management-executive,,,,,,,Less (1.3741889417667455e-170),Less (0.0),Less (0.0),Greater (1.0),Less (0.0),Less (1.1934661964366404e-116),Less (8.956537982612265e-158),Greater (1.0),Less (1.6933650895308395e-74),Less (0.006562311875703525),Less (8.355558265830026e-126),Greater (1.0),Less (2.0665916736123188e-72),Less (3.518147546366634e-101),Less (4.522274773113284e-78),Greater (1.0),Less (8.207492195981466e-46),Less (1.2535547341864518e-170),Less (2.501928332254537e-126),Greater (1.0),Less (1.1122937987972994e-64),Less (1.0146396544220587e-187),
content management-property,,,,,,,,Greater (1.0),Greater (0.9999289938805076),Greater (1.0),Greater (0.9961583017415054),Greater (1.0),Greater (0.999006416651912),Greater (1.0),Greater (0.9999999999995586),Greater (1.0),Greater (0.9999999999005623),Greater (1.0),Greater (0.999999999718195),Greater (1.0),Greater (0.9996778914832136),Greater (1.0),Greater (0.9999996053576148),Greater (1.0),Equal (0.10421897594719307),Greater (1.0),Greater (0.9998973194202604),Greater (1.0),
content management-nonarch,,,,,,,,,Less (1.640135003174928e-48),Greater (1.0),Less (7.14209598891043e-61),Greater (1.0),Less (6.106004365938337e-11),Greater (1.0),Equal (0.7563757279931825),Greater (1.0),Less (0.008284667156312674),Greater (1.0),Equal (0.43332208139985284),Greater (1.0),Less (0.00012384235748838835),Greater (1.0),Equal (0.34315185318415387),Greater (1.0),Less (7.076149177469576e-13),Greater (1.0),Less (0.0012665321407449763),Greater (1.0),
data storage & processing-existence,,,,,,,,,,Greater (1.0),Less (0.01697901684874528),Greater (1.0),Equal (0.5116312560567561),Greater (1.0),Greater (0.9999999816563591),Greater (1.0),Greater (0.9999775409938233),Greater (1.0),Greater (0.9999744937562955),Greater (1.0),Equal (0.26694943992506837),Greater (1.0),Greater (0.9972599543574477),Greater (1.0),Equal (0.3136977318752391),Greater (1.0),Equal (0.1594440428227929),Greater (1.0),
data storage & processing-executive,,,,,,,,,,,Less (0.0),Less (0.0),Less (6.439218539616362e-292),Greater (1.0),Less (4.719907402974068e-143),Less (3.4231956885462375e-205),Less (8.236708882176895e-241),Greater (1.0),Less (3.428849274705534e-134),Less (0.0),Less (2.8863438673027406e-132),Equal (0.31474096458362044),Less (2.744643112024847e-80),Less (0.0),Less (3.0951235668590426e-212),Greater (1.0),Less (7.453856122332154e-108),Less (0.0),
data storage & processing-property,,,,,,,,,,,,Greater (1.0),Equal (0.08073739203990167),Greater (1.0),Greater (0.9999999999829781),Greater (1.0),Greater (0.9999999852734514),Greater (1.0),Greater (0.9999999292865569),Greater (1.0),Greater (0.9800781509539227),Greater (1.0),Greater (0.9999236916537395),Greater (1.0),Equal (0.8987820363346883),Greater (1.0),Greater (0.9905770089313115),Greater (1.0),
data storage & processing-nonarch,,,,,,,,,,,,,Less (7.142656020021204e-87),Greater (1.0),Less (3.602801927599016e-28),Greater (1.0),Less (7.282428877611037e-60),Greater (1.0),Less (3.32817431391855e-30),Greater (0.9999862709702795),Less (2.0053100436214155e-37),Greater (1.0),Less (2.7159328677267477e-19),Less (6.79145688634789e-175),Less (7.904807837774171e-69),Greater (1.0),Less (3.200481936631668e-30),Less (2.0934317302050713e-301),
devops and cloud-existence,,,,,,,,,,,,,,Greater (1.0),Greater (0.9999684073319456),Greater (1.0),Greater (0.9955144020079432),Greater (1.0),Greater (0.9970839875535533),Greater (1.0),Equal (0.5347139148227718),Greater (1.0),Equal (0.05336318782240099),Greater (1.0),Equal (0.27020707030502755),Greater (1.0),Equal (0.34515640290229666),Greater (1.0),
devops and cloud-executive,,,,,,,,,,,,,,,Less (5.574167146653482e-192),Less (0.0),Less (0.0),Greater (0.9999999308750179),Less (6.566587132178158e-179),Less (0.0),Less (9.362858282821673e-171),Less (4.429285185589756e-09),Less (6.096229487289641e-106),Less (0.0),Less (7.456604706458259e-270),Greater (1.0),Less (4.0551452823582786e-139),Less (0.0),
devops and cloud-property,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.10042825354251768),Greater (1.0),Equal (0.41338742215030044),Greater (1.0),Less (0.0021397878606393746),Greater (1.0),Equal (0.34340725169557373),Greater (1.0),Less (3.3555723401090136e-07),Greater (1.0),Less (0.007932264695475914),Greater (0.9999999999999971),
