,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (0.0),Greater (0.9999999999997983),Greater (1.0),Greater (1.0),Less (1.7124555005686362e-16),Equal (0.893844964029882),Greater (1.0),Greater (0.9999999635229404),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.1246394557471444e-48),Less (1.0078440240345369e-20),Greater (1.0),Less (1.3729074569039e-06),Less (1.7897978291400901e-10),Less (8.850313556315373e-08),Equal (0.5639012857882826),Less (3.5019100301169054e-06),Equal (0.8159084785313477),Equal (0.7106180691458734),Greater (0.9999682838400251),Equal (0.06875309599422195),Greater (0.9888692791676378),Less (1.6275755499916597e-48),Less (3.103802873081521e-35),Less (3.1687394048135677e-40),Greater (0.9967208077677588),Less (0.002049026002567703),Less (0.002490083089401752),Less (0.0009510842522238493),Greater (1.0),Greater (0.9999999999982541),Greater (0.9983131389007631),Greater (1.0),Greater (0.9999878569058321),Greater (0.9999999999999988),Greater (0.9999474274984791),Equal (0.7540071096543361),Less (2.0175554718249986e-06),Less (1.2019549852423858e-15),Greater (1.0),Less (8.280257279236187e-07),Equal (0.21021993294229724),Equal (0.11635795439152398),Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.00014672943697682854),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999208940309403),Greater (0.9999999904538897),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9998229970808573),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999940801),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.7061133925326378),Equal (0.12039155696101744),Greater (1.0),Equal (0.6668969059260372),Equal (0.1165704632337036),Greater (0.9965379024023517),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (0.99999995585425),Less (6.593716351383982e-36),Less (4.435952950281287e-06),Greater (1.0),Equal (0.3613748416101157),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (7.794577105500221e-62),Less (1.061491492443189e-38),Greater (1.0),Less (1.9001884058276653e-13),Less (1.3102678874183735e-16),Less (2.2779580835066e-13),Less (3.8339197053750524e-07),Less (9.129310178654557e-12),Less (0.00018744749212585814),Equal (0.06834003535982722),Greater (0.9927579971167185),Less (0.0005365758565708611),Equal (0.37642976691926433),Less (2.5046616770260926e-83),Less (1.654926099702491e-52),Less (9.55085752886852e-72),Equal (0.20668499243010585),Less (3.942135625755127e-07),Less (6.363924581137047e-06),Less (2.9418454660082517e-07),Greater (1.0),Greater (0.9999999997389508),Equal (0.2015772236279021),Greater (1.0),Greater (0.9993346773655708),Greater (0.9999999999999705),Greater (0.9986721967524449),Equal (0.14615070368039404),Less (1.7003568450414788e-08),Less (1.479524738839743e-23),Greater (1.0),Less (1.779641162198697e-09),Equal (0.07294066917134802),Less (0.010004933305873825),Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999944),Greater (1.0),
existence-devops and cloud,,,,,Less (3.135042795630318e-16),Less (2.500443624307301e-91),Less (4.906906204108558e-50),Greater (1.0),Less (8.176461606486543e-38),Greater (0.9949885577578235),Greater (1.0),Greater (1.0),Greater (0.9999999999999987),Greater (0.9999975390779772),Greater (0.9999999924727958),Less (1.099463959508418e-74),Less (4.180490597909599e-68),Greater (1.0),Less (4.656325626154147e-29),Less (2.722583458925084e-25),Less (1.628112690663415e-22),Less (3.668727842050863e-60),Less (1.2258307336758142e-33),Less (9.80472087958668e-40),Less (3.1099666960449855e-11),Less (0.0005533438121463841),Less (8.271748576387355e-13),Less (8.009181434801777e-06),Less (8.769867726226627e-154),Less (2.736723344403669e-72),Less (3.3696502414490144e-129),Less (5.169949192882067e-06),Less (4.12931836261191e-24),Less (1.139569760416857e-13),Less (2.7171362582068975e-20),Greater (0.9754273425471499),Equal (0.5604535603108487),Less (3.67496511590377e-08),Greater (1.0),Equal (0.19962898326584044),Greater (0.9984486253938415),Equal (0.6484893510571493),Less (9.26160011588986e-11),Less (7.674865584547766e-12),Less (8.700278302004432e-30),Greater (1.0),Less (8.290534596380235e-12),Less (0.007325524659974958),Less (0.0003321177128279236),Less (0.0035295908250544765),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.061809608925547e-43),Equal (0.9288380360953554),
existence-soa and middlewares,,,,,,Less (9.631240293189412e-42),Less (9.64790870225174e-14),Greater (1.0),Less (6.557694219377806e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.7169408655656133e-62),Less (4.301753825835838e-41),Greater (1.0),Less (2.5922064926277165e-16),Less (5.601912650343905e-18),Less (4.913934570395484e-15),Less (1.6331136212610336e-16),Less (2.332516202299686e-17),Less (3.8358182359405874e-11),Less (0.0002246901761109999),Equal (0.7360648228314199),Less (2.5386050851999017e-06),Equal (0.2847487232998577),Less (2.040204217813251e-76),Less (1.6657447598376801e-54),Less (6.194496819083035e-70),Equal (0.3574271295892102),Less (5.305327165144039e-11),Less (5.997962605505614e-08),Less (1.2615572410932479e-10),Greater (1.0),Greater (0.9999310925314534),Equal (0.20967906777800172),Greater (1.0),Equal (0.13166216052533702),Greater (0.9999999758431762),Equal (0.09427545704036017),Less (0.0006813009663942928),Less (2.2323477281022145e-09),Less (1.1643482798500384e-23),Greater (1.0),Less (1.0482569301594238e-09),Less (0.024206939509279938),Less (0.0037306939008992664),Greater (1.0),Less (1.4432601130858907e-187),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.061645697129790025),Greater (1.0),
existence-software development tools,,,,,,,Greater (0.999999999703561),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.6819855557353086e-32),Less (6.358266169417396e-05),Greater (1.0),Equal (0.25936259387010996),Less (3.2472958201288236e-05),Less (0.0029295416036126706),Greater (0.9999999998880466),Equal (0.7083305340691445),Greater (0.9999999953780966),Greater (0.9944440037570796),Greater (0.9999999999988818),Equal (0.4339717473355761),Greater (0.9999999170688068),Less (0.0020258887438690714),Less (7.410044530237006e-17),Less (2.7714221725951404e-05),Greater (0.9999999898866181),Equal (0.40750277872519325),Equal (0.6471671907348581),Equal (0.9838959121997138),Greater (1.0),Greater (1.0),Greater (0.9999999999763981),Greater (1.0),Greater (0.9999999999885648),Greater (1.0),Greater (0.9999999933544615),Greater (0.999414646496389),Less (0.00022694324435994315),Less (1.3192101214312619e-09),Greater (1.0),Less (8.870118587654456e-05),Equal (0.5287968134145264),Equal (0.48948015903704645),Greater (1.0),Less (9.252953060101551e-24),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Greater (0.9997615462364497),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.826774854751633e-44),Less (1.0374253992279439e-16),Greater (1.0),Less (6.701356119211751e-06),Less (1.0723567924169293e-09),Less (2.6131026062002234e-07),Equal (0.7613721314577903),Less (2.1378507908946544e-05),Equal (0.9730457570573433),Equal (0.7299884928057607),Greater (0.9999221510252413),Equal (0.08547239118612496),Greater (0.9859233600559603),Less (7.004985475811416e-24),Less (2.4866903291635583e-30),Less (2.3712574705666067e-25),Greater (0.993360858710979),Less (0.004353094663700728),Less (0.003543801830857928),Less (0.0017475766063104942),Greater (1.0),Greater (0.9999999999814436),Greater (0.9972893616107367),Greater (1.0),Greater (0.999981890674018),Greater (0.9999999999999886),Greater (0.9999023268173324),Equal (0.8189434281457648),Less (2.923792205050209e-06),Less (6.877080760499246e-15),Greater (1.0),Less (1.2291887426481255e-06),Equal (0.21956978892478418),Equal (0.11348998301782041),Greater (1.0),Less (1.6695718078528968e-78),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999998),Greater (1.0),
executive-full,,,,,,,,,Less (0.0),Less (0.0),Greater (1.0),Less (9.271824051146621e-34),Less (1.455522410845879e-80),Less (1.8199641889002724e-200),Less (4.825697256661948e-41),Less (2.446867412214661e-137),Less (2.328461687196856e-217),Greater (1.0),Less (5.498560185408639e-93),Less (5.170829700397654e-60),Less (3.7898604337069695e-58),Less (0.0),Less (1.7022907005762418e-114),Less (2.8742003178949603e-239),Less (3.4945634787703813e-46),Less (7.799490084913683e-32),Less (4.2816430787373595e-43),Less (1.4726940998589735e-34),Less (0.0),Less (2.2250986187576705e-168),Less (0.0),Less (3.19174027335037e-37),Less (5.842684657488048e-88),Less (2.0843481041698553e-40),Less (1.617953976553991e-66),Less (3.707099629550308e-43),Less (6.244574766715619e-10),Less (4.0153382257899184e-53),Greater (0.9998480054008075),Less (3.505731815415003e-14),Equal (0.06363375984121884),Less (1.7792342097371905e-07),Less (1.0712528769256571e-47),Less (2.721320126146321e-22),Less (2.5702632200616665e-61),Greater (0.9999999568033674),Less (8.905394665103613e-22),Less (3.0275429331611624e-05),Less (8.757485058785214e-09),Less (0.0),Less (0.0),Less (0.0),Less (1.0213734557947724e-28),Less (0.0),Less (0.0),Less (0.0),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.3961039266084464e-46),Less (1.8103755980729436e-23),Greater (1.0),Less (2.0590813341928737e-08),Less (3.434246093262142e-11),Less (1.4802767422793435e-08),Less (8.605824146621932e-06),Less (6.988205359660051e-09),Less (0.00023243198123589295),Equal (0.0887496276930865),Greater (0.9849108662508272),Less (0.0026966039735544186),Equal (0.5279216514333209),Less (2.1643283704033934e-47),Less (5.2586816248085175e-34),Less (1.4299717190601229e-43),Equal (0.2850827167937827),Less (1.0547274124604527e-05),Less (0.00027612840107775775),Less (2.9044478217951792e-05),Greater (1.0),Greater (0.9999996788855525),Equal (0.46863587128643114),Greater (1.0),Greater (0.9957676669166727),Greater (0.9999999999225959),Greater (0.9983302654541155),Equal (0.4345199586675472),Less (1.0196224107891708e-06),Less (2.4360400372204258e-15),Greater (1.0),Less (8.281388668243228e-07),Equal (0.17379007724581275),Equal (0.09769595632795385),Greater (1.0),Less (2.1589299383431038e-176),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.99997349748291),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9988036066817478),Greater (0.9999999975561036),Less (5.6010211765618256e-101),Less (3.7733471039643075e-119),Greater (1.0),Less (1.8885100837982673e-48),Less (6.401970522050014e-38),Less (1.4272937720278476e-34),Less (1.7086080702766015e-141),Less (7.840758710868298e-53),Less (3.6522053512845307e-79),Less (2.762800500603763e-17),Less (2.923631511388127e-07),Less (3.4367793771386516e-19),Less (7.947510168436406e-10),Less (0.0),Less (1.4055791084484867e-109),Less (2.1527730887887282e-260),Less (9.847522215114065e-10),Less (1.296653518450024e-38),Less (1.1291518972335041e-20),Less (2.3294443441026765e-31),Equal (0.44478187076598397),Equal (0.9412484384655413),Less (6.174157360579331e-14),Greater (1.0),Less (0.007648819159384427),Greater (0.9969210886624802),Equal (0.21270785539814885),Less (3.7642287560430395e-17),Less (2.0522603894867062e-15),Less (1.1201381269965408e-43),Greater (1.0),Less (4.913362254904431e-16),Less (0.0011209354518883243),Less (1.4871766889303717e-05),Less (1.152093731790771e-20),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.1349434886193226e-213),Less (2.3617597677234974e-07),
