,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (2.8489524073742757e-24),Equal (0.5093848190939125),Greater (1.0),Greater (0.9991037982303675),Equal (0.1477324057522939),Equal (0.3703245885434152),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Equal (0.4759542660620557),Equal (0.10425906015340658),Less (0.0024806354734985144),Greater (0.9999999744946166),Equal (0.5315795031004921),Equal (0.6896664366119754),Equal (0.8583850793188297),Less (1.1084321379617177e-06),Less (0.01663878160938903),Less (1.8586899328261568e-07),Greater (0.9771971059295578),Equal (0.49856748878603785),Equal (0.21712741809362757),Equal (0.40185711473596764),Greater (0.9999999999978931),Greater (0.985720246356536),Equal (0.1849335867248092),Greater (0.9999999999918204),Equal (0.14599657337349795),Greater (0.9999259756691872),Equal (0.35585439803332786),,,,,,,,Greater (1.0),Less (3.146879146722976e-39),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999997395452683),Greater (0.9999999999040983),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (1.0),Greater (0.9999999941494775),Greater (0.999999999999999),Greater (1.0),Greater (0.9999999999989341),Greater (0.9999869612124617),Greater (0.9999999954762795),Greater (0.9999989809438248),Equal (0.3745125808141938),Greater (0.9999630355537302),Greater (0.9999906591352806),Greater (0.9776317596047835),Equal (0.5057326237023041),Equal (0.21042368852960214),Greater (1.0),Greater (0.9994676905797613),Greater (0.9999668673711298),Greater (0.9999999999999885),Greater (0.9985395940954392),Greater (0.9999986778550004),Greater (0.9794960792516957),,,,,,,,Greater (1.0),Greater (0.9999831089163546),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (0.9998553081293021),Equal (0.21023994252394584),Equal (0.6047952974856062),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Equal (0.9900616609059054),Equal (0.15690100257726056),Less (0.019623843875819825),Greater (0.9999999988420885),Equal (0.35847319829093793),Equal (0.8433872953826422),Equal (0.6834260475024386),Less (2.5708623957309758e-06),Less (0.01485690197781488),Less (2.3332858165412651e-07),Greater (0.9831217944346365),Equal (0.5614675297051398),Equal (0.17635537959852055),Equal (0.4563855106930671),Greater (0.9999999999999758),Greater (0.9913390914950865),Equal (0.12513679757209345),Greater (0.9999999999998647),Equal (0.1060768048132629),Greater (0.9999865618625857),Equal (0.3098258264554534),,,,,,,,Greater (1.0),Less (3.6681761099643064e-17),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Less (4.474632349305354e-06),Less (9.119868779609817e-10),Less (2.8904153174730264e-11),Greater (1.0),Greater (0.9989236458289733),Greater (0.9997969581081028),Greater (1.0),Greater (0.9999999999999939),Greater (1.0),Greater (0.9999999999943938),,,,,,,,Less (2.59058401760678e-18),Less (8.429698196737733e-12),Less (5.374394364748964e-22),Equal (0.5372421606659956),Less (7.020495894631937e-07),Less (1.8362520409564446e-05),Less (4.1549065817888205e-06),Less (1.9094413004332283e-21),Less (2.3887030035387924e-05),Less (1.413677740730404e-21),Equal (0.9509352371106203),Less (0.0028000318601666577),Less (0.01235371479475273),Less (0.006004908725949453),Greater (0.9936591481286489),Equal (0.3777939974935981),Equal (0.2866293917590711),Greater (0.9999938091239978),Equal (0.9608635387837346),Greater (0.9821202232232891),Equal (0.9252025558458454),,,,,,,,Equal (0.3422814979020068),Less (6.915147304778725e-38),Greater (0.9999982211700913),Greater (1.0),Greater (0.9999990808348708),Less (0.0019219101446153245),Equal (0.17720949296875865),
existence-soa and middlewares,,,,,,Less (0.0014098477715663213),Less (0.0031843635070186137),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (0.00048520773646746994),Less (0.0007084845425464136),Less (1.8623208378051915e-06),Greater (0.9986473275987412),Equal (0.18121209942658434),Equal (0.11380178319289318),Equal (0.16627044144275327),Less (3.1479915745575313e-09),Less (0.002788791282817108),Less (2.493377795476459e-10),Equal (0.17220649329413795),Equal (0.1743235673463387),Equal (0.11742131993501258),Equal (0.16848348889914067),Greater (0.999999899719752),Equal (0.06986913759033654),Equal (0.6424597407678885),Greater (0.9999999990695205),Equal (0.38645310374487796),Greater (0.9993751665107963),Equal (0.5493966892111413),,,,,,,,Greater (0.9999999999999998),Less (2.5366606369884105e-13),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999936254865625),Greater (1.0),
existence-software development tools,,,,,,,Equal (0.5439068891386416),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Equal (0.2512142798666147),Equal (0.9658847454296509),Equal (0.833543715961405),Greater (0.9999987339117962),Equal (0.1357328888937124),Equal (0.6150426917710157),Equal (0.2714106052400035),Equal (0.10432868465804156),Equal (0.14885235180299866),Less (0.015056059909517756),Greater (0.9877762960379157),Equal (0.9183814291875055),Equal (0.34656148183117585),Equal (0.6821476190137961),Greater (0.9999999999781303),Greater (0.9919244830439705),Equal (0.07664492605170604),Greater (0.99999999999129),Equal (0.07111488148432274),Greater (0.9999779145405827),Equal (0.26064938134767257),,,,,,,,Greater (1.0),Equal (0.07320085177223333),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.99999999703054),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Equal (0.5946954947128825),Equal (0.5834915963071916),Equal (0.46670262539126783),Greater (0.9999988757222485),Equal (0.29184074101833024),Equal (0.9365797108237691),Equal (0.4606841475023128),Less (0.0051536627987279204),Equal (0.09581047459258103),Less (0.0009450998530884254),Greater (0.9829737278828851),Equal (0.6914394462393452),Equal (0.3283781677940102),Equal (0.5286880571157813),Greater (0.999999999925762),Greater (0.9862518473836399),Equal (0.14169701722083164),Greater (0.999999999935942),Equal (0.1271214910269486),Greater (0.9998911415313997),Equal (0.3203793848980607),,,,,,,,Greater (1.0),Less (0.0006224610966823999),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999922649),Greater (1.0),
executive-full,,,,,,,,,Less (1.636613850594548e-54),Less (1.0079130253149316e-211),Greater (1.0),Less (1.7453091866449515e-21),Less (0.005616135982965565),Less (1.9724362955845917e-56),,,,,,,,Less (0.0),Less (1.6621189902972402e-70),Less (4.921075955437581e-308),Less (1.258157423451662e-16),Less (2.479173586091156e-51),Less (4.8872982692797106e-24),Less (5.380575454939138e-35),Less (1.437860552273652e-132),Less (6.67034009161472e-13),Less (2.6216541721460235e-110),Less (0.006834106392928568),Less (1.3753199085163262e-09),Less (6.373698958633794e-05),Less (4.164861613497454e-07),Less (0.014559137987821652),Equal (0.6632246128849751),Less (1.887050774347424e-05),Greater (0.9929661441818085),Less (0.015561486328453573),Equal (0.7407614363988382),Equal (0.16142082782097578),,,,,,,,Less (0.0),Less (0.0),Less (0.0),Equal (0.20822290150705447),Less (0.0),Less (0.0),Less (0.0),
executive-content management,,,,,,,,,,Equal (0.17776692589471732),Greater (1.0),Greater (0.9999999999980916),Greater (1.0),Greater (0.9999998418781091),,,,,,,,Less (8.35633067331973e-91),Less (2.7173915623997174e-26),Less (1.2599371844434507e-84),Less (0.0017788040781312178),Less (2.5025363499678214e-17),Less (7.447750196511414e-10),Less (1.2017311103232698e-12),Less (1.416083272119767e-51),Less (2.9586183775333114e-07),Less (1.8511050923074947e-46),Equal (0.5110099050493735),Less (6.508138614300145e-05),Less (0.003507523165070801),Less (0.00046129189360956147),Equal (0.2830541541834486),Equal (0.5808540289240419),Less (0.021797044211112383),Greater (0.9999369378517173),Equal (0.37818223963655007),Equal (0.14779149823208593),Equal (0.6065553867851641),,,,,,,,Less (1.9580828027687135e-08),Less (1.3572276311444263e-224),Equal (0.2764568781677601),Greater (1.0),Greater (0.976841427588675),Less (3.4775206341625714e-43),Less (1.3223087655609996e-07),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (1.344666174174672e-164),Less (2.037177320256032e-34),Less (1.1050710303281368e-133),Less (0.0022048655911105107),Less (6.953156607148143e-22),Less (1.3566408485336977e-11),Less (1.2063517923500319e-15),Less (2.5008096452895283e-72),Less (1.5424620327967566e-08),Less (8.164113828855824e-64),Equal (0.41317442384751357),Less (1.6641200021901578e-05),Less (0.0009828112112859407),Less (0.00021288344354656043),Equal (0.1284633510687781),Equal (0.5073738215926025),Less (0.016206524030338933),Greater (0.9999967648091155),Equal (0.36925469132239985),Equal (0.06666409511235138),Equal (0.5855584153623212),,,,,,,,Less (8.517717009518792e-14),Less (0.0),Greater (0.9999999995353329),Greater (1.0),Greater (0.9999999998728898),Less (2.0542011356373302e-122),Less (2.0918626164182733e-13),
executive-devops and cloud,,,,,,,,,,,,Less (0.0),Less (8.754779580097703e-205),Less (0.0),,,,,,,,Less (0.0),Less (8.206644230057837e-166),Less (0.0),Less (3.349565850999077e-66),Less (2.548612240263198e-134),Less (2.224921780409388e-59),Less (5.038660165139878e-90),Less (2.0517077419214348e-278),Less (7.853413754807108e-25),Less (4.674735810686227e-227),Less (5.5430536654027894e-08),Less (5.021042618102074e-21),Less (4.1569811079363874e-08),Less (1.436023644238242e-14),Less (4.709586137370171e-17),Less (0.013420190377969474),Less (7.572495399843209e-15),Equal (0.5485758006001171),Less (4.820638996235072e-06),Less (0.019243695830695216),Less (0.0019025087037905528),,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-soa and middlewares,,,,,,,,,,,,,Greater (0.9999824086256117),Less (0.0015002339071458896),,,,,,,,Less (1.8460175621251897e-217),Less (3.4005380896888567e-50),Less (4.574491359571068e-179),Less (2.2313935050445895e-09),Less (3.4777843377372977e-35),Less (9.13632854457932e-18),Less (5.747978258927495e-25),Less (1.3237691724377397e-95),Less (8.982411835326804e-11),Less (7.176136740012427e-83),Equal (0.06099037320833119),Less (1.2554880646448134e-07),Less (0.00020156420797859674),Less (9.279391197564861e-06),Equal (0.5219494178957743),Equal (0.9673028399457136),Less (0.0005852825664098303),Greater (0.999378569487401),Equal (0.1191831617293429),Equal (0.3247862612298087),Equal (0.2881769978073988),,,,,,,,Less (5.711135766478083e-78),Less (0.0),Less (2.927597807826014e-25),Greater (1.0),Less (2.319736017029404e-20),Less (2.1076464200425666e-193),Less (2.884650330678549e-76),
executive-software development tools,,,,,,,,,,,,,,Less (1.1301748731834436e-13),,,,,,,,Less (1.7189342513876131e-215),Less (3.963280667450658e-53),Less (3.78363431591767e-181),Less (2.2378264600784533e-12),Less (1.2420924419354074e-38),Less (1.5345402153084025e-19),Less (2.3654426196909574e-27),Less (7.909716676771014e-97),Less (4.022902665836223e-11),Less (1.0157884120079726e-83),Less (0.01697707616639665),Less (2.8506110488114855e-08),Less (0.00020790549264128718),Less (3.05128185103429e-06),Equal (0.11611385525205535),Equal (0.7645101454135049),Less (0.00014216214625409056),Greater (0.9946410871315134),Equal (0.0664072000510828),Equal (0.5985818819728058),Equal (0.22425531363592932),,,,,,,,Less (1.944305909619802e-99),Less (0.0),Less (2.9489674367875185e-51),Equal (0.06702300009745618),Less (6.617891912421588e-40),Less (1.0327989400827612e-198),Less (2.0628975797490496e-96),
executive-web development,,,,,,,,,,,,,,,,,,,,,,Less (4.776582099509073e-228),Less (1.66621504103869e-48),Less (3.1876970933377073e-183),Less (1.2220377675968184e-07),Less (4.591012376683605e-33),Less (1.3954748546437377e-16),Less (2.5514511690954276e-23),Less (6.013317202939038e-95),Less (1.615035311091379e-10),Less (1.9815631712311033e-82),Equal (0.10998210484659707),Less (3.3270925428655655e-07),Less (0.00024131378917857026),Less (1.4421361386634549e-05),Equal (0.9401295363607816),Equal (0.8549355604804281),Less (0.0011811373510648387),Greater (0.9998841618908175),Equal (0.14559675893248572),Equal (0.22450898864067204),Equal (0.34460906524508994),,,,,,,,Less (2.1674043971294964e-72),Less (0.0),Less (1.0381288742729617e-14),Greater (1.0),Less (3.971438422852238e-11),Less (4.260566818490466e-217),Less (2.376237619770893e-71),
existence-executive-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-content management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
existence-executive-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property-full,,,,,,,,,,,,,,,,,,,,,,,Equal (0.21045620235599716),Less (0.020454847594653405),Greater (0.9999999788559988),Equal (0.3694577930443924),Equal (0.8442583815324232),Equal (0.6702035241864672),Less (2.1916648698635974e-05),Less (0.022803563596309067),Less (3.399423125783206e-06),Greater (0.9826697546208563),Equal (0.5811802519085374),Equal (0.25623862395886676),Equal (0.43608370798636986),Greater (0.9999999999975473),Greater (0.9866893621818479),Equal (0.16865114217780197),Greater (0.9999999999883235),Equal (0.13933684813282762),Greater (0.9999122323672686),Equal (0.3323014043547642),,,,,,,,Greater (1.0),Less (2.0428728616867298e-21),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
