,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (0.0),Less (8.436328489248432e-05),Greater (1.0),Greater (0.9999980434799502),Less (1.6643851681965834e-28),Less (9.125511804167888e-05),Greater (1.0),Equal (0.15090419954600706),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.2526864572926022e-06),Less (1.7058309744211863e-17),Less (1.930256182026237e-28),Greater (1.0),Equal (0.6303932588930283),Equal (0.5655995930397545),Equal (0.9828374035921377),Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (0.9999999999839672),Less (2.0069339520293188e-22),Equal (0.06446098740400023),Greater (1.0),Greater (0.9999944306406892),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.15320109044613625),Less (2.9843745351929344e-14),Less (1.350518178260647e-18),Greater (1.0),Equal (0.07844925476204699),Equal (0.13289001777370577),Equal (0.3043394754431641),Greater (1.0),Less (3.445841013615047e-290),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Less (8.411873898948309e-182),Less (3.2456721521768214e-291),Less (4.020919324188784e-236),Greater (0.9994648426126636),Less (2.369510749808427e-226),Less (1.2607479923621088e-117),Greater (1.0),Less (2.236989536162757e-12),Less (1.814526865131876e-24),Less (3.1666256389204395e-58),Less (0.0),Less (7.818912798095526e-170),Less (0.0),Less (5.726812544607599e-15),Less (6.2905726018613295e-84),Less (1.2193978522874425e-45),Less (1.9519552606595407e-66),Less (2.1750121510275487e-172),Less (0.0),Less (2.255034426339995e-49),Equal (0.7307391846118436),Less (7.569879013540139e-38),Less (0.0),Less (4.849267288829706e-129),
existence-soa and middlewares,,,,,,Less (1.3171479722046924e-34),Less (1.864069831878791e-10),Greater (1.0),Less (0.005123862381697221),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.541786618078302e-13),Less (2.9651926442767256e-24),Less (2.3855495883075286e-33),Greater (1.0),Equal (0.07337910956508915),Equal (0.20445775226267215),Less (0.01858113965925695),Greater (1.0),Less (3.5953287961397757e-177),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9994104078843058),Greater (1.0),
existence-software development tools,,,,,,,Greater (0.9999999987013939),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999896),Equal (0.5176449820775431),Greater (0.9865100995983787),Greater (1.0),Greater (0.9999999999908646),Greater (0.9999999514065137),Greater (0.9999999852605984),Greater (1.0),Less (1.6109075698049768e-23),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Greater (0.9999232206650518),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.5430065586825683),Less (6.804968606609507e-08),Less (1.1252998323428e-06),Greater (1.0),Greater (0.9915805695429228),Greater (0.9755571300662251),Equal (0.09000322772285878),Greater (1.0),Less (2.3681312698717156e-78),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-full,,,,,,,,,Less (0.0),Less (0.0),Greater (1.0),Less (2.5117198158349426e-51),Less (4.510203455039643e-83),Less (9.70029122896069e-202),Less (0.0),Less (3.27525086333017e-254),Less (0.0),Less (1.8790853238648112e-25),Less (4.129706929083545e-127),Less (2.6043143111080077e-64),Less (9.514986656363844e-97),Less (0.0),Less (0.0),Less (0.0),Less (2.432191520688905e-12),Less (0.0),Less (0.0),Less (0.0),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (9.166314431307981e-06),Less (2.3538138526870244e-14),Less (2.765751423775904e-22),Greater (1.0),Equal (0.7936282726877041),Equal (0.8171787121670102),Equal (0.7549489957908159),Greater (1.0),Less (5.206179926178598e-166),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999934017),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999994071478),Less (8.111215810202808e-240),Less (2.5594904354953643e-102),Less (2.1538712327962822e-254),Greater (0.9988533152539903),Less (3.0738114659635346e-32),Less (9.520293521157173e-17),Less (3.601542664567645e-26),Less (0.005344711390588175),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (4.465817274551967e-146),Equal (0.11744263319668645),
executive-devops and cloud,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (1.664132090288861e-272),Less (0.0),Less (1.531969071352428e-258),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (9.262232459819567e-07),Less (5.667129192488062e-30),Less (0.0),Less (2.1130809987225475e-168),Less (0.0),Less (1.5393822128893798e-06),Less (3.859665359356915e-75),Less (5.357890951190607e-40),Less (1.4427266456668037e-59),Less (1.0322882508875745e-129),Less (0.0),Less (1.1236186442865626e-08),Greater (1.0),Less (3.451391152836858e-08),Less (0.0),Less (1.1495977018650986e-89),
executive-software development tools,,,,,,,,,,,,,,Less (5.740347063112091e-08),Less (1.5774164227074887e-272),Less (4.118474626668949e-124),Less (1.2516976651190482e-284),Less (0.010764512997639841),Less (5.55073162914695e-51),Less (2.72785579920874e-27),Less (9.603503018276553e-41),Less (7.395869719905854e-55),Less (0.0),Equal (0.0955994311497699),Greater (1.0),Equal (0.14841887284880123),Less (9.044908866552658e-204),Less (1.2674738753495664e-32),
