,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),Greater (1.0),Equal (0.5639012857882826),Less (1.6275755499916597e-48),Greater (1.0),Equal (0.7540071096543361),Greater (1.0),Less (0.0),Greater (0.9999999635229404),Less (3.124639455747145e-48),Less (3.5019100301169054e-06),Less (3.103802873081521e-35),Greater (0.9999999999982541),Less (2.0175554718249986e-06),Less (0.0),Greater (0.9999999999997983),Greater (1.0),Less (1.0078440240345367e-20),Equal (0.8159084785313477),Less (3.168739404813568e-40),Greater (0.9983131389007631),Less (1.2019549852423858e-15),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.7106180691458734),Greater (0.9967208077677588),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.3729074569039e-06),Greater (0.9999682838400251),Less (0.002049026002567703),Greater (0.9999878569058321),Less (8.280257279236187e-07),Greater (1.0),Less (1.7124555005686362e-16),Greater (1.0),Less (1.7897978291400901e-10),Equal (0.06875309599422195),Less (0.002490083089401752),Greater (0.9999999999999988),Equal (0.21021993294229724),Greater (1.0),Equal (0.893844964029882),Greater (1.0),Less (8.850313556315373e-08),Greater (0.9888692791676378),Less (0.0009510842522238493),Greater (0.9999474274984791),Equal (0.11635795439152398),Greater (1.0),
full-executive,,,Less (4.825697256661948e-41),Less (0.0),Less (0.0),Less (3.707099629550308e-43),Less (1.0712528769256572e-47),Less (0.0),Less (0.0),Less (0.0),Less (2.446867412214661e-137),Less (1.7022907005762418e-114),Less (2.225098618757671e-168),Less (6.244574766715619e-10),Less (2.7213201261463215e-22),Less (0.0),Less (0.0),Less (0.0),Less (2.328461687196856e-217),Less (2.8742003178949603e-239),Less (0.0),Less (4.0153382257899184e-53),Less (2.5702632200616665e-61),Less (0.0),Less (4.7579085934024356e-122),Greater (1.0),Greater (1.0),Less (3.4945634787703813e-46),Less (3.19174027335037e-37),Greater (0.9998480054008075),Greater (0.9999999568033674),Less (1.0213734557947724e-28),Less (7.208606770408572e-255),Less (9.271824051146621e-34),Less (5.49856018540864e-93),Less (7.799490084913683e-32),Less (5.842684657488048e-88),Less (3.505731815415003e-14),Less (8.905394665103613e-22),Less (0.0),Less (0.0),Less (1.455522410845879e-80),Less (5.170829700397656e-60),Less (4.2816430787373595e-43),Less (2.0843481041698553e-40),Equal (0.06363375984121884),Less (3.0275429331611624e-05),Less (0.0),Less (0.0),Less (1.8199641889002724e-200),Less (3.7898604337069695e-58),Less (1.4726940998589735e-34),Less (1.617953976553991e-66),Less (1.7792342097371902e-07),Less (8.757485058785214e-09),Less (0.0),
full-existence-executive,,,,Less (1.1183431290216579e-102),Less (2.1730956221473587e-207),Less (0.0018888754435580882),Less (5.234233940991499e-18),Less (3.4940694886986254e-30),Less (0.0),Less (6.483680111585221e-76),Less (5.108731276913795e-87),Less (1.3008191269827136e-49),Less (6.923136281398278e-89),Equal (0.08536835489869157),Less (2.573489244317807e-14),Less (0.0),Less (1.943231261697966e-120),Less (2.4439199494919105e-09),Less (6.135116093360292e-90),Less (1.358613029592373e-69),Less (4.0563027240849077e-172),Less (3.17143907219913e-17),Less (3.012749810556585e-35),Equal (0.6071180563035758),Less (7.52739426983507e-09),Greater (1.0),Greater (1.0),Less (1.0155555193352962e-18),Less (4.0142602078709786e-12),Greater (0.9999999999990077),Greater (0.9999999999997371),Greater (1.0),Less (5.374323800326838e-41),Greater (0.9999999702559976),Less (2.609898286065197e-40),Less (6.003697777824884e-09),Less (2.0501834557729315e-36),Less (0.0006418346772180172),Less (1.1522029306751526e-13),Equal (0.7978798069296775),Less (7.71103246201723e-132),Equal (0.5504581692805735),Less (8.210193111366938e-32),Less (1.9159408386371626e-19),Less (2.267122336970156e-19),Equal (0.2552301227622864),Less (0.0022105385659690812),Less (1.2579902354008226e-99),Less (9.590782353106511e-86),Less (0.0006571000223997025),Less (4.5360740046284654e-29),Less (1.1479369988981323e-11),Less (8.531825370452197e-30),Equal (0.05998665869367926),Less (3.415674380494224e-05),Less (3.607610087693378e-18),
full-property,,,,,Less (4.131727669769189e-25),Greater (1.0),Equal (0.5653727790033172),Greater (1.0),Less (1.0363378808624305e-170),Greater (0.9999913943143427),Less (4.477410400060365e-44),Less (3.764820184740941e-05),Less (1.0597511108551889e-30),Greater (0.9999999999980334),Less (3.430470942260504e-06),Less (1.14488759797688e-86),Greater (0.9999996166127456),Greater (1.0),Less (2.839649077415035e-17),Equal (0.916716386234533),Less (9.522082616308668e-27),Greater (0.9986374656683076),Less (6.436056479840515e-15),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.8885508043923381),Greater (0.9977820695973361),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999999),Greater (1.0),Less (7.112783512657437e-06),Greater (0.9999738742426653),Less (0.0062105369989478645),Greater (0.9999886651527148),Less (1.129452587566271e-06),Greater (1.0),Less (1.1195847822448283e-10),Greater (1.0),Less (9.39163281702045e-10),Equal (0.11056542870506712),Less (0.004430278066032204),Greater (0.9999999999999991),Equal (0.21788645886471825),Greater (1.0),Equal (0.7613721314577903),Greater (1.0),Less (3.2726340191953964e-07),Greater (0.9918810351569948),Less (0.0026981734129243673),Greater (0.9999651302715006),Equal (0.13271815894633662),Greater (1.0),
full-existence-property,,,,,,Greater (1.0),Greater (0.9999979644586113),Greater (1.0),Less (4.458013449806525e-95),Greater (1.0),Less (6.463319133448108e-28),Equal (0.3162070933904122),Less (4.433578631766483e-13),Greater (1.0),Less (0.0014193732987409567),Less (2.12847291083531e-23),Greater (1.0),Greater (1.0),Equal (0.06208882157173017),Greater (1.0),Equal (0.15514059010883485),Greater (0.9999999999999997),Less (4.0089181572687196e-07),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999054785919118),Greater (0.9999999999991064),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.6814918957090472),Greater (1.0),Greater (0.9904403654204489),Greater (0.9999999999999911),Less (0.0007640237291229156),Greater (1.0),Greater (0.9979741504500781),Greater (1.0),Less (0.0018571586847068524),Equal (0.07043787287200685),Equal (0.6373016589706796),Greater (1.0),Equal (0.7108908942015931),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.1018810625067771),Greater (0.9999999999586345),Equal (0.22630511899497696),Greater (0.9999999999575421),Equal (0.7742442327273007),Greater (1.0),
full-executive-property,,,,,,,Less (4.916655083954731e-13),Less (2.0792923567277316e-05),Less (3.9393636845284325e-261),Less (2.1932474988190136e-32),Less (4.075633084298509e-79),Less (3.229097365766104e-37),Less (1.9975570197189076e-76),Equal (0.7053607881379043),Less (1.209597395519118e-13),Less (6.2518825866684414e-183),Less (7.18556930752885e-52),Equal (0.44478187076598397),Less (1.4238693736799135e-73),Less (9.049228609817927e-43),Less (4.064650339987266e-116),Less (3.907890137909096e-11),Less (7.972409801547185e-35),Greater (0.9999924401522682),Less (0.024573089549900378),Greater (1.0),Greater (1.0),Less (5.568746536318174e-14),Less (6.480921023400626e-08),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.3734866813355825e-18),Greater (0.999999999999999),Less (1.2372568964606422e-34),Less (6.18862364921266e-06),Less (2.7322549317606217e-28),Less (0.010859442706877736),Less (9.363686415757137e-14),Greater (0.9999727283886093),Less (6.713936662910566e-84),Greater (0.9999110793593315),Less (5.56017890953561e-30),Less (1.000010132671388e-15),Less (8.052703816855002e-17),Greater (0.9889586491392502),Less (0.002429844462372507),Less (4.690922349943789e-32),Less (3.3744574667618367e-47),Equal (0.3952545768210114),Less (9.107338481206838e-27),Less (3.5968222318178007e-08),Less (5.500550264456712e-24),Equal (0.25953226071262636),Less (6.762851504675077e-05),Less (0.005553467966163617),
full-existence-executive-property,,,,,,,,Greater (0.9999999962720593),Less (1.3215105336553663e-38),Equal (0.4345199586675472),Less (5.665498969974867e-28),Less (0.0006177953540508313),Less (1.1241032264817973e-16),Greater (0.9999980316251776),Less (1.2116026580724498e-05),Less (2.556841057855926e-15),Equal (0.14615070368039404),Greater (1.0),Less (3.319376261387002e-07),Equal (0.6700927204312315),Less (1.1746095259716946e-07),Equal (0.15252976079972402),Less (2.963700094240123e-10),Greater (1.0),Greater (0.999999999907394),Greater (1.0),Greater (1.0),Equal (0.5849045995747109),Equal (0.13750838097957938),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9993187469127095),Greater (1.0),Less (0.0014131971811140256),Greater (0.9957350672821917),Less (0.023116965767094714),Greater (0.9991366611466183),Less (1.5012508712797964e-05),Greater (1.0),Less (0.0005854123142795206),Greater (1.0),Less (1.1100814086528272e-06),Equal (0.10768958549707046),Less (0.010719981322898541),Greater (0.9999999971141285),Equal (0.2628610499098175),Greater (0.9885750199630936),Equal (0.8189434281457648),Greater (1.0),Less (6.388387622942029e-05),Equal (0.18482906638743402),Less (0.00814059113837017),Greater (0.9990392030769423),Equal (0.1400623277123753),Greater (0.9999999999981783),
full-,,,,,,,,,Less (0.0),Less (2.3702472591022532e-64),Less (1.2059453504396207e-78),Less (6.92798201342892e-35),Less (1.401808278024451e-77),Equal (0.19009992284829713),Less (1.2360705431075397e-11),Less (0.0),Less (2.9327542504210796e-179),Greater (1.0),Less (3.55714221600174e-81),Less (1.9560297534939423e-51),Less (3.202012019026221e-194),Less (1.4622683281762225e-07),Less (6.697274327763525e-31),Greater (1.0),Greater (0.9964704096276015),Greater (1.0),Greater (1.0),Less (1.370847097434311e-10),Less (7.376737184050958e-05),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.4186351327624357e-20),Greater (1.0),Less (4.427916359350193e-31),Less (0.00226758743587779),Less (4.24769972223316e-25),Equal (0.31124347547505116),Less (7.083494715626182e-12),Greater (1.0),Less (7.674183421069334e-138),Greater (1.0),Less (4.0199247344685665e-26),Less (2.6183438349810784e-12),Less (2.0775461480749901e-13),Greater (0.9999075501356215),Less (0.007930255698926154),Less (0.0),Less (6.566343579154629e-77),Greater (1.0),Less (6.081721752030094e-23),Less (2.644963042145296e-05),Less (5.953933989270689e-20),Equal (0.9034468500407553),Less (0.0007223660781400213),Greater (1.0),
content management-existence,,,,,,,,,,Greater (1.0),Less (0.00014672943697682854),Greater (1.0),Greater (0.9998229970808573),Greater (1.0),Equal (0.7061133925326378),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.12039155696101744),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.6668969059260372),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999208940309403),Greater (1.0),Greater (0.9999999999940801),Greater (1.0),Equal (0.1165704632337036),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999904538897),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9965379024023517),Greater (1.0),
content management-executive,,,,,,,,,,,Less (1.3961039266084464e-46),Less (6.988205359660051e-09),Less (5.2586816248085175e-34),Greater (0.9999996788855525),Less (1.0196224107891708e-06),Less (2.1589299383431038e-176),Equal (0.3613748416101157),Greater (1.0),Less (1.8103755980729433e-23),Less (0.00023243198123589295),Less (1.4299717190601229e-43),Equal (0.46863587128643114),Less (2.4360400372204258e-15),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.0887496276930865),Equal (0.2850827167937827),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999934424177019),Greater (1.0),Less (2.0590813341928737e-08),Greater (0.9849108662508272),Less (1.0547274124604527e-05),Greater (0.9957676669166727),Less (8.281388668243228e-07),Greater (1.0),Less (5.0570479694250686e-23),Greater (1.0),Less (3.434246093262143e-11),Less (0.0026966039735544186),Less (0.00027612840107775775),Greater (0.9999999999225959),Equal (0.17379007724581275),Greater (0.99997349748291),Less (0.00023845734470559897),Greater (1.0),Less (1.4802767422793435e-08),Equal (0.5279216514333209),Less (2.9044478217951792e-05),Greater (0.9983302654541155),Equal (0.09769595632795385),Greater (1.0),
