,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),,Equal (0.4759542660620557),Less (1.1084321379617177e-06),Greater (0.9999999999978931),,Greater (1.0),Less (2.8489524073742757e-24),Greater (1.0),,Equal (0.10425906015340658),Less (0.01663878160938903),Greater (0.985720246356536),,Less (3.146879146722976e-39),Equal (0.5093848190939125),Greater (1.0),,Less (0.0024806354734985144),Less (1.858689932826157e-07),Equal (0.1849335867248092),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999744946166),Greater (0.9771971059295578),Greater (0.9999999999918204),,Greater (1.0),Greater (0.9991037982303675),Greater (1.0),,Equal (0.5315795031004921),Equal (0.49856748878603785),Equal (0.14599657337349795),,Greater (1.0),Equal (0.1477324057522939),Greater (1.0),,Equal (0.6896664366119754),Equal (0.21712741809362757),Greater (0.9999259756691872),,Greater (1.0),Equal (0.3703245885434152),Greater (1.0),,Equal (0.8583850793188297),Equal (0.40185711473596764),Equal (0.35585439803332786),,Greater (1.0),
full-executive,,,,Less (0.0),Less (1.437860552273652e-132),Less (0.014559137987821652),,Less (0.0),Less (1.8394379742453195e-154),Less (1.636613850594548e-54),,Less (1.6621189902972402e-70),Less (6.67034009161472e-13),Equal (0.6632246128849751),,Less (0.0),Less (0.0),Less (1.0079130253149316e-211),,Less (4.921075955437581e-308),Less (2.6216541721460235e-110),Less (1.887050774347424e-05),,Less (0.0),Less (3.507540570369528e-29),Greater (1.0),,Less (1.258157423451662e-16),Less (0.006834106392928568),Greater (0.9929661441818085),,Equal (0.20822290150705447),Less (4.324841291659077e-81),Less (1.7453091866449515e-21),,Less (2.479173586091156e-51),Less (1.3753199085163262e-09),Less (0.015561486328453573),,Less (0.0),Less (9.429417691152918e-53),Less (0.005616135982965565),,Less (4.8872982692797106e-24),Less (6.373698958633794e-05),Equal (0.7407614363988382),,Less (0.0),Less (3.681245461743321e-84),Less (1.9724362955845917e-56),,Less (5.380575454939138e-35),Less (4.164861613497454e-07),Equal (0.16142082782097578),,Less (0.0),
full-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-property,,,,,Less (2.1916648698635978e-05),Greater (0.9999999999975473),,Greater (1.0),Less (1.0674259691230798e-20),Greater (1.0),,Equal (0.21045620235599716),Less (0.022803563596309067),Greater (0.9866893621818479),,Less (2.0428728616867298e-21),Equal (0.9900616609059054),Greater (1.0),,Less (0.020454847594653405),Less (3.399423125783206e-06),Equal (0.16865114217780197),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999788559988),Greater (0.9826697546208563),Greater (0.9999999999883235),,Greater (1.0),Greater (0.9995148436341617),Greater (1.0),,Equal (0.3694577930443924),Equal (0.5811802519085374),Equal (0.13933684813282762),,Greater (1.0),Equal (0.2512142798666147),Greater (1.0),,Equal (0.8442583815324232),Equal (0.25623862395886676),Greater (0.9999122323672686),,Greater (1.0),Equal (0.5946954947128825),Greater (1.0),,Equal (0.6702035241864672),Equal (0.43608370798636986),Equal (0.3323014043547642),,Greater (1.0),
full-existence-property,,,,,,Greater (0.9999999999999999),,Greater (1.0),Less (1.0197992138453696e-06),Greater (1.0),,Equal (0.09130059933481688),Equal (0.3832667368908501),Greater (0.9964530835156374),,Equal (0.4699246381799458),Greater (0.9999974296742576),Greater (1.0),,Greater (0.9971230825122611),Equal (0.5105796136390768),Greater (0.9940209008146749),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999979958),Greater (0.9981054113295296),Greater (0.9999999999998875),,Greater (1.0),Greater (0.9999999968542592),Greater (1.0),,Greater (0.9997795802640733),Equal (0.5417721238475455),Greater (0.9907526935900322),,Greater (1.0),Equal (0.10432868465804154),Greater (1.0),,Equal (0.09367108551001493),Equal (0.58107550332603),Greater (0.9999955939043652),,Greater (1.0),Greater (0.9948485299626416),Greater (1.0),,Greater (0.9954796681270881),Equal (0.8961579565093236),Equal (0.1455860522233946),,Greater (1.0),
full-executive-property,,,,,,,,Less (0.012281712843368993),Less (2.3858128681921523e-22),Equal (0.2830541541834486),,Less (2.9320980201627225e-11),Less (2.4807104981025156e-07),Equal (0.8706626590134775),,Less (1.0044195949871893e-14),Less (2.4239568194086937e-14),Equal (0.1284633510687781),,Less (4.216845487675672e-15),Less (2.4536832429216204e-18),Less (0.008243986216025515),,Equal (0.3521966804836977),Less (0.006346831674784244),Greater (1.0),,Less (0.005678499190527063),Equal (0.21763796185637208),Greater (0.9989519207404773),,Greater (0.9753645390073977),Less (1.0045535793142998e-07),Equal (0.5219494178957743),,Less (1.0253889146897096e-08),Less (4.319143000608705e-05),Equal (0.21165431282231484),,Equal (0.4409094579404187),Less (2.1982031775714554e-11),Equal (0.11611385525205535),,Less (2.342146400837704e-07),Less (0.0012182972451265312),Equal (0.25676527077223243),,Less (3.047941954441039e-05),Less (7.444164788776926e-11),Equal (0.9401295363607816),,Less (7.712408599509146e-08),Less (0.00021382408959577773),Equal (0.40496760838756973),,Less (0.012574492133898732),
full-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-,,,,,,,,,Less (1.9556451223652232e-72),Greater (0.9999999804191779),,Less (5.011150706843759e-22),Less (3.1772427135545746e-06),Equal (0.3550990452166637),,Less (0.0),Less (1.440978229785231e-120),Greater (0.9999999999999148),,Less (3.9923656304589896e-97),Less (4.553754537078418e-43),Equal (0.15233525919878113),,Greater (1.0),Equal (0.3422814979020068),Greater (1.0),,Equal (0.18695402498360425),Equal (0.9210886079783962),Greater (0.9999966604230317),,Greater (1.0),Less (2.4765740326352096e-16),Greater (1.0),,Less (2.397736912489292e-13),Less (0.00047159710965741697),Equal (0.6091260099377542),,Greater (1.0),Less (2.0397521068725214e-17),Greater (1.0),,Less (1.2710053907077258e-07),Less (0.00789673177495734),Equal (0.057376665355040574),,Less (0.0),Less (7.451525888832371e-25),Greater (1.0),,Less (1.3088009522504282e-09),Less (0.0018686822372003958),Equal (0.8149673242308955),,Equal (0.08923706764772205),
content management-existence,,,,,,,,,,Greater (1.0),,Greater (0.9999999941494775),Equal (0.3745125808141938),Greater (0.9994676905797613),,Greater (0.9999831089163546),Greater (1.0),Greater (1.0),,Greater (0.999999999999999),Greater (0.9999630355537302),Greater (0.9999668673711298),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999906591352806),Greater (0.9999999999999885),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999989341),Greater (0.9776317596047835),Greater (0.9985395940954392),,Greater (1.0),Greater (0.9999997395452683),Greater (1.0),,Greater (0.9999869612124617),Equal (0.5057326237023041),Greater (0.9999986778550004),,Greater (1.0),Greater (0.9999999999040983),Greater (1.0),,Greater (0.9999999954762795),Equal (0.21042368852960214),Greater (0.9794960792516957),,Greater (1.0),
content management-executive,,,,,,,,,,,,Less (2.7173915623997174e-26),Less (2.958618377533312e-07),Equal (0.5808540289240419),,Less (1.357227631144426e-224),Less (3.633269835619861e-94),Equal (0.17776692589471732),,Less (1.2599371844434507e-84),Less (1.8511050923074947e-46),Less (0.021797044211112383),,Equal (0.2764568781677601),Less (0.0010764666642987797),Greater (1.0),,Less (0.0017788040781312178),Equal (0.5110099050493735),Greater (0.9999369378517173),,Greater (1.0),Less (1.7643507628349443e-21),Greater (0.9999999999980916),,Less (2.5025363499678214e-17),Less (6.508138614300144e-05),Equal (0.37818223963655007),,Greater (0.976841427588675),Less (4.506394968216623e-21),Greater (1.0),,Less (7.447750196511414e-10),Less (0.003507523165070801),Equal (0.14779149823208593),,Less (3.4775206341625714e-43),Less (2.809999136716332e-29),Greater (0.9999998418781091),,Less (1.2017311103232698e-12),Less (0.00046129189360956147),Equal (0.6065553867851641),,Less (1.3223087655609996e-07),
