,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (2.510022379308084e-23),Equal (0.20344363786910857),Greater (1.0),Greater (0.9996555381493054),Equal (0.17960281441832548),Equal (0.5491202281170857),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.8649145619801544),Equal (0.17913404939616262),Less (0.0003056546678925821),Greater (0.9999999999999937),Equal (0.3081905101918525),Equal (0.5920127434597175),Equal (0.7027986132504676),Greater (1.0),Less (1.5881069793871533e-36),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999501658492),Greater (0.999999999867024),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999996758869),Greater (0.9999999999999957),Greater (1.0),Greater (0.9999999999997036),Greater (0.9999997281527864),Greater (0.9999999974482385),Greater (1.0),Greater (0.9999819956850563),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (0.9999890388003436),Equal (0.3495145880500834),Equal (0.9404369566739497),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.29764134539124587),Equal (0.39124133444214126),Less (0.01587873175175921),Greater (1.0),Equal (0.10658381718345646),Equal (0.34228481882461403),Equal (0.3972754283219567),Greater (1.0),Less (1.2785506144523585e-14),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Less (9.322125525733528e-07),Less (2.1198144833293553e-10),Less (5.940667888604582e-12),Greater (1.0),Greater (0.999085070425939),Greater (0.9998276684776903),Greater (1.0),Greater (0.9999999999999981),Greater (1.0),Greater (0.9999999999978691),Less (4.4347710503184846e-20),Less (9.962213070493942e-13),Less (1.1562481263143779e-26),Equal (0.6618516584766487),Less (1.69571083716941e-07),Less (6.94849474774268e-05),Less (8.470457962765053e-07),Equal (0.34478374905186615),Less (5.079520538753812e-40),Greater (0.9999988316630026),Greater (1.0),Greater (0.9999994662376158),Less (0.001445773194388417),Equal (0.16967815411904108),
existence-soa and middlewares,,,,,,Less (0.0012978683923905382),Less (0.003980122358439086),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0004973757033889084),Less (0.0009047722486865077),Less (7.829076674347881e-08),Greater (0.99999771425521),Equal (0.2133189954907707),Equal (0.36438162233493177),Equal (0.1682603705123702),Greater (1.0),Less (6.031366912205227e-13),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999912940002875),Greater (1.0),
existence-software development tools,,,,,,,Equal (0.4854283951634588),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.2122794248160751),Equal (0.8508107018808841),Equal (0.9681472815524731),Greater (0.9999999985924519),Equal (0.09393928466090945),Equal (0.228603028238186),Equal (0.23752959746304358),Greater (1.0),Equal (0.08419794883999959),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999995261518),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.6015245143560589),Equal (0.625421627633941),Equal (0.22526010754214532),Greater (0.9999999996988568),Equal (0.25448344071667783),Equal (0.4467476889034945),Equal (0.4574585545634827),Greater (1.0),Less (0.0007940087422720567),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999990798),Greater (1.0),
executive-full,,,,,,,,,Less (3.058322390028767e-54),Less (2.9202247479501156e-213),Greater (1.0),Less (1.0552394806003603e-21),Less (0.0066021189558402036),Less (2.440103967898622e-56),Less (0.0),Less (8.390756115167503e-79),Less (0.0),Less (3.704498396254253e-14),Less (1.2620973371714452e-59),Less (6.919695624955847e-25),Less (2.69359018220567e-40),Less (0.0),Less (0.0),Less (0.0),Equal (0.2458875952673224),Less (0.0),Less (0.0),Less (0.0),
executive-content management,,,,,,,,,,Equal (0.14848912742028228),Greater (1.0),Greater (0.9999999999969874),Greater (1.0),Greater (0.9999998038819617),Less (5.372794978221489e-102),Less (5.395951437102473e-29),Less (3.066509126875239e-106),Equal (0.0734192912280238),Less (6.964836851602733e-20),Less (1.6351770050836037e-09),Less (1.5071504218997225e-14),Less (1.4700001996209934e-08),Less (5.91094845499168e-226),Equal (0.2955935562164964),Greater (1.0),Equal (0.05019464121323123),Less (1.4664286368896306e-43),Less (1.0310987554079324e-07),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.1160589794390658e-194),Less (4.414280592078584e-38),Less (9.479145520621337e-178),Equal (0.12287156829913955),Less (3.8706352689504233e-25),Less (4.1882435348422806e-11),Less (6.79579427280959e-18),Less (1.941262167012069e-13),Less (0.0),Greater (0.9999999998194983),Greater (1.0),Greater (0.9999999999494527),Less (1.379267326321499e-121),Less (4.816890946487689e-13),
