,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
full-existence,,Greater (1.0),Equal (0.8649145619801544),Greater (1.0),Less (2.510022379308084e-23),Greater (1.0),Equal (0.17913404939616262),Less (1.5881069793871533e-36),Equal (0.20344363786910857),Greater (1.0),Less (0.0003056546678925821),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999937),Greater (1.0),Greater (0.9996555381493054),Greater (1.0),Equal (0.3081905101918525),Greater (1.0),Equal (0.17960281441832548),Greater (1.0),Equal (0.5920127434597175),Greater (1.0),Equal (0.5491202281170857),Greater (1.0),Equal (0.7027986132504676),Greater (1.0),
full-executive,,,Less (0.0),Less (0.0),Less (6.471432474007576e-165),Less (3.058322390028767e-54),Less (8.390756115167503e-79),Less (0.0),Less (0.0),Less (2.9202247479501156e-213),Less (0.0),Less (0.0),Less (2.3572446679249038e-30),Greater (1.0),Less (3.704498396254253e-14),Equal (0.2458875952673224),Less (3.1072162863441556e-88),Less (1.0552394806003603e-21),Less (1.2620973371714452e-59),Less (0.0),Less (7.781470332725432e-56),Less (0.0066021189558402036),Less (6.919695624955847e-25),Less (0.0),Less (4.015899575486341e-89),Less (2.440103967898622e-56),Less (2.69359018220567e-40),Less (0.0),
full-property,,,,Greater (1.0),Less (3.196159896226817e-21),Greater (1.0),Equal (0.22054005991968617),Less (1.8563772484574507e-24),Equal (0.29764134539124587),Greater (1.0),Less (0.001174804909023425),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999709),Greater (1.0),Greater (0.9995026663276143),Greater (1.0),Equal (0.290457934357516),Greater (1.0),Equal (0.2122794248160751),Greater (1.0),Equal (0.5712377850584693),Greater (1.0),Equal (0.6015245143560589),Greater (1.0),Equal (0.6686967997485677),Greater (1.0),
full-nonarch,,,,,Less (7.673073610688852e-77),Greater (0.9999999853000026),Less (1.5931756529047936e-24),Less (0.0),Less (2.242217964661533e-158),Greater (0.9999999999998058),Less (1.4639759718395663e-135),Greater (1.0),Equal (0.34478374905186615),Greater (1.0),Equal (0.9573468992768448),Greater (1.0),Less (1.86722649026404e-18),Greater (1.0),Less (1.5098668943612889e-15),Greater (1.0),Less (1.1311588963266231e-18),Greater (1.0),Less (4.2159044710879644e-07),Less (0.0),Less (1.293843182316444e-26),Greater (1.0),Less (3.812354071076623e-11),Equal (0.08923706764772205),
content management-existence,,,,,,Greater (1.0),Greater (0.999999996758869),Greater (0.9999819956850563),Greater (1.0),Greater (1.0),Greater (0.9999999999999957),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999997036),Greater (1.0),Greater (0.999999501658492),Greater (1.0),Greater (0.9999997281527864),Greater (1.0),Greater (0.999999999867024),Greater (1.0),Greater (0.9999999974482385),Greater (1.0),
content management-executive,,,,,,,Less (5.395951437102473e-29),Less (5.91094845499168e-226),Less (8.749003511069869e-113),Equal (0.14848912742028228),Less (3.066509126875239e-106),Equal (0.2955935562164964),Less (0.0009150225570002196),Greater (1.0),Equal (0.0734192912280238),Greater (1.0),Less (1.072701197551693e-23),Greater (0.9999999999969874),Less (6.964836851602733e-20),Equal (0.05019464121323123),Less (1.885601482153093e-22),Greater (1.0),Less (1.6351770050836037e-09),Less (1.4664286368896306e-43),Less (4.2651938605874685e-31),Greater (0.9999998038819617),Less (1.5071504218997225e-14),Less (1.0310987554079324e-07),
content management-property,,,,,,,,Less (0.0026830421217705954),Equal (0.39124133444214126),Greater (1.0),Equal (0.7723782007241871),Greater (1.0),Greater (0.9999999999990048),Greater (1.0),Greater (0.9999999998152735),Greater (1.0),Greater (0.9990956346467456),Greater (1.0),Equal (0.1025531687956177),Greater (1.0),Equal (0.8508107018808841),Greater (1.0),Equal (0.2994371560205932),Greater (0.9999999999985566),Equal (0.625421627633941),Greater (1.0),Equal (0.2764831664804702),Greater (1.0),
content management-nonarch,,,,,,,,,Greater (0.9999999999999872),Greater (1.0),Greater (0.9999929279404683),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999993968),Greater (1.0),Greater (0.9999890631938609),Greater (1.0),Equal (0.08419794883999959),Greater (1.0),Greater (0.9959607356880317),Greater (1.0),Greater (0.9992059931657009),Greater (1.0),Greater (0.9993240024739055),Greater (1.0),
data storage & processing-existence,,,,,,,,,,Greater (1.0),Less (0.01587873175175921),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999890388003436),Greater (1.0),Equal (0.10658381718345646),Greater (1.0),Equal (0.3495145880500834),Greater (1.0),Equal (0.34228481882461403),Greater (1.0),Equal (0.9404369566739497),Greater (1.0),Equal (0.3972754283219567),Greater (1.0),
data storage & processing-executive,,,,,,,,,,,Less (9.479145520621337e-178),Greater (0.9999999998194983),Less (0.0001723385712791584),Greater (1.0),Equal (0.12287156829913955),Greater (1.0),Less (2.1268549807305288e-30),Greater (1.0),Less (3.8706352689504233e-25),Greater (0.9999999999494527),Less (1.949004088982521e-28),Greater (1.0),Less (4.1882435348422806e-11),Less (1.379267326321499e-121),Less (2.7596323778573354e-40),Greater (1.0),Less (6.79579427280959e-18),Less (4.816890946487689e-13),
