,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
full-existence,,Greater (1.0),Less (1.2526864572926022e-06),Greater (1.0),Less (0.0),Equal (0.15090419954600706),Less (1.7058309744211863e-17),Less (0.0),Less (8.436328489248432e-05),Greater (1.0),Less (1.930256182026237e-28),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999980434799502),Greater (1.0),Equal (0.6303932588930283),Greater (1.0),Less (1.6643851681965834e-28),Greater (1.0),Equal (0.5655995930397545),Greater (1.0),Less (9.125511804167888e-05),Greater (1.0),Equal (0.9828374035921377),Greater (1.0),
full-executive,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (3.27525086333017e-254),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0005351578585857988),Greater (1.0),Less (1.8790853238648112e-25),Less (2.432191520688905e-12),Less (0.0),Less (2.5117198158349426e-51),Less (4.129706929083545e-127),Less (0.0),Less (0.0),Less (4.510203455039643e-83),Less (2.6043143111080077e-64),Less (0.0),Less (0.0),Less (9.70029122896069e-202),Less (9.514986656363844e-97),Less (0.0),
full-property,,,,Greater (1.0),Less (1.5424477153294672e-276),Greater (0.9999908337482928),Less (1.9161224805943205e-10),Less (1.6457445564249497e-209),Equal (0.15320109044613625),Greater (1.0),Less (1.680926999479641e-11),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999994458),Greater (1.0),Greater (0.9866689915693325),Greater (1.0),Less (1.0405690939844114e-14),Greater (1.0),Equal (0.06872909408151469),Greater (1.0),Equal (0.5430065586825683),Greater (1.0),Equal (0.12709049840688177),Greater (1.0),
full-nonarch,,,,,Less (0.0),Less (2.085780584086072e-92),Less (1.6062552728557525e-83),Less (0.0),Less (0.0),Greater (0.9946552889515208),Less (5.644605848632649e-248),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999649100204456),Greater (1.0),Less (8.19439446852215e-57),Greater (1.0),Less (7.841024848874799e-25),Greater (1.0),Less (4.0136049845570433e-172),Greater (1.0),Less (4.479583241980339e-12),Less (0.0),Less (5.329745470926545e-112),Greater (1.0),Less (4.138807960497275e-19),Greater (1.0),
content management-existence,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-executive,,,,,,,Less (2.3538138526870244e-14),Less (5.206179926178598e-166),Less (5.569392542726608e-06),Greater (1.0),Less (2.765751423775904e-22),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9948761799320895),Greater (1.0),Equal (0.7936282726877041),Greater (1.0),Less (9.318575513381589e-23),Greater (1.0),Equal (0.8171787121670102),Greater (0.9999999999934017),Less (7.678032432392811e-05),Greater (1.0),Equal (0.7549489957908159),Greater (1.0),
content management-property,,,,,,,,Less (4.2276779389606584e-12),Greater (0.9999999999999701),Greater (1.0),Greater (0.9906122364761138),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999520008),Greater (1.0),Equal (0.5176449820775431),Greater (1.0),Greater (0.9999997638421084),Greater (1.0),Greater (0.9999999319536682),Greater (1.0),Greater (0.999999940822214),Greater (1.0),
content management-nonarch,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
data storage & processing-existence,,,,,,,,,,Greater (1.0),Less (1.350518178260647e-18),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999839672),Greater (1.0),Equal (0.07844925476204699),Greater (1.0),Less (2.0069339520293188e-22),Greater (1.0),Equal (0.13289001777370577),Greater (1.0),Equal (0.06446098740400023),Greater (1.0),Equal (0.3043394754431641),Greater (1.0),
data storage & processing-executive,,,,,,,,,,,Less (2.1538712327962822e-254),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9988533152539903),Greater (1.0),Less (2.592550251443735e-67),Greater (1.0),Less (3.0738114659635346e-32),Greater (1.0),Less (2.144041106006615e-193),Greater (1.0),Less (9.520293521157173e-17),Less (4.465817274551967e-146),Less (1.074249815573206e-125),Greater (0.9999999994071478),Less (3.601542664567645e-26),Equal (0.11744263319668645),
