,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (0.0),Greater (1.0),Greater (0.9999999999999994),Greater (1.0),Greater (0.9999999296777372),Greater (1.0),Greater (1.0),Less (1.7500527030693504e-169),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.0106405981348094e-11),Less (6.108238440661254e-281),Equal (0.13634449112610572),Greater (0.999999999920376),Greater (0.9999999999999714),Greater (0.9998130888440344),Greater (0.999250402762765),Less (1.0881235603071689e-10),Less (0.0),Greater (1.0),Equal (0.19890105089688737),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (8.42863441536463e-09),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999997152118),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Equal (0.7243117275710247),Greater (1.0),Equal (0.7767724208112248),Greater (0.9999786154396108),Greater (0.9999991944439699),Less (2.363159071898774e-206),Greater (0.9987960150731147),Greater (1.0),Greater (1.0),Greater (0.9999646767884443),Greater (0.9999999993467324),Less (7.51129251418926e-46),Less (0.0),Less (1.1634082025205004e-08),Greater (0.996840045234395),Greater (0.9999996182390078),Equal (0.3907104129233919),Equal (0.8744022975402304),Less (3.232226106885459e-51),Less (0.0),Less (3.691917201672929e-05),Less (2.6424691818312282e-33),Greater (1.0),Less (0.008377833434667747),Greater (0.9994276981551335),
existence-devops and cloud,,,,,Greater (1.0),Equal (0.9745670369718733),Greater (0.9999809013962233),Greater (0.9999878569880541),Less (4.017457795767063e-139),Greater (0.9984378033051047),Greater (1.0),Greater (1.0),Greater (0.9999508246901629),Greater (0.9999999967480533),Less (1.5318403215291121e-30),Less (7.255374856838842e-254),Less (1.2952989547581003e-06),Greater (0.9976706072223124),Greater (0.9999997534945632),Equal (0.32720102915510985),Equal (0.7671044781236649),Less (1.5827855084807125e-28),Less (4.191817511590034e-256),Less (0.0041905917193546405),Less (3.151510116004189e-19),Greater (1.0),Equal (0.14148302957254544),Greater (0.9986528399293125),
existence-soa and middlewares,,,,,,Less (1.6760744895808255e-24),Less (8.811319932481359e-12),Less (4.2222243346242524e-22),Less (3.563385819816157e-162),Less (2.4952114631563697e-22),Equal (0.15034352274586718),Equal (0.2200059239450809),Less (3.6338745771412794e-17),Less (2.61710068453679e-13),Less (7.025581241874118e-73),Less (8.425721460154469e-281),Less (1.5696289369162552e-44),Less (9.39623639936375e-10),Equal (0.09797988960933718),Less (9.311747227968326e-11),Less (1.28281121470808e-14),Less (1.842054881043232e-67),Less (3.5297577530551462e-217),Less (1.0798196316214476e-38),Less (1.0990070737086905e-59),Less (6.45441917489089e-06),Less (1.8543975021862233e-35),Less (1.085463042802352e-24),
existence-software development tools,,,,,,,Greater (0.9998188561816872),Greater (0.9976597184553533),Less (3.0997585993098706e-68),Greater (0.984643138415825),Greater (1.0),Greater (1.0),Greater (0.998969235436529),Greater (0.9999976880354596),Less (1.187862745062501e-15),Less (3.4377745132726835e-140),Less (0.00016992164021794996),Greater (0.9954686749759866),Greater (0.9999993889865733),Equal (0.3468392553061488),Equal (0.7690844528952445),Less (1.2655806214804777e-12),Less (2.206957059906416e-106),Equal (0.09633369408797766),Less (4.839273887123507e-09),Greater (1.0),Equal (0.35438606845110376),Greater (0.9783430084591013),
existence-web development,,,,,,,,Less (0.01702476260703851),Less (3.913544759888637e-101),Less (0.008229740275843904),Greater (1.0),Greater (1.0),Equal (0.2518838123711906),Equal (0.8289861947041453),Less (4.5455529548692994e-33),Less (5.6588141284966935e-189),Less (4.290923786316956e-14),Equal (0.8541060641481868),Greater (0.9973633945821088),Equal (0.1963693605289336),Less (0.015466587950202327),Less (1.676742350482612e-29),Less (4.556097387592823e-148),Less (2.405519044363344e-10),Less (7.488379944578566e-24),Greater (0.9999994727196948),Less (1.6877526982044058e-08),Less (0.0021939288483998347),
executive-full,,,,,,,,,Less (0.0),Equal (0.35153931188227017),Greater (1.0),Greater (1.0),Equal (0.23862821854672822),Greater (0.9998104414879792),Less (1.5418933165666868e-143),Less (0.0),Less (7.372611525947599e-25),Equal (0.20819607597347367),Greater (0.9999643693317063),Equal (0.7539239600523207),Equal (0.23225528806330886),Less (0.0),Less (0.0),Less (1.9834733389799945e-66),Less (4.650905868636037e-206),Greater (1.0),Less (1.2466722460111695e-35),Less (0.005972558256511939),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (4.850446363588248e-34),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (7.84038628489671e-10),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Equal (0.10868592388639228),Greater (0.9998880059871262),Less (8.221403502115339e-71),Less (0.0),Less (1.6825233714479363e-16),Equal (0.1303675870873871),Greater (0.9999811096059329),Equal (0.9356028074786549),Equal (0.3638042654190774),Less (3.307337465914164e-85),Less (0.0),Less (1.666351307864074e-16),Less (2.1690513495469725e-59),Greater (1.0),Less (8.704155393160052e-11),Equal (0.5367581837467705),
