,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (5.147245010478666e-264),Greater (1.0),Greater (0.9987150088020613),Greater (1.0),Greater (0.9999997519727625),Greater (1.0),Greater (1.0),Less (1.284654582692548e-114),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999986378590108),Less (4.6537411772699855e-55),Greater (0.9983098273514263),Greater (1.0),Greater (0.999999854858465),Equal (0.4142315955510866),Equal (0.8907012741152164),Less (1.2325795456803931e-14),Less (3.9742784795024184e-163),Equal (0.6176114735121025),Greater (0.9996074218654488),Greater (0.9999947714721892),Greater (0.9944508337853849),Greater (0.9963918392596325),Less (0.0015362461324611683),Less (3.048454012960327e-117),Greater (0.9970330775493591),Greater (0.9991217948422066),Greater (0.9999994444892657),Equal (0.11562248742357761),Greater (0.9800695156264512),Equal (0.5980914373132309),Less (4.1420149923236893e-22),Equal (0.8580788317730648),Greater (0.9999866139749626),Greater (0.999132908219392),Equal (0.051607444863937986),Equal (0.9767028635407982),Equal (0.3101225942480704),Less (1.6654147383646417e-21),Equal (0.6109650747942081),Greater (0.9916763110279538),Greater (0.9841802321383513),Equal (0.4249154473034591),Equal (0.2070605910914074),Less (5.575366467742759e-08),Less (0.0),Greater (1.0),Equal (0.34610394052849214),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999993),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.005806205363429656),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999969152985),Greater (0.9999999874812923),Greater (1.0),Less (3.0914434457764574e-12),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999992),Greater (0.9999999999999999),Greater (1.0),Less (7.629605271307094e-07),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999854055),Greater (0.9999999999999999),Greater (1.0),Equal (0.5258700995368246),Greater (1.0),Greater (1.0),Greater (0.9999999999979347),Greater (0.9999999994088081),Greater (0.9999970888778977),Greater (0.99999999999994),Less (0.001519690506370133),Greater (0.9999962522272022),Greater (0.9999999992785744),Greater (0.999955262998995),Greater (0.989359549658988),Greater (0.9986604426524076),Greater (1.0),Greater (0.9991844927089033),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Less (2.0674571751990998e-07),Greater (1.0),Equal (0.3361235241000955),Greater (0.9999800503356159),Greater (0.9998366540038212),Less (1.284554102489243e-153),Greater (0.9872421387131591),Greater (1.0),Greater (1.0),Greater (0.997121634515595),Greater (0.999999879692873),Less (0.004419644070737025),Less (1.7585369595795737e-97),Equal (0.4046252874580618),Greater (0.9999999993501271),Greater (0.9997388106463505),Equal (0.24083560146931782),Less (0.0182311380432947),Less (1.5381865105605954e-47),Less (1.3666146122880491e-235),Less (5.014340450524117e-10),Equal (0.2982242710248829),Greater (0.9957145842787607),Equal (0.6014413863377306),Equal (0.5017417833448168),Less (2.4440023109902708e-26),Less (3.3993885250924386e-180),Less (0.0003343033264217042),Equal (0.8837558879264928),Greater (0.9975837053358327),Equal (0.7010186020103308),Equal (0.7693672470949791),Less (3.1012423677225334e-10),Less (1.8365766094835462e-45),Less (0.0006985958613994293),Greater (0.9927620641743111),Equal (0.060798413818414034),Equal (0.6721891159530833),Equal (0.06645414808625973),Less (3.157967156632011e-06),Less (1.5795643455656734e-38),Less (0.0043417015318592414),Equal (0.2631561797365909),Equal (0.09989371098718693),Equal (0.7958944141101999),Equal (0.5020584345727165),Less (1.773528255624439e-46),Less (0.0),Less (1.6790785387076297e-07),Less (1.3315108426534687e-32),Greater (1.0),Less (8.287663473749699e-05),Equal (0.30251903956861437),
existence-devops and cloud,,,,,Greater (1.0),Greater (0.995672568034609),Greater (0.9999999999996643),Greater (1.0),Less (3.6939617900697264e-65),Greater (0.9999999999999131),Greater (1.0),Greater (1.0),Greater (0.9999999999994879),Greater (1.0),Equal (0.08216626253306132),Less (4.2587885392362605e-57),Equal (0.11353574249590044),Greater (0.9999999999999999),Greater (0.9999972482993399),Equal (0.8781300903863611),Equal (0.5518289354365298),Less (6.612035472466001e-16),Less (1.4381048864222749e-134),Less (0.014003494715694731),Greater (0.9944434317699118),Greater (0.999921008721501),Equal (0.06460110704396897),Greater (0.9764386113003943),Less (2.413170074372372e-06),Less (1.7130582247937542e-102),Equal (0.6053410775950792),Greater (0.9804910269613085),Greater (0.9999823576273704),Equal (0.360273888987367),Equal (0.21073970668337882),Less (0.012796847450043313),Less (9.558893536357285e-26),Equal (0.3640949988157709),Greater (0.999831344951849),Greater (0.996537943219245),Equal (0.15318567970658195),Equal (0.5638622154922908),Less (0.018405807505653935),Less (2.378515458149205e-25),Equal (0.23887541804712376),Greater (0.9750563279474925),Greater (0.9760230228373881),Equal (0.5376411854565524),Equal (0.28689936553658335),Less (4.312728519909558e-08),Less (7.678059964266717e-144),Greater (0.9840498420460005),Less (0.00016967511938659847),Greater (1.0),Greater (0.9990580888797722),Greater (0.9999999999997479),
existence-soa and middlewares,,,,,,Less (3.248285381443275e-20),Less (1.4058501185366468e-07),Less (1.2412933320510437e-16),Less (4.293152535479805e-118),Less (5.404466598821968e-17),Equal (0.11589479046106262),Equal (0.4149066133361151),Less (2.3078892951005353e-14),Less (1.7247840899756265e-10),Less (8.285135542897718e-26),Less (5.828005785313628e-156),Less (8.092282638519596e-16),Equal (0.19331928323432146),Equal (0.9469960383946118),Less (1.4542230847633112e-10),Less (3.99233713115962e-15),Less (3.037636764148173e-67),Less (1.4724850085275476e-233),Less (4.4607047292897966e-38),Less (9.34784884519576e-06),Equal (0.19665738589244453),Less (7.860313298396667e-06),Less (1.597675536702935e-05),Less (1.370040401486778e-50),Less (4.103352436076398e-198),Less (9.123311506272016e-28),Less (2.107692777540901e-10),Equal (0.09267570185331858),Less (6.083922984577425e-08),Less (2.588052828695287e-09),Less (2.1992262675211305e-38),Less (5.66834375536812e-100),Less (5.450100240615697e-24),Equal (0.14763441468040714),Equal (0.34357584083344606),Less (0.0002936404870910178),Less (2.6041536389323933e-12),Less (1.7336996085878198e-30),Less (8.555048383674895e-113),Less (1.0291615469961398e-16),Less (0.02458330762079502),Equal (0.4143466837552112),Equal (0.23825803993760009),Equal (0.45397845705232465),Less (1.6987059762172032e-53),Less (5.707130143334465e-169),Less (2.712115936831015e-31),Less (1.3226975749853245e-47),Less (1.4375407713845211e-05),Less (7.626962784264667e-29),Less (1.8154362494376743e-20),
existence-software development tools,,,,,,,Greater (0.9999870961880922),Greater (0.999101049777661),Less (7.086090638459814e-52),Greater (0.9927111400508186),Greater (1.0),Greater (1.0),Greater (0.9981338828469387),Greater (0.9999984964752996),Equal (0.27899218824945793),Less (4.377814345655637e-60),Equal (0.8580322737547205),Greater (0.9999999997646981),Greater (0.9998925821160011),Equal (0.4217183811709696),Equal (0.1015007983554595),Less (1.227220576490846e-18),Less (1.693033900684768e-116),Less (2.3271784662910718e-05),Equal (0.16915757482757643),Greater (0.9979477511355188),Equal (0.39736553048514855),Equal (0.32771895424167863),Less (4.4687960123938574e-10),Less (6.6439195117855276e-93),Equal (0.06334984464325823),Equal (0.5459724504331152),Greater (0.9989675774081125),Equal (0.9670436843219428),Equal (0.9137875794793163),Less (1.9737282732536877e-05),Less (9.66737083162055e-31),Less (0.008965712331931192),Greater (0.9964483662961885),Greater (0.9807643298532941),Equal (0.5015838207772914),Equal (0.14357443934426847),Less (0.00021908327165909758),Less (1.98369249665786e-31),Less (0.01546581670718404),Equal (0.18575056745238716),Equal (0.08346595791348499),Equal (0.7275320254597759),Equal (0.4395178767215293),Less (2.6294714816416086e-11),Less (1.2447248249307926e-90),Equal (0.08885341889841508),Less (2.995311282065392e-08),Greater (1.0),Equal (0.3026484908881709),Equal (0.09671803885406192),
existence-web development,,,,,,,,Less (0.0032929950683163417),Less (4.313574197232852e-82),Less (0.001589595320316534),Greater (0.9999999971415722),Greater (0.9999999999999777),Less (0.014559413795903508),Equal (0.5141831196091058),Less (1.3287009534723692e-08),Less (8.96780722919086e-96),Less (0.0002910824553476301),Greater (0.9987484411638198),Greater (0.9860787053081084),Less (0.0023366462987559245),Less (4.7239377074266694e-05),Less (9.844458884933054e-39),Less (2.5421999313212276e-166),Less (2.890261832967629e-16),Equal (0.4046586567162028),Equal (0.22605794397857015),Equal (0.2620282756098228),Equal (0.32412562866971506),Less (5.397986191571505e-26),Less (1.2473451156117113e-136),Less (7.40954808067131e-10),Less (0.015898116474814084),Equal (0.240133098917516),Less (0.022831500174182194),Less (0.014857238368075957),Less (1.8793294858706158e-16),Less (3.197250569536722e-54),Less (2.481914279615764e-08),Equal (0.2937139526946472),Equal (0.37725589758382116),Equal (0.3936239339165546),Less (0.000321774904762585),Less (1.0149747076086759e-11),Less (5.623980053084596e-54),Less (6.768828258365719e-06),Equal (0.938884579952121),Equal (0.1909109073668649),Equal (0.838594069703557),Equal (0.8436505450043208),Less (3.8583880855069577e-29),Less (1.7778743268551827e-128),Less (4.15067984927097e-12),Less (2.6125357157768194e-24),Greater (0.9954154767698975),Less (2.2482726800489054e-10),Less (3.9042074703426255e-05),
executive-full,,,,,,,,,Less (0.0),Equal (0.3570776397865568),Greater (1.0),Greater (1.0),Equal (0.6597049069828728),Greater (0.9995580925967364),Less (5.389996986735052e-09),Less (6.784080557238225e-145),Less (0.015414629270125402),Greater (0.9999998694163035),Greater (0.9986670341834778),Equal (0.05935005624945263),Less (0.0016996886433499625),Less (3.223670987031342e-113),Less (0.0),Less (8.847193236303506e-20),Equal (0.7578121662692122),Greater (0.9825308159015063),Equal (0.9004107273179742),Equal (0.9855468649262352),Less (3.5117788048934428e-68),Less (1.5563878260641532e-302),Less (5.540098918085754e-10),Equal (0.3980596050112506),Greater (0.9869456340829582),Equal (0.29479165128657936),Equal (0.27764736785591304),Less (3.0926537071025e-20),Less (2.9587738985770346e-65),Less (2.9519832734234255e-06),Equal (0.053165667379258465),Equal (0.1329850893201131),Equal (0.9422282358170436),Less (0.005884566107094549),Less (9.288525481767925e-10),Less (2.8910555714074212e-49),Less (0.00030794220719349333),Equal (0.469148477415372),Equal (0.13102947417419059),Equal (0.9359711644178966),Equal (0.623838825257713),Less (0.0),Less (0.0),Less (1.5308344123239145e-81),Less (2.2150784981997772e-223),Greater (1.0),Less (2.6233284162886877e-47),Less (8.212271618252648e-07),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.7182681391605367e-09),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999878366531656),Greater (0.9999453813915666),Greater (0.9999999999999999),Less (4.026544478677326e-32),Greater (1.0),Greater (0.9999999999999838),Greater (0.9999999999999988),Greater (0.9999999996887244),Greater (0.999999999896234),Greater (1.0),Less (7.242639693060122e-21),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999997257740022),Greater (0.9999999996923732),Greater (1.0),Less (0.015145878155590549),Greater (0.999999997683694),Greater (0.9999999999999889),Greater (0.999999991320633),Greater (0.9999988362871413),Greater (0.9991123527794831),Greater (0.9999992671809405),Less (1.8143806181409314e-06),Greater (0.9983589855337679),Greater (0.9999992984244225),Greater (0.9994984638768253),Equal (0.0712468251979017),Greater (0.9921248526247555),Greater (1.0),Less (3.1961735901459883e-15),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Equal (0.335306314164763),Greater (0.9997423772879863),Less (3.2415910711739123e-06),Less (7.012686914247401e-121),Equal (0.0720697275328207),Greater (0.9999999414979704),Greater (0.9990483525364667),Equal (0.0879760155887988),Less (0.00337646534923097),Less (2.8397557683753216e-70),Less (1.3583835954449542e-299),Less (2.4213645349704173e-15),Equal (0.6328680515039774),Greater (0.986877307155633),Equal (0.9777245072436692),Equal (0.8641902369590713),Less (1.0078153106849485e-41),Less (1.8819980844427612e-228),Less (1.9075299287609e-07),Equal (0.548108381925393),Greater (0.9906725268268332),Equal (0.37600163091284033),Equal (0.3735284282643976),Less (1.1763488632578246e-15),Less (1.325794674528185e-56),Less (1.8078800273025252e-05),Greater (0.9796299955016691),Equal (0.11262273653380073),Equal (0.9650058047153858),Less (0.009539659841150782),Less (1.5624416589941026e-08),Less (1.2877906129638549e-45),Less (0.000662296190353662),Equal (0.4152835041315127),Equal (0.12328996355373044),Equal (0.9030566406299572),Equal (0.5944284741592065),Less (3.370968950847428e-85),Less (0.0),Less (1.2115471816931896e-19),Less (1.8963131622487337e-61),Greater (1.0),Less (1.1645918734233738e-13),Equal (0.05320772089455518),
