,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (3.6948858265527526e-45),Greater (0.9897418148185566),Greater (0.9854788028256223),Greater (0.9999936022050009),Greater (0.9944165972079219),Greater (0.9998196470000156),Greater (1.0),Less (6.620749747733773e-33),Greater (0.9999999998383988),Greater (1.0),Greater (1.0),Greater (0.9999999999990486),Greater (1.0),,,,,,,,Less (2.172880326893712e-06),Less (1.828680006907532e-95),Equal (0.38347338582478496),Equal (0.14375864808645222),Greater (0.9993420100826527),Equal (0.22239702961254926),Equal (0.15957243006641608),Less (0.011229115222042419),Less (3.1423332640930855e-20),Equal (0.6572757274651869),Equal (0.8332556469386148),Equal (0.6564137916016864),Equal (0.2584532607161605),Equal (0.6874359172557434),Less (0.01802867647209821),Less (7.973417945020072e-07),Equal (0.09494231526050628),Equal (0.2078114150434106),Equal (0.7041283843191859),Equal (0.7041283843191859),Equal (0.47820120616641815),,,,,,,,Less (0.004639659611804712),Less (9.169244552132819e-104),Greater (0.9999704346907504),Equal (0.4163031838280076),Greater (1.0),Greater (0.9999993375483938),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999039),Greater (1.0),Greater (1.0),Greater (0.9999991093576979),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (1.0),Less (8.300639722386342e-06),Greater (1.0),Greater (0.9999999999998734),Greater (0.9999999999999991),Greater (0.9999999033819145),Greater (0.9999999986924852),Greater (0.9999999999583278),Less (0.005629399651868901),Greater (0.9999999999715684),Greater (0.9976480040107122),Greater (0.996292299343013),Greater (0.9885111824422795),Greater (0.9795577161774791),Greater (0.9952785171487166),Equal (0.2081040843435068),Equal (0.1621570634472176),Greater (0.9943463526975777),Equal (0.2901330210985955),Equal (0.2901330210985955),Equal (0.15330493295119468),,,,,,,,Greater (1.0),Greater (0.996255847373901),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Equal (0.46255535839053885),Greater (0.99953512282916),Equal (0.07744583088474599),Greater (0.9956752437984322),Greater (0.9999998404415581),Less (2.685481555082582e-29),Greater (0.988392756393201),Greater (1.0),Greater (1.0),Greater (0.9999807776925643),Greater (0.9999999999999999),,,,,,,,Less (4.747523040760356e-09),Less (3.2122689242682273e-85),Equal (0.27652433907505725),Equal (0.650580435340465),Greater (0.9934930760832414),Equal (0.5705656884117112),Equal (0.5143576960232742),Less (0.0001681774863201922),Less (7.034158382254521e-25),Equal (0.10449314715764346),Equal (0.8194836198112002),Equal (0.9360703138192832),Equal (0.3219276085957552),Equal (0.8900588174717472),Less (0.0017077879869195802),Less (1.2339789799794099e-08),Less (0.012135067873967287),Equal (0.26955707201610546),Equal (0.5184222448068003),Equal (0.5184222448068003),Equal (0.5342909211561176),,,,,,,,Less (8.374909039811576e-06),Less (1.818097401182638e-60),Equal (0.7913718160345742),Less (0.013698350803683718),Greater (1.0),Equal (0.7827393226573018),Greater (0.99404759221069),
existence-devops and cloud,,,,,Greater (0.9946668390963519),Equal (0.20383140003299305),Greater (0.9763104846891),Greater (0.9772926046643096),Less (2.0811521015163165e-14),Equal (0.5785608547065959),Greater (1.0),Greater (1.0),Greater (0.983525133860606),Greater (0.9999995972605347),,,,,,,,Less (8.806361494283851e-06),Less (8.688139224606244e-45),Equal (0.14203673057520727),Equal (0.9360385630874286),Greater (0.9780949913106968),Equal (0.8406369757985395),Equal (0.8199692074641798),Less (0.0003638743620355425),Less (1.5695523981730728e-22),Equal (0.05552754341029516),Equal (0.6370290788618265),Equal (0.9023645755821219),Equal (0.3565063745627981),Equal (0.9947843708085958),Less (0.0009374314689476024),Less (3.2072495173912547e-09),Less (0.006272786627099655),Equal (0.3040134658035877),Equal (0.4279070908097229),Equal (0.4279070908097229),Equal (0.5632932011166166),,,,,,,,Less (0.0007631941589566779),Less (2.804771694785218e-23),Equal (0.3261140628106881),Less (0.021109525778980027),Greater (0.9999991031543372),Equal (0.49111549107536767),Equal (0.6002512122057431),
existence-soa and middlewares,,,,,,Equal (0.45001838112830217),Equal (0.7202002300012216),Equal (0.08975135385545335),Less (1.767343933320432e-17),Less (0.005733869288347916),Greater (0.9929561426001036),Greater (0.9992546563247258),Equal (0.17503180644273453),Equal (0.7351330758915012),,,,,,,,Less (1.7358955114013412e-09),Less (1.2685501646185984e-45),Less (6.461173868807168e-05),Less (0.009643355433869311),Equal (0.9481850523903124),Equal (0.10796797739110627),Equal (0.08031729354646286),Less (5.8520144236881264e-08),Less (2.203117432771909e-33),Less (2.4261385423353986e-05),Equal (0.05964449119882528),Equal (0.19038271178994137),Equal (0.5585211667258785),Equal (0.3721129010780362),Less (1.3756686914993069e-07),Less (1.4471924684578253e-17),Less (6.780025918370769e-06),Equal (0.5140965759814692),Equal (0.0724511479470552),Equal (0.0724511479470552),Equal (0.7147275280895293),,,,,,,,Less (2.0838785135712321e-07),Less (1.2842583393785671e-24),Less (0.00017931442420973505),Less (9.408214365121498e-06),Equal (0.8661729960805669),Less (0.00036074116089668165),Less (0.004477302135829946),
existence-software development tools,,,,,,,Equal (0.68145459728658),Equal (0.6692836955944517),Less (1.3198315144760428e-08),Equal (0.2679173716501959),Greater (0.9991516960895428),Greater (0.9999370480182217),Equal (0.8408537967638805),Equal (0.21700153514481968),,,,,,,,Less (0.00010487125342299185),Less (1.912527531953997e-23),Less (0.014669127700765708),Equal (0.22400197129252586),Equal (0.4841729963843032),Equal (0.42934815805510995),Equal (0.3968214842273795),Less (0.00035672294335904406),Less (1.1481450599207533e-18),Less (0.005965132821105062),Equal (0.23043446220898756),Equal (0.44090863495667043),Equal (0.4825439299642661),Equal (0.61550468107101),Less (0.00018883447608533205),Less (5.166889511514709e-11),Less (0.0007827305960747869),Equal (0.43344507199545246),Equal (0.1906638983572938),Equal (0.1906638983572938),Equal (0.6614556912170602),,,,,,,,Less (0.0012282470412223242),Less (6.95732104685895e-12),Equal (0.057731839583681416),Less (0.007418861605668121),Equal (0.40120511323973584),Equal (0.08005239262844116),Equal (0.2500745969917564),
existence-web development,,,,,,,,Equal (0.26821203838799834),Less (2.4750904463584705e-13),Equal (0.05927153305937206),Greater (0.9978540920171995),Greater (0.9998125657688073),Equal (0.4137454470180445),Equal (0.42908195849652464),,,,,,,,Less (3.396726271810986e-07),Less (1.4333075414476024e-35),Less (0.000950501350172377),Equal (0.06535276906824082),Equal (0.7182242318313732),Equal (0.21385162782424916),Equal (0.17809280873445532),Less (3.746092082551575e-06),Less (1.0297701644150588e-26),Less (0.0003478290680522596),Equal (0.11410160940299359),Equal (0.2853304059978976),Equal (0.5250730496421079),Equal (0.47271737340080544),Less (4.043626588171132e-06),Less (1.4995758752262937e-14),Less (6.194996226111158e-05),Equal (0.4784279089661734),Equal (0.1143817524338719),Equal (0.1143817524338719),Equal (0.6914565810178315),,,,,,,,Less (1.4316670059691433e-05),Less (1.083978274817472e-18),Less (0.002325436738556014),Less (0.0002553514029831958),Equal (0.7398907050560093),Less (0.003922053012446848),Equal (0.050787235139211316),
executive-full,,,,,,,,,Less (2.5023170859435367e-194),Less (6.820157991493532e-05),Greater (1.0),Greater (1.0),Equal (0.47674868404455406),Greater (0.999999981947011),,,,,,,,Less (4.6247502672095037e-69),Less (1.3096459858922937e-305),Less (3.211719577469172e-10),Equal (0.133358619549684),Equal (0.19787466372400675),Equal (0.4997290043715126),Equal (0.4379367462194804),Less (2.379295736689288e-16),Less (1.810553942273976e-49),Less (2.4545182752098e-06),Equal (0.2565845734779302),Equal (0.5218142482311248),Equal (0.4432028210122364),Equal (0.7071990462709192),Less (1.8167285396921463e-07),Less (7.451633364131004e-15),Less (0.00013098013916820278),Equal (0.392713612003723),Equal (0.22502752666507297),Equal (0.22502752666507297),Equal (0.6303365798171201),,,,,,,,Less (1.3291386325820011e-180),Less (0.0),Less (8.790726794441639e-57),Less (1.3031858782616624e-98),Greater (1.0),Less (5.1977078161246603e-42),Less (2.0664067040452144e-13),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (0.9999999999647452),Less (3.341397593555164e-25),Greater (1.0),Greater (0.9999999327751071),Greater (0.9999999996445011),Greater (0.9999034255854707),Greater (0.9999911324054522),Greater (0.9999127818358705),Less (1.3875447722816252e-06),Greater (0.9999886767678712),Equal (0.06508392815775121),Equal (0.06734780394477705),Equal (0.07295911560409579),Equal (0.1567976577008582),Equal (0.32579874876042936),Less (0.008930084112265138),Equal (0.7382796165528822),Greater (0.9771833365601871),Equal (0.5883806004111889),Equal (0.5883806004111889),Equal (0.26036526912035685),,,,,,,,Greater (1.0),Less (6.158430528749943e-07),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (0.9967764613210855),Greater (0.9999999999997898),,,,,,,,Less (6.901601730781524e-28),Less (2.7838768253107185e-175),Less (0.0003100569518795349),Equal (0.6243050431237824),Equal (0.05856992130150825),Equal (0.9678568765336301),Equal (0.96491385274068),Less (3.556361762407978e-09),Less (5.798476926376387e-36),Less (0.0011340765942488235),Equal (0.5004906547749062),Equal (0.7842538294409543),Equal (0.38265472337894),Equal (0.9090321749007041),Less (3.47892892941808e-05),Less (2.2647415697194357e-11),Less (0.0017077043499817014),Equal (0.3304977725764683),Equal (0.3579796386369234),Equal (0.3579796386369234),Equal (0.5837846276988562),,,,,,,,Less (1.3510457494843748e-30),Less (1.360902502164264e-226),Less (1.2618665084820206e-06),Less (2.514397164694669e-15),Greater (1.0),Less (8.664834535314632e-05),Equal (0.8619690626734791),
