,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),Greater (0.9999986378590108),Less (1.2325795456803931e-14),Less (0.0015362461324611683),Equal (0.5980914373132309),Equal (0.3101225942480704),Less (5.575366467742759e-08),Less (5.147245010478665e-264),Less (1.284654582692548e-114),Less (4.6537411772699855e-55),Less (3.974278479502418e-163),Less (3.048454012960327e-117),Less (4.1420149923236893e-22),Less (1.6654147383646419e-21),Less (0.0),Greater (1.0),Greater (1.0),Greater (0.9983098273514263),Equal (0.6176114735121025),Greater (0.9970330775493591),Equal (0.8580788317730648),Equal (0.6109650747942081),Greater (1.0),Greater (0.9987150088020613),Greater (1.0),Greater (1.0),Greater (0.9996074218654488),Greater (0.9991217948422066),Greater (0.9999866139749626),Greater (0.9916763110279538),Equal (0.34610394052849214),Greater (1.0),Greater (1.0),Greater (0.999999854858465),Greater (0.9999947714721892),Greater (0.9999994444892657),Greater (0.999132908219392),Greater (0.9841802321383513),Greater (1.0),Greater (0.9999997519727625),Greater (1.0),Equal (0.4142315955510866),Greater (0.9944508337853849),Equal (0.11562248742357761),Equal (0.051607444863937986),Equal (0.4249154473034591),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.8907012741152164),Greater (0.9963918392596325),Greater (0.9800695156264512),Equal (0.9767028635407982),Equal (0.2070605910914074),Greater (1.0),
full-executive,,,Less (5.389996986735052e-09),Less (3.223670987031342e-113),Less (3.5117788048934428e-68),Less (3.0926537071025007e-20),Less (9.288525481767925e-10),Less (0.0),Less (0.0),Less (0.0),Less (6.784080557238225e-145),Less (0.0),Less (1.5563878260641532e-302),Less (2.9587738985770346e-65),Less (2.8910555714074212e-49),Less (0.0),Less (0.0001633464347839767),Equal (0.3570776397865568),Less (0.015414629270125402),Less (8.847193236303506e-20),Less (5.540098918085753e-10),Less (2.9519832734234255e-06),Less (0.00030794220719349333),Less (1.5308344123239145e-81),Less (2.0672089500979314e-21),Greater (1.0),Greater (0.9999998694163035),Equal (0.7578121662692122),Equal (0.3980596050112506),Equal (0.053165667379258465),Equal (0.469148477415372),Less (2.2150784981997772e-223),Greater (0.9999999999999999),Greater (1.0),Greater (0.9986670341834778),Greater (0.9825308159015063),Greater (0.9869456340829582),Equal (0.1329850893201131),Equal (0.13102947417419059),Greater (1.0),Less (0.0008989546649103248),Equal (0.6597049069828728),Equal (0.05935005624945263),Equal (0.9004107273179742),Equal (0.29479165128657936),Equal (0.9422282358170436),Equal (0.9359711644178966),Less (2.6233284162886877e-47),Greater (0.9967070187189493),Greater (0.9995580925967364),Less (0.0016996886433499625),Equal (0.9855468649262352),Equal (0.27764736785591304),Less (0.005884566107094549),Equal (0.623838825257713),Less (8.212271618252647e-07),
full-existence-executive,,,,Less (1.292786867357795e-19),Less (1.7347739458091203e-09),Less (0.00023417311704086963),Less (0.0015333539258698009),Less (1.0823123804424684e-11),Less (1.4867538823916672e-117),Less (1.5276691579484396e-64),Less (2.0609623084178097e-62),Less (3.5001907801813835e-135),Less (2.73741073885632e-105),Less (8.822373256211666e-30),Less (5.438908564768335e-29),Less (4.86820601508937e-126),Greater (0.9955804301885414),Greater (0.9999967584770937),Equal (0.5700455920605882),Less (0.0002769793450403463),Equal (0.3338407081982284),Equal (0.07508925934846244),Equal (0.08090000740813488),Equal (0.6601800842128511),Equal (0.08216626253306132),Greater (1.0),Greater (0.9999999999995839),Equal (0.05980387250026546),Equal (0.21501700955652525),Greater (0.998933493158506),Equal (0.11080442989938845),Less (9.439766686642255e-08),Greater (1.0),Greater (1.0),Greater (0.9999749114649285),Greater (0.9994439125392051),Greater (0.9997967862013867),Greater (0.9902269310326349),Equal (0.06764807871994899),Greater (1.0),Equal (0.27899218824945793),Greater (0.9999989515634536),Equal (0.7005229695915027),Equal (0.2021929016418509),Equal (0.7109760503318162),Equal (0.3170676241087761),Equal (0.6411376019128845),Equal (0.6817579150644282),Greater (0.9999999867141877),Greater (0.9999999999954049),Equal (0.2370760307600902),Equal (0.15553478313857935),Equal (0.5480836763806491),Equal (0.280845447036538),Equal (0.37116989093652397),Greater (0.9999414328335899),
full-property,,,,,Greater (0.9998344364802444),Greater (0.9998808918216396),Equal (0.11467941570805618),Greater (0.9999999981543515),Less (1.0208201171937182e-50),Less (1.469436128252728e-16),Less (2.4681625639230587e-24),Less (4.327300991740742e-65),Less (5.693851424087166e-47),Less (4.660335487958816e-09),Less (1.7360706890270573e-12),Less (4.2134685940114184e-55),Greater (1.0),Greater (1.0),Greater (0.9999999887728676),Greater (0.9998762377511364),Greater (0.9999999999948644),Greater (0.9959114153865346),Equal (0.30151898710017944),Greater (1.0),Greater (0.9999999999999993),Greater (1.0),Greater (1.0),Greater (0.999999836385218),Greater (0.9999999427576098),Greater (0.999999989561166),Greater (0.9996768143411376),Greater (0.9999999999999858),Greater (1.0),Greater (1.0),Greater (0.999999999963442),Greater (0.9999999973712215),Greater (0.9999999999574074),Greater (0.9999844446959427),Greater (0.9954543330715397),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9891763944605254),Greater (0.9999763748365964),Greater (0.9988287701959784),Greater (0.999105434813812),Equal (0.21944682262170956),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.07495675108557669),Greater (0.9999879705625646),Greater (0.9999282744062757),Equal (0.16188745079685574),Equal (0.08091199470702015),Greater (1.0),
full-existence-property,,,,,,Equal (0.25772139730048216),Equal (0.9867450766917167),Equal (0.41117245278478065),Less (5.4089637205199425e-86),Less (3.145322071712888e-36),Less (1.243617391267977e-36),Less (3.7846484030517344e-94),Less (1.756954923814141e-69),Less (6.533034582670474e-15),Less (5.361372323570973e-17),Less (9.244936786604983e-100),Greater (1.0),Greater (1.0),Greater (0.999944380388169),Equal (0.25170617382742055),Greater (0.9999803321162698),Equal (0.26230222808476333),Equal (0.9265063722586916),Greater (1.0),Greater (0.9999975869084113),Greater (1.0),Greater (1.0),Greater (0.9999648359033727),Greater (0.9999509864953179),Greater (0.999998624560439),Greater (0.9971112802868767),Greater (0.9960483495271051),Greater (1.0),Greater (1.0),Greater (0.9999999897877575),Greater (0.9999995368563104),Greater (0.9999999716140325),Greater (0.999765844061939),Greater (0.9895333077321408),Greater (1.0),Greater (0.9999999995531512),Greater (1.0),Equal (0.16814111032266243),Greater (0.9989910207213211),Greater (0.982793062849945),Greater (0.9912489572963622),Equal (0.337316788327766),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.4394706494911589),Greater (0.9994055551318997),Greater (0.9964306584770979),Equal (0.5782201360033565),Equal (0.1508991309323258),Greater (1.0),
full-executive-property,,,,,,,Equal (0.5335546365800542),Equal (0.398975266019406),Less (1.080419480422897e-44),Less (2.2851521430202035e-21),Less (9.049555117918953e-32),Less (1.243694733747386e-65),Less (7.433088506011581e-51),Less (1.0571406127264846e-14),Less (6.616950098167355e-18),Less (5.156777872642514e-43),Greater (0.9999999996898936),Greater (0.9999999999999988),Greater (0.9976840413097444),Equal (0.984678287702241),Greater (0.9908227982037583),Equal (0.6780345043140994),Equal (0.754676783261903),Greater (0.9999785230048764),Greater (0.9872036329263286),Greater (1.0),Greater (1.0),Greater (0.9996255764867812),Greater (0.999013688274498),Greater (0.9999888280955468),Greater (0.9931410459897803),Equal (0.7994968105873871),Greater (1.0),Greater (1.0),Greater (0.9999998906074667),Greater (0.9999956133342298),Greater (0.999999455828124),Greater (0.9993098862396486),Greater (0.9858823731257211),Greater (1.0),Greater (0.999980264975923),Greater (0.9999999999999987),Equal (0.3441986644377254),Greater (0.9953263706117113),Equal (0.09511005242125097),Greater (0.9785757374450016),Equal (0.3988879732793935),Greater (0.9999989314728592),Greater (0.9999999999999998),Greater (1.0),Equal (0.7558753066750145),Greater (0.9969582420685209),Greater (0.9832932059958118),Equal (0.858367743161081),Equal (0.1908905126803555),Greater (0.9999999999999828),
full-existence-executive-property,,,,,,,,Equal (0.8058548533307895),Less (5.993793870371505e-14),Less (7.328844933477419e-07),Less (3.791568683021351e-15),Less (6.406363152522111e-26),Less (1.1387766864825024e-20),Less (7.656173163988484e-08),Less (1.7763459597999127e-12),Less (2.5422516887059976e-12),Greater (0.9999968423065969),Greater (0.9999999843768264),Greater (0.9974069625546246),Equal (0.5251679250933077),Greater (0.9877419092244104),Equal (0.4062071124357788),Equal (0.9427232424611895),Greater (0.9988288379952935),Greater (0.9815955545480061),Greater (1.0),Greater (1.0),Greater (0.9997028212409665),Greater (0.9990535903077321),Greater (0.9999929383685126),Greater (0.9956394895577455),Equal (0.38916759613595775),Greater (1.0),Greater (1.0),Greater (0.9999999464773599),Greater (0.9999972474217497),Greater (0.9999995535007954),Greater (0.9995964923271897),Greater (0.9891818234350167),Greater (1.0),Greater (0.9997809668547135),Greater (0.9999999967671435),Equal (0.224216870613537),Greater (0.9969137068601637),Equal (0.060591428573338275),Greater (0.9862467409170469),Equal (0.3438508117867851),Greater (0.9997000870042336),Greater (0.9999999999898549),Greater (0.9999999999992913),Equal (0.5084866552122569),Greater (0.998006196167789),Greater (0.9891142544746234),Equal (0.6234461722039095),Equal (0.15734023577622536),Greater (0.9999998164637248),
full-,,,,,,,,,Less (0.0),Less (2.080654549493868e-119),Less (2.2555071152063965e-48),Less (1.41953918390941e-153),Less (5.458341388336375e-108),Less (1.6320148210196957e-18),Less (6.335919346941314e-19),Less (0.0),Greater (1.0),Greater (1.0),Greater (0.9999313066506035),Equal (0.3931788441188896),Greater (0.9999922849028537),Equal (0.35019981563837255),Equal (0.9567654712266513),Greater (1.0),Greater (0.9999999568727348),Greater (1.0),Greater (1.0),Greater (0.999952173106218),Greater (0.9999338678930051),Greater (0.9999981373798396),Greater (0.9964865953313737),Greater (0.9999999999895516),Greater (1.0),Greater (1.0),Greater (0.999999985288909),Greater (0.9999993518532637),Greater (0.9999999608598389),Greater (0.9997066597257127),Greater (0.988706294997202),Greater (1.0),Greater (0.9999999999737053),Greater (1.0),Equal (0.20995227198585886),Greater (0.9986842304881854),Greater (0.9781060429137333),Greater (0.9891751870038694),Equal (0.35752308395944243),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.5355844759401409),Greater (0.9991888773984859),Greater (0.9952212058755652),Equal (0.6656364938431327),Equal (0.16074943360189387),Greater (1.0),
content management-existence,,,,,,,,,,Greater (0.9999999999999993),Less (0.005806205363429655),Less (3.0914434457764574e-12),Less (7.629605271307094e-07),Equal (0.5258700995368246),Less (0.001519690506370133),Greater (0.9991844927089033),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999962522272022),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999992785744),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999979347),Greater (0.999955262998995),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999969152985),Greater (0.9999999999999992),Greater (0.9999999999854055),Greater (0.9999999994088081),Greater (0.989359549658988),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999874812923),Greater (0.9999999999999999),Greater (0.9999999999999999),Greater (0.9999970888778977),Greater (0.9986604426524076),Greater (1.0),
content management-executive,,,,,,,,,,,Less (1.7182681391605369e-09),Less (4.026544478677326e-32),Less (7.242639693060122e-21),Less (0.015145878155590549),Less (1.8143806181409316e-06),Less (3.1961735901459883e-15),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999997683694),Greater (0.9983589855337679),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999838),Greater (1.0),Greater (0.9999999999999889),Greater (0.9999992984244225),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999988),Greater (1.0),Greater (0.999999991320633),Greater (0.9994984638768253),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999878366531656),Greater (0.9999999996887244),Greater (0.9999997257740022),Greater (0.9999988362871413),Equal (0.0712468251979017),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999453813915666),Greater (0.999999999896234),Greater (0.9999999996923732),Greater (0.9991123527794831),Greater (0.9921248526247555),Greater (1.0),
