,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),,Less (2.172880326893712e-06),Less (0.011229115222042419),Less (0.01802867647209821),,Less (0.004639659611804712),Less (3.6948858265527526e-45),Less (6.620749747733773e-33),,Less (1.828680006907532e-95),Less (3.1423332640930855e-20),Less (7.973417945020072e-07),,Less (9.169244552132819e-104),Greater (0.9897418148185566),Greater (0.9999999998383988),,Equal (0.38347338582478496),Equal (0.6572757274651869),Equal (0.09494231526050628),,Greater (0.9999704346907504),Greater (0.9854788028256223),Greater (1.0),,Equal (0.14375864808645222),Equal (0.8332556469386148),Equal (0.2078114150434106),,Equal (0.4163031838280076),Greater (0.9999936022050009),Greater (1.0),,Greater (0.9993420100826527),Equal (0.6564137916016864),Equal (0.7041283843191859),,Greater (1.0),Greater (0.9944165972079219),Greater (0.9999999999990486),,Equal (0.22239702961254926),Equal (0.2584532607161605),Equal (0.7041283843191859),,Greater (0.9999993375483938),Greater (0.9998196470000156),Greater (1.0),,Equal (0.15957243006641608),Equal (0.6874359172557434),Equal (0.47820120616641815),,Greater (1.0),
full-executive,,,,Less (4.6247502672095037e-69),Less (2.379295736689288e-16),Less (1.8167285396921463e-07),,Less (1.3291386325820011e-180),Less (1.33985603143257e-163),Less (2.5023170859435367e-194),,Less (1.3096459858922937e-305),Less (1.810553942273976e-49),Less (7.451633364131004e-15),,Less (0.0),Less (1.595622664244689e-07),Less (6.820157991493532e-05),,Less (3.211719577469172e-10),Less (2.4545182752098e-06),Less (0.00013098013916820278),,Less (8.790726794441639e-57),Less (0.022707842200209126),Greater (1.0),,Equal (0.133358619549684),Equal (0.2565845734779302),Equal (0.392713612003723),,Less (1.3031858782616624e-98),Equal (0.08975135385545335),Greater (1.0),,Equal (0.19787466372400675),Equal (0.5218142482311248),Equal (0.22502752666507297),,Greater (1.0),Equal (0.6692836955944517),Equal (0.47674868404455406),,Equal (0.4997290043715126),Equal (0.4432028210122364),Equal (0.22502752666507297),,Less (5.1977078161246603e-42),Equal (0.26821203838799834),Greater (0.999999981947011),,Equal (0.4379367462194804),Equal (0.7071990462709192),Equal (0.6303365798171201),,Less (2.0664067040452144e-13),
full-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-property,,,,,Equal (0.8134237420518212),Equal (0.4342681442870342),,Greater (0.9999410606068886),Less (1.6372037397108568e-22),Less (3.5259026255537303e-11),,Less (7.816705382501315e-55),Less (8.755033006352916e-13),Less (0.00011780503684671703),,Less (2.256230851475632e-40),Greater (0.9999999952531392),Greater (1.0),,Greater (0.9999755024045495),Equal (0.14088113340584407),Equal (0.41978554719367245),,Greater (1.0),Greater (0.9999911954919664),Greater (1.0),,Greater (0.9985234212631766),Equal (0.38181500872000584),Equal (0.1258389423804313),,Greater (0.9999999999988445),Greater (0.999999998264679),Greater (1.0),,Greater (0.9999927631648303),Equal (0.3170419521559328),Equal (0.9951205967765326),,Greater (1.0),Greater (0.9998951613608664),Greater (1.0),,Greater (0.9865645607766457),Equal (0.169654977688249),Equal (0.9951205967765326),,Greater (1.0),Greater (0.9999996604369688),Greater (1.0),,Greater (0.9945655359735135),Equal (0.41981628305484775),Equal (0.3887418979925191),,Greater (1.0),
full-existence-property,,,,,,Equal (0.40480530914529966),,Equal (0.15740549645480129),Less (4.171359646817034e-11),Less (8.723550855647685e-05),,Less (4.897005285900221e-25),Less (6.27588249940004e-11),Less (0.000138210269852629),,Less (8.403136123643585e-10),Greater (0.9998318751992058),Greater (0.999999996444292),,Greater (0.9950420304194287),Equal (0.27908050576684384),Equal (0.3955010490340102),,Greater (0.9999844626544208),Greater (0.999636391888566),Greater (1.0),,Greater (0.994400771276459),Equal (0.430433401630552),Equal (0.1354766164660167),,Greater (0.9976021664858034),Greater (0.9999999415636904),Greater (1.0),,Greater (0.9999717365326644),Equal (0.35426812847206335),Equal (0.9757460304592891),,Greater (1.0),Greater (0.9996437790992789),Greater (0.9999999999992365),,Greater (0.9777099779444666),Equal (0.1804359061534142),Equal (0.9757460304592891),,Greater (0.9999972747592811),Greater (0.9999962592159035),Greater (1.0),,Greater (0.9887072801796156),Equal (0.4500847459222568),Equal (0.4007192583860337),,Greater (0.9999999996671215),
full-executive-property,,,,,,,,Equal (0.10804354669203506),Less (0.004727088255895713),Equal (0.32579874876042936),,Less (2.0673012881730667e-06),Less (3.605663285572731e-05),Less (0.004506990814302628),,Equal (0.05340089695652335),Greater (0.9982934455465864),Greater (0.9999652221928393),,Greater (0.9910207948653353),Equal (0.12725996521619917),Equal (0.8000341405213037),,Greater (0.9985730317216642),Greater (0.9990646779555278),Greater (1.0),,Greater (0.9961347759780506),Equal (0.24576072786125325),Equal (0.08689539471234851),,Greater (0.9894706557592222),Greater (0.9999998631947954),Greater (1.0),,Greater (0.9999894148700893),Equal (0.20771222975925197),Equal (0.8229524351951844),,Greater (0.9999999999998509),Greater (0.999812324176132),Greater (0.9999998450434612),,Greater (0.9901785426496391),Equal (0.12436630986837273),Equal (0.8229524351951844),,Greater (0.9992590363626412),Greater (0.9999959794244447),Greater (0.999999999999986),,Greater (0.9946439712104465),Equal (0.3080101041484541),Equal (0.3352911513215361),,Greater (0.9999703114979925),
full-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-,,,,,,,,,Less (1.7646029817093538e-50),Less (5.30794190892139e-48),,Less (5.415313343180997e-115),Less (4.6484413222931656e-18),Less (5.770830533250938e-06),,Less (0.0),Greater (0.9999916250956511),Greater (1.0),,Greater (0.9926493636640596),Equal (0.7531286252976326),Equal (0.17950173864714758),,Greater (1.0),Greater (0.9992368064143087),Greater (1.0),,Greater (0.9823995089722588),Equal (0.6399286921739912),Equal (0.17208148400560863),,Greater (1.0),Greater (0.9999997916124178),Greater (1.0),,Greater (0.9998879282009845),Equal (0.5063389246688113),Equal (0.8213919341413602),,Greater (1.0),Greater (0.9987717543945663),Greater (1.0),,Equal (0.10363436949530824),Equal (0.22053768112252203),Equal (0.8213919341413602),,Greater (1.0),Greater (0.9999856833477008),Greater (1.0),,Equal (0.060072688274368624),Equal (0.5729185091280868),Equal (0.4419358130355153),,Greater (1.0),
content management-existence,,,,,,,,,,Greater (0.9999991093576979),,Less (8.300639722386342e-06),Less (0.005629399651868901),Equal (0.2081040843435068),,Greater (0.996255847373901),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999999999715684),Equal (0.1621570634472176),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999998734),Greater (0.9976480040107122),Greater (0.9943463526975777),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999999991),Greater (0.996292299343013),Equal (0.2901330210985955),,Greater (1.0),Greater (0.9999999999999039),Greater (1.0),,Greater (0.9999999033819145),Greater (0.9885111824422795),Equal (0.2901330210985955),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999986924852),Greater (0.9795577161774791),Equal (0.15330493295119468),,Greater (1.0),
content management-executive,,,,,,,,,,,,Less (3.341397593555164e-25),Less (1.3875447722816252e-06),Less (0.008930084112265138),,Less (6.158430528749943e-07),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999886767678712),Equal (0.7382796165528822),,Greater (1.0),Greater (0.9999999999999792),Greater (1.0),,Greater (0.9999999327751071),Equal (0.06508392815775121),Greater (0.9771833365601871),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999996445011),Equal (0.06734780394477705),Equal (0.5883806004111889),,Greater (1.0),Greater (0.9999999868075135),Greater (1.0),,Greater (0.9999034255854707),Equal (0.07295911560409579),Equal (0.5883806004111889),,Greater (1.0),Greater (0.9999999999997526),Greater (1.0),,Greater (0.9999911324054522),Equal (0.1567976577008582),Equal (0.26036526912035685),,Greater (1.0),
