,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (4.1950090850419724e-52),Greater (0.9915002740493097),Greater (0.9920558846961246),Greater (0.9999965418286093),Greater (0.9979599903307838),Greater (0.999902158774211),Greater (1.0),Less (5.136523811155336e-33),Greater (0.9999999999981842),Greater (1.0),Greater (1.0),Greater (0.9999999999999669),Greater (1.0),Less (3.7714332855060738e-06),Less (4.525923328764919e-106),Equal (0.426935733899087),Equal (0.06139366499014256),Greater (0.9992429773127349),Equal (0.1317235531967715),Equal (0.08985138920641614),Less (0.023286512054746394),Less (7.123701456759724e-111),Greater (0.9999998623963311),Equal (0.09393284944095809),Greater (1.0),Greater (0.9999999989738695),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999991),Greater (1.0),Greater (1.0),Greater (0.9999999813980127),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.1919795537839249e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999985586233),Greater (0.9999999999862933),Greater (1.0),Greater (0.9998063716461489),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Equal (0.3242240025766908),Greater (0.9997153185123265),Greater (0.9836253165706765),Greater (0.9974872039313962),Greater (0.9999999997649298),Less (3.292910083099035e-31),Greater (0.9983473032731837),Greater (1.0),Greater (1.0),Greater (0.9999988040137987),Greater (1.0),Less (3.510316668936679e-09),Less (1.0326333793637962e-96),Equal (0.20551603759747405),Equal (0.40809467505913843),Greater (0.9910904578855032),Equal (0.3994523898536785),Equal (0.3462855831135141),Less (2.240073280649075e-05),Less (5.866014604277874e-68),Equal (0.6760236702591946),Equal (0.08091358243910857),Greater (1.0),Equal (0.3091812397897118),Greater (0.9997804966171978),
existence-devops and cloud,,,,,Greater (0.993344544980199),Equal (0.13119315994101652),Greater (0.976891756967109),Greater (0.9847499550934385),Less (3.3983065177164288e-15),Equal (0.5262299439658771),Greater (1.0),Greater (1.0),Greater (0.9885606439212576),Greater (0.999999912901219),Less (5.567726406778353e-06),Less (5.825595205315732e-49),Equal (0.07242727417194346),Equal (0.9506963394008585),Equal (0.09141939023462567),Equal (0.7387138279611911),Equal (0.7175403537979025),Less (0.0007334335821975426),Less (1.6082669759833673e-24),Equal (0.36969675600840046),Less (0.023127969973609174),Greater (0.9999998576932044),Equal (0.5552051964577429),Equal (0.49783312419640435),
existence-soa and middlewares,,,,,,Equal (0.6871186555847844),Equal (0.8013903271296916),Equal (0.13395661657062025),Less (3.1377242438823355e-18),Less (0.008147039406216408),Greater (0.9988575096407931),Greater (0.9998456668583198),Equal (0.2570589132154181),Equal (0.46679565494904574),Less (1.2229944965285073e-09),Less (3.9926072487054615e-49),Less (2.7475223102861157e-05),Less (0.01481788442186348),Equal (0.7279705068238765),Equal (0.15043673191515494),Equal (0.11936866865435668),Less (2.151927160181302e-07),Less (9.811222981171015e-26),Less (0.0002592321915200012),Less (1.1946562668997294e-05),Equal (0.8440850454051445),Less (0.0005369068637523372),Less (0.007153994022244682),
existence-software development tools,,,,,,,Equal (0.8639223891148752),Equal (0.525565599462936),Less (2.2288684122123927e-09),Equal (0.18499328339513998),Greater (0.9983909884633427),Greater (0.9997873188418518),Equal (0.6911496946143119),Equal (0.2884412371951016),Less (4.01581501872208e-05),Less (8.939550870663942e-26),Less (0.00498381348511379),Equal (0.1733227172963102),Equal (0.9486974657939132),Equal (0.3659891209789824),Equal (0.33530804891128685),Less (0.000594750086987102),Less (8.21268191085969e-13),Less (0.018206747228175568),Less (0.004155084063142012),Equal (0.5109680495546143),Equal (0.05196635010964471),Equal (0.18118841674248065),
existence-web development,,,,,,,,Equal (0.30473085508362996),Less (7.409277489811821e-14),Equal (0.06420161974567187),Greater (0.9992641045512595),Greater (0.9999087184947089),Equal (0.4705871883642364),Equal (0.3196623624287471),Less (2.430715896862671e-07),Less (5.648714275272009e-38),Less (0.0004244538879198441),Equal (0.07711806513497856),Equal (0.9155424927235989),Equal (0.246053990341627),Equal (0.21125934129979818),Less (1.3113748141739535e-05),Less (2.2815478919818003e-19),Less (0.002587148032431721),Less (0.0002631160945872614),Equal (0.6032567853455756),Less (0.004434995268952551),Equal (0.06005119381724516),
executive-full,,,,,,,,,Less (1.4726608809880643e-196),Less (5.151805008084681e-05),Greater (1.0),Greater (1.0),Equal (0.4675226867325969),Greater (0.9999999900682678),Less (2.4618578849574204e-79),Less (0.0),Less (7.69974531586857e-15),Equal (0.1310768226327255),Equal (0.4397609185922604),Equal (0.5270338294874546),Equal (0.4692414289796215),Less (8.311890733489361e-179),Less (0.0),Less (2.1323217335540233e-55),Less (5.460076757365001e-97),Greater (1.0),Less (8.472078956425422e-41),Less (1.1058533420659036e-12),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999988008),Less (3.6721948189165153e-28),Greater (1.0),Greater (0.9999999981175626),Greater (0.9999999999273991),Greater (0.9999826231714063),Greater (0.9999984739843105),Greater (1.0),Less (1.2311081648928089e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (0.9972212944110257),Greater (0.999999999999922),Less (3.569668594286019e-30),Less (1.25669435710811e-193),Less (7.589628689251684e-06),Equal (0.6911111160824197),Equal (0.13076557774071346),Equal (0.953870848453828),Equal (0.9538174130889192),Less (5.687764120109233e-30),Less (2.5822533756396822e-226),Less (2.8812736743259784e-06),Less (8.116744128946649e-15),Greater (1.0),Less (0.0001724426005167627),Equal (0.9776794341349098),
