,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
full-existence,,Greater (1.0),Less (2.0106405981348094e-11),Less (1.0881235603071689e-10),Less (0.0),Less (1.7500527030693504e-169),Less (6.108238440661255e-281),Less (0.0),Greater (1.0),Greater (1.0),Equal (0.13634449112610572),Greater (1.0),Greater (0.9999999999999994),Greater (1.0),Greater (0.999999999920376),Equal (0.19890105089688737),Greater (1.0),Greater (1.0),Greater (0.9999999999999714),Greater (1.0),Greater (0.9999999296777372),Greater (1.0),Greater (0.9998130888440344),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999250402762765),Greater (1.0),
full-executive,,,Less (1.5418933165666868e-143),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (8.055581020092978e-07),Equal (0.35153931188227017),Less (7.372611525947599e-25),Less (1.9834733389799945e-66),Less (1.2143050840860429e-05),Greater (1.0),Equal (0.20819607597347367),Less (4.6509058686360354e-206),Greater (1.0),Greater (1.0),Greater (0.9999643693317063),Greater (1.0),Less (0.002340290121821134),Equal (0.23862821854672822),Equal (0.7539239600523207),Less (1.2466722460111695e-35),Greater (0.9829752838629094),Greater (0.9998104414879792),Equal (0.23225528806330886),Less (0.005972558256511939),
full-property,,,,Greater (0.999906311977431),Less (1.0616004319009434e-161),Less (3.9580595503053815e-64),Less (6.72245902114339e-154),Less (4.1986855557827475e-195),Greater (1.0),Greater (1.0),Greater (0.9999999173143247),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999999),Greater (0.9999999997938976),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999988),Greater (1.0),Greater (0.9999996672025409),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999998961130565),Greater (1.0),
full-nonarch,,,,,Less (0.0),Less (1.334234504841809e-173),Less (5.389395970185695e-276),Less (0.0),Greater (1.0),Greater (1.0),Greater (0.9999449042871839),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999696),Greater (0.9999999999895516),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999987345),Greater (1.0),Greater (0.9999931713365311),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999746951291272),Greater (1.0),
content management-existence,,,,,,Greater (1.0),Less (8.42863441536463e-09),Greater (0.9999999997152118),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-executive,,,,,,,Less (4.850446363588248e-34),Less (7.84038628489671e-10),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-property,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-nonarch,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
data storage & processing-existence,,,,,,,,,,Greater (0.9987960150731147),Less (1.1634082025205004e-08),Less (3.691917201672929e-05),Equal (0.7243117275710247),Greater (1.0),Greater (0.996840045234395),Less (2.6424691818312276e-33),Greater (1.0),Greater (1.0),Greater (0.9999996182390078),Greater (1.0),Equal (0.7767724208112248),Greater (0.9999646767884443),Equal (0.3907104129233919),Less (0.008377833434667747),Greater (0.9999786154396108),Greater (0.9999999993467324),Equal (0.8744022975402304),Greater (0.9994276981551335),
data storage & processing-executive,,,,,,,,,,,Less (1.6825233714479363e-16),Less (1.666351307864074e-16),Less (0.001562210050203614),Greater (1.0),Equal (0.13036758708738708),Less (2.1690513495469725e-59),Greater (1.0),Greater (1.0),Greater (0.9999811096059329),Greater (1.0),Less (0.01535704191037392),Equal (0.10868592388639228),Equal (0.9356028074786549),Less (8.704155393160052e-11),Greater (0.9917703596973855),Greater (0.9998880059871262),Equal (0.3638042654190774),Equal (0.5367581837467705),
data storage & processing-property,,,,,,,,,,,,Greater (0.9999424688723944),Greater (0.9999987047364497),Greater (1.0),Greater (0.9999999496385784),Less (0.01850853455618679),Greater (1.0),Greater (1.0),Greater (0.9999999999954571),Greater (1.0),Greater (0.9998300852126271),Greater (0.9999999999999999),Greater (0.9982354389969277),Greater (0.9999992309252945),Greater (0.9999999999999571),Greater (1.0),Greater (0.9931800566633783),Greater (1.0),
data storage & processing-nonarch,,,,,,,,,,,,,Greater (0.9958094114602944),Greater (1.0),Greater (0.9999778848796993),Less (3.6092550087743604e-86),Greater (1.0),Greater (1.0),Greater (0.9999999979468982),Greater (1.0),Equal (0.09633369408797766),Greater (0.9999999999999373),Equal (0.06931819433977296),Greater (0.9989226563962558),Greater (0.9999999997594486),Greater (1.0),Equal (0.22391355418891745),Greater (1.0),
devops and cloud-existence,,,,,,,,,,,,,,Greater (1.0),Greater (0.9976706072223124),Less (3.151510116004189e-19),Greater (1.0),Greater (1.0),Greater (0.9999997534945632),Greater (1.0),Equal (0.9745670369718733),Greater (0.9999508246901629),Equal (0.32720102915510985),Equal (0.14148302957254544),Greater (0.9999809013962233),Greater (0.9999999967480533),Equal (0.7671044781236649),Greater (0.9986528399293125),
devops and cloud-executive,,,,,,,,,,,,,,,Less (7.412183372827034e-11),Less (1.7073123284998303e-270),Equal (0.15034352274586718),Greater (0.9998079294775061),Equal (0.34788881915913195),Less (3.332549372948533e-11),Less (1.1507650587593389e-45),Less (2.9626940768718776e-37),Less (6.483552062557651e-11),Less (4.088978064036133e-147),Less (4.6664343594521565e-17),Less (8.267863131986405e-27),Less (2.0248027356628792e-16),Less (8.767719932252051e-94),
devops and cloud-property,,,,,,,,,,,,,,,,Less (1.005750807503959e-11),Greater (0.999999999060573),Greater (0.9999999999999999),Greater (0.9966100253970012),Greater (0.9998808140533345),Less (0.004531700027152232),Equal (0.5114924573316282),Equal (0.3059790643414725),Less (0.0001489112090286362),Equal (0.8541060641481868),Equal (0.7144809849615614),Equal (0.07999639093374857),Equal (0.0774165802366055),
devops and cloud-nonarch,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (0.9999999999999951),Greater (1.0),Greater (0.9999999951607492),Greater (1.0),Greater (0.9999189391539631),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9996685546644088),Greater (1.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,Equal (0.2200059239450809),Equal (0.09797988960933718),Less (6.45441917489089e-06),Less (1.6760744895808255e-24),Less (3.6338745771412806e-17),Less (9.311747227968326e-11),Less (1.8543975021862233e-35),Less (8.811319932481359e-12),Less (2.61710068453679e-13),Less (1.28281121470808e-14),Less (1.085463042802352e-24),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,Less (0.0037426920451285807),Less (3.157750398686736e-14),Less (2.5667419876879057e-45),Less (1.3839714623181404e-34),Less (9.170604916544881e-17),Less (8.782634903724565e-75),Less (3.5813036439449763e-22),Less (2.4716442238600874e-27),Less (2.5945713062117474e-23),Less (4.028721626096789e-53),
