,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
full-existence,,Greater (1.0),Less (3.7714332855060738e-06),Less (0.023286512054746394),Less (4.1950090850419724e-52),Less (5.136523811155336e-33),Less (4.525923328764919e-106),Less (7.123701456759724e-111),Greater (0.9915002740493097),Greater (0.9999999999981842),Equal (0.426935733899087),Greater (0.9999998623963311),Greater (0.9920558846961246),Greater (1.0),Equal (0.06139366499014256),Equal (0.09393284944095809),Greater (0.9999965418286093),Greater (1.0),Greater (0.9992429773127349),Greater (1.0),Greater (0.9979599903307838),Greater (0.9999999999999669),Equal (0.1317235531967715),Greater (0.9999999989738695),Greater (0.999902158774211),Greater (1.0),Equal (0.08985138920641614),Greater (1.0),
full-executive,,,Less (2.4618578849574204e-79),Less (8.311890733489361e-179),Less (1.6007394338800607e-191),Less (1.4726608809880643e-196),Less (0.0),Less (0.0),Less (2.350763177438216e-10),Less (5.151805008084681e-05),Less (7.69974531586857e-15),Less (2.1323217335540233e-55),Less (0.015250349244937235),Greater (1.0),Equal (0.1310768226327255),Less (5.460076757365001e-97),Equal (0.13395661657062025),Greater (1.0),Equal (0.4397609185922604),Greater (1.0),Equal (0.525565599462936),Equal (0.4675226867325969),Equal (0.5270338294874546),Less (8.472078956425422e-41),Equal (0.30473085508362996),Greater (0.9999999900682678),Equal (0.4692414289796215),Less (1.1058533420659036e-12),
full-property,,,,Greater (0.9999914642312278),Less (1.2962075192409266e-28),Less (1.1992779309735613e-12),Less (2.183346326819551e-65),Less (7.66215532591341e-49),Greater (0.9999999964900512),Greater (1.0),Greater (0.9999747756282192),Greater (1.0),Greater (0.9999944332169038),Greater (1.0),Greater (0.9996011835003933),Greater (0.9999999999999963),Greater (0.9999999987773255),Greater (1.0),Greater (0.9999925318855377),Greater (1.0),Greater (0.9999598522354355),Greater (1.0),Greater (0.9932798874446545),Greater (1.0),Greater (0.9999997569913424),Greater (1.0),Greater (0.997316824669418),Greater (1.0),
full-nonarch,,,,,Less (3.0317158868169804e-62),Less (9.525204142332932e-50),Less (7.750112568386565e-135),Less (0.0),Greater (0.9999775992781854),Greater (1.0),Greater (0.9827582345801518),Greater (1.0),Greater (0.9992665669510513),Greater (1.0),Greater (0.9917036926424954),Greater (1.0),Greater (0.9999997848075516),Greater (1.0),Greater (0.9998323719178817),Greater (1.0),Greater (0.9994052506253904),Greater (1.0),Equal (0.06682121321818298),Greater (1.0),Greater (0.9999868862677813),Greater (1.0),Greater (0.980705077843448),Greater (1.0),
content management-existence,,,,,,Greater (0.9999999813980127),Less (1.1919795537839249e-05),Greater (0.9998063716461489),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999991),Greater (1.0),Greater (0.9999999985586233),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999862933),Greater (1.0),
content management-executive,,,,,,,Less (3.6721948189165153e-28),Less (1.2311081648928089e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999966),Greater (1.0),Greater (0.9999999981175626),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999273991),Greater (1.0),Greater (0.9999999977721229),Greater (1.0),Greater (0.9999826231714063),Greater (1.0),Greater (0.999999999999926),Greater (1.0),Greater (0.9999984739843105),Greater (1.0),
content management-property,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999996),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-nonarch,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999669),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999947),Greater (1.0),Greater (0.9999999999991788),Greater (1.0),Greater (0.9999998533134418),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999966698961),Greater (1.0),
data storage & processing-existence,,,,,,,,,,Greater (0.9983473032731837),Equal (0.20551603759747405),Equal (0.6760236702591946),Equal (0.3242240025766908),Greater (1.0),Equal (0.40809467505913843),Equal (0.08091358243910857),Greater (0.9997153185123265),Greater (1.0),Greater (0.9910904578855032),Greater (1.0),Greater (0.9836253165706765),Greater (0.9999988040137987),Equal (0.3994523898536785),Equal (0.3091812397897118),Greater (0.9974872039313962),Greater (1.0),Equal (0.3462855831135141),Greater (0.9997804966171978),
data storage & processing-executive,,,,,,,,,,,Less (7.589628689251684e-06),Less (2.8812736743259784e-06),Equal (0.5262299439658771),Greater (1.0),Equal (0.6911111160824197),Less (8.116744128946649e-15),Greater (0.9918536714050334),Greater (1.0),Equal (0.13076557774071346),Greater (1.0),Equal (0.18499328339513998),Greater (0.9972212944110257),Equal (0.953870848453828),Less (0.0001724426005167627),Equal (0.06420161974567187),Greater (0.999999999999922),Equal (0.9538174130889192),Equal (0.9776794341349098),
data storage & processing-property,,,,,,,,,,,,Greater (0.9837543061317521),Equal (0.07242727417194346),Greater (1.0),Equal (0.14623659174974699),Equal (0.9367624267268929),Greater (0.9999725354304051),Greater (1.0),Greater (0.997787872204116),Greater (1.0),Greater (0.9950181137372277),Greater (0.9999999967953672),Equal (0.2085075399429237),Greater (0.9965452568744467),Greater (0.9995757083766758),Greater (1.0),Equal (0.15942934453676494),Greater (0.9999998317883105),
data storage & processing-nonarch,,,,,,,,,,,,,Equal (0.36969675600840046),Greater (1.0),Equal (0.46469169699838586),Less (4.6385664110899715e-35),Greater (0.9997407686956137),Greater (1.0),Greater (0.9904084562477404),Greater (1.0),Greater (0.9817933118788462),Greater (0.9999999915647722),Equal (0.4380879270027197),Greater (0.9987667937677263),Greater (0.9974128604828525),Greater (1.0),Equal (0.38379343750348205),Greater (1.0),
devops and cloud-existence,,,,,,,,,,,,,,Greater (1.0),Equal (0.9506963394008585),Less (0.023127969973609174),Greater (0.993344544980199),Greater (1.0),Equal (0.09141939023462567),Greater (0.9999998576932044),Equal (0.13119315994101652),Greater (0.9885606439212576),Equal (0.7387138279611911),Equal (0.5552051964577429),Greater (0.976891756967109),Greater (0.999999912901219),Equal (0.7175403537979025),Equal (0.49783312419640435),
devops and cloud-executive,,,,,,,,,,,,,,,Less (1.6998870708005868e-13),Less (3.1469967897695167e-96),Less (0.0011426995625043919),Equal (0.21267656456601558),Less (0.0012042612119239834),Less (9.955028234319587e-14),Less (0.0016094360165362458),Less (3.197544795842763e-17),Less (4.268593668162657e-06),Less (6.961965817916082e-70),Less (0.0007360590730075182),Less (8.725407632311114e-06),Less (2.9984422265547526e-07),Less (2.10613734409963e-51),
devops and cloud-property,,,,,,,,,,,,,,,,Equal (0.1261062754587664),Greater (0.9851981350320024),Greater (0.9999999999999233),Equal (0.12969592059662727),Greater (0.9998794900391856),Equal (0.1733227172963102),Equal (0.0870095377880414),Equal (0.7867591136360311),Equal (0.6122153862136603),Equal (0.07711806513497856),Greater (0.999972396796505),Equal (0.7731489834875003),Equal (0.6757598785403774),
devops and cloud-nonarch,,,,,,,,,,,,,,,,,Greater (0.9999880535279947),Greater (1.0),Greater (0.9983460994982741),Greater (1.0),Greater (0.995844946085158),Greater (0.9999999999999502),Equal (0.198835171206742),Greater (1.0),Greater (0.9997368858421306),Greater (1.0),Equal (0.14783646984186416),Greater (1.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,Greater (0.9998456668583198),Equal (0.7279705068238765),Equal (0.8440850454051445),Equal (0.6871186555847844),Equal (0.2570589132154181),Equal (0.15043673191515494),Less (0.0005369068637523372),Equal (0.8013903271296916),Equal (0.46679565494904574),Equal (0.11936866865435668),Less (0.007153994022244682),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,Less (0.00015265701288240342),Less (7.73512976868118e-09),Less (0.000212853467210038),Less (4.659385227508539e-13),Less (2.4200326809971067e-07),Less (1.4307541656714606e-32),Less (9.134115218141767e-05),Less (1.1027062936316797e-05),Less (1.694663003072029e-08),Less (5.998620737162899e-25),
