,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.5945975678451563e-42),Greater (1.0),Greater (1.0),Less (7.690567694647663e-173),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.10335593400647314),Less (1.138915696903102e-187),Greater (1.0),Less (0.0025513251634569534),Greater (1.0),Less (2.175709050696248e-28),Greater (0.9999951776265789),Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Less (3.106490988594131e-85),Equal (0.7649756144764185),Less (8.998772544113283e-304),Less (1.530098324319416e-34),Equal (0.11395662150365686),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.277846261340531e-49),Greater (1.0),Less (5.751076724944302e-214),Less (0.0),Less (1.5989486922753485e-11),Less (1.6752870278743137e-101),Equal (0.05078963568245729),Less (2.341981686001665e-159),Less (7.945778105610983e-17),Less (1.8958249327346284e-92),Less (0.0),Greater (1.0),Less (1.9719576921512074e-06),Greater (1.0),Less (2.5927510595204673e-173),Greater (1.0),
existence-devops and cloud,,,,,Greater (1.0),Less (6.179939321315678e-76),Greater (0.9970863484611442),Greater (1.0),Less (1.6273974249547041e-183),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999626369084369),Greater (1.0),Less (3.577815957682064e-16),Less (2.3975111597362844e-221),Greater (1.0),Less (1.0624716824371278e-15),Greater (0.9999999999375434),Less (2.5410683735017086e-50),Equal (0.6156234121054627),Greater (0.999999999999866),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.48974795345888034),Greater (1.0),
existence-soa and middlewares,,,,,,Less (1.1591181967275645e-166),Less (3.581269181141953e-21),Equal (0.20449737096653264),Less (3.147349254969301e-273),Greater (0.9999999999363961),Greater (1.0),Greater (1.0),Less (1.6966984357227114e-24),Greater (0.9999999999999691),Less (2.408953422047765e-90),Less (0.0),Less (6.554191950586422e-07),Less (6.293300562808835e-69),Equal (0.10465391669553989),Less (6.297643353944211e-119),Less (1.0201379465021912e-13),Less (6.848103842759382e-29),Less (0.0),Greater (1.0),Less (0.008402794335220645),Greater (1.0),Less (1.5488563932178473e-57),Greater (0.999999999998474),
existence-software development tools,,,,,,,Greater (1.0),Greater (1.0),Less (1.2709401039051809e-08),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.91597032616229e-39),Greater (1.0),Greater (0.9999999867166661),Greater (1.0),Less (0.0009155111763965914),Greater (1.0),Greater (1.0),Less (4.586936437030772e-68),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Less (4.396312148594145e-137),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.6603408006662852),Greater (1.0),Less (1.322769226612346e-19),Less (5.983888956317983e-189),Greater (0.9999998924916507),Less (3.1554461885660705e-20),Greater (0.9999977293657548),Less (1.2237681854611093e-54),Equal (0.2914748934850162),Equal (0.11514287530642857),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.00010147501349435109),Greater (1.0),
executive-full,,,,,,,,,Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (7.426844809807288e-85),Greater (1.0),Less (0.0),Less (0.0),Less (1.3637180826159884e-18),Less (7.528693239316076e-128),Less (0.0054068300632969255),Less (6.264103731609528e-187),Less (8.147840195962058e-20),Less (0.0),Less (0.0),Greater (1.0),Less (2.2431310532850002e-27),Greater (1.0),Less (0.0),Greater (1.0),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (8.139402121822214e-22),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.923078393872288),Greater (1.0),Greater (1.0),Less (2.7724729020260493e-52),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (0.9999999999987463),Less (2.0686594202514973e-115),Greater (0.9873023451614407),Less (0.0),Less (0.0),Less (9.144647819585586e-43),Less (1.4947978949117416e-165),Less (5.671328682616463e-09),Less (3.6396396188906586e-231),Less (9.984503794659572e-35),Less (1.529873732920624e-223),Less (0.0),Greater (1.0),Less (3.502437856066164e-56),Greater (1.0),Less (0.0),Equal (0.7586095227478727),
executive-devops and cloud,,,,,,,,,,,,Less (9.485896350515061e-09),Less (0.0),Less (2.1817181008079622e-29),Less (0.0),Less (0.0),Less (1.7714084249598947e-166),Less (0.0),Less (2.4012915185747243e-40),Less (0.0),Less (1.966445346420016e-93),Less (0.0),Less (0.0),Greater (0.9999993796051809),Less (4.851128119551732e-289),Less (2.5873319228876274e-12),Less (0.0),Less (1.811535993318726e-94),
executive-soa and middlewares,,,,,,,,,,,,,Less (7.544246284013354e-137),Less (7.763468528093054e-06),Less (0.0),Less (0.0),Less (5.662350641792963e-70),Less (5.306466566695644e-198),Less (1.3042185927650903e-20),Less (8.762094896057515e-272),Less (2.2379057601310585e-55),Less (1.0216036405071287e-189),Less (0.0),Greater (1.0),Less (1.5564549580273256e-78),Equal (0.1810511437005995),Less (2.603243450896714e-266),Less (1.7859522011244513e-16),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (5.024429106120129e-35),Less (9.172309560411172e-263),Greater (0.9999999853522342),Less (3.165969235664353e-26),Greater (0.9999966827063043),Less (1.8254224983872629e-65),Equal (0.1724790917900123),Equal (0.1428254523329688),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.2188071858206722e-09),Greater (1.0),
executive-web development,,,,,,,,,,,,,,,Less (1.3924508347430286e-263),Less (0.0),Less (8.411074786779395e-44),Less (2.249218053639883e-156),Less (1.8442464588709577e-11),Less (9.492555295344115e-223),Less (2.843525976633178e-38),Less (7.381835197260602e-145),Less (0.0),Greater (1.0),Less (2.8153326652044507e-46),Greater (0.9999999999999436),Less (9.113460658788509e-217),Less (0.0023490384573250627),
property-full,,,,,,,,,,,,,,,,Less (1.5475706115894968e-170),Greater (1.0),Less (0.00037813533016969143),Greater (1.0),Less (1.2152994672476666e-29),Greater (0.999946588262083),Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999986709266),Greater (1.0),Greater (1.0),Greater (0.9850485387634984),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Less (5.038874440163602e-46),Equal (0.14224553471891646),Less (2.360467277203842e-91),Less (5.990240024064854e-06),Less (2.2848785653702673e-09),Less (0.0),Greater (1.0),Greater (0.9999946677642566),Greater (1.0),Less (1.5984362736229038e-31),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (2.0342483224637176e-12),Greater (0.9999999516381216),Greater (1.0),Less (1.300925773575956e-78),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-soa and middlewares,,,,,,,,,,,,,,,,,,,,Less (3.375721145784909e-56),Less (2.9920078373855205e-06),Less (9.17341905522449e-06),Less (4.920688858220014e-151),Greater (1.0),Equal (0.6287342068773214),Greater (1.0),Less (9.16380762231967e-13),Greater (0.9999999970922345),
property-software development tools,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Less (7.014817279938941e-09),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-web development,,,,,,,,,,,,,,,,,,,,,,Greater (0.9772759000482311),Less (1.612272317296961e-81),Greater (1.0),Greater (0.9999999999978281),Greater (1.0),Equal (0.4398107803514333),Greater (1.0),
nonarch-full,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.159569542342425e-121),Greater (1.0),
nonarch-content management,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
nonarch-data storage & processing,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (1.6182609497257585e-84),Less (0.0),Less (0.0),
nonarch-devops and cloud,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (0.0),Greater (1.0),
nonarch-soa and middlewares,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (3.98149129103598e-91),
nonarch-software development tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
nonarch-web development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
