,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
full-existence,,Greater (1.0),Equal (0.9482063739433201),Greater (1.0),Less (4.2687334471568616e-117),Less (4.761469048677318e-05),Less (6.659148195091341e-35),Less (3.1048775694472274e-285),Greater (1.0),Greater (1.0),Greater (0.9999999997915245),Greater (1.0),Equal (0.7097734459026752),Greater (1.0),Less (0.0003480574730869029),Greater (1.0),Greater (0.9999999702663898),Greater (1.0),Greater (0.9999995718748508),Greater (1.0),Less (1.093617908456053e-07),Greater (1.0),Less (7.311163217552729e-08),Greater (0.9999999999961776),Equal (0.290236987094486),Greater (1.0),Equal (0.6815323929215814),Greater (1.0),
full-executive,,,Less (4.3064071606834826e-200),Less (0.0),Less (0.0),Less (4.997880809385501e-206),Less (4.0884280566102306e-206),Less (0.0),Less (8.252525012888455e-27),Equal (0.7057812435378072),Less (8.001262679226543e-46),Greater (1.0),Less (5.968554927605417e-55),Greater (1.0),Less (2.4341643136404997e-60),Less (1.3229225234936341e-58),Less (2.899195354051727e-08),Greater (0.9999999958168745),Less (0.001212790341581617),Greater (1.0),Less (2.934964726436448e-66),Less (1.1530645052129973e-35),Less (3.2226160720856776e-53),Less (0.0),Less (3.305638589624931e-24),Greater (0.9999999993609421),Less (7.562527366797093e-16),Equal (0.25865825355467664),
full-property,,,,Greater (1.0),Less (6.871949149410496e-108),Less (0.00016791619547208204),Less (3.1689560238058996e-33),Less (4.64132980613125e-199),Greater (1.0),Greater (1.0),Greater (0.9999999991334978),Greater (1.0),Equal (0.7452442950615689),Greater (1.0),Less (0.0004612061148795289),Greater (1.0),Greater (0.9999999637432647),Greater (1.0),Greater (0.9999995834079165),Greater (1.0),Less (1.6949607773654815e-07),Greater (1.0),Less (9.686213060034003e-08),Greater (0.9999999974241219),Equal (0.2845676549184868),Greater (1.0),Equal (0.6675028098795769),Greater (1.0),
full-nonarch,,,,,Less (9.322350088480516e-264),Less (2.3867827313734847e-50),Less (1.911172133965645e-83),Less (0.0),Greater (0.9990962099474959),Greater (1.0),Equal (0.3391114268340576),Greater (1.0),Less (1.5156656941702081e-09),Greater (1.0),Less (2.9666882176088024e-16),Greater (1.0),Equal (0.13395606564536433),Greater (1.0),Greater (0.9772631148744071),Greater (1.0),Less (1.268341083005528e-21),Greater (0.9754840617317669),Less (7.048342002033281e-19),Less (5.037919649251056e-167),Less (0.0015440184778993714),Greater (1.0),Less (0.004713554640025869),Greater (1.0),
content management-existence,,,,,,Greater (1.0),Greater (0.9999996013485887),Greater (0.9999999999997641),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999999851),Greater (1.0),Greater (0.9999999436084611),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-executive,,,,,,,Less (2.7709057498223415e-19),Less (9.624090076183743e-89),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.05615136270868671),Greater (1.0),Equal (0.2068897573298012),Greater (1.0),Greater (0.9999999999981096),Greater (1.0),Greater (0.9999999994180218),Greater (1.0),Less (0.0007579996043726749),Greater (1.0),Less (0.00018486807779828174),Greater (1.0),Greater (0.9972836745660933),Greater (1.0),Equal (0.08230531812009363),Greater (1.0),
content management-property,,,,,,,,Equal (0.572054039479069),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999590639284),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9990225944893565),Greater (1.0),Equal (0.06467342881965898),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999895277),Greater (1.0),
content management-nonarch,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999257),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999883816596744),Greater (1.0),Greater (0.9931209973795639),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999994),Greater (1.0),
data storage & processing-existence,,,,,,,,,,Greater (1.0),Less (0.002022475406771457),Greater (1.0),Less (8.371703391926879e-12),Greater (1.0),Less (1.3630362272564052e-18),Greater (0.9999982924884497),Equal (0.9900579993687803),Greater (1.0),Equal (0.385722420592015),Greater (1.0),Less (5.6378988851351654e-24),Equal (0.36589482259105766),Less (1.289378366565189e-21),Less (5.030880054458098e-14),Less (2.3121984735427587e-05),Greater (1.0),Less (0.00019863297479588322),Greater (1.0),
data storage & processing-executive,,,,,,,,,,,Less (2.8348423350393798e-36),Greater (1.0),Less (1.4234525104814972e-48),Greater (1.0),Less (9.450589059992608e-56),Less (9.769314287727908e-20),Less (4.059571181017986e-08),Greater (0.9999996578114471),Less (0.0010532521489606806),Greater (1.0),Less (3.5068816426442245e-62),Less (3.598010329453444e-27),Less (2.0307309486639353e-51),Less (3.7653796851969513e-147),Less (3.832774253933699e-23),Greater (0.9999997783030775),Less (1.0771379053408392e-15),Equal (0.30846411901322335),
