,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (0.0),Greater (1.0),Greater (0.99996603506315),Greater (1.0),Less (1.7734629068955953e-26),Greater (1.0),Greater (1.0),Less (4.958800644618749e-100),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999959),Less (1.1881334905954282e-130),Greater (0.9997387574308993),Greater (1.0),Greater (0.9999992530482927),Less (7.865521568692673e-05),Equal (0.5927389313252679),Greater (0.9999961109625368),Less (9.693320942808204e-53),Greater (1.0),Less (2.1106566835835744e-06),Greater (0.9999999999999987),Less (1.7814500985976263e-16),Greater (0.999998991007945),Less (3.5768264243817386e-05),Less (1.2925629965946352e-140),Greater (1.0),Less (8.805348859619425e-14),Greater (0.9999999900256663),Less (2.907905080320358e-17),Equal (0.6448455343283459),Greater (0.9999999999675662),Less (6.585326501873593e-13),Greater (0.9999999999999019),Greater (0.9999999999429344),Greater (0.9999999429100132),Equal (0.492551685149327),Greater (0.999982418504027),Equal (0.3070475166175871),Less (1.3901581706337186e-11),Equal (0.3450298557055418),Greater (0.9999980027491348),Equal (0.1947230005561017),Less (0.0005031490551208928),Equal (0.10819351882099065),Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.07016779234593035),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999958848580525),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999587),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.08171205585738135),Greater (1.0),Greater (1.0),Greater (0.9999999999999013),Equal (0.07890428622895578),Greater (0.9999948463580431),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Less (1.8402098625968536e-167),Less (0.002157659686716475),Less (5.24980075575646e-310),Less (2.193004734312237e-42),Less (9.290660764996567e-07),Less (0.0),Greater (0.9999742622657176),Greater (1.0),Greater (1.0),Less (5.875598634620858e-75),Greater (0.9999762209879627),Less (3.247710559512864e-102),Less (0.0),Less (1.7120431726199197e-46),Greater (0.9999795915408596),Less (5.389213412058841e-10),Less (2.3811148873961817e-52),Less (4.441434991441455e-27),Less (3.616152861626021e-141),Less (1.0468469520029804e-287),Equal (0.07576063729412758),Less (9.573555988212938e-91),Equal (0.3677252707542238),Less (1.6029020266340882e-119),Less (1.0329579769478037e-06),Less (6.100783487845331e-273),Less (0.0),Less (4.025324940208421e-46),Less (1.336848082037743e-147),Less (1.2129840178299297e-10),Less (1.8045085796282564e-110),Less (6.905821927761936e-32),Less (2.2864769579397227e-52),Less (1.717309156755069e-103),Less (1.701661434282084e-05),Less (0.0057446259390158535),Equal (0.23269865007322776),Less (3.4818135627634644e-23),Equal (0.0708697093714877),Less (3.245121087969995e-57),Less (1.3168805796745106e-51),Less (2.0423559889146454e-26),Equal (0.19007069485302952),Less (0.0015525840950003423),Less (1.2218323673887182e-16),Less (7.995918787949172e-12),Less (5.128808717242615e-144),Less (0.0),Greater (1.0),Less (1.2972512029956842e-38),Greater (1.0),Less (2.3292554156707703e-222),Equal (0.7181342505174234),
existence-devops and cloud,,,,,Greater (1.0),Less (3.0750152666002546e-30),Greater (0.9999999999999994),Greater (1.0),Less (6.915984438801025e-74),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9997700300767788),Less (2.3302763046773894e-132),Equal (0.12488580689429107),Greater (1.0),Greater (0.9998520397653224),Less (1.0631279617621705e-06),Equal (0.13643850197526042),Equal (0.4811274565302347),Less (2.3415263426022053e-57),Greater (1.0),Less (2.5518713685440652e-09),Greater (0.999999999996621),Less (1.6183751628578353e-20),Greater (0.9998980969887596),Less (4.6139655889486236e-10),Less (9.75261581102357e-137),Greater (0.9999999999983351),Less (3.3234572267142707e-18),Greater (0.999990347051457),Less (4.04041773929877e-21),Equal (0.47334482365669595),Greater (0.9999152679992799),Less (1.6588545328028946e-16),Greater (0.99999999894024),Greater (0.999999968938767),Greater (0.9999977368096623),Equal (0.12474716083314086),Greater (0.9997617116843577),Less (0.008426926243722469),Less (1.213409710903422e-13),Equal (0.06798795688986799),Greater (0.9999631705338422),Equal (0.3808510370117071),Less (0.00010222987020815618),Less (0.019558101125401264),Greater (1.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999998382717462),Greater (1.0),
existence-soa and middlewares,,,,,,Less (1.0027883667560535e-140),Less (6.365901800450252e-17),Equal (0.838850419906125),Less (1.8422526695055257e-209),Greater (0.9999999974981634),Greater (1.0),Greater (1.0),Less (1.8754780243557725e-24),Greater (0.99999999720631),Less (1.3668465379487624e-40),Less (3.135566774049294e-276),Less (1.2842433928071918e-25),Greater (0.9999999771937123),Less (5.684766467963433e-06),Less (1.8399774432252972e-37),Less (5.588554423549425e-19),Less (5.830936081529691e-57),Less (1.4837256602975653e-169),Equal (0.6774372496401149),Less (7.054705923664934e-59),Equal (0.827486841584988),Less (1.3921491408405921e-81),Less (0.00043383667494934885),Less (6.240763802292886e-107),Less (1.160311494911523e-291),Less (3.0638651276302137e-19),Less (5.880062434183369e-90),Less (4.481373180390466e-06),Less (6.780895854133757e-78),Less (5.261106502418864e-21),Less (6.6200328920738e-25),Less (1.1555123763723149e-70),Less (0.006392297125438275),Equal (0.19129887535938994),Equal (0.732529601507409),Less (1.2371805411714508e-16),Equal (0.3121421097912679),Less (3.78528037844078e-36),Less (3.3304656315556937e-41),Less (6.051825098581497e-19),Equal (0.5951422287884915),Less (0.009473424604687562),Less (8.664539219302777e-14),Less (1.677537102474423e-09),Less (4.175169953522507e-34),Less (0.0),Greater (1.0),Less (7.3203404078706e-07),Greater (1.0),Less (1.0274384772049105e-59),Greater (0.9987400936113185),
existence-software development tools,,,,,,,Greater (1.0),Greater (1.0),Less (4.235652527638693e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.454948600236269e-62),Greater (1.0),Greater (1.0),Greater (0.9999999999999996),Equal (0.6360693040321949),Greater (0.9927411870291297),Greater (1.0),Less (2.264852004468455e-14),Greater (1.0),Equal (0.9257807715238157),Greater (1.0),Less (0.0001633622799938431),Greater (0.9999999999999882),Greater (0.9999999997859844),Less (1.3185281663359131e-52),Greater (1.0),Equal (0.14255951138944606),Greater (1.0),Less (1.1252098303692907e-05),Greater (0.9999706276352119),Greater (1.0),Less (0.0031126903710417225),Greater (1.0),Greater (1.0),Greater (0.9999999999999457),Greater (0.9767428139962656),Greater (0.9999999993548551),Greater (0.999594506925879),Less (4.320401931931748e-06),Equal (0.06261871436328591),Greater (0.9999999999725105),Greater (0.9956448493642597),Less (0.02181904357728538),Equal (0.8596424851350438),Greater (1.0),Less (4.047309946386306e-67),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Less (1.5250945697690844e-111),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.47357240073127893),Greater (1.0),Less (1.7976976395137458e-06),Less (8.398192605060338e-177),Less (6.071473044841527e-05),Greater (1.0),Equal (0.9567801357442001),Less (3.4270798170710804e-16),Less (1.940934591093926e-06),Less (4.97827493777736e-13),Less (1.8455952805951074e-93),Greater (0.9999999999997655),Less (1.3759397631841152e-24),Greater (0.9999369759917728),Less (2.656403414008469e-40),Equal (0.5611653420019327),Less (2.6015183999981332e-39),Less (5.201927633231361e-183),Equal (0.46316783825663776),Less (4.413457750352353e-41),Equal (0.7156457033876966),Less (1.2165579889872965e-39),Less (4.4263089423325146e-06),Less (0.0025170206705123262),Less (5.830422582078126e-34),Greater (0.9835749454607237),Greater (0.9913160588884858),Greater (0.9913542149232221),Less (6.543657275349078e-06),Equal (0.1355462978250387),Less (7.239334537715494e-12),Less (9.05412931134103e-23),Less (8.833045612919216e-07),Equal (0.050135289615125075),Equal (0.6108056487792346),Less (1.0325728182487696e-07),Less (0.0001300068203904716),Equal (0.16346020916861148),Less (7.413661046833604e-307),Greater (1.0),Greater (0.9999999999901805),Greater (1.0),Less (1.0111368905842828e-09),Greater (1.0),
executive-full,,,,,,,,,Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.376059511639072e-86),Greater (1.0),Less (4.641799408772381e-113),Less (0.0),Less (3.823696613955033e-38),Greater (0.9999999995562879),Less (7.728740510715323e-07),Less (3.5541444020766097e-44),Less (1.2090234352478412e-21),Less (1.187785075468435e-168),Less (5.230776307434029e-297),Equal (0.7377575202550468),Less (3.1134490431372116e-80),Equal (0.8805248922013597),Less (2.5694313940915805e-107),Less (0.00016111095407814608),Less (0.0),Less (0.0),Less (4.961687455985191e-39),Less (1.6535136023007386e-139),Less (3.4484581956240007e-07),Less (3.478803213500052e-98),Less (2.1994928532631933e-25),Less (7.20376519439798e-45),Less (4.39851422869927e-92),Less (0.0025834342927310615),Equal (0.1489866950373711),Equal (0.6840159542286683),Less (1.389834825259166e-18),Equal (0.2891657522092832),Less (2.567934395283417e-48),Less (3.267633879971159e-44),Less (3.41358707260554e-21),Equal (0.5623733867538293),Less (0.008280545365049716),Less (4.3062859579243805e-14),Less (9.828191640917621e-10),Less (0.0),Less (0.0),Greater (1.0),Less (2.614767164135833e-64),Greater (1.0),Less (0.0),Greater (1.0),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.249371483736809e-51),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.3759684489064302),Greater (0.9999094619937654),Greater (1.0),Less (3.6849436967369894e-08),Greater (1.0),Greater (0.9779623918105008),Greater (1.0),Equal (0.061079631316770806),Greater (1.0),Greater (1.0),Less (2.435027971696978e-41),Greater (1.0),Equal (0.4189628060937407),Greater (1.0),Less (0.0038548881284167754),Greater (0.9999999915095045),Greater (1.0),Equal (0.31252355356726336),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9990746208754147),Greater (0.999999999997245),Greater (0.999999950848815),Less (0.00022665052454184424),Greater (0.998773756630564),Greater (0.9999999999999181),Greater (0.9991669142165747),Equal (0.14920933962383523),Equal (0.6804658884941326),Greater (1.0),Less (4.786433235525293e-74),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (0.99999996386989),Less (2.2279719367435025e-125),Equal (0.5510738876108057),Less (6.290907511194057e-155),Less (0.0),Less (1.772596121361299e-65),Greater (0.9886559398814807),Less (1.1545258766158623e-14),Less (1.2206660794663664e-65),Less (4.804906528246876e-35),Less (1.6995214668310485e-208),Less (0.0),Less (2.3433608455993127e-05),Less (4.4171866239387885e-116),Less (0.021255951472736328),Less (1.1186929492059082e-148),Less (6.585585187744906e-10),Less (0.0),Less (0.0),Less (1.1106173145710523e-72),Less (3.1002240157573735e-189),Less (5.75863958939602e-16),Less (3.771836465679818e-136),Less (2.6699081416588743e-42),Less (1.3151694415874196e-77),Less (2.8893390887023554e-129),Less (6.025030759941715e-09),Less (9.84582379590716e-05),Less (0.020657933859823487),Less (9.197376336083365e-30),Less (0.004682519263333564),Less (2.2710590544291695e-75),Less (1.4296474838990168e-61),Less (8.346606661146645e-34),Less (0.018376959520444748),Less (0.00018489114505294154),Less (1.0375110459628764e-19),Less (2.4252970129750598e-14),Less (1.442920256988382e-264),Less (0.0),Greater (1.0),Less (1.1481043696959136e-89),Greater (0.9999999999376571),Less (0.0),Less (1.2816795219484578e-09),
