,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (4.101413649121562e-110),Greater (1.0),Equal (0.359656809796999),Greater (0.999999963028066),Less (7.485433179761496e-07),Equal (0.2939302722865166),Greater (1.0),Less (2.930871373997349e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Equal (0.9940200897929414),Less (7.694611097847121e-28),Greater (0.9999999999951493),Less (2.0829859832379283e-07),Greater (0.99999946698247),Less (1.3138497029153758e-07),Equal (0.6455559824333275),Equal (0.11663201712139806),Less (3.4661363385048325e-12),Equal (0.696839116193331),Equal (0.19262220287291287),Equal (0.7829305824714714),Less (0.0036014270840109656),Equal (0.5919190377717656),Equal (0.43313884795549573),Less (0.021246974905929656),Equal (0.44971462763199477),Greater (0.9941108077569657),Equal (0.17600746490233288),Equal (0.42978996819260895),Equal (0.8450751824906484),,,,,,,,Greater (1.0),Less (3.1609580452799795e-260),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999985346244),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999998501),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (1.0),Greater (0.9999998867438497),Greater (1.0),Greater (0.9999999999999999),Greater (1.0),Greater (0.9999989991666555),Greater (1.0),Greater (1.0),Equal (0.9705546580178807),Greater (1.0),Greater (0.9999999996992222),Greater (0.9999997615864835),Equal (0.2736594736607608),Greater (0.9992100816329768),Greater (0.9999999999999973),Equal (0.2691403560302582),Greater (0.9999848915791669),Greater (0.9999999502815179),Greater (0.9996289162092383),Greater (0.9988793474403165),Greater (0.9865121241503222),,,,,,,,Greater (1.0),Greater (0.9999999999985545),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Less (9.468006430981347e-16),Equal (0.521111391355545),Less (6.921506362200339e-25),Less (1.1903023645538939e-06),Greater (0.9999999999999709),Less (5.10674997300176e-37),Greater (0.999999999998512),Greater (1.0),Greater (1.0),Less (0.006897811152032029),Greater (1.0),,,,,,,,Less (4.640122614547953e-24),Less (7.39297174367608e-66),Less (0.004586430879165528),Less (6.006623840882872e-28),Equal (0.5356230543069771),Less (6.947887853063891e-23),Less (6.125257018028407e-05),Less (4.524019516536898e-17),Less (2.4364957943973276e-26),Less (3.012657762735807e-08),Equal (0.47527779591030084),Equal (0.07142626079745171),Less (1.3451310648008458e-06),Less (0.012671430116925474),Less (0.010804646756468887),Less (0.00011739690295889579),Less (0.001234468655686178),Equal (0.10558800242976499),Equal (0.5151091068394469),Equal (0.9202397132302297),Equal (0.5071629462563549),,,,,,,,Less (5.900142282966197e-07),Less (9.359640852338921e-237),Greater (1.0),Greater (0.9767687668159873),Greater (1.0),Less (1.7859937151006413e-18),Greater (0.9999999999998802),
existence-devops and cloud,,,,,Greater (0.9999998423841053),Less (0.0002472592079733409),Equal (0.14360578094860788),Greater (1.0),Equal (0.14111523232086548),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999998035419),Greater (1.0),,,,,,,,Equal (0.38015301735596296),Less (9.760975383839424e-15),Greater (0.9999999809224905),Less (0.00020712968645846482),Greater (0.999999499525042),Less (2.113252427119248e-05),Equal (0.3867248498316588),Equal (0.5851155838833284),Less (5.529692944660318e-10),Equal (0.36336375157590317),Equal (0.13548913325549114),Equal (0.6203479977177561),Less (0.007932733013014075),Equal (0.7329942909379217),Equal (0.28232408330319747),Equal (0.06941059797667283),Equal (0.6213298480043582),Greater (0.9954898311426612),Equal (0.15353922633899214),Equal (0.37818401491629594),Equal (0.7740940547564092),,,,,,,,Greater (0.9999999996662489),Less (9.013425105957855e-37),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9996283415416212),Greater (1.0),
existence-soa and middlewares,,,,,,Less (1.508265131676448e-14),Less (0.0006346933980896699),Greater (0.9999991870525804),Less (1.581263491058837e-12),Greater (0.9999993468814811),Greater (1.0),Greater (0.9999999999999023),Equal (0.38142847904795907),Greater (0.9999999999999035),,,,,,,,Less (6.02104140193132e-08),Less (1.747006240773558e-32),Equal (0.2699511178785208),Less (2.021191158964207e-15),Equal (0.33345735187838266),Less (3.461654765802779e-15),Less (0.00188343192620031),Less (1.6565939074657002e-08),Less (1.6233001536192033e-20),Less (8.69417252640199e-05),Equal (0.6322502640826632),Equal (0.13114391992462213),Less (7.892618441078808e-06),Less (0.02302605008918634),Equal (0.0729640364361256),Less (0.0003173997154863612),Less (0.004115147341897183),Equal (0.08671442150595446),Equal (0.46487417405872133),Equal (0.9931467999377871),Equal (0.5719211656154919),,,,,,,,Equal (0.06883356500096986),Less (4.648088001997438e-60),Greater (1.0),Equal (0.0776919769039648),Greater (0.9999999999999998),Less (6.306188066050894e-05),Greater (0.9999980614210785),
existence-software development tools,,,,,,,Greater (0.9999933082563053),Greater (1.0),Greater (0.997625251105417),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (0.9999988849975433),Less (0.0027384992050423834),Greater (0.9999999999999999),Equal (0.8477766926552854),Greater (0.9999999999991019),Equal (0.3035393223555526),Greater (0.9995732321673775),Greater (0.9986328344763483),Less (0.00012397229687209722),Greater (0.9999540311702451),Greater (0.997740367606338),Equal (0.06234205102341803),Equal (0.2489936210158079),Equal (0.43907754020985124),Greater (0.9985732111735793),Equal (0.43126815663150075),Equal (0.32785791289517596),Greater (0.9995682577540406),Greater (0.9757040816780996),Equal (0.1282457926794997),Equal (0.3776625353544084),,,,,,,,Greater (1.0),Less (6.15246689515484e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999921131),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Less (0.0023662726837259756),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9993488584233807),Greater (1.0),,,,,,,,Equal (0.3023860248221183),Less (7.774588545414149e-16),Greater (0.9978949452558578),Less (4.946609661753639e-06),Greater (0.9997782481772346),Less (5.90645711358462e-07),Equal (0.8071671811930144),Equal (0.058290959237827934),Less (9.25096135055908e-12),Equal (0.6263900496942747),Equal (0.3615012066951079),Equal (0.9439220054599533),Less (0.001808411423389481),Equal (0.42776214450973993),Equal (0.8173398214259955),Less (0.012464381427397113),Equal (0.2835119209721424),Greater (0.9900719625960487),Equal (0.22353424855111437),Equal (0.5290706656607602),Equal (0.9608704489951606),,,,,,,,Greater (0.996363000504206),Less (1.2931673222778336e-29),Greater (1.0),Greater (0.9999999999368981),Greater (1.0),Equal (0.507936488758429),Greater (1.0),
executive-full,,,,,,,,,Less (1.5910333170521209e-204),Equal (0.572885229842935),Greater (1.0),Greater (0.9999999932608159),Less (4.2045510936450263e-36),Greater (0.9999999991915913),,,,,,,,Less (6.246294193917482e-164),Less (5.830817213759526e-168),Less (3.747828169626024e-26),Less (2.6240510816526775e-70),Less (0.016471223462983957),Less (1.7527513585332738e-47),Less (2.7675977061449135e-13),Less (1.8598473139770652e-55),Less (4.896405328527048e-45),Less (2.950900983957092e-26),Less (0.019444337125014387),Less (0.0005430904319640688),Less (1.608110545860186e-10),Less (0.0002648827104844922),Less (2.9715283637168375e-06),Less (3.718051816919536e-07),Less (1.2017863664437978e-06),Equal (0.2713671811959034),Equal (0.8285503421788138),Equal (0.4861653893593004),Equal (0.21109489058636632),,,,,,,,Less (0.0),Less (0.0),Greater (1.0),Less (5.777557504143528e-60),Greater (1.0),Less (0.0),Equal (0.17472753243368178),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (0.9998643729935218),Less (3.0860630322427203e-15),Greater (1.0),Less (0.0022217352514256675),Greater (0.9999999990922823),Less (0.00022331117788540992),Equal (0.07833526151010191),Equal (0.4446662100917811),Less (9.641487874613763e-09),Greater (0.9860834617790813),Equal (0.056126676831722504),Equal (0.36743095035085915),Less (0.019621833422823334),Equal (0.9846034897104385),Equal (0.0910676143235432),Equal (0.1279093051462712),Equal (0.9370769496468387),Greater (0.9972531276464118),Equal (0.12053803505922805),Equal (0.29901660421145493),Equal (0.6484816974257142),,,,,,,,Greater (1.0),Less (4.5840129513942074e-89),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (0.9999991019965772),Less (5.048364689497548e-28),Greater (0.9999994837018875),,,,,,,,Less (4.714733107741585e-109),Less (2.558060679068557e-148),Less (9.967630408905037e-23),Less (6.393918705854252e-66),Less (0.012671478497992654),Less (1.0141509263883648e-46),Less (2.016783095959669e-13),Less (1.0518485107786781e-50),Less (2.043983374877842e-45),Less (1.991061350339425e-25),Less (0.015820133185039362),Less (0.0003968066353913763),Less (8.180456128752591e-11),Less (0.00019442095065657513),Less (1.936760809278475e-06),Less (2.2922560831501653e-07),Less (7.728882562613404e-07),Equal (0.27903898103302116),Equal (0.8423070252580298),Equal (0.46880539171914526),Equal (0.19622338692933428),,,,,,,,Less (1.504150628379152e-90),Less (0.0),Greater (1.0),Less (8.056332706559188e-21),Greater (0.9999999999999988),Less (4.564536122667142e-149),Equal (0.1795801880489466),
