,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),Greater (0.9999999999999959),Greater (0.9999961109625368),Less (3.5768264243817386e-05),Greater (0.9999999999675662),Equal (0.3070475166175871),Greater (1.0),Less (0.0),Less (4.958800644618749e-100),Less (1.1881334905954282e-130),Less (9.693320942808204e-53),Less (1.2925629965946352e-140),Less (6.585326501873593e-13),Less (1.3901581706337186e-11),Less (0.0),Greater (1.0),Greater (1.0),Greater (0.9997387574308993),Greater (1.0),Greater (1.0),Greater (0.9999999999999019),Equal (0.3450298557055418),Greater (1.0),Greater (0.99996603506315),Greater (1.0),Greater (1.0),Less (2.1106566835835744e-06),Less (8.805348859619425e-14),Greater (0.9999999999429344),Greater (0.9999980027491348),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999992530482927),Greater (0.9999999999999987),Greater (0.9999999900256663),Greater (0.9999999429100132),Equal (0.1947230005561017),Greater (1.0),Less (1.7734629068955953e-26),Greater (1.0),Less (7.865521568692673e-05),Less (1.7814500985976263e-16),Less (2.907905080320358e-17),Equal (0.492551685149327),Less (0.0005031490551208928),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.5927389313252679),Greater (0.999998991007945),Equal (0.6448455343283459),Greater (0.999982418504027),Equal (0.10819351882099065),Greater (1.0),
full-executive,,,Less (4.641799408772381e-113),Less (1.187785075468435e-168),Less (0.0),Less (7.20376519439798e-45),Less (2.567934395283417e-48),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (5.230776307434029e-297),Less (0.0),Less (4.39851422869927e-92),Less (3.267633879971159e-44),Less (0.0),Greater (0.9999990709356908),Greater (1.0),Less (3.823696613955033e-38),Equal (0.7377575202550468),Less (4.961687455985191e-39),Less (0.0025834342927310615),Less (3.41358707260554e-21),Greater (1.0),Less (1.5941999612652916e-220),Greater (1.0),Greater (0.9999999995562879),Less (3.1134490431372116e-80),Less (1.6535136023007386e-139),Equal (0.1489866950373711),Equal (0.5623733867538293),Less (2.614767164135833e-64),Equal (0.838850419906125),Greater (1.0),Less (7.728740510715323e-07),Equal (0.8805248922013597),Less (3.4484581956240007e-07),Equal (0.6840159542286683),Less (0.008280545365049716),Greater (1.0),Less (0.0),Less (1.376059511639072e-86),Less (3.5541444020766097e-44),Less (2.5694313940915805e-107),Less (3.478803213500052e-98),Less (1.389834825259166e-18),Less (4.306285957924379e-14),Less (0.0),Less (2.431704058413124e-35),Greater (1.0),Less (1.2090234352478408e-21),Less (0.00016111095407814606),Less (2.1994928532631933e-25),Equal (0.2891657522092832),Less (9.828191640917621e-10),Greater (1.0),
full-existence-executive,,,,Less (0.0035331882066542554),Less (2.025881396484459e-20),Equal (0.28671082804573345),Less (2.1724861102457694e-05),Greater (0.9999999930050746),Less (0.0),Less (2.630898455020159e-89),Less (6.498201910207808e-148),Less (2.6972442723406017e-70),Less (2.1078816116955615e-153),Less (3.797155638977792e-22),Less (1.7037377187607032e-16),Less (0.0),Greater (1.0),Greater (1.0),Equal (0.523136470467756),Greater (1.0),Greater (0.999897215229217),Greater (0.9999955207610985),Less (0.0015795090305306817),Greater (1.0),Less (0.0002299737153494636),Greater (1.0),Greater (1.0),Less (3.029938792341915e-14),Less (6.415731977305112e-26),Greater (0.9999869689359862),Greater (0.9992201421552566),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9861401401154276),Greater (0.9999999911203032),Greater (0.9965372224236495),Greater (0.9998888671661269),Equal (0.734818384688422),Greater (1.0),Less (2.5912828690375708e-43),Greater (0.9999996347517611),Less (1.1392919839317359e-09),Less (4.749833104704942e-27),Less (3.8020344499081086e-27),Less (0.004563335452027307),Less (1.2419776236501689e-05),Equal (0.8598736170813146),Greater (0.9999982023632523),Greater (1.0),Less (0.0037972715321264385),Greater (0.9933283253172818),Less (0.015833955537020973),Greater (0.9966061275884668),Less (0.004060118156962768),Greater (1.0),
full-property,,,,,Less (4.8110309788130036e-11),Greater (0.9992132748261955),Less (0.0033692590730826453),Greater (1.0),Less (0.0),Less (1.992690532532172e-69),Less (7.491691138841307e-132),Less (4.3379466372664876e-58),Less (4.846583334568955e-135),Less (2.2345114885775462e-17),Less (3.466787222604135e-14),Less (4.333486522662895e-283),Greater (1.0),Greater (1.0),Equal (0.2807445193815664),Greater (1.0),Greater (0.9999999996104173),Greater (0.9999999927618025),Less (0.020028743898700834),Greater (1.0),Equal (0.4811274565302347),Greater (1.0),Greater (1.0),Less (4.259950856807653e-10),Less (3.0263014628108317e-19),Greater (0.9999998880684321),Greater (0.999931637648372),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9995566304637947),Greater (0.9999999999823429),Greater (0.9999602992844321),Greater (0.9999950307043463),Equal (0.43848601140247156),Greater (1.0),Less (1.0833578155259899e-30),Greater (0.9999999999999998),Less (3.394661160032645e-07),Less (1.5602819170976441e-21),Less (4.421621878051191e-22),Equal (0.08168563434939745),Less (6.89476620863968e-05),Greater (0.9998663888188625),Greater (0.9999999999995022),Greater (1.0),Equal (0.08574846866224511),Greater (0.999738488292912),Equal (0.3172094317373563),Greater (0.9995891669797443),Less (0.014416283378927875),Greater (1.0),
full-existence-property,,,,,,Greater (0.9999999999999993),Equal (0.7344307655307887),Greater (1.0),Less (0.0),Less (5.527400498125112e-35),Less (1.463388157668922e-100),Less (2.785207542167766e-35),Less (5.372150581524456e-99),Less (6.166856522566353e-09),Less (9.720527274159396e-10),Less (6.340342910754452e-238),Greater (1.0),Greater (1.0),Greater (0.9999995892657632),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.9288478955268684),Greater (1.0),Greater (0.9999999995386135),Greater (1.0),Greater (1.0),Less (0.001002808278639677),Less (3.9592653128191344e-08),Greater (0.9999999999998224),Greater (0.999999902121515),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999961546032),Greater (1.0),Greater (0.9999999999853745),Greater (0.9999999987014703),Equal (0.08895954899875312),Greater (1.0),Less (2.1402275218332997e-10),Greater (1.0),Less (0.002922400893086267),Less (1.2921243442071874e-11),Less (9.43564362130963e-13),Equal (0.8931317877354199),Less (0.0017388285300360495),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.7153456450714292),Greater (0.9999999900076607),Equal (0.12438468150979326),Greater (0.9999988143839561),Equal (0.23770711804963585),Greater (1.0),
full-executive-property,,,,,,,Less (4.520520849654973e-06),Greater (0.9932044253915826),Less (4.0238234388261414e-302),Less (2.287997296083145e-56),Less (1.7270292730067313e-125),Less (2.20819423788263e-59),Less (1.3993775563086994e-121),Less (5.081051095442681e-22),Less (2.4577020535865778e-17),Less (2.711650529674387e-158),Greater (1.0),Greater (1.0),Equal (0.17928683356897135),Greater (1.0),Greater (0.9820622293195501),Greater (0.9998659676763892),Less (0.00047302908858783246),Greater (1.0),Less (8.473453743262167e-05),Greater (1.0),Greater (1.0),Less (1.7949362514759493e-14),Less (2.945241854677781e-24),Greater (0.9998419040107517),Greater (0.9975007788277819),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.11545622296818878),Greater (0.9999997173938591),Greater (0.9762775939089244),Greater (0.9995028587773469),Equal (0.9071046120026388),Greater (1.0),Less (1.2691313092143146e-32),Greater (0.9948894936658266),Less (2.2386000747145418e-10),Less (1.5874327561195076e-26),Less (5.753790414957618e-27),Less (0.001503637684784718),Less (4.506343636476965e-06),Equal (0.1683637275792511),Greater (0.9974830805237654),Greater (1.0),Less (0.0011256869421234646),Equal (0.0560787816883206),Less (0.004588149086954148),Greater (0.9906927960731415),Less (0.002034291139861285),Greater (1.0),
full-existence-executive-property,,,,,,,,Greater (0.9999999999962195),Less (3.197919615321151e-77),Less (4.915427082917019e-08),Less (2.079157456190819e-49),Less (3.039319565773171e-16),Less (1.055096825425629e-39),Less (2.2109106531435622e-06),Less (8.300864566737735e-09),Less (9.541636866708446e-29),Greater (1.0),Greater (1.0),Greater (0.9988339624858461),Greater (1.0),Greater (0.9999999997783058),Greater (0.999999999965995),Equal (0.7876257564517034),Greater (1.0),Greater (0.9915734171346534),Greater (1.0),Greater (1.0),Less (0.0056960998854376195),Less (5.137184220293628e-05),Greater (0.9999999994614025),Greater (0.9999987378838427),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999997273167981),Greater (0.9999999999999423),Greater (0.9999998334791892),Greater (0.9999999515005245),Equal (0.12261070625157199),Greater (1.0),Less (0.0004055287438955375),Greater (0.9999999999919758),Less (0.006268693733523614),Less (4.9465533969391695e-08),Less (3.4594503177261296e-09),Equal (0.9479227822313809),Less (0.0018565096676698147),Greater (0.9999941128110008),Greater (0.999999999992762),Greater (1.0),Equal (0.9075658486362019),Greater (0.9999979585934192),Equal (0.3120305084748254),Greater (0.9999895296058433),Equal (0.2157356005390253),Greater (1.0),
full-,,,,,,,,,Less (0.0),Less (0.0),Less (1.6104597952755405e-241),Less (1.0588926302637e-133),Less (4.546561880501603e-291),Less (3.5496000138081335e-37),Less (3.6956255191657615e-22),Less (0.0),Greater (1.0),Greater (1.0),Less (0.00013167196922942616),Greater (1.0),Equal (0.7526728595923595),Greater (0.997794754271322),Less (2.8145703569324665e-06),Greater (1.0),Less (1.421771200971083e-34),Greater (1.0),Greater (1.0),Less (4.147684984777049e-27),Less (3.418774471618801e-51),Greater (0.9982698017646574),Greater (0.988671849554682),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.5600877399190911),Greater (0.9999948757090972),Equal (0.3358469488451151),Greater (0.9969039158973826),Equal (0.7547007662165719),Greater (1.0),Less (1.9949811209778368e-142),Equal (0.39246928279129434),Less (4.323419763310708e-16),Less (9.842475978995597e-45),Less (8.754927983378757e-43),Less (1.973837595726606e-05),Less (2.967879645341045e-07),Less (1.159569542342425e-121),Equal (0.16346020916861148),Greater (1.0),Less (6.258922323974129e-06),Equal (0.28487500717951564),Less (1.3294087768121728e-05),Equal (0.07009446716282518),Less (0.0002835178594664617),Greater (1.0),
content management-existence,,,,,,,,,,Greater (1.0),Equal (0.07016779234593036),Greater (1.0),Greater (0.999958848580525),Greater (1.0),Equal (0.08171205585738135),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999013),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999587),Greater (1.0),Equal (0.07890428622895578),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999948463580431),Greater (1.0),
content management-executive,,,,,,,,,,,Less (2.249371483736809e-51),Less (3.6849436967369894e-08),Less (2.435027971696978e-41),Equal (0.31252355356726336),Less (0.0002266505245418443),Less (4.786433235525293e-74),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.998773756630564),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9779623918105008),Equal (0.4189628060937407),Greater (1.0),Greater (0.9999999999999181),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9991669142165747),Greater (1.0),Greater (0.9999576442590162),Greater (1.0),Equal (0.3759684489064302),Equal (0.061079631316770806),Less (0.0038548881284167754),Greater (0.9990746208754147),Equal (0.14920933962383523),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999094619937654),Greater (1.0),Greater (0.9999999915095045),Greater (0.999999999997245),Equal (0.6804658884941326),Greater (1.0),
