,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),,Equal (0.9940200897929414),Equal (0.11663201712139806),Equal (0.43313884795549573),,Greater (1.0),Less (4.101413649121561e-110),Less (2.930871373997349e-05),,Less (7.694611097847121e-28),Less (3.4661363385048325e-12),Less (0.021246974905929656),,Less (3.1609580452799795e-260),Greater (1.0),Greater (1.0),,Greater (0.9999999999951493),Equal (0.696839116193331),Equal (0.44971462763199477),,Greater (1.0),Equal (0.359656809796999),Greater (1.0),,Less (2.0829859832379283e-07),Equal (0.19262220287291287),Greater (0.9941108077569657),,Greater (1.0),Greater (0.999999963028066),Greater (1.0),,Greater (0.99999946698247),Equal (0.7829305824714714),Equal (0.17600746490233288),,Greater (1.0),Less (7.485433179761496e-07),Greater (1.0),,Less (1.3138497029153758e-07),Less (0.0036014270840109656),Equal (0.42978996819260895),,Greater (0.9999999985346244),Equal (0.2939302722865166),Greater (1.0),,Equal (0.6455559824333275),Equal (0.5919190377717656),Equal (0.8450751824906484),,Greater (1.0),
full-executive,,,,Less (6.246294193917482e-164),Less (1.8598473139770652e-55),Less (2.9715283637168375e-06),,Less (0.0),Less (0.0),Less (1.5910333170521209e-204),,Less (5.830817213759526e-168),Less (4.896405328527048e-45),Less (3.718051816919536e-07),,Less (0.0),Less (2.9053678567024983e-14),Equal (0.572885229842935),,Less (3.747828169626024e-26),Less (2.950900983957092e-26),Less (1.2017863664437978e-06),,Greater (1.0),Less (1.0028817445649455e-55),Greater (1.0),,Less (2.6240510816526775e-70),Less (0.019444337125014387),Equal (0.2713671811959034),,Less (5.777557504143528e-60),Less (8.129674386021278e-07),Greater (0.9999999932608159),,Less (0.01647122346298396),Less (0.0005430904319640688),Equal (0.8285503421788138),,Greater (1.0),Less (3.0322397081911794e-59),Less (4.2045510936450263e-36),,Less (1.7527513585332738e-47),Less (1.608110545860186e-10),Equal (0.4861653893593004),,Less (0.0),Less (3.1821943825358433e-22),Greater (0.9999999991915913),,Less (2.7675977061449135e-13),Less (0.0002648827104844922),Equal (0.21109489058636632),,Equal (0.17472753243368178),
full-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-property,,,,,Equal (0.12712998910685258),Equal (0.4312201955753635),,Greater (1.0),Less (8.967403608882717e-99),Less (0.00013563314405136496),,Less (2.757291425687091e-26),Less (3.499125114287729e-12),Less (0.021018868535757965),,Less (1.439211130202455e-166),Greater (1.0),Greater (1.0),,Greater (0.9999999999538979),Equal (0.7025451793302171),Equal (0.44749382423578987),,Greater (1.0),Equal (0.38015301735596296),Greater (1.0),,Less (3.6313635837668e-07),Equal (0.19120841033988),Greater (0.9943786136073035),,Greater (1.0),Greater (0.999999939799868),Greater (1.0),,Greater (0.9999994106152043),Equal (0.783771348726192),Equal (0.17302974876188182),,Greater (1.0),Less (1.1152487920215514e-06),Greater (0.9999999999999998),,Less (1.6578541571009778e-07),Less (0.003557504229740598),Equal (0.4261230272545705),,Greater (0.9999991037920732),Equal (0.3023860248221183),Greater (1.0),,Equal (0.6459548230688354),Equal (0.5918353121317935),Equal (0.844432093750934),,Greater (1.0),
full-existence-property,,,,,,Equal (0.17542771587067718),,Greater (0.9999999999760317),Less (1.3586770677527902e-40),Equal (0.4446662100917811),,Less (1.8524845892766293e-12),Less (2.897153236890167e-09),Equal (0.0866560376075704),,Less (9.218415955688178e-29),Greater (1.0),Greater (1.0),,Greater (0.999999998700174),Equal (0.17066078207402402),Equal (0.7683383682759202),,Greater (1.0),Equal (0.5851155838833284),Greater (1.0),,Less (0.0013250670460893572),Equal (0.09158337135054244),Greater (0.996934373161532),,Greater (1.0),Greater (0.9999999834460644),Greater (1.0),,Greater (0.9999999289937069),Equal (0.4939114114780401),Equal (0.12834176636515776),,Greater (1.0),Less (0.0013679897390223969),Greater (0.9999999999865945),,Less (0.00010988501268070286),Less (0.011267501526173054),Equal (0.3238837680018992),,Greater (0.9999585991668538),Equal (0.058290959237827934),Greater (1.0),,Equal (0.21883994802810902),Equal (0.8414028835840877),Equal (0.7116620633485322),,Greater (1.0),
full-executive-property,,,,,,,,Equal (0.28441181989918796),Less (2.708167753891207e-15),Equal (0.09106761432354318),,Less (3.764437597765841e-07),Less (1.5466845117347996e-08),Less (0.013749694594182646),,Less (3.0798285547484047e-09),Greater (0.9891990039128304),Greater (0.9999980636806292),,Equal (0.18993554280777414),Equal (0.5853793820235035),Equal (0.2697237332904625),,Greater (0.9999999999999986),Equal (0.28232408330319747),Greater (1.0),,Less (0.0016071287556722624),Equal (0.49979516937004365),Greater (0.987296416303659),,Greater (0.9981944333013087),Equal (0.0729640364361256),Greater (0.9999999998041816),,Greater (0.9897656743776793),Equal (0.8328344955442052),Equal (0.24953549579129564),,Greater (0.999999999889147),Less (0.0014298083870448138),Equal (0.1439321010002399),,Less (0.0001841006981397047),Less (0.0030246550133235326),Equal (0.5862887104372859),,Equal (0.9445870985441767),Equal (0.8173398214259955),Greater (0.999999999662402),,Equal (0.6983558000034633),Equal (0.3949149233676187),Equal (0.9899626432907916),,Greater (0.999995158735391),
full-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-,,,,,,,,,Less (1.7071659694731576e-245),Less (3.1395194505181864e-49),,Less (1.1016950220409999e-65),Less (1.9072174587103925e-20),Less (0.001458958848361385),,Less (0.0),Greater (0.9999994099860001),Greater (1.0),,Equal (0.3295043865067434),Less (0.0002945282903615123),Less (0.01766101850306719),,Greater (1.0),Less (3.3375138841904485e-10),Greater (1.0),,Less (8.215821707413916e-22),Equal (0.9177990971225667),Equal (0.050367456875275426),,Greater (1.0),Equal (0.06883356500096986),Greater (1.0),,Greater (0.991107200170376),Equal (0.33888538447946426),Equal (0.35641876907014514),,Greater (1.0),Less (7.645832253342251e-19),Equal (0.05039347383584979),,Less (4.51685796931394e-17),Less (5.8699764924242106e-05),Equal (0.7988285269461901),,Less (5.037919649251056e-167),Less (0.003637001391412265),Greater (1.0),,Less (0.01354704908706623),Equal (0.12553588016536318),Equal (0.7564709478371222),,Greater (1.0),
content management-existence,,,,,,,,,,Greater (1.0),,Greater (0.9999998867438497),Equal (0.9705546580178807),Equal (0.2691403560302582),,Greater (0.9999999999985545),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (1.0),Greater (0.9999848915791669),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999999999),Greater (0.9999999996992222),Greater (0.9999999502815179),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999997615864835),Greater (0.9996289162092383),,Greater (1.0),Greater (0.9999999999998501),Greater (1.0),,Greater (0.9999989991666555),Equal (0.2736594736607608),Greater (0.9988793474403165),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9992100816329768),Greater (0.9865121241503222),,Greater (1.0),
content management-executive,,,,,,,,,,,,Less (3.0860630322427203e-15),Less (9.641487874613763e-09),Equal (0.12790930514627122),,Less (4.5840129513942074e-89),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9860834617790813),Equal (0.9370769496468387),,Greater (1.0),Equal (0.14111523232086548),Greater (1.0),,Less (0.0022217352514256675),Equal (0.056126676831722504),Greater (0.9972531276464118),,Greater (1.0),Greater (0.9999999999984192),Greater (1.0),,Greater (0.9999999990922823),Equal (0.36743095035085915),Equal (0.12053803505922805),,Greater (1.0),Less (0.0023751364487345243),Greater (1.0),,Less (0.00022331117788540992),Less (0.019621833422823334),Equal (0.29901660421145493),,Greater (1.0),Greater (0.9976340342851532),Greater (1.0),,Equal (0.07833526151010191),Equal (0.9846034897104385),Equal (0.6484816974257142),,Greater (1.0),
