,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (4.2687334471568616e-117),Greater (1.0),Equal (0.7097734459026752),Greater (0.9999999702663898),Less (1.093617908456053e-07),Equal (0.290236987094486),Greater (1.0),Less (4.761469048677318e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.9482063739433201),Less (6.659148195091341e-35),Greater (0.9999999997915245),Less (0.0003480574730869029),Greater (0.9999995718748508),Less (7.311163217552729e-08),Equal (0.6815323929215814),Greater (1.0),Less (3.1048775694472274e-285),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999961776),Greater (1.0),
existence-content management,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999999851),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999996013485887),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999436084611),Greater (1.0),Greater (1.0),Greater (0.9999999999997641),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Less (8.371703391926879e-12),Equal (0.9900579993687803),Less (5.637898885135167e-24),Less (2.3121984735427587e-05),Greater (1.0),Less (4.686616967106501e-33),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.36589482259105766),Greater (1.0),Less (2.4534483691443252e-22),Less (1.5225992700842006e-72),Less (0.002022475406771457),Less (1.3630362272564052e-18),Equal (0.385722420592015),Less (1.289378366565189e-21),Less (0.00019863297479588322),Less (0.0009037902688094087),Less (2.482832821791223e-258),Greater (1.0),Greater (0.9999982924884497),Greater (1.0),Less (5.030880054458098e-14),Greater (1.0),
existence-devops and cloud,,,,,Greater (0.9999990085218466),Less (2.0588327055215413e-05),Equal (0.2625489939462843),Greater (1.0),Equal (0.05615136270868672),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999992319606),Greater (1.0),Equal (0.7452442950615689),Less (2.5045726876763515e-19),Greater (0.9999939268799427),Less (0.006265585314904689),Greater (0.9999978840720745),Less (5.138390602572792e-06),Equal (0.5789403589759458),Greater (0.9999999984843355),Less (3.3146028757961776e-41),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9988905883358616),Greater (1.0),
existence-soa and middlewares,,,,,,Less (1.6473304595393609e-15),Less (0.0006957150441203854),Greater (0.9999999710088133),Less (1.890791236643535e-12),Greater (0.9999999594084197),Greater (1.0),Greater (0.9999999999999996),Equal (0.5932072624652178),Greater (0.9999999999999996),Less (3.626166130183059e-08),Less (3.945115334869131e-37),Equal (0.07527184352380373),Less (1.682890982120059e-11),Equal (0.4440823567997181),Less (1.6001937773987913e-15),Less (0.001262797642024563),Equal (0.13395606564536433),Less (1.2123243663478378e-62),Greater (1.0),Greater (0.9887009684019654),Greater (1.0),Less (0.00015016019164729494),Greater (0.9999999417158205),
existence-software development tools,,,,,,,Greater (0.9999980102663427),Greater (1.0),Greater (0.9992421308612063),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999830535468),Less (0.0009780244159847797),Greater (0.9999999999999997),Equal (0.09793457510276482),Greater (0.9999999999998938),Equal (0.45657073519385727),Greater (0.9998314033915469),Greater (1.0),Less (1.161837960819312e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999998932),Greater (1.0),
existence-web development,,,,,,,,Greater (1.0),Less (0.002716660932940114),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9997468367088027),Greater (1.0),Equal (0.2845676549184868),Less (1.862871528042409e-18),Greater (0.9877380855290766),Less (0.000675210964214293),Greater (0.9996696160227916),Less (4.914154233303809e-07),Equal (0.7535068044737926),Greater (0.9984559823729108),Less (1.9398246608599053e-30),Greater (1.0),Greater (0.9999999999959474),Greater (1.0),Equal (0.38502855038449646),Greater (1.0),
executive-full,,,,,,,,,Less (4.997880809385501e-206),Equal (0.7057812435378072),Greater (1.0),Greater (0.9999999958168745),Less (1.1530645052129973e-35),Greater (0.9999999993609421),Less (4.306407160683482e-200),Less (4.0884280566102306e-206),Less (8.001262679226543e-46),Less (2.4341643136404997e-60),Less (0.001212790341581617),Less (3.2226160720856776e-53),Less (7.562527366797092e-16),Less (0.0),Less (0.0),Greater (1.0),Less (1.3229225234936341e-58),Greater (1.0),Less (0.0),Equal (0.25865825355467664),
executive-content management,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9998320901316314),Less (2.7709057498223415e-19),Greater (1.0),Equal (0.2068897573298012),Greater (0.9999999994180218),Less (0.00018486807779828174),Equal (0.08230531812009363),Greater (1.0),Less (9.624090076183745e-89),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (0.9999996578114471),Less (3.598010329453444e-27),Greater (0.9999997783030775),Less (1.9454847888205687e-123),Less (2.822567586344505e-176),Less (2.8348423350393798e-36),Less (9.450589059992608e-56),Less (0.0010532521489606808),Less (2.0307309486639353e-51),Less (1.077137905340839e-15),Less (8.762709653417625e-89),Less (0.0),Greater (1.0),Less (9.769314287727908e-20),Greater (1.0),Less (3.7653796851969513e-147),Equal (0.30846411901322335),
executive-devops and cloud,,,,,,,,,,,,Less (4.1610105910692404e-07),Less (1.5077621554202546e-105),Less (2.3493691159737442e-09),Less (5.0480104956285206e-282),Less (0.0),Less (5.558415782676841e-121),Less (9.278028987917438e-133),Less (3.961836551727089e-17),Less (1.8958506139379338e-114),Less (1.3014320054758087e-44),Less (1.008293276891893e-248),Less (0.0),Less (0.0010599450667696446),Less (3.3167473833911356e-123),Less (2.9405076155642177e-18),Less (0.0),Less (4.659624583659639e-62),
executive-soa and middlewares,,,,,,,,,,,,,Less (2.6677015163198008e-39),Equal (0.7016083995887),Less (2.1503651861792745e-114),Less (4.41726451182819e-188),Less (3.537737637189615e-49),Less (3.136306120086918e-72),Less (5.109399611983502e-08),Less (2.104893093399919e-68),Less (7.92726504722027e-25),Less (1.455813792220185e-74),Less (0.0),Greater (0.9999280874962814),Less (3.568044373179617e-30),Equal (0.596363964180564),Less (2.512475121784177e-109),Less (1.0225512217151734e-10),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (4.721851199672951e-19),Less (9.63785056789707e-67),Less (0.02007254706406749),Less (3.799923882226112e-16),Equal (0.21072051098421218),Less (2.9871964821842905e-19),Less (0.0010364124378692934),Less (0.02451594210164156),Less (1.2050345755694257e-260),Greater (1.0),Greater (0.999999999740409),Greater (1.0),Less (3.829122306141339e-11),Greater (1.0),
executive-web development,,,,,,,,,,,,,,,Less (2.7850576448201808e-136),Less (4.654115320058141e-206),Less (1.1151395337767838e-54),Less (8.856645208532105e-76),Less (8.958803486741057e-08),Less (8.348594301184642e-70),Less (9.252512857543658e-25),Less (7.340208932739686e-95),Less (0.0),Greater (0.9999997290763019),Less (9.560679352733037e-37),Equal (0.9658929762572855),Less (6.88665784394314e-140),Less (5.136885784004334e-12),
