,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
full-existence,,Greater (1.0),Equal (0.10335593400647314),Greater (1.0),Less (0.0),Less (7.690567694647664e-173),Less (1.138915696903102e-187),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0025513251634569534),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.5945975678451563e-42),Greater (1.0),Less (2.175709050696248e-28),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999951776265789),Greater (1.0),
full-executive,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Equal (0.11395662150365686),Greater (1.0),Less (1.3637180826159884e-18),Greater (1.0),Less (4.047930856304798e-148),Greater (1.0),Less (7.528693239316076e-128),Less (2.2431310532850002e-27),Equal (0.20449737096653264),Greater (1.0),Less (0.0054068300632969255),Greater (1.0),Less (0.0),Less (7.426844809807288e-85),Less (6.264103731609525e-187),Less (0.0),Less (3.390069400258752e-49),Greater (1.0),Less (8.147840195962058e-20),Greater (1.0),
full-property,,,,Greater (1.0),Less (0.0),Less (1.3755482800415312e-132),Less (1.5475706115894968e-170),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999997),Greater (1.0),Less (0.00037813533016969143),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.937467123026673e-40),Greater (1.0),Less (1.2152994672476666e-29),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999946588262083),Greater (1.0),
full-nonarch,,,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (0.9999999977151222),Greater (1.0),Less (1.3402458760266402e-13),Greater (1.0),Less (5.429255894359403e-39),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999908265855125),Greater (1.0),Less (3.585171447008732e-194),Equal (0.1428254523329688),Less (1.0882243632012941e-85),Less (1.159569542342425e-121),Equal (0.11514287530642857),Greater (1.0),Less (0.02272410667777394),Greater (1.0),
content management-existence,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-executive,,,,,,,Less (8.139402121822214e-22),Less (2.7724729020260493e-52),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999872908528),Greater (1.0),Equal (0.923078393872288),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-property,,,,,,,,Greater (0.9850485387634984),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999986709266),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-nonarch,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999929852017),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
data storage & processing-existence,,,,,,,,,,Greater (1.0),Less (1.5989486922753485e-11),Greater (1.0),Less (3.106490988594131e-85),Greater (1.0),Less (1.6752870278743137e-101),Less (1.9719576921512074e-06),Equal (0.7649756144764185),Greater (1.0),Equal (0.05078963568245729),Greater (1.0),Less (8.998772544113283e-304),Less (5.277846261340531e-49),Less (2.3419816860016653e-159),Less (2.5927510595204673e-173),Less (1.530098324319416e-34),Greater (1.0),Less (7.945778105610983e-17),Greater (1.0),
data storage & processing-executive,,,,,,,,,,,Less (9.144647819585586e-43),Greater (1.0),Less (7.549715791545983e-172),Greater (1.0),Less (1.4947978949117416e-165),Less (3.502437856066164e-56),Less (6.36048106573731e-11),Greater (0.9999999999987463),Less (5.671328682616463e-09),Greater (1.0),Less (0.0),Less (2.0686594202514973e-115),Less (3.6396396188906586e-231),Less (0.0),Less (2.186292716172673e-79),Greater (0.9873023451614407),Less (9.984503794659572e-35),Equal (0.7586095227478727),
data storage & processing-property,,,,,,,,,,,,Greater (1.0),Less (2.698869550915374e-20),Greater (1.0),Less (5.038874440163602e-46),Greater (0.9999946677642566),Greater (0.9999993445976888),Greater (1.0),Equal (0.14224553471891646),Greater (1.0),Less (2.050571737813161e-135),Less (1.4648015254203382e-08),Less (2.3604672772038427e-91),Less (1.598436273622904e-31),Less (1.0751141992297208e-07),Greater (1.0),Less (5.990240024064853e-06),Greater (1.0),
data storage & processing-nonarch,,,,,,,,,,,,,Less (0.0),Less (6.203952318747012e-07),Less (0.0),Less (0.0),Less (3.640875137279832e-135),Less (2.1631573021641757e-24),Less (4.91057115296392e-58),Less (1.6182609497257585e-84),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (3.864342605065851e-69),Less (1.41545332005552e-128),Less (0.0),
devops and cloud-existence,,,,,,,,,,,,,,Greater (1.0),Less (1.0624716824371278e-15),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999375434),Greater (1.0),Less (6.179939321315678e-76),Greater (0.9999626369084369),Less (2.5410683735017086e-50),Equal (0.48974795345888034),Greater (0.9970863484611442),Greater (1.0),Equal (0.6156234121054627),Greater (1.0),
devops and cloud-executive,,,,,,,,,,,,,,,Less (0.0),Less (4.851128119551732e-289),Less (1.429372227969982e-75),Less (9.485896350515061e-09),Less (2.4012915185747243e-40),Less (2.5873319228876274e-12),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (4.430963701376453e-227),Less (2.1817181008079622e-29),Less (1.9664453464200166e-93),Less (1.811535993318726e-94),
devops and cloud-property,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.328411373173068e-08),Greater (1.0),Less (2.0342483224637176e-12),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999516381216),Greater (1.0),
devops and cloud-nonarch,,,,,,,,,,,,,,,,,Greater (0.9915972164896915),Greater (1.0),Equal (0.6287342068773214),Greater (1.0),Less (0.0),Less (3.8705354078183055e-46),Less (4.216556578580749e-152),Less (0.0),Less (1.7109322224871806e-27),Greater (1.0),Less (2.1719967063758146e-12),Greater (1.0),
soa and middlewares-existence,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.10465391669553989),Greater (1.0),Less (1.1591181967275645e-166),Less (1.6966984357227114e-24),Less (6.297643353944211e-119),Less (1.5488563932178473e-57),Less (3.581269181141952e-21),Greater (0.9999999999999691),Less (1.0201379465021912e-13),Greater (0.999999999998474),
soa and middlewares-executive,,,,,,,,,,,,,,,,,,,Less (1.3042185927650903e-20),Equal (0.1810511437005995),Less (0.0),Less (7.544246284013354e-137),Less (8.762094896057515e-272),Less (2.603243450896714e-266),Less (3.2613319878664445e-108),Less (7.763468528093054e-06),Less (2.2379057601310585e-55),Less (1.7859522011244513e-16),
soa and middlewares-property,,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (1.7501403338315055e-56),Less (3.317409797802684e-06),Less (3.3757211457849083e-56),Less (9.16380762231967e-13),Less (2.270795577578205e-06),Greater (0.9999999999815586),Less (2.9920078373855205e-06),Greater (0.9999999970922345),
soa and middlewares-nonarch,,,,,,,,,,,,,,,,,,,,,Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (7.900752544239106e-211),Less (5.6433085771693366e-14),Less (1.0075856912295993e-74),Less (3.98149129103598e-91),
software development tools-existence,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Less (0.0009155111763965915),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
software development tools-executive,,,,,,,,,,,,,,,,,,,,,,,Less (1.825422498387263e-65),Less (1.2188071858206722e-09),Equal (0.6603408006662852),Greater (1.0),Equal (0.1724790917900123),Greater (1.0),
software development tools-property,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
software development tools-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,Greater (0.9998985251655703),Greater (1.0),Equal (0.4398107803514333),Greater (1.0),
web development-existence,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.2914748934850162),Greater (1.0),
web development-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,Less (2.843525976633178e-38),Less (0.0023490384573250623),
web development-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greater (1.0),
web development-nonarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
