,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Less (9.810118198344832e-98),Less (8.312632446289446e-261),Greater (0.9999999092091476),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9997864059479763),Less (0.005598524215938939),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.762019222913223e-16),Less (7.624455768960594e-32),Less (8.63712504012886e-99),Greater (0.9992779042074363),Greater (0.999999999965016),Equal (0.2928211112293029),Greater (0.9999999998919076),Less (2.2501858466990585e-42),Less (1.6406343561616608e-14),Less (1.8844261675304293e-144),Equal (0.18432582399834918),Greater (1.0),Equal (0.8644503049991101),Greater (1.0),Less (5.1155680769338764e-123),Less (2.973392138355838e-20),Less (0.0),Less (0.00099832685023376),Greater (1.0),Equal (0.34187828779640383),Greater (1.0),Less (1.2948391741583152e-28),Less (3.559059207513058e-40),Less (6.640425261593039e-40),Equal (0.19929748684330117),Equal (0.22313675999359395),Equal (0.9602237107698511),Greater (0.9957000317243395),Less (1.3495587382607e-20),Less (2.1036599392857765e-08),Less (1.6249430824878654e-44),Equal (0.6388001166021622),Greater (0.9976731431583327),Less (0.007564347661178491),Greater (0.9967216008748148),Greater (1.0),Less (1.872293299631054e-21),Less (7.078661015737954e-215),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Less (0.007758415630015634),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.918000486958848e-08),Less (4.6375928637314675e-21),Greater (1.0),Greater (1.0),Greater (0.9998830461433715),Greater (1.0),Greater (0.9999978072388493),Equal (0.41414070326962915),Less (5.906741945895301e-23),Greater (0.9999999909281715),Greater (1.0),Greater (0.99999998729885),Greater (1.0),Equal (0.05369205182487313),Equal (0.4224932111901728),Less (1.9079842574228022e-78),Greater (0.9999999183211574),Greater (1.0),Greater (0.9999676669209056),Greater (1.0),Greater (0.9970709360820054),Less (1.5682038113675175e-12),Less (5.08323996707807e-06),Greater (0.9999999999999929),Greater (0.999999998434186),Greater (0.9999831153334067),Greater (0.9999999999591743),Equal (0.10697655860733031),Less (0.0019166117563063367),Less (3.636080829341872e-21),Greater (0.9999795502759061),Greater (0.9999997889960718),Equal (0.472133729744706),Greater (0.9999912060451637),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (8.4240452828443e-08),Less (3.5443775932355875e-22),Greater (1.0),Greater (1.0),Greater (0.9999994725189101),Greater (1.0),Greater (0.9999999999999978),Equal (0.05739926247416648),Less (1.0180084265338018e-24),Greater (0.9999999999999555),Greater (1.0),Greater (0.9999999999984923),Greater (1.0),Equal (0.8105513024531006),Equal (0.9667793785610114),Less (4.245877211118545e-99),Greater (0.9999999999998772),Greater (1.0),Greater (0.9999998679391822),Greater (1.0),Greater (0.99999990898505),Less (3.378483929568434e-13),Less (6.091323695095155e-05),Greater (1.0),Greater (0.9999999999999355),Greater (0.999999959826006),Greater (0.9999999999999969),Equal (0.42926196403044725),Less (0.0017512773151001119),Less (1.4136243016853897e-23),Greater (0.9999999537769053),Greater (0.9999999989796735),Equal (0.5841807069978724),Greater (0.9999995814137047),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (1.0),Greater (0.9999999999863901),Greater (1.0),Greater (1.0),Equal (0.7784592311299392),Less (2.077009243083693e-13),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.1542846145314983e-30),Less (5.209205615764612e-41),Less (1.3180402769694232e-125),Equal (0.2804205983443294),Greater (0.9999999585011311),Less (0.013741208591502308),Greater (0.9999999947429192),Less (1.1804218993552997e-54),Less (3.988938951525071e-23),Less (1.3794782065386488e-168),Less (0.0007364788038661848),Greater (1.0),Equal (0.24466965560154086),Greater (1.0),Less (9.119364537721482e-116),Less (2.3910330623582476e-29),Less (0.0),Less (1.046464475881962e-07),Greater (1.0),Less (0.011076822739756818),Greater (1.0),Less (1.6299628408279627e-43),Less (4.779164987762618e-52),Less (1.026509137174614e-56),Equal (0.5481206850329041),Equal (0.952160555226066),Equal (0.34561284221854394),Equal (0.08715862918788561),Less (1.3669068978501787e-29),Less (7.590977013474376e-11),Less (5.6768457396009416e-55),Equal (0.0571928766486939),Greater (0.9937308015975714),Less (0.001395506627590927),Greater (0.9947658345894265),Greater (0.999999999999997),Less (2.810999469374733e-23),Less (1.543952669803251e-114),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-soa and middlewares,,,,,,Less (3.742901192159049e-117),Less (0.003426506674253821),Less (1.8714542769612924e-254),Less (1.3180460184868635e-230),Less (0.0),Less (0.0),Less (1.0157708505790075e-30),Less (1.701072945162537e-100),Less (1.1267158344178437e-26),Less (0.0),Less (1.6678715479614539e-125),Less (0.0),Less (2.575937069430466e-186),Less (1.1477906301761034e-22),Less (2.5137008033280264e-38),Less (1.4756294562629856e-07),Less (0.0),Less (1.4889711872107444e-136),Less (0.0),Less (1.518303636376688e-74),Less (7.958976899748197e-06),Less (6.518142931301857e-41),Less (0.00012921618126022683),Less (0.0),Less (1.7124583159977618e-147),Less (0.0),Less (2.9551077036648413e-113),Less (0.0013702855044097238),Less (3.054356048106441e-39),Less (0.018261501819965963),Less (1.7004311610009527e-292),Less (9.832924860377239e-135),Less (1.0955876852872853e-195),Less (2.556557913510712e-51),Less (1.9129754334295695e-28),Less (3.59667567174776e-28),Less (5.182122961671764e-15),Less (1.3354775988073943e-136),Less (8.328152915412699e-28),Less (2.0032020512697847e-107),Less (1.0172371708984756e-32),Less (0.00019431524061824158),Less (1.1386430049271786e-10),Equal (0.0678501086796445),Less (3.576995072498904e-286),Less (0.0),Less (0.0),Less (5.0133489585060306e-260),Less (1.8379554072527858e-08),Less (6.8104976722729536e-102),Less (0.0001865732577084224),
existence-software development tools,,,,,,,Greater (1.0),Equal (0.0563540348504664),Less (3.035314795937486e-10),Less (8.583743164862845e-37),Equal (0.08579727049311782),Greater (1.0),Greater (0.9999999999999999),Greater (1.0),Less (3.635574952488623e-47),Less (4.8809536880673714e-46),Less (2.851218667963688e-122),Less (8.792162086775298e-10),Greater (0.9810928675873647),Less (2.3626657159598562e-05),Greater (0.9995405948934212),Less (4.9773280043240835e-65),Less (3.822838499544003e-30),Less (1.035490082973161e-155),Less (6.434723759869379e-09),Greater (0.9999999999986554),Less (0.0005018498055761069),Greater (0.9999999999688773),Less (1.0583586854153599e-113),Less (6.798870695136509e-37),Less (1.0335564608867553e-265),Less (8.831577868875003e-16),Greater (1.0),Less (2.6795238750770798e-05),Greater (0.9999999999999998),Less (1.1596211008526098e-56),Less (8.227000019757839e-55),Less (4.4452443551120974e-63),Less (0.0007191127662380639),Less (0.019242332630146027),Less (0.0020474633108555707),Equal (0.8994915762182162),Less (2.861374218816698e-37),Less (5.300219119260389e-12),Less (1.6724097247000344e-55),Less (0.00017413096308715374),Equal (0.2538023038722981),Less (0.0002922025627358047),Equal (0.11070120800547437),Equal (0.07912101795557377),Less (1.5645237598994873e-38),Less (8.324161382621073e-107),Greater (0.9844030853076146),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Less (8.831591543439951e-169),Less (1.0401969150846612e-170),Less (0.0),Less (1.5824000331518398e-223),Less (3.1912528375946563e-14),Less (6.358711984050437e-64),Less (5.430057000403882e-12),Less (5.4048892576551943e-278),Less (5.559281571987102e-108),Less (1.958865734331586e-280),Less (4.950360188106446e-137),Less (5.443193992891959e-16),Less (5.683566692157759e-31),Less (3.8390792941523935e-05),Less (4.1440147208781363e-296),Less (3.909852706084235e-111),Less (0.0),Less (5.7283588657481355e-59),Less (0.0022767802216909186),Less (3.532867002104066e-32),Less (0.009781196452038204),Less (0.0),Less (6.540594139649977e-122),Less (0.0),Less (2.909254720474934e-90),Equal (0.1457218125791028),Less (2.6814424220167537e-31),Equal (0.39165455015260786),Less (1.39362674889233e-232),Less (1.2203798802620244e-116),Less (8.254499052848372e-164),Less (3.6161943164378114e-39),Less (5.83334685072751e-22),Less (1.0856886021735547e-22),Less (2.5483981832671818e-11),Less (5.627939960734966e-114),Less (1.8324497384666307e-24),Less (7.211165948808176e-96),Less (8.146155563197374e-26),Less (0.001820560800953997),Less (2.408570595728835e-09),Equal (0.16985878126451426),Less (2.555823329716959e-192),Less (0.0),Less (0.0),Less (2.2171837620302306e-171),Equal (0.18234772021303847),Less (1.7444914845435312e-58),Equal (0.7003208191026498),
executive-full,,,,,,,,,Less (6.052716775227993e-44),Less (5.693322349843026e-288),Less (3.5501660715660017e-26),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.3584098098500762e-163),Less (3.364204998444701e-65),Less (4.088202889799762e-217),Less (8.068439911955812e-27),Equal (0.14529811340175547),Less (9.567420168514612e-08),Greater (0.9987113996331775),Less (1.0839592453819214e-220),Less (2.26069016442314e-52),Less (0.0),Less (8.148786361770233e-15),Greater (0.9999999999997689),Less (2.076257063171952e-06),Greater (0.9999999999891007),Less (0.0),Less (3.149523320501882e-61),Less (0.0),Less (5.330113159504333e-27),Greater (1.0),Less (4.176453438934492e-08),Greater (1.0),Less (1.8327163713906484e-128),Less (2.5432918645886626e-77),Less (1.4882086090279232e-99),Less (1.0580876701869879e-06),Less (0.000998189479450939),Less (0.00012953390978738996),Equal (0.41129460833624565),Less (2.0133979890358997e-57),Less (6.128806921818952e-15),Less (3.0546876935979388e-71),Less (1.1499151275484072e-06),Equal (0.3479770009741636),Less (4.316151964275747e-05),Equal (0.14556443412581385),Less (1.1655025743453791e-97),Less (0.0),Less (0.0),Equal (0.5756092987890721),Greater (1.0),Greater (1.0),Greater (1.0),
executive-content management,,,,,,,,,,Less (8.985317539541442e-10),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (4.570588366914953e-20),Less (4.338218493426973e-31),Less (9.595048534708056e-88),Equal (0.8132729017498916),Greater (0.9999997124363005),Equal (0.07665348286305926),Greater (0.9999999609741647),Less (3.3215322276190123e-36),Less (3.0462700704962106e-15),Less (5.433180590142646e-118),Less (0.0074763047501185545),Greater (1.0),Equal (0.5242558934697513),Greater (1.0),Less (4.0805363582109975e-85),Less (1.683069579405401e-20),Less (1.274039613925687e-237),Less (9.973511202340959e-06),Greater (1.0),Equal (0.10803796035385911),Greater (1.0),Less (3.0545465590280854e-30),Less (1.042021685364883e-37),Less (5.151174487216132e-40),Equal (0.92252362743025),Equal (0.8212045373741044),Equal (0.41065290211809047),Equal (0.07226247080457658),Less (1.4003584347897688e-21),Less (3.0667586676852905e-08),Less (2.2165087420382126e-41),Equal (0.1776834847503752),Greater (0.9861502387728412),Less (0.005619880214403728),Greater (0.9912018209126369),Greater (1.0),Less (1.0371459477179764e-13),Less (7.818490177920288e-75),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.430381926512062e-13),Less (8.349364018254185e-34),Less (5.419183878345897e-112),Greater (0.9999801759112004),Greater (0.9999999999999953),Equal (0.502499332594317),Greater (0.9999999999999348),Less (1.232456131479852e-38),Less (3.863218035958342e-15),Less (1.2707881171521556e-158),Equal (0.3579348470818918),Greater (1.0),Equal (0.522240206449925),Greater (1.0),Less (2.3873415420918905e-111),Less (5.26588737516445e-21),Less (0.0),Less (0.004230537579011014),Greater (1.0),Equal (0.5058114860974086),Greater (1.0),Less (4.6302448857873725e-28),Less (7.138771759653744e-45),Less (7.777123061080811e-45),Equal (0.08227339060071676),Equal (0.09920890015970735),Equal (0.6314471136233739),Greater (0.9991907423676553),Less (1.922812064194369e-21),Less (3.14289602413526e-09),Less (4.605624286313713e-50),Equal (0.7600202405015893),Greater (0.999599079159241),Less (0.005926146982131852),Greater (0.9992819655035222),Greater (1.0),Less (4.6007103549302126e-07),Less (1.0291050610468267e-125),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
