,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,existence-executive-full,existence-executive-content management,existence-executive-data storage & processing,existence-executive-devops and cloud,existence-executive-soa and middlewares,existence-executive-software development tools,existence-executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,existence-property-full,existence-property-content management,existence-property-data storage & processing,existence-property-devops and cloud,existence-property-soa and middlewares,existence-property-software development tools,existence-property-web development,executive-property-full,executive-property-content management,executive-property-data storage & processing,executive-property-devops and cloud,executive-property-soa and middlewares,executive-property-software development tools,executive-property-web development,existence-executive-property-full,existence-executive-property-content management,existence-executive-property-data storage & processing,existence-executive-property-devops and cloud,existence-executive-property-soa and middlewares,existence-executive-property-software development tools,existence-executive-property-web development,-full,-content management,-data storage & processing,-devops and cloud,-soa and middlewares,-software development tools,-web development,
existence-full,,Equal (0.11087841625178851),Less (1.1685630049794685e-57),Greater (0.9994201708190511),Greater (1.0),Greater (0.9999944355118946),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999584379532),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (6.775404013056214e-25),Less (8.554300734551759e-05),Less (2.3114518924940078e-94),Equal (0.9700711619494317),Greater (1.0),Equal (0.5926229902966528),Greater (0.9999999999999938),Less (9.511972587995876e-39),Equal (0.13380453942608272),Less (6.524551448672672e-67),Equal (0.44466943111811474),Greater (0.9999494128342357),Equal (0.8418643201104735),Equal (0.17885234710848497),Less (0.00022947953499958984),Less (0.0004216075767523126),Less (4.0022069395282724e-05),Equal (0.34650288310605537),Equal (0.8459152952414075),Equal (0.6528200306275835),Equal (0.0572902940724761),,,,,,,,Greater (1.0),Greater (0.9999999954525063),Equal (0.7993009017431216),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Less (2.726923233957308e-13),Greater (0.9999345690406506),Greater (1.0),Greater (0.9999978081434431),Greater (1.0),Greater (1.0),Greater (0.9999999999458835),Greater (0.999991495299639),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (8.515299785515201e-05),Equal (0.05136642798613408),Less (9.71887362062464e-28),Equal (0.2504662496971549),Greater (1.0),Equal (0.21068461790017623),Greater (0.9999999999999564),Less (6.2736804318210926e-18),Equal (0.2909218371382143),Less (2.33438558710092e-37),Equal (0.19132821620735296),Greater (0.9999783004977308),Equal (0.6214478358840665),Equal (0.11023522450180649),Less (0.005833963224462555),Less (0.0009966398747676965),Less (0.00032969029094416714),Equal (0.16361211665330933),Equal (0.9499099701281793),Equal (0.4976072990622621),Equal (0.1073899369717252),,,,,,,,Greater (1.0),Greater (0.9998873948312379),Greater (0.979066381073996),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Greater (0.9999999928932671),Greater (0.9999166210711395),Less (1.0443286659338508e-10),Greater (0.999999999999981),Greater (1.0),Greater (0.9999999688556149),Greater (1.0),Less (6.894602550572884e-06),Equal (0.30988059922784605),Less (1.883329376647156e-24),Greater (0.9999799274870467),Greater (0.9999999999258448),Equal (0.05442120521771992),Greater (0.9994137917823814),Equal (0.5036513743108415),Less (0.014650876960904181),Equal (0.09950030804573635),Greater (0.9994837826082372),Equal (0.2073204712357447),Equal (0.05526885696024469),Equal (0.5516633939818516),,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (1.0),Greater (0.9946889799437089),Greater (1.0),Greater (0.9999999999997773),Greater (0.999491865989229),Equal (0.3642729898269321),Greater (0.9999993410572355),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (2.528887643701563e-21),Less (5.106445094287119e-09),Less (5.5852036002755256e-67),Less (0.01259347419294174),Greater (1.0),Equal (0.2754349841239577),Greater (0.999999999438488),Less (2.0114251964276678e-39),Less (0.009536286440819698),Less (2.339663165432054e-67),Equal (0.8547598485337256),Greater (0.999634021206433),Equal (0.7486211977575875),Equal (0.3853710364506173),Less (3.875508491829807e-07),Less (3.746491291887155e-05),Less (5.704703388715362e-07),Equal (0.9032760675312519),Equal (0.49590615895555146),Equal (0.9307019539457625),Less (0.00317891226059081),,,,,,,,Greater (0.9999999784154031),Equal (0.2954908692938669),Less (9.384417344680742e-07),Greater (0.9999999999999994),Greater (1.0),Greater (1.0),Greater (1.0),
existence-soa and middlewares,,,,,,Less (1.1266417523312167e-15),Equal (0.48752864590456935),Less (1.130462240972327e-41),Less (1.4198145845814205e-42),Less (5.3144564930761304e-86),Less (1.828897286266773e-57),Less (3.2997753383631935e-09),Less (2.7120472273455854e-22),Less (3.4630808600618613e-06),,,,,,,,Less (3.353084426530732e-110),Less (6.244988935646551e-52),Less (1.5541424750558406e-163),Less (5.338606296028711e-40),Less (0.005842258804341118),Less (2.907043853760634e-18),Less (0.0007962830617734128),Less (2.2788953895833765e-104),Less (6.202282555682348e-11),Less (1.7582498147546913e-124),Less (1.017344132854047e-09),Equal (0.15324394538301198),Less (0.00043282033579573377),Less (0.004803052722212438),Less (5.999664973524687e-29),Less (1.10024095679095e-08),Less (3.487720704410736e-17),Less (6.585815317240138e-05),Less (0.000752346121805737),Less (0.004610320770573828),Less (5.259750303427938e-06),,,,,,,,Less (2.0214497853371245e-41),Less (1.4658125517480973e-65),Less (2.780420340404199e-108),Less (2.0484596522326558e-41),Equal (0.05363318507466958),Less (2.0979197655613103e-16),Equal (0.21513637679151598),
existence-software development tools,,,,,,,Greater (0.9999999999829903),Equal (0.27941508668017456),Equal (0.4400274140382562),Less (0.00016770242662772164),Equal (0.7751918504051244),Greater (0.9999999960346749),Greater (0.999194775362704),Greater (0.999999999990296),,,,,,,,Less (8.904087472117209e-16),Less (2.486229391054673e-09),Less (8.223061286742011e-39),Less (8.83993099340972e-05),Greater (0.9999995919603747),Less (0.01207439009985026),Greater (0.999500415042365),Less (1.7147786567156037e-28),Less (0.001560549053357474),Less (2.923578560943988e-46),Equal (0.14950998479020972),Greater (0.9835193398227366),Equal (0.34417657958627257),Equal (0.9353316076605301),Less (2.1249724209879144e-08),Less (2.8562960360703757e-05),Less (1.1880147139004641e-07),Equal (0.5037013081909159),Equal (0.235846850639161),Equal (0.5826916945817611),Less (0.0028332748785248564),,,,,,,,Equal (0.629461060774356),Less (0.001501728508603137),Less (6.326176754117563e-08),Equal (0.16070069087361527),Greater (1.0),Greater (0.999985285092726),Greater (1.0),
existence-web development,,,,,,,,Less (1.762553066637022e-24),Less (1.1353539214669812e-27),Less (5.568237317921976e-54),Less (1.2784754582860325e-33),Less (5.0458149953204005e-05),Less (1.5443003983527998e-13),Less (0.001959440285264624),,,,,,,,Less (5.25149180418864e-74),Less (1.94986972764823e-38),Less (1.6102490633869856e-115),Less (2.653094987471258e-29),Equal (0.10316840080011394),Less (4.8554157105804323e-14),Less (0.009409817494317551),Less (9.850638960182091e-79),Less (2.1869374066669623e-09),Less (9.193111852893797e-98),Less (7.100381043584368e-08),Equal (0.2930852479182582),Less (0.0014434082109137335),Less (0.012836655211638338),Less (1.6985089770827206e-23),Less (7.103326132312979e-08),Less (5.529666149341604e-15),Less (0.0005437030435368962),Less (0.0022325121845328416),Less (0.01000586611809454),Less (3.426463745805427e-05),,,,,,,,Less (2.499082777138678e-24),Less (8.256198391779053e-41),Less (3.278217731142518e-66),Less (6.2928637369742956e-24),Equal (0.5465588973732465),Less (4.262481099144164e-09),Equal (0.9479208254155584),
executive-full,,,,,,,,,Less (1.0369406127744385e-07),Less (7.877892030335791e-130),Less (1.0515119066209189e-19),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (2.97232091049017e-239),Less (3.764435764845299e-33),Less (0.0),Less (1.4951763908572113e-14),Greater (0.9999999999787805),Less (1.152792607568676e-05),Greater (0.9998447620183176),Less (1.312166118874744e-116),Less (4.3197885643762605e-05),Less (7.308643783933377e-148),Less (0.012405721757242432),Equal (0.05207743447295676),Equal (0.17291867710998943),Equal (0.7914337739919207),Less (2.5644277205550892e-15),Less (1.4276015451194063e-06),Less (9.668656067296538e-11),Equal (0.19033554485642756),Equal (0.11805537860268084),Equal (0.42155567501575186),Less (0.00020764183262843102),,,,,,,,Less (8.310648703221782e-19),Less (0.0),Less (0.0),Greater (0.9991035107115587),Greater (1.0),Greater (1.0),Greater (1.0),
executive-content management,,,,,,,,,,Less (1.928781885104632e-14),Equal (0.441347171748367),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (8.064620796989853e-64),Less (3.693485727161116e-15),Less (3.9430784036704285e-140),Less (2.381119214507431e-06),Greater (0.9999999999999752),Less (0.012649409715969362),Greater (0.999999470207952),Less (1.94524767893541e-63),Less (0.002099600540794432),Less (1.9058439272365198e-91),Equal (0.21052718602598952),Greater (0.9954806370048391),Equal (0.4356056079595416),Equal (0.7473181317716092),Less (1.313177700200525e-09),Less (3.44362475831726e-05),Less (7.09465321534389e-08),Equal (0.5799134591287707),Equal (0.2899073988959542),Equal (0.695909850331242),Less (0.003010279929490215),,,,,,,,Greater (0.9998368271061725),Less (1.9082859529467304e-11),Less (1.3293468637855305e-43),Greater (0.9999999997660879),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),,,,,,,,Less (2.8950080036563927e-65),Less (4.257114982819182e-11),Less (2.6733482825472806e-171),Less (0.019361349664342206),Greater (1.0),Equal (0.4471035303825175),Greater (0.9999999999999699),Less (7.097257134853474e-64),Less (0.012601325420252878),Less (2.5472523275248287e-100),Equal (0.9515121955145014),Greater (0.9999320579195996),Equal (0.848684320590714),Equal (0.29182020564492206),Less (2.141711928392208e-07),Less (3.1920689340030214e-05),Less (4.3451578309058684e-07),Equal (0.75496147388873),Equal (0.5481011550562198),Equal (0.8416571741503784),Less (0.0034103076730966427),,,,,,,,Greater (1.0),Equal (0.6936061802363525),Less (7.349629765094224e-34),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
