,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),,Less (6.775404013056214e-25),Less (9.511972587995876e-39),Less (0.00022947953499958984),,Greater (1.0),Equal (0.11087841625178851),Greater (1.0),,Less (8.554300734551759e-05),Equal (0.13380453942608272),Less (0.0004216075767523126),,Greater (0.9999999954525063),Less (1.1685630049794685e-57),Greater (0.9999999584379532),,Less (2.3114518924940078e-94),Less (6.524551448672672e-67),Less (4.0022069395282724e-05),,Equal (0.7993009017431216),Greater (0.9994201708190511),Greater (1.0),,Equal (0.9700711619494317),Equal (0.44466943111811474),Equal (0.34650288310605537),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999494128342357),Equal (0.8459152952414075),,Greater (1.0),Greater (0.9999944355118946),Greater (1.0),,Equal (0.5926229902966528),Equal (0.8418643201104735),Equal (0.6528200306275835),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999999938),Equal (0.17885234710848497),Equal (0.0572902940724761),,Greater (1.0),
full-executive,,,,Less (2.97232091049017e-239),Less (1.312166118874744e-116),Less (2.5644277205550892e-15),,Less (8.310648703221782e-19),Less (1.6700215755282317e-28),Less (1.0369406127744385e-07),,Less (3.764435764845299e-33),Less (4.3197885643762605e-05),Less (1.4276015451194063e-06),,Less (0.0),Less (0.0),Less (7.877892030335791e-130),,Less (0.0),Less (7.308643783933377e-148),Less (9.668656067296538e-11),,Less (0.0),Less (2.226995275287343e-13),Less (1.0515119066209189e-19),,Less (1.4951763908572113e-14),Less (0.012405721757242432),Equal (0.19033554485642756),,Greater (0.9991035107115587),Greater (1.0),Greater (1.0),,Greater (0.9999999999787805),Equal (0.05207743447295676),Equal (0.11805537860268084),,Greater (1.0),Equal (0.27941508668017456),Greater (1.0),,Less (1.152792607568676e-05),Equal (0.17291867710998943),Equal (0.42155567501575186),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9998447620183176),Equal (0.7914337739919207),Less (0.00020764183262843102),,Greater (1.0),
full-existence-executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-property,,,,,Less (1.6736886240087323e-14),Equal (0.33434759282933213),,Greater (1.0),Greater (0.9999148536685276),Greater (1.0),,Equal (0.3835947951911496),Equal (0.9896036662800213),Less (0.004619961732864969),,Greater (1.0),Less (7.107082212891627e-09),Greater (1.0),,Less (1.9108990539736416e-30),Less (3.132148226267789e-37),Less (0.0055545040728098025),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999964708531373),Greater (0.9964801337236011),Greater (0.990226313032177),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999999280098907),Equal (0.5070769934975186),,Greater (1.0),Greater (0.9999999999999991),Greater (1.0),,Greater (0.9997054354223396),Equal (0.23021977312080322),Equal (0.2010638092007816),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9922613407454053),Equal (0.30140215368534806),,Greater (1.0),
full-existence-property,,,,,,Greater (0.9917730267071451),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.999999999033241),Greater (0.9815996856419622),Equal (0.17496744048841872),,Greater (1.0),Greater (0.9999931062081328),Greater (1.0),,Equal (0.8187912281421504),Less (4.5628255506216656e-07),Equal (0.6807475338995361),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999996781634558),Greater (0.9999593080678958),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999999999959585),Equal (0.0703431459539856),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.999999999989258),Greater (0.994427747794877),Greater (0.9907166602423434),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.999934005838945),Equal (0.8629909581201235),,Greater (1.0),
full-executive-property,,,,,,,,Greater (0.9999999999984105),Greater (0.9941699903686445),Greater (0.9999999986873316),,Equal (0.2080003525105748),Equal (0.5749716408827164),Less (0.012470834346994341),,Greater (0.9999914032730789),Equal (0.5036513743108415),Greater (0.9999997858526368),,Less (0.003826243352464326),Less (2.8699415462104827e-08),Equal (0.08732266356324275),,Greater (0.9999454247389787),Greater (0.9999996128547782),Greater (0.9999999999999647),,Greater (0.9995437585753011),Greater (0.9986425115871868),Greater (0.9952087677671928),,Greater (0.9999999999999999),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999998611243606),Equal (0.31520341903361426),,Greater (1.0),Greater (0.9999999788081874),Greater (1.0),,Greater (0.9988622136179631),Equal (0.11872945851805197),Equal (0.09453863259509608),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999999302),Greater (0.9967410624898297),Equal (0.39111978000350733),,Greater (1.0),
full-existence-executive-property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full-,,,,,,,,,Less (8.734370210674452e-22),Less (0.00016317292072531657),,Less (2.504733708984448e-26),Less (0.00019114710788323164),Less (5.020738455206498e-06),,Less (0.0),Less (3.359604660571871e-274),Less (2.2547344309457936e-97),,Less (4.75666044224684e-303),Less (2.253937770604086e-130),Less (1.8669964868500637e-09),,Less (0.0),Less (2.158460653390982e-08),Less (0.008657120741760926),,Less (1.9712439817584265e-10),Equal (0.083211883498372),Equal (0.41825598922012075),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999966546),Greater (0.9795580170768352),Equal (0.18376262152979483),,Greater (1.0),Equal (0.629461060774356),Greater (1.0),,Less (0.0002936440680455937),Equal (0.262647104812607),Equal (0.5229741594006447),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999491228794305),Equal (0.9190270209756708),Less (0.0009790776012861453),,Greater (1.0),
content management-existence,,,,,,,,,,Greater (0.9999999999458835),,Equal (0.05136642798613408),Equal (0.2909218371382143),Less (0.0009966398747676965),,Greater (0.9998873948312379),Less (2.726923233957308e-13),Greater (0.999991495299639),,Less (9.71887362062464e-28),Less (2.33438558710092e-37),Less (0.00032969029094416714),,Greater (0.979066381073996),Greater (0.9999345690406506),Greater (1.0),,Equal (0.2504662496971549),Equal (0.19132821620735296),Equal (0.16361211665330933),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (1.0),Greater (0.9999783004977308),Equal (0.9499099701281793),,Greater (1.0),Greater (0.9999978081434431),Greater (1.0),,Equal (0.21068461790017623),Equal (0.6214478358840665),Equal (0.4976072990622621),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.9999999999999564),Equal (0.11023522450180649),Equal (0.1073899369717252),,Greater (1.0),
content management-executive,,,,,,,,,,,,Less (3.693485727161116e-15),Less (0.002099600540794432),Less (3.44362475831726e-05),,Less (1.9082859529467304e-11),Less (1.8823490330129928e-107),Less (1.928781885104632e-14),,Less (3.9430784036704285e-140),Less (1.9058439272365198e-91),Less (7.09465321534389e-08),,Less (1.3293468637855305e-43),Less (0.0005081728677122103),Equal (0.441347171748367),,Less (2.381119214507431e-06),Equal (0.21052718602598952),Equal (0.5799134591287707),,Greater (0.9999999997660879),Greater (1.0),Greater (1.0),,Greater (0.9999999999999752),Greater (0.9954806370048391),Equal (0.2899073988959542),,Greater (1.0),Equal (0.4400274140382562),Greater (1.0),,Less (0.012649409715969362),Equal (0.4356056079595416),Equal (0.695909850331242),,Greater (1.0),Greater (1.0),Greater (1.0),,Greater (0.999999470207952),Equal (0.7473181317716092),Less (0.003010279929490215),,Greater (1.0),
