,full-existence,full-executive,full-existence-executive,full-property,full-existence-property,full-executive-property,full-existence-executive-property,full-,content management-existence,content management-executive,content management-existence-executive,content management-property,content management-existence-property,content management-executive-property,content management-existence-executive-property,content management-,data storage & processing-existence,data storage & processing-executive,data storage & processing-existence-executive,data storage & processing-property,data storage & processing-existence-property,data storage & processing-executive-property,data storage & processing-existence-executive-property,data storage & processing-,devops and cloud-existence,devops and cloud-executive,devops and cloud-existence-executive,devops and cloud-property,devops and cloud-existence-property,devops and cloud-executive-property,devops and cloud-existence-executive-property,devops and cloud-,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-existence-executive,soa and middlewares-property,soa and middlewares-existence-property,soa and middlewares-executive-property,soa and middlewares-existence-executive-property,soa and middlewares-,software development tools-existence,software development tools-executive,software development tools-existence-executive,software development tools-property,software development tools-existence-property,software development tools-executive-property,software development tools-existence-executive-property,software development tools-,web development-existence,web development-executive,web development-existence-executive,web development-property,web development-existence-property,web development-executive-property,web development-existence-executive-property,web development-,
full-existence,,Greater (1.0),Less (3.762019222913223e-16),Less (2.2501858466990585e-42),Less (5.115568076933876e-123),Less (1.2948391741583152e-28),Less (1.3495587382606999e-20),Greater (1.0),Less (9.810118198344834e-98),Greater (0.9997864059479763),Less (7.624455768960594e-32),Less (1.6406343561616605e-14),Less (2.9733921383558375e-20),Less (3.559059207513058e-40),Less (2.1036599392857762e-08),Less (1.872293299631054e-21),Less (8.312632446289446e-261),Less (0.005598524215938939),Less (8.63712504012886e-99),Less (1.8844261675304293e-144),Less (0.0),Less (6.6404252615930385e-40),Less (1.6249430824878654e-44),Less (7.078661015737954e-215),Greater (0.9999999092091476),Greater (1.0),Greater (0.9992779042074363),Equal (0.18432582399834918),Less (0.00099832685023376),Equal (0.19929748684330117),Equal (0.6388001166021622),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999965016),Greater (1.0),Greater (1.0),Equal (0.22313675999359395),Greater (0.9976731431583327),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.2928211112293029),Equal (0.8644503049991101),Equal (0.34187828779640383),Equal (0.9602237107698511),Less (0.007564347661178491),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999998919076),Greater (1.0),Greater (1.0),Greater (0.9957000317243395),Greater (0.9967216008748148),Greater (1.0),
full-executive,,,Less (1.3584098098500759e-163),Less (1.0839592453819214e-220),Less (0.0),Less (1.8327163713906484e-128),Less (2.0133979890358997e-57),Less (1.1655025743453791e-97),Less (0.0),Less (6.052716775227993e-44),Less (3.364204998444701e-65),Less (2.26069016442314e-52),Less (3.149523320501882e-61),Less (2.5432918645886626e-77),Less (6.128806921818952e-15),Less (0.0),Less (0.0),Less (5.693322349843027e-288),Less (4.088202889799762e-217),Less (0.0),Less (0.0),Less (1.4882086090279232e-99),Less (3.0546876935979388e-71),Less (0.0),Less (7.222968014179149e-50),Less (3.5501660715660017e-26),Less (8.068439911955812e-27),Less (8.148786361770233e-15),Less (5.330113159504333e-27),Less (1.0580876701869879e-06),Less (1.1499151275484072e-06),Equal (0.5756092987890721),Greater (1.0),Greater (1.0),Equal (0.14529811340175547),Greater (0.9999999999997689),Greater (1.0),Less (0.000998189479450939),Equal (0.3479770009741636),Greater (1.0),Equal (0.0563540348504664),Greater (1.0),Less (9.567420168514612e-08),Less (2.076257063171952e-06),Less (4.176453438934491e-08),Less (0.00012953390978738996),Less (4.316151964275747e-05),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9987113996331775),Greater (0.9999999999891007),Greater (1.0),Equal (0.41129460833624565),Equal (0.14556443412581385),Greater (1.0),
full-existence-executive,,,,Less (2.9580933921150363e-07),Less (3.4892675376463997e-31),Less (4.2485696146944196e-07),Less (3.335331659686687e-10),Greater (1.0),Less (7.109901715782282e-23),Greater (1.0),Less (4.213349067510812e-21),Less (5.062633810962371e-06),Less (2.4549699421854993e-09),Less (6.093795051478036e-29),Less (1.318688064802975e-06),Greater (0.9998390227777421),Less (1.3670842750646552e-51),Greater (0.9999999999996569),Less (2.2935884808784796e-61),Less (4.3540038367798015e-76),Less (1.1805364970175552e-168),Less (1.6286069792003556e-23),Less (1.6128048186754374e-36),Less (3.88834594159641e-06),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.10547399914543276),Equal (0.6190595230920224),Greater (0.9999728313596791),Equal (0.1535304992853579),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9994405669961166),Greater (0.9999726571550597),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.3265017742562045),Greater (0.9923132157356596),Equal (0.30578758273399775),Equal (0.055854877323400415),Equal (0.0689842456687227),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999999),Greater (1.0),Greater (1.0),Greater (0.9999933253960248),Greater (0.999777488902732),Greater (1.0),
full-property,,,,,Less (1.9830706848792423e-11),Equal (0.3962254274801723),Less (6.963770676081175e-05),Greater (1.0),Less (2.1927907294379475e-06),Greater (1.0),Less (1.4012478940880075e-13),Equal (0.12005436902300316),Less (0.0006574508736538654),Less (3.752874012072495e-19),Less (8.900908672410124e-05),Greater (1.0),Less (2.2627207697494886e-15),Greater (1.0),Less (6.99656078660481e-35),Less (6.32457941023992e-41),Less (3.398920004924333e-112),Less (6.922592465769089e-12),Less (6.003921775939617e-28),Greater (0.9999903804154479),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9998648420071675),Greater (0.9977855374487996),Greater (0.99999999866327),Greater (0.9981045962393078),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999983788564766),Greater (0.999995714242464),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.989276372422486),Greater (0.9999636002603477),Greater (0.9947671402066065),Greater (0.9981557194911516),Equal (0.20975334687574454),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999710360377),Greater (0.9999371074108702),Greater (1.0),
full-existence-property,,,,,,Greater (0.9999843900848205),Equal (0.3856988244690366),Greater (1.0),Equal (0.05369205182487313),Greater (1.0),Less (6.507748078476699e-07),Equal (0.05869825599510207),Equal (0.8611349380282693),Less (1.9385064167324148e-10),Less (0.005254087293809218),Greater (1.0),Equal (0.8105513024531006),Greater (1.0),Less (8.791523093703737e-16),Less (3.755467776718466e-16),Less (1.791695476025481e-65),Less (0.0002961156443608859),Less (1.694876915795065e-19),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999131793),Greater (0.9999999994522303),Greater (1.0),Greater (0.9999972342674183),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999410547),Greater (0.9999999361140098),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999885044468559),Greater (0.9999999997691456),Greater (0.999997836717821),Greater (0.9999975146918721),Equal (0.590074112407265),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999998411),Greater (0.9999966766036683),Greater (1.0),
full-executive-property,,,,,,,Less (0.000986175259832252),Greater (1.0),Less (0.0029291070933581457),Greater (1.0),Less (1.4705978912825163e-11),Equal (0.3107353377469727),Less (0.007074939178338268),Less (4.215375028177562e-17),Less (0.00015087395577087365),Greater (0.9999999999999963),Less (9.101622081344621e-08),Greater (1.0),Less (1.185608128564238e-28),Less (7.963361801453995e-30),Less (7.82222250270256e-75),Less (3.663149085271684e-10),Less (1.9508325976358368e-26),Greater (0.9997516224651928),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999823848441907),Greater (0.9997227802828015),Greater (0.9999999998343414),Greater (0.999272392230215),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999771100604),Greater (0.9999994757559322),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9975427747860127),Greater (0.9999955285328422),Greater (0.9984332963577627),Greater (0.9997470924707962),Equal (0.25919376784910975),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999972557381),Greater (0.9999844585596933),Greater (1.0),
full-existence-executive-property,,,,,,,,Greater (1.0),Equal (0.10697655860733031),Greater (1.0),Less (0.0004476425922628684),Equal (0.061493000090800894),Equal (0.4436591804541391),Less (2.1629519380091037e-06),Less (0.01487882882872346),Greater (0.9999999999999013),Equal (0.42926196403044725),Greater (1.0),Less (1.1520645869922942e-06),Less (3.627957624563335e-05),Less (6.731244447147104e-16),Less (0.020058767466034386),Less (4.0336313926126536e-14),Greater (0.9999999886705736),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999896632774),Greater (0.9999998799201226),Greater (0.9999999999998476),Greater (0.9999967889698241),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999996466938),Greater (0.999999980213079),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999880145298136),Greater (0.9999999942742883),Greater (0.9999946828959687),Greater (0.9999983772073381),Equal (0.7417947396880535),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999991811),Greater (0.9999985084630844),Greater (1.0),
full-,,,,,,,,,Less (1.9908866131280928e-270),Less (1.207181048774484e-19),Less (1.7793902964080798e-51),Less (4.901673885814238e-36),Less (2.4342956417859547e-44),Less (1.0198001908012204e-61),Less (2.800202605670168e-12),Less (0.0),Less (0.0),Less (1.2457898314764264e-150),Less (1.3458851136898074e-165),Less (5.361857585020869e-259),Less (0.0),Less (8.509874632213409e-72),Less (1.4025436416672584e-59),Less (0.0),Less (3.0084545756711153e-15),Greater (0.9999992850063188),Less (4.472985174705563e-07),Less (3.9415516115394546e-08),Less (9.879979436659789e-16),Less (0.009275060511903072),Less (0.0014891259803560474),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9980484449084097),Greater (0.9999999999999999),Greater (1.0),Equal (0.13561891942496707),Equal (0.132374846496057),Greater (1.0),Equal (0.07912101795557376),Greater (1.0),Less (6.693709276276765e-05),Less (0.0011375658565313874),Less (6.251025120384197e-05),Less (0.006430071540287213),Less (0.0003986824566680968),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999263453086499),Greater (0.9999999999999528),Greater (1.0),Equal (0.7483273904063494),Equal (0.08784513605077715),Greater (1.0),
content management-existence,,,,,,,,,,Greater (1.0),Less (1.918000486958848e-08),Equal (0.41414070326962915),Equal (0.4224932111901728),Less (1.5682038113675175e-12),Less (0.0019166117563063367),Greater (1.0),Less (0.007758415630015632),Greater (1.0),Less (4.6375928637314675e-21),Less (5.906741945895301e-23),Less (1.9079842574228022e-78),Less (5.08323996707807e-06),Less (3.636080829341872e-21),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999909281715),Greater (0.9999999183211574),Greater (0.9999999999999929),Greater (0.9999795502759061),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999998434186),Greater (0.9999997889960718),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9998830461433715),Greater (0.99999998729885),Greater (0.9999676669209056),Greater (0.9999831153334067),Equal (0.472133729744706),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999591743),Greater (0.9999912060451637),Greater (1.0),
content management-executive,,,,,,,,,,,Less (4.338218493426973e-31),Less (3.0462700704962098e-15),Less (1.683069579405401e-20),Less (1.0420216853648827e-37),Less (3.0667586676852905e-08),Less (1.0371459477179764e-13),Less (2.117153542933491e-146),Less (8.985317539541442e-10),Less (9.595048534708056e-88),Less (5.433180590142646e-118),Less (1.274039613925687e-237),Less (5.151174487216132e-40),Less (2.2165087420382126e-41),Less (7.818490177920288e-75),Equal (0.7784592311299392),Greater (1.0),Equal (0.8132729017498916),Less (0.0074763047501185545),Less (9.973511202340957e-06),Equal (0.92252362743025),Equal (0.1776834847503752),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999997124363005),Greater (1.0),Greater (1.0),Equal (0.8212045373741044),Greater (0.9861502387728412),Greater (1.0),Greater (0.9999999996964751),Greater (1.0),Equal (0.07665348286305926),Equal (0.5242558934697513),Equal (0.10803796035385911),Equal (0.41065290211809047),Less (0.005619880214403728),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999609741647),Greater (1.0),Greater (1.0),Equal (0.07226247080457658),Greater (0.9912018209126369),Greater (1.0),
