,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Less (3.2321316460514132e-93),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9764231779106067),Less (0.005611553525625546),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (2.0190085217684103e-107),Less (2.1488350034655004e-46),Less (0.0),Equal (0.5080476013583538),Greater (1.0),Equal (0.3477411169326473),Greater (1.0),Greater (1.0),Equal (0.9456775824659582),Less (4.198588112770321e-109),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Less (3.0172727511587173e-15),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9994635495473194),Less (0.01313080382073319),Less (4.838144177058224e-73),Greater (1.0),Greater (1.0),Greater (0.9999999999999997),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.980145936909709),Less (3.1531642864252233e-53),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (1.0),Greater (0.9999999996067601),Greater (1.0),Greater (1.0),Less (1.2354802527384321e-06),Less (5.930446615770006e-35),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.0703344082398547e-149),Less (7.30066682766213e-83),Less (0.0),Less (1.5763808163364274e-06),Greater (1.0),Less (0.0074460552449976646),Greater (1.0),Greater (1.0),Less (4.5950543082279555e-27),Less (5.045778507858244e-153),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-soa and middlewares,,,,,,Less (5.673306341971063e-132),Equal (0.2962176195162608),Less (1.7619948369729956e-284),Less (1.022435121700506e-291),Less (0.0),Less (0.0),Less (5.608522778877582e-24),Less (1.6908740378424678e-95),Less (2.6783829884171425e-17),Less (0.0),Less (0.0),Less (0.0),Less (1.4165715115810247e-182),Less (4.0819559655380395e-12),Less (1.2948119521231775e-84),Less (7.415786227331086e-07),Less (2.9674254675480992e-292),Less (0.0),Less (0.0),Less (5.178943088561098e-253),Equal (0.11056895627357662),Less (3.629271298643249e-86),Equal (0.6295663858948717),
existence-software development tools,,,,,,,Greater (1.0),Greater (0.9960705194014844),Less (8.680796509950049e-18),Less (4.476900290973232e-47),Equal (0.7093456815775345),Greater (1.0),Greater (1.0),Greater (1.0),Less (5.0845989661395924e-110),Less (3.79001756499929e-77),Less (3.48245930385905e-309),Less (7.853440251144831e-15),Greater (1.0),Less (8.292019562750414e-07),Greater (1.0),Equal (0.41366884981707885),Less (1.6388180152072845e-31),Less (8.634765392691868e-98),Greater (0.9999999406977611),Greater (1.0),Greater (1.0),Greater (1.0),
existence-web development,,,,,,,,Less (5.4837683058819026e-207),Less (8.431463222078636e-233),Less (0.0),Less (9.510644248713923e-249),Less (4.1349588577563527e-16),Less (4.1614270240502005e-72),Less (3.479686951818806e-11),Less (0.0),Less (5.804160689229823e-265),Less (0.0),Less (1.3913234737135662e-150),Less (6.0654096428781105e-09),Less (7.040991636388668e-72),Less (4.607730255270409e-05),Less (9.924067657116229e-209),Less (0.0),Less (0.0),Less (6.035423110165282e-182),Equal (0.9267272448940145),Less (5.4659088084381244e-58),Equal (0.05474454822382302),
executive-full,,,,,,,,,Less (3.8226113721157955e-78),Less (0.0),Less (4.837880868035633e-12),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0),Less (3.360733663797391e-163),Less (0.0),Less (3.504163131766019e-36),Greater (1.0),Less (2.1758075461447864e-13),Greater (1.0),Less (2.903208331802924e-29),Less (0.0),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-content management,,,,,,,,,,Less (8.745659461182434e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (4.408372807769392e-54),Less (3.3713021549352394e-37),Less (3.202633002190787e-244),Equal (0.43046320275260286),Greater (1.0),Equal (0.8657519591911955),Greater (1.0),Greater (1.0),Equal (0.1589056181240408),Less (2.3642535650799387e-32),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.4626705920693497e-80),Less (2.1700642201125277e-46),Less (0.0),Equal (0.10730885782890896),Greater (1.0),Equal (0.08255207476159127),Greater (1.0),Greater (1.0),Greater (0.9967584531789508),Less (4.499199591430361e-52),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
