,existence-full,existence-content management,existence-data storage & processing,existence-devops and cloud,existence-soa and middlewares,existence-software development tools,existence-web development,executive-full,executive-content management,executive-data storage & processing,executive-devops and cloud,executive-soa and middlewares,executive-software development tools,executive-web development,property-full,property-content management,property-data storage & processing,property-devops and cloud,property-soa and middlewares,property-software development tools,property-web development,nonarch-full,nonarch-content management,nonarch-data storage & processing,nonarch-devops and cloud,nonarch-soa and middlewares,nonarch-software development tools,nonarch-web development,
existence-full,,Equal (0.6645252623449738),Less (3.3606069259676246e-69),Greater (0.9999997415941089),Greater (1.0),Greater (0.9999999325424337),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (1.970820041147604e-27),Less (0.000724096004793044),Less (9.78805216844287e-114),Equal (0.08103327115746024),Greater (1.0),Equal (0.13934695562850138),Greater (0.9999999999999997),Greater (1.0),Greater (1.0),Greater (0.9999992186787108),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-content management,,,Less (1.421433375394556e-19),Greater (0.9999813906522025),Greater (1.0),Greater (0.9999986050366261),Greater (1.0),Greater (1.0),Greater (0.9999999999908332),Greater (0.9999979301308213),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.510044061722223e-07),Less (0.011982460416647458),Less (2.0919799613252972e-36),Equal (0.0671413360459145),Greater (1.0),Equal (0.1211123571614827),Greater (0.999999999999714),Greater (1.0),Greater (0.9999777891908772),Greater (0.9919444324615474),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-data storage & processing,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999983491),Greater (0.9999997916298735),Less (4.7786132005167075e-11),Greater (1.0),Greater (1.0),Greater (0.999999999998298),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-devops and cloud,,,,,Greater (1.0),Greater (0.9925576594563092),Greater (1.0),Greater (0.999999999999965),Greater (0.9994791833883907),Equal (0.3204700915048837),Greater (0.9999997718012471),Greater (1.0),Greater (1.0),Greater (1.0),Less (8.751521433526786e-30),Less (8.571650781846917e-11),Less (1.0416241452108873e-86),Less (0.023852176045442562),Greater (1.0),Equal (0.29751118784946307),Greater (0.9999999788577448),Greater (0.9999999952555534),Equal (0.3023518203917379),Less (4.899444745128019e-07),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
existence-soa and middlewares,,,,,,Less (1.9881358116981593e-16),Equal (0.37774481800307136),Less (4.570716115198583e-42),Less (1.7964230810418214e-43),Less (2.0345131906003276e-88),Less (1.2246981109466107e-57),Less (1.0205050192451883e-08),Less (6.620395053977051e-22),Less (8.698825363321085e-06),Less (1.7520136461381505e-127),Less (1.206867462978732e-57),Less (2.6482034526749986e-190),Less (3.841895130473653e-43),Less (0.0019808982743313034),Less (4.261058515229747e-20),Less (2.2231203411088166e-05),Less (9.165972900090725e-42),Less (2.2596570290440853e-67),Less (1.297922388035932e-111),Less (2.0969039729373674e-41),Equal (0.11390319866569103),Less (6.012196831845352e-16),Equal (0.37577437395639535),
existence-software development tools,,,,,,,Greater (0.9999999999857417),Equal (0.17658160462734285),Equal (0.5176224469576225),Less (0.0002573264478580189),Equal (0.9947690345440218),Greater (0.9999999996331204),Greater (0.9997559671791068),Greater (0.9999999999994581),Less (3.1381413470540406e-19),Less (2.6875280079293776e-10),Less (5.233208345495043e-46),Less (0.00022474863795611682),Greater (0.9999996926310277),Less (0.013202292419379067),Greater (0.9974755935121651),Equal (0.45130260632587804),Less (0.00231340223848192),Less (1.1253680476326414e-07),Equal (0.08283342529378274),Greater (1.0),Greater (0.9999974376177936),Greater (1.0),
existence-web development,,,,,,,,Less (2.9050774107755665e-23),Less (6.166635958396226e-27),Less (4.015833683969457e-53),Less (4.5382992681480495e-32),Less (0.0002543238601349043),Less (2.1183060642739072e-12),Less (0.0071446959490233395),Less (5.774650798607081e-83),Less (1.4440472592600113e-41),Less (1.3418698518350047e-130),Less (3.3163726324531145e-30),Equal (0.07715447356619379),Less (6.108168304657058e-15),Less (0.001259314448037129),Less (4.185056823599854e-23),Less (5.182507161809384e-40),Less (2.1793732749096995e-65),Less (1.8151624013403718e-22),Equal (0.9473358845035917),Less (4.132971117848964e-08),Equal (0.63820686085406),
executive-full,,,,,,,,,Less (3.660820077001768e-08),Less (3.812015420537103e-131),Less (5.941266549454419e-19),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.0),Less (2.039421165865698e-39),Less (0.0),Less (1.3577613852425723e-15),Greater (0.999999999962234),Less (3.922919648113784e-06),Greater (0.996288688332265),Less (3.0324298879373856e-17),Less (0.0),Less (0.0),Greater (0.9998008459265051),Greater (1.0),Greater (1.0),Greater (1.0),
executive-content management,,,,,,,,,,Less (4.680545487977661e-14),Equal (0.29273015044051376),Greater (1.0),Greater (1.0),Greater (1.0),Less (7.146469694944813e-84),Less (9.032763539762326e-18),Less (6.92767960303989e-180),Less (3.533200559000803e-06),Greater (0.9999999999999896),Less (0.011007535462668961),Greater (0.9999880033193342),Greater (0.9999514020812901),Less (1.1050051021900425e-10),Less (8.585422260272434e-42),Greater (0.9999999999717026),Greater (1.0),Greater (1.0),Greater (1.0),
executive-data storage & processing,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (3.454825329716863e-98),Less (1.6827803979838156e-13),Less (3.801889451994717e-239),Equal (0.09280177741823713),Greater (1.0),Equal (0.5121047660946604),Greater (0.9999999999969543),Greater (1.0),Equal (0.9278671150208315),Less (4.2236827695061034e-32),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-devops and cloud,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Less (1.5842668599955976e-251),Less (3.2425697084315954e-37),Less (0.0),Less (5.0913511397029116e-11),Greater (1.0),Less (4.495921545958718e-05),Greater (0.9999082102312211),Greater (0.992203250782758),Less (1.0152543060512146e-94),Less (0.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
executive-soa and middlewares,,,,,,,,,,,,,Less (1.1146468962560919e-11),Greater (0.9993249710038883),Less (0.0),Less (2.439878322007489e-68),Less (0.0),Less (2.349977211675502e-41),Equal (0.47485786140813635),Less (5.154665982260874e-16),Equal (0.09322702467327648),Less (1.0351826106415333e-98),Less (7.069469663943251e-226),Less (0.0),Less (1.9297742987706766e-77),Greater (1.0),Less (3.0432425185861735e-10),Greater (1.0),
executive-software development tools,,,,,,,,,,,,,,Greater (1.0),Less (5.216050181871549e-218),Less (1.1606789545148686e-46),Less (0.0),Less (1.015391836216432e-25),Greater (0.9998981511621663),Less (1.0119811920020335e-09),Equal (0.4125484423851504),Less (2.2641790859597203e-25),Less (2.0519387357278122e-96),Less (6.541357102907539e-226),Less (1.106919956496223e-16),Greater (1.0),Greater (0.9992924035635844),Greater (1.0),
executive-web development,,,,,,,,,,,,,,,Less (0.0),Less (7.388287212573914e-74),Less (0.0),Less (2.2887927884711054e-48),Equal (0.7072078567959708),Less (8.238876556764562e-18),Less (0.009653491415014419),Less (2.322806110790856e-167),Less (0.0),Less (0.0),Less (4.796621922412237e-149),Greater (0.999999999999998),Less (4.028793191996036e-28),Greater (1.0),
property-full,,,,,,,,,,,,,,,,Equal (0.11629375038808384),Less (1.1131394769327273e-38),Greater (0.9999999999828693),Greater (1.0),Greater (0.9999973071635364),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-content management,,,,,,,,,,,,,,,,,Less (1.2259759108430828e-17),Greater (0.9999691391100657),Greater (1.0),Greater (0.9990734914743736),Greater (1.0),Greater (1.0),Greater (0.9999999999062342),Greater (0.999999992772236),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-data storage & processing,,,,,,,,,,,,,,,,,,Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
property-devops and cloud,,,,,,,,,,,,,,,,,,,Greater (1.0),Equal (0.8036840763278714),Greater (0.9999999996190408),Greater (0.999999999947552),Equal (0.18733200385956406),Equal (0.3006030971900173),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
