,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
full-existence,,Greater (1.0),Less (2.0190085217684103e-107),Greater (1.0),Less (3.2321316460514132e-93),Greater (0.9764231779106067),Less (2.1488350034655004e-46),Equal (0.9456775824659582),Less (0.0),Less (0.005611553525625546),Less (0.0),Less (4.198588112770321e-109),Greater (1.0),Greater (1.0),Equal (0.5080476013583538),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.3477411169326473),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
full-executive,,,Less (0.0),Less (2.903208331802924e-29),Less (0.0),Less (3.8226113721157955e-78),Less (3.360733663797391e-163),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (0.0),Less (7.808071127111848e-61),Less (4.837880868035633e-12),Less (3.504163131766019e-36),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Less (0.003929484178896758),Greater (1.0),Less (2.1758075461447864e-13),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
full-property,,,,Greater (1.0),Less (0.0005364524959783933),Greater (1.0),Less (4.348860700586823e-06),Greater (1.0),Less (5.844741626129196e-45),Greater (1.0),Less (1.329713795249049e-127),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999993818),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
full-nonarch,,,,,Less (0.0),Less (8.086806896325986e-62),Less (6.010993873064288e-137),Less (0.0),Less (0.0),Less (1.9368557530828442e-289),Less (0.0),Less (0.0),Less (1.412951473700064e-30),Greater (0.9961028528015452),Less (2.4118381051508244e-23),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.41366884981707885),Greater (1.0),Less (1.3800338486047041e-09),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-existence,,,,,,Greater (1.0),Less (0.01313080382073319),Greater (1.0),Less (3.0172727511587173e-15),Greater (1.0),Less (4.838144177058224e-73),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999997),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-executive,,,,,,,Less (3.3713021549352394e-37),Equal (0.1589056181240408),Less (2.300388619163879e-177),Less (8.745659461182434e-06),Less (3.202633002190787e-244),Less (2.3642535650799387e-32),Greater (0.9999987645285506),Greater (1.0),Equal (0.43046320275260286),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.8657519591911955),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-property,,,,,,,,Greater (1.0),Less (0.019854155707228864),Greater (1.0),Less (1.192705784293184e-24),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-nonarch,,,,,,,,,Less (0.0),Less (0.003241547640052315),Less (0.0),Less (1.2202528955091493e-176),Greater (1.0),Greater (1.0),Equal (0.4522888590064872),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.40485945957388725),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
data storage & processing-existence,,,,,,,,,,Greater (1.0),Less (3.1531642864252233e-53),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
data storage & processing-executive,,,,,,,,,,,Less (0.0),Less (4.499199591430361e-52),Greater (1.0),Greater (1.0),Equal (0.10730885782890896),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Equal (0.08255207476159127),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
