,full-existence,full-executive,full-property,full-nonarch,content management-existence,content management-executive,content management-property,content management-nonarch,data storage & processing-existence,data storage & processing-executive,data storage & processing-property,data storage & processing-nonarch,devops and cloud-existence,devops and cloud-executive,devops and cloud-property,devops and cloud-nonarch,soa and middlewares-existence,soa and middlewares-executive,soa and middlewares-property,soa and middlewares-nonarch,software development tools-existence,software development tools-executive,software development tools-property,software development tools-nonarch,web development-existence,web development-executive,web development-property,web development-nonarch,
full-existence,,Greater (1.0),Less (1.970820041147604e-27),Greater (1.0),Equal (0.6645252623449738),Greater (1.0),Less (0.000724096004793044),Greater (1.0),Less (3.3606069259676246e-69),Greater (1.0),Less (9.78805216844287e-114),Greater (0.9999992186787108),Greater (0.9999997415941089),Greater (1.0),Equal (0.08103327115746024),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999325424337),Greater (1.0),Equal (0.13934695562850138),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999999997),Greater (1.0),
full-executive,,,Less (0.0),Less (3.0324298879373856e-17),Less (2.8443591780553977e-31),Less (3.660820077001768e-08),Less (2.039421165865698e-39),Less (0.0),Less (0.0),Less (3.812015420537103e-131),Less (0.0),Less (0.0),Less (3.492723279575442e-14),Less (5.941266549454419e-19),Less (1.3577613852425723e-15),Greater (0.9998008459265051),Greater (1.0),Greater (1.0),Greater (0.999999999962234),Greater (1.0),Equal (0.17658160462734285),Greater (1.0),Less (3.922919648113784e-06),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.996288688332265),Greater (1.0),
full-property,,,,Greater (1.0),Greater (0.9999996490236385),Greater (1.0),Equal (0.11629375038808384),Greater (1.0),Less (1.6509438847554976e-12),Greater (1.0),Less (1.1131394769327273e-38),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999828693),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999973071635364),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
full-nonarch,,,,,Less (2.3865433517916098e-24),Less (4.859792730076455e-05),Less (5.99998336203846e-32),Less (0.0),Less (0.0),Less (9.999447341987256e-101),Less (0.0),Less (0.0),Less (4.744448791254302e-09),Less (0.007796749692506368),Less (5.244805689616839e-11),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999947136),Greater (1.0),Equal (0.45130260632587804),Greater (1.0),Less (0.0001254997199276704),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9987859610623061),Greater (1.0),
content management-existence,,,,,,Greater (0.9999999999908332),Less (0.011982460416647458),Greater (0.9999777891908772),Less (1.421433375394556e-19),Greater (0.9999979301308213),Less (2.0919799613252972e-36),Greater (0.9919444324615474),Greater (0.9999813906522025),Greater (1.0),Equal (0.0671413360459145),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999986050366261),Greater (1.0),Equal (0.1211123571614827),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999999714),Greater (1.0),
content management-executive,,,,,,,Less (9.032763539762326e-18),Less (1.1050051021900425e-10),Less (4.948239972176675e-139),Less (4.680545487977661e-14),Less (6.92767960303989e-180),Less (8.585422260272434e-42),Less (0.0005208544801259674),Equal (0.29273015044051376),Less (3.533200559000803e-06),Greater (0.9999999999717026),Greater (1.0),Greater (1.0),Greater (0.9999999999999896),Greater (1.0),Equal (0.5176224469576225),Greater (1.0),Less (0.011007535462668961),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999880033193342),Greater (1.0),
content management-property,,,,,,,,Greater (0.9999999999062342),Less (2.083981613189723e-07),Greater (0.9999999999998317),Less (1.2259759108430828e-17),Greater (0.999999992772236),Greater (0.999999999914326),Greater (1.0),Greater (0.9999691391100657),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999997315138),Greater (1.0),Greater (0.9990734914743736),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
content management-nonarch,,,,,,,,,Less (6.479778916539841e-175),Equal (0.9278671150208315),Less (1.789035656714094e-228),Less (4.8740977128116606e-172),Equal (0.3023518203917379),Greater (1.0),Equal (0.18733200385956406),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9976866025204658),Greater (1.0),Equal (0.6230957492996727),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999986422999),Greater (1.0),
data storage & processing-existence,,,,,,,,,,Greater (1.0),Less (4.7786132005167075e-11),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.999999999998298),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),
data storage & processing-executive,,,,,,,,,,,Less (3.801889451994717e-239),Less (4.2236827695061034e-32),Equal (0.3204700915048837),Greater (1.0),Equal (0.09280177741823713),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9997426853773044),Greater (1.0),Equal (0.5121047660946604),Greater (1.0),Greater (1.0),Greater (1.0),Greater (0.9999999999969543),Greater (1.0),
