Project,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-TOMEE,4.00,16.90,19.32,33.49,1679
RedHat-ACM,6.00,18.83,22.00,28.26,1169
Apache-SM,1.00,12.75,17.67,22.08,3245
Apache-CASSANDRA,8.75,23.88,30.00,31.08,16898
Spring-BATCH,9.00,18.19,21.00,18.37,2598
RedHat-TRACING,3.00,15.72,18.83,25.63,1105
Apache-AURORA,1.00,15.81,18.00,43.70,1630
RedHat-JBWS,5.40,17.05,18.00,29.47,3187
Apache-AMBARI,4.50,28.71,29.11,308.01,23098
Jira-JRACLOUD,18.00,46.64,64.00,38.71,24301
Apache-BEAM,11.50,32.61,26.67,277.87,11354
Apache-TEZ,9.00,39.67,35.73,89.83,3725
RedHat-CRW,8.50,23.56,27.57,42.31,2825
Apache-MNG,6.00,21.42,24.00,57.62,5725
Apache-ZEPPELIN,8.00,36.72,40.39,341.70,4434
Apache-KYLIN,6.50,36.88,29.00,190.81,4349
Apache-SMX4,2.00,9.11,10.00,21.79,1708
Apache-DELTASPIKE,5.63,16.38,20.55,19.41,1023
Spring-ROO,4.50,21.42,26.00,31.71,3617
RedHat-TEIIDDES,6.00,15.27,19.00,16.96,2832
Apache-AVRO,12.25,40.87,37.53,131.19,3213
Apache-SOLR,12.25,30.23,35.32,116.08,15027
Apache-PARQUET,6.00,69.65,50.50,345.59,1965
Apache-CAY,6.00,21.09,29.67,25.90,1959
Apache-FLUME,6.25,22.96,25.86,36.81,2918
Apache-CONNECTORS,3.00,18.79,25.00,32.85,1681
RedHat-UNDERTOW,7.50,22.06,26.14,28.71,984
Jira-JSDCLOUD,14.34,38.17,61.38,30.67,5700
Jira-JSDSERVER,15.50,44.17,89.00,38.48,4908
Jira-SRCTREE,8.33,26.99,25.00,111.59,3371
Apache-PIG,7.50,22.27,29.75,23.46,4824
Apache-HOP,1.50,12.46,15.00,19.97,801
RedHat-ERRAI,6.00,21.63,24.58,33.48,662
RedHat-OADP,8.31,32.83,30.88,65.39,682
Apache-WICKET,7.50,17.90,22.87,17.47,6146
Apache-ORC,3.00,23.00,20.75,63.43,1172
Apache-STRATOS,3.00,14.73,13.04,34.26,1312
RedHat-ODC,6.00,16.25,20.00,24.15,1193
JiraEcosystem-PL,6.00,15.12,20.50,16.41,2114
Apache-TAVERNA,5.33,23.20,23.67,36.16,417
Apache-IGNITE,5.15,26.12,25.57,158.27,13974
RedHat-HAC,8.50,19.67,24.50,17.93,1481
Jira-BSERV,13.05,31.40,38.37,45.41,5667
Spring-DATACMNS,9.00,15.14,17.67,14.11,1781
Apache-FELIX,5.73,18.32,23.33,27.65,5804
Apache-SENTRY,9.60,20.08,21.17,28.16,2129
RedHat-HAL,6.00,12.29,15.00,12.97,1005
Apache-MSHARED,4.00,12.95,14.00,23.13,1059
RedHat-ISPN,6.00,21.30,21.96,64.27,5954
Apache-TRINIDAD,5.00,17.17,21.00,25.63,1997
Apache-FOR,7.00,18.95,24.81,20.40,1092
Apache-ARIES,7.50,20.22,23.62,36.37,1582
Apache-JCLOUDS,9.79,21.07,23.00,42.63,1344
Apache-GERONIMO,6.00,17.60,21.19,27.01,5804
RedHat-MODE,7.75,23.48,30.00,27.77,2615
Apache-HTTPCLIENT,10.43,32.17,33.00,108.30,2126
Apache-HDDS,8.00,56.37,57.54,115.97,4540
Apache-TOMAHAWK,6.60,20.86,26.25,26.67,1277
RedHat-SWITCHYARD,2.50,11.05,14.00,14.75,2659
Apache-FOP,6.50,17.65,21.40,23.10,2965
RedHat-RESTEASY,6.00,20.78,25.50,28.78,1858
RedHat-WINDUP,5.00,17.04,20.25,35.40,1977
Apache-MRELEASE,7.00,19.94,23.00,25.12,998
Jira-BAM,10.00,36.15,50.50,63.06,9980
Apache-OWB,3.00,11.51,14.00,16.69,1086
Apache-TOBAGO,10.00,56.07,32.00,995.24,1385
Apache-GOBBLIN,6.00,7.21,6.00,8.34,748
RedHat-GITOPS,3.17,14.58,17.50,21.77,747
JFrog-TCAP,8.57,21.31,27.50,20.21,87
RedHat-JBSEAM,4.00,15.22,18.50,24.79,4074
Jira-I18N,5.50,13.81,18.00,14.19,793
RedHat-CEQ,1.00,3.31,2.93,5.99,427
Apache-PIVOT,10.00,23.37,31.86,19.61,759
Apache-BATIK,6.00,22.03,27.85,27.46,1027
Spring-IDE,9.33,22.43,27.73,92.13,1271
Apache-AMQ,6.00,19.44,22.71,40.74,7235
RedHat-AF,4.00,15.86,18.50,25.91,1141
Jira-CRUC,8.67,35.52,58.00,32.93,4309
RedHat-THORN,6.00,18.22,21.33,26.95,1625
Apache-KARAF,7.00,30.70,23.00,316.32,6599
Jira-CONFCLOUD,15.20,35.95,52.33,29.12,21703
Apache-OODT,3.46,27.69,20.00,166.83,979
Apache-AXIS2,5.67,19.11,23.75,31.05,5455
Apache-HUDI,5.00,29.86,22.38,66.67,2673
Apache-GROOVY,6.50,22.52,29.93,27.82,8707
JiraEcosystem-AG,8.00,16.28,19.00,14.27,1197
RedHat-ENTMQMAAS,3.31,9.97,11.00,19.43,1172
Apache-DRILL,8.00,66.49,55.00,398.50,6680
Apache-HDFS,21.20,75.10,109.22,105.44,14780
RedHat-JBDS,6.33,16.80,18.92,99.43,3996
RedHat-JBPAPP,5.86,15.07,18.13,20.36,5364
JiraEcosystem-PLUG,6.50,20.60,22.34,30.93,736
Apache-NUTCH,10.17,30.52,31.77,71.08,2829
Apache-ACCUMULO,11.00,25.29,30.00,38.57,3883
Apache-COCOON,7.00,18.13,22.41,22.72,2160
RedHat-SB,5.50,22.60,16.00,200.14,824
Apache-JS2,5.50,21.13,26.25,27.23,1150
Spring-SWF,7.00,23.25,28.00,32.53,1123
RedHat-JBESB,3.00,11.88,13.67,21.87,3228
Apache-MRM,4.00,15.34,18.00,25.61,1704
RedHat-JBIDE,5.00,14.20,17.00,41.61,25266
RedHat-JBTM,6.00,21.04,22.00,48.01,2316
RedHat-JWS,7.50,16.46,23.00,14.61,836
Apache-ROL,6.00,17.14,19.33,33.06,1985
RedHat-JBAS,7.00,20.63,27.00,26.53,7171
JFrog-RTFACT,7.00,28.59,29.00,73.15,5852
Apache-IOTDB,2.00,16.04,12.00,185.80,2164
Jira-BCLOUD,8.00,22.32,25.00,24.66,19292
Apache-TAP5,10.50,22.37,28.00,21.18,2330
Jira-JRASERVER,12.00,32.89,45.67,32.36,37548
Apache-DIRMINA,6.00,20.02,25.79,28.39,1051
RedHat-OCPPLAN,4.00,20.76,22.21,39.82,614
Apache-FLINK,5.00,33.20,29.00,214.84,28974
Apache-METRON,29.00,77.72,102.65,79.25,1567
Spring-DATAMONGO,9.00,16.27,20.00,14.03,2590
Apache-LOG4J2,10.00,25.64,30.04,38.42,3277
Apache-BOOKKEEPER,13.71,32.93,43.56,27.73,1062
Apache-STR,7.33,22.22,28.00,49.24,2813
Apache-YARN,26.84,98.18,142.37,106.49,9978
RedHat-MON,6.00,16.87,20.61,21.92,838
Spring-SPR,8.25,21.94,29.00,21.35,17413
RedHat-JBEAP,4.00,13.86,16.67,26.47,16442
Apache-PHOENIX,10.67,40.55,41.30,78.39,6004
Apache-JCR,5.00,17.80,22.92,37.74,4207
Apache-FALCON,5.80,20.27,24.67,26.06,1978
RedHat-WELD,6.00,19.84,25.33,26.85,1689
Apache-BIGTOP,5.00,17.80,22.75,23.91,3362
Apache-SSHD,6.50,27.75,36.46,47.23,1060
RedHat-OSSM,7.00,17.28,20.71,24.26,1459
JiraEcosystem-PLE,8.00,19.01,25.35,16.78,1172
Apache-SCB,6.50,384.99,225.71,4822.33,1197
Apache-SLIDER,13.00,22.28,22.50,29.27,1071
RedHat-RFE,12.00,30.23,32.00,31.40,436
Jira-OPSGENIE,7.00,21.72,26.88,25.98,403
RedHat-QUARKUS,7.70,16.21,20.33,19.47,1313
RedHat-ENTESB,5.00,21.89,18.50,284.80,11486
RedHat-FUSETOOLS,4.00,13.70,14.50,29.10,2953
Apache-RAVE,4.00,12.53,14.67,17.27,780
Apache-HIVE,11.20,59.42,52.57,219.05,22667
Apache-KNOX,13.80,22.25,21.00,25.93,2560
Apache-NETBEANS,5.60,63.60,24.00,1375.04,3671
Apache-SLING,3.00,15.33,20.00,49.31,10207
