Project,First Quantile,Mean,Third Quantile,Standard Deviation,Total Issue Count
Apache-TOMEE,0.00,1.38,1.00,3.26,3737
RedHat-ACM,0.00,1.91,2.00,3.27,2126
Apache-SM,0.00,1.30,1.00,2.05,4804
Apache-CASSANDRA,2.00,7.00,8.00,9.71,18166
Spring-BATCH,2.00,3.57,4.00,3.37,2598
RedHat-TRACING,0.00,1.27,1.00,1.98,1882
Apache-AURORA,1.00,2.27,3.00,2.90,1970
RedHat-JBWS,1.00,2.20,3.00,2.65,3948
Apache-AMBARI,2.00,3.24,4.00,2.94,25566
Jira-JRACLOUD,1.00,3.38,2.00,14.66,29658
Apache-BEAM,1.00,3.29,4.00,4.30,14551
Apache-TEZ,1.00,6.02,8.00,7.37,4460
RedHat-CRW,1.00,4.69,6.00,5.45,3070
Apache-MNG,1.00,4.76,5.00,8.86,6362
Apache-ZEPPELIN,1.00,5.07,7.00,7.91,5878
Apache-KYLIN,1.00,3.98,5.00,6.03,5316
Apache-SMX4,1.00,1.86,2.00,2.43,1905
Apache-DELTASPIKE,0.00,2.52,3.00,3.79,1459
Spring-ROO,1.00,2.41,3.00,3.01,3987
RedHat-TEIIDDES,1.00,2.91,4.00,3.23,3099
Apache-AVRO,1.00,5.11,6.00,7.38,3706
Apache-SOLR,2.00,8.04,9.00,13.27,16520
Apache-PARQUET,1.00,3.94,4.00,7.67,2237
Apache-CAY,0.00,1.89,2.00,2.76,2789
Apache-FLUME,1.00,4.46,6.00,6.11,3433
Apache-CONNECTORS,1.00,5.69,6.00,10.11,1743
RedHat-UNDERTOW,0.00,1.39,2.00,2.49,1989
Jira-JSDCLOUD,0.00,3.39,2.00,15.18,8186
Jira-JSDSERVER,0.00,2.67,2.00,12.15,8226
Jira-SRCTREE,0.00,2.21,2.00,5.95,5491
Apache-PIG,2.00,5.69,7.00,7.51,5356
Apache-HOP,0.00,0.46,1.00,1.16,3145
RedHat-ERRAI,0.00,1.13,1.00,1.62,1104
RedHat-OADP,0.00,3.24,4.00,4.94,1002
Apache-WICKET,1.00,3.93,5.00,5.49,7020
Apache-ORC,1.00,3.17,4.00,5.47,1383
Apache-STRATOS,1.00,1.56,2.00,2.14,1662
RedHat-ODC,0.00,1.34,1.00,2.44,1998
JiraEcosystem-PL,0.00,1.89,2.00,2.61,2889
Apache-TAVERNA,0.00,1.00,1.00,2.94,1063
Apache-IGNITE,0.00,3.09,4.00,4.55,18925
RedHat-HAC,0.00,1.98,2.00,4.09,3012
Jira-BSERV,0.00,2.64,3.00,7.20,8430
Spring-DATACMNS,1.00,2.41,3.00,2.69,1781
Apache-FELIX,1.00,2.95,4.00,3.61,6493
Apache-SENTRY,1.00,4.87,6.00,6.25,2564
RedHat-HAL,0.00,1.96,2.00,3.20,1671
Apache-MSHARED,1.00,2.49,3.00,3.05,1168
RedHat-ISPN,0.00,1.47,2.00,3.18,13628
Apache-TRINIDAD,1.00,2.25,3.00,3.06,2561
Apache-FOR,1.00,3.18,4.00,3.45,1251
Apache-ARIES,1.00,2.38,3.00,3.44,2096
Apache-JCLOUDS,1.00,3.88,4.25,5.76,1620
Apache-GERONIMO,1.00,2.80,4.00,3.42,6744
RedHat-MODE,2.00,4.42,6.00,4.68,2680
Apache-HTTPCLIENT,2.00,5.77,7.00,7.48,2179
Apache-HDDS,0.00,2.41,3.00,4.67,8059
Apache-TOMAHAWK,1.00,2.24,3.00,2.85,1683
RedHat-SWITCHYARD,1.00,3.16,4.00,3.96,3015
Apache-FOP,2.00,4.50,5.00,5.94,3117
RedHat-RESTEASY,0.00,2.32,3.00,4.25,3133
RedHat-WINDUP,0.00,1.73,2.00,2.88,3455
Apache-MRELEASE,1.00,3.72,5.00,4.77,1083
Jira-BAM,0.00,1.94,2.00,4.13,15104
Apache-OWB,1.00,2.33,3.00,3.71,1422
Apache-TOBAGO,0.00,1.78,2.00,3.32,2187
Apache-GOBBLIN,0.00,0.51,1.00,0.89,1792
RedHat-GITOPS,0.00,1.57,2.00,2.41,1154
JFrog-TCAP,0.00,0.21,0.00,1.05,1070
RedHat-JBSEAM,1.00,2.50,3.00,3.29,5032
Jira-I18N,1.00,2.25,3.00,2.65,1057
RedHat-CEQ,0.00,0.78,0.00,1.64,1944
Apache-PIVOT,0.00,3.75,5.00,5.97,1041
Apache-BATIK,1.00,2.31,3.00,3.19,1351
Spring-IDE,1.00,2.53,3.00,3.77,1386
Apache-AMQ,1.00,3.26,4.00,4.17,7843
RedHat-AF,0.00,1.05,1.00,2.57,2712
Jira-CRUC,0.00,1.46,2.00,2.87,6784
RedHat-THORN,0.00,2.28,3.00,3.55,2467
Apache-KARAF,1.00,3.51,5.00,3.72,7482
Jira-CONFCLOUD,1.00,3.03,2.00,9.38,26847
Apache-OODT,1.00,3.91,5.00,4.05,1041
Apache-AXIS2,1.00,2.97,4.00,3.38,5950
Apache-HUDI,0.00,2.20,1.00,8.93,5863
Apache-GROOVY,1.00,3.01,4.00,3.99,10716
JiraEcosystem-AG,1.00,2.12,3.00,2.59,1486
RedHat-ENTMQMAAS,0.00,1.10,2.00,1.65,2257
Apache-DRILL,1.00,5.79,6.00,12.93,8367
Apache-HDFS,3.00,11.61,15.00,13.72,16105
RedHat-JBDS,2.00,5.12,6.00,5.99,4226
RedHat-JBPAPP,1.00,4.03,5.00,4.52,5933
JiraEcosystem-PLUG,0.00,1.67,2.00,2.63,1165
Apache-NUTCH,2.00,6.25,8.00,7.78,2971
Apache-ACCUMULO,1.00,4.87,6.00,7.56,4745
Apache-COCOON,1.00,3.50,4.00,3.95,2366
RedHat-SB,0.00,2.29,3.00,3.83,1320
