Project,Domain,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.,Total
Apache-TOMEE,web development,2,379,0,1,0,2,0,3353,3737
RedHat-ACM,devops and cloud,108,27,0,14,6,0,0,1971,2126
Apache-SM,soa and middlewares,17,341,0,7,1,0,0,4438,4804
Apache-CASSANDRA,data storage & processing,177,306,0,333,90,17,0,17243,18166
Spring-BATCH,data storage & processing,22,24,0,7,2,0,0,2543,2598
RedHat-TRACING,devops and cloud,11,134,0,7,4,0,0,1726,1882
Apache-AURORA,devops and cloud,29,78,0,15,2,0,0,1846,1970
RedHat-JBWS,soa and middlewares,14,243,0,14,1,0,0,3676,3948
Apache-AMBARI,data storage & processing,129,267,0,30,7,3,0,25130,25566
Jira-JRACLOUD,content management,84,208,0,29,2,0,0,29335,29658
Apache-BEAM,data storage & processing,50,800,0,40,4,2,0,13655,14551
Apache-TEZ,data storage & processing,56,100,0,26,4,0,0,4274,4460
RedHat-CRW,software development tools,5,120,0,5,0,0,0,2940,3070
Apache-MNG,software development tools,17,195,0,12,3,1,0,6134,6362
Apache-ZEPPELIN,data storage & processing,24,302,0,15,3,0,0,5534,5878
Apache-KYLIN,data storage & processing,17,214,0,17,1,0,0,5067,5316
Apache-SMX4,soa and middlewares,0,207,0,2,0,0,0,1696,1905
Apache-DELTASPIKE,web development,3,36,0,4,0,0,0,1416,1459
Spring-ROO,software development tools,27,176,0,13,2,0,0,3769,3987
RedHat-TEIIDDES,data storage & processing,26,28,0,5,3,0,0,3037,3099
Apache-AVRO,data storage & processing,16,337,0,17,1,1,0,3334,3706
Apache-SOLR,content management,135,453,0,108,7,2,0,15815,16520
Apache-PARQUET,data storage & processing,11,153,0,13,1,1,0,2058,2237
Apache-CAY,data storage & processing,26,70,0,18,7,0,0,2668,2789
Apache-FLUME,data storage & processing,28,216,0,13,4,0,0,3172,3433
Apache-CONNECTORS,content management,16,88,0,13,0,0,0,1626,1743
RedHat-UNDERTOW,web development,4,56,0,8,0,0,0,1921,1989
Jira-JSDCLOUD,content management,113,29,0,19,0,0,0,8025,8186
Jira-JSDSERVER,content management,65,44,0,17,2,0,0,8098,8226
Jira-SRCTREE,software development tools,7,65,0,6,1,0,0,5412,5491
Apache-PIG,data storage & processing,30,110,0,38,3,0,0,5175,5356
Apache-HOP,data storage & processing,20,132,0,3,1,0,0,2989,3145
RedHat-ERRAI,web development,11,58,0,7,3,0,0,1025,1104
RedHat-OADP,devops and cloud,9,20,0,4,0,0,0,969,1002
Apache-WICKET,web development,17,108,0,10,1,1,0,6883,7020
Apache-ORC,data storage & processing,6,142,0,5,0,0,0,1230,1383
Apache-STRATOS,devops and cloud,54,36,0,6,3,0,0,1563,1662
RedHat-ODC,software development tools,41,18,0,8,1,0,0,1930,1998
JiraEcosystem-PL,software development tools,2,16,0,2,0,0,0,2869,2889
Apache-TAVERNA,data storage & processing,10,26,0,5,0,0,0,1022,1063
Apache-IGNITE,data storage & processing,344,305,0,136,40,1,0,18099,18925
RedHat-HAC,devops and cloud,6,18,0,4,0,0,0,2984,3012
Jira-BSERV,software development tools,34,213,0,39,7,6,0,8131,8430
Spring-DATACMNS,data storage & processing,11,184,0,3,0,0,0,1583,1781
Apache-FELIX,soa and middlewares,41,157,0,32,5,0,0,6258,6493
Apache-SENTRY,data storage & processing,34,71,0,18,6,0,0,2435,2564
RedHat-HAL,web development,7,27,0,1,0,0,0,1636,1671
Apache-MSHARED,software development tools,0,286,0,2,0,0,0,880,1168
RedHat-ISPN,data storage & processing,118,689,0,102,22,1,0,12696,13628
Apache-TRINIDAD,web development,19,17,0,15,0,0,0,2510,2561
Apache-FOR,content management,2,13,0,3,0,0,0,1233,1251
Apache-ARIES,soa and middlewares,21,90,0,6,0,0,0,1979,2096
Apache-JCLOUDS,devops and cloud,3,113,0,2,0,0,0,1502,1620
Apache-GERONIMO,web development,24,318,0,11,1,0,0,6390,6744
RedHat-MODE,data storage & processing,60,100,0,22,6,0,0,2492,2680
