Project,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.
Apache-TOMEE,0.05%,10.14%,0.00%,0.03%,0.00%,0.05%,0.00%,89.72%
RedHat-ACM,5.08%,1.27%,0.00%,0.66%,0.28%,0.00%,0.00%,92.71%
Apache-SM,0.35%,7.10%,0.00%,0.15%,0.02%,0.00%,0.00%,92.38%
Apache-CASSANDRA,0.97%,1.68%,0.00%,1.83%,0.50%,0.09%,0.00%,94.92%
Spring-BATCH,0.85%,0.92%,0.00%,0.27%,0.08%,0.00%,0.00%,97.88%
RedHat-TRACING,0.58%,7.12%,0.00%,0.37%,0.21%,0.00%,0.00%,91.71%
Apache-AURORA,1.47%,3.96%,0.00%,0.76%,0.10%,0.00%,0.00%,93.71%
RedHat-JBWS,0.35%,6.16%,0.00%,0.35%,0.03%,0.00%,0.00%,93.11%
Apache-AMBARI,0.50%,1.04%,0.00%,0.12%,0.03%,0.01%,0.00%,98.29%
Jira-JRACLOUD,0.28%,0.70%,0.00%,0.10%,0.01%,0.00%,0.00%,98.91%
Apache-BEAM,0.34%,5.50%,0.00%,0.27%,0.03%,0.01%,0.00%,93.84%
Apache-TEZ,1.26%,2.24%,0.00%,0.58%,0.09%,0.00%,0.00%,95.83%
RedHat-CRW,0.16%,3.91%,0.00%,0.16%,0.00%,0.00%,0.00%,95.77%
Apache-MNG,0.27%,3.07%,0.00%,0.19%,0.05%,0.02%,0.00%,96.42%
Apache-ZEPPELIN,0.41%,5.14%,0.00%,0.26%,0.05%,0.00%,0.00%,94.15%
Apache-KYLIN,0.32%,4.03%,0.00%,0.32%,0.02%,0.00%,0.00%,95.32%
Apache-SMX4,0.00%,10.87%,0.00%,0.10%,0.00%,0.00%,0.00%,89.03%
Apache-DELTASPIKE,0.21%,2.47%,0.00%,0.27%,0.00%,0.00%,0.00%,97.05%
Spring-ROO,0.68%,4.41%,0.00%,0.33%,0.05%,0.00%,0.00%,94.53%
RedHat-TEIIDDES,0.84%,0.90%,0.00%,0.16%,0.10%,0.00%,0.00%,98.00%
Apache-AVRO,0.43%,9.09%,0.00%,0.46%,0.03%,0.03%,0.00%,89.96%
Apache-SOLR,0.82%,2.74%,0.00%,0.65%,0.04%,0.01%,0.00%,95.73%
Apache-PARQUET,0.49%,6.84%,0.00%,0.58%,0.04%,0.04%,0.00%,92.00%
Apache-CAY,0.93%,2.51%,0.00%,0.65%,0.25%,0.00%,0.00%,95.66%
Apache-FLUME,0.82%,6.29%,0.00%,0.38%,0.12%,0.00%,0.00%,92.40%
Apache-CONNECTORS,0.92%,5.05%,0.00%,0.75%,0.00%,0.00%,0.00%,93.29%
RedHat-UNDERTOW,0.20%,2.82%,0.00%,0.40%,0.00%,0.00%,0.00%,96.58%
Jira-JSDCLOUD,1.38%,0.35%,0.00%,0.23%,0.00%,0.00%,0.00%,98.03%
Jira-JSDSERVER,0.79%,0.53%,0.00%,0.21%,0.02%,0.00%,0.00%,98.44%
Jira-SRCTREE,0.13%,1.18%,0.00%,0.11%,0.02%,0.00%,0.00%,98.56%
Apache-PIG,0.56%,2.05%,0.00%,0.71%,0.06%,0.00%,0.00%,96.62%
Apache-HOP,0.64%,4.20%,0.00%,0.10%,0.03%,0.00%,0.00%,95.04%
RedHat-ERRAI,1.00%,5.25%,0.00%,0.63%,0.27%,0.00%,0.00%,92.84%
RedHat-OADP,0.90%,2.00%,0.00%,0.40%,0.00%,0.00%,0.00%,96.71%
Apache-WICKET,0.24%,1.54%,0.00%,0.14%,0.01%,0.01%,0.00%,98.05%
Apache-ORC,0.43%,10.27%,0.00%,0.36%,0.00%,0.00%,0.00%,88.94%
Apache-STRATOS,3.25%,2.17%,0.00%,0.36%,0.18%,0.00%,0.00%,94.04%
RedHat-ODC,2.05%,0.90%,0.00%,0.40%,0.05%,0.00%,0.00%,96.60%
JiraEcosystem-PL,0.07%,0.55%,0.00%,0.07%,0.00%,0.00%,0.00%,99.31%
Apache-TAVERNA,0.94%,2.45%,0.00%,0.47%,0.00%,0.00%,0.00%,96.14%
Apache-IGNITE,1.82%,1.61%,0.00%,0.72%,0.21%,0.01%,0.00%,95.64%
RedHat-HAC,0.20%,0.60%,0.00%,0.13%,0.00%,0.00%,0.00%,99.07%
Jira-BSERV,0.40%,2.53%,0.00%,0.46%,0.08%,0.07%,0.00%,96.45%
Spring-DATACMNS,0.62%,10.33%,0.00%,0.17%,0.00%,0.00%,0.00%,88.88%
Apache-FELIX,0.63%,2.42%,0.00%,0.49%,0.08%,0.00%,0.00%,96.38%
Apache-SENTRY,1.33%,2.77%,0.00%,0.70%,0.23%,0.00%,0.00%,94.97%
RedHat-HAL,0.42%,1.62%,0.00%,0.06%,0.00%,0.00%,0.00%,97.91%
Apache-MSHARED,0.00%,24.49%,0.00%,0.17%,0.00%,0.00%,0.00%,75.34%
RedHat-ISPN,0.87%,5.06%,0.00%,0.75%,0.16%,0.01%,0.00%,93.16%
Apache-TRINIDAD,0.74%,0.66%,0.00%,0.59%,0.00%,0.00%,0.00%,98.01%
Apache-FOR,0.16%,1.04%,0.00%,0.24%,0.00%,0.00%,0.00%,98.56%
